gene_name	enhancer_class	log2FC	padj
1700025G04Rik	Activity_Lost	-0.026949	0.950143
1700025G04Rik	K119ub_Only	-0.026949	0.950143
1700025G04Rik	Activity_Lost	-0.026949	0.950143
1700028E10Rik	Stable	-0.001012	0.999193
1700030J22Rik	Stable	-0.576874	0.175807
1700030J22Rik	Stable	-0.576874	0.175807
1700030J22Rik	Stable	-0.576874	0.175807
1700030J22Rik	Stable	-0.576874	0.175807
1700036A12Rik	Stable	-0.229216	0.680051
1700036A12Rik	Stable	-0.229216	0.680051
1700036A12Rik	Stable	-0.229216	0.680051
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Activity_Lost	-0.66388	0.02684
1700063D05Rik	Activity_Lost	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Stable	-0.66388	0.02684
1700063D05Rik	Activity_Lost	-0.66388	0.02684
1700063D05Rik	Activity_Lost	-0.66388	0.02684
1700064H15Rik	Stable	-0.028785	0.986038
1700064H15Rik	Stable	-0.028785	0.986038
1700064H15Rik	Stable	-0.028785	0.986038
1700064H15Rik	Stable	-0.028785	0.986038
1700064H15Rik	Stable	-0.028785	0.986038
1700064H15Rik	Stable	-0.028785	0.986038
1700064H15Rik	Stable	-0.028785	0.986038
1700064H15Rik	Stable	-0.028785	0.986038
1700064H15Rik	Stable	-0.028785	0.986038
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700069L16Rik	Stable	1.022794	3e-06
1700096K18Rik	Stable	-0.202471	0.865492
1700096K18Rik	Stable	-0.202471	0.865492
1700102P08Rik	Activity_Lost	0.195096	0.677939
1700112J16Rik	Stable	-1.102814	0.003524
1700112J16Rik	Stable	-1.102814	0.003524
1700123J17Rik	Stable	-0.232954	0.90701
1810019N24Rik	Stable	-0.79064	0.181732
1810019N24Rik	Stable	-0.79064	0.181732
1810019N24Rik	Stable	-0.79064	0.181732
1810037I17Rik	Stable	0.020246	0.97303
1810037I17Rik	Stable	0.020246	0.97303
2010001A14Rik	Stable	-0.466273	0.39045
2010001A14Rik	Stable	-0.466273	0.39045
2010001A14Rik	Stable	-0.466273	0.39045
2010001A14Rik	Stable	-0.466273	0.39045
2010001A14Rik	Stable	-0.466273	0.39045
2010001A14Rik	Stable	-0.466273	0.39045
2010308F09Rik	Stable	-0.057211	0.97112
2010308F09Rik	K119ub_Only	-0.057211	0.97112
2010308F09Rik	Stable	-0.057211	0.97112
2010308F09Rik	Stable	-0.057211	0.97112
2010308F09Rik	Activity_Lost	-0.057211	0.97112
2010315B03Rik	Stable	0.187659	0.351978
2010315B03Rik	Stable	0.187659	0.351978
2010320O07Rik	Activity_Lost	-0.933423	0.002139
2010320O07Rik	Activity_Lost	-0.933423	0.002139
2010320O07Rik	Stable	-0.933423	0.002139
2010320O07Rik	Activity_Lost	-0.933423	0.002139
2010320O07Rik	Stable	-0.933423	0.002139
2010320O07Rik	Stable	-0.933423	0.002139
2010320O07Rik	Stable	-0.933423	0.002139
2010320O07Rik	Stable	-0.933423	0.002139
2200002D01Rik	Stable	-0.166512	0.915738
2200002D01Rik	Stable	-0.166512	0.915738
2200002D01Rik	Stable	-0.166512	0.915738
2200002D01Rik	Stable	-0.166512	0.915738
2200002D01Rik	Activity_Lost	-0.166512	0.915738
2210406O10Rik	Activity_Lost	-1.086975	0.209373
2210406O10Rik	Stable	-1.086975	0.209373
2210406O10Rik	Activity_Lost	-1.086975	0.209373
2210406O10Rik	K119ub_Only	-1.086975	0.209373
2210406O10Rik	Activity_Lost	-1.086975	0.209373
2210406O10Rik	Activity_Lost	-1.086975	0.209373
2210406O10Rik	Stable	-1.086975	0.209373
2210408F21Rik	Stable	-0.130913	0.694822
2210408F21Rik	K119ub_Only	-0.130913	0.694822
2310015A10Rik	Stable	-0.155902	0.516676
2310015A10Rik	K119ub_Only	-0.155902	0.516676
2310015A10Rik	K119ub_Only	-0.155902	0.516676
2310030G06Rik	Stable	-1.557318	0.015038
2310030G06Rik	Stable	-1.557318	0.015038
2310030G06Rik	Stable	-1.557318	0.015038
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2410004B18Rik	Stable	0.079033	0.852063
2610008E11Rik	Stable	-0.041471	0.875922
2610008E11Rik	Stable	-0.041471	0.875922
2610008E11Rik	Stable	-0.041471	0.875922
2610008E11Rik	Stable	-0.041471	0.875922
2610008E11Rik	Stable	-0.041471	0.875922
2610008E11Rik	Stable	-0.041471	0.875922
2610008E11Rik	Stable	-0.041471	0.875922
2610021A01Rik	Stable	-0.016254	0.970133
2610021A01Rik	Stable	-0.016254	0.970133
2610027K06Rik	Stable	-0.500961	0.267279
2610035F20Rik	Activity_Lost	-0.304426	0.150464
2610035F20Rik	Stable	-0.304426	0.150464
2610035F20Rik	Stable	-0.304426	0.150464
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Activity_Gain	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610037D02Rik	Stable	0.114605	0.490995
2610316D01Rik	Stable	0.407278	0.112515
2610316D01Rik	Stable	0.407278	0.112515
2610316D01Rik	Stable	0.407278	0.112515
2610316D01Rik	Activity_Gain	0.407278	0.112515
2610316D01Rik	K119ub_Only	0.407278	0.112515
2610316D01Rik	K119ub_Only	0.407278	0.112515
2610507I01Rik	Stable	-0.389419	0.590186
2610507I01Rik	Stable	-0.389419	0.590186
2610507I01Rik	Stable	-0.389419	0.590186
2610507I01Rik	Stable	-0.389419	0.590186
2610507I01Rik	Stable	-0.389419	0.590186
2610507I01Rik	Stable	-0.389419	0.590186
2610507I01Rik	Stable	-0.389419	0.590186
2700038G22Rik	Stable	-0.391109	0.437601
2700062C07Rik	Stable	0.018812	0.976206
2700062C07Rik	Stable	0.018812	0.976206
2810002D19Rik	Stable	-0.139334	0.751995
2810002D19Rik	Activity_Lost	-0.139334	0.751995
2810002D19Rik	Stable	-0.139334	0.751995
2810002D19Rik	Activity_Lost	-0.139334	0.751995
2810002D19Rik	Activity_Lost	-0.139334	0.751995
2810403D21Rik	Stable	-0.307139	0.380983
2810403D21Rik	Stable	-0.307139	0.380983
2810403D21Rik	Stable	-0.307139	0.380983
2810414N06Rik	Stable	-0.384792	0.820549
2810414N06Rik	Stable	-0.384792	0.820549
2810414N06Rik	Stable	-0.384792	0.820549
2810414N06Rik	Stable	-0.384792	0.820549
2810414N06Rik	Stable	-0.384792	0.820549
2810414N06Rik	Stable	-0.384792	0.820549
2810414N06Rik	Stable	-0.384792	0.820549
2900052L18Rik	Stable	-0.041413	0.960455
2900079G21Rik	Stable	0.405564	0.460836
2900079G21Rik	Stable	0.405564	0.460836
2900079G21Rik	Stable	0.405564	0.460836
2900079G21Rik	Stable	0.405564	0.460836
2900079G21Rik	Activity_Lost	0.405564	0.460836
3100003L05Rik	Stable	-0.808329	0.234769
3100003L05Rik	Stable	-0.808329	0.234769
3100003L05Rik	Stable	-0.808329	0.234769
3110040N11Rik	Stable	0.040594	0.952531
3110040N11Rik	Stable	0.040594	0.952531
3110040N11Rik	Stable	0.040594	0.952531
3110056K07Rik	Stable	0.063783	0.830128
3110082I17Rik	Stable	-0.542726	0.000143
3110082I17Rik	Stable	-0.542726	0.000143
4632404H12Rik	K119ub_Only	0.070192	0.86416
4632404H12Rik	Stable	0.070192	0.86416
4632404H12Rik	Stable	0.070192	0.86416
4632404H12Rik	Stable	0.070192	0.86416
4732414G09Rik	Stable	-0.904317	0.07266
4732414G09Rik	Activity_Gain	-0.904317	0.07266
4833417C18Rik	Stable	-0.494275	0.410494
4833418N02Rik	Stable	0.581854	0.585347
4833418N02Rik	Stable	0.581854	0.585347
4833420G17Rik	Stable	0.168214	0.150263
4833420G17Rik	Stable	0.168214	0.150263
4833439L19Rik	Stable	-0.139774	0.225331
4833439L19Rik	Activity_Lost	-0.139774	0.225331
4833439L19Rik	Activity_Lost	-0.139774	0.225331
4833439L19Rik	Activity_Lost	-0.139774	0.225331
4833439L19Rik	Activity_Lost	-0.139774	0.225331
4833439L19Rik	Activity_Lost	-0.139774	0.225331
4930412C18Rik	Stable	-0.792401	5e-06
4930412C18Rik	Stable	-0.792401	5e-06
4930412C18Rik	Stable	-0.792401	5e-06
4930412C18Rik	Stable	-0.792401	5e-06
4930412C18Rik	Stable	-0.792401	5e-06
4930412C18Rik	Stable	-0.792401	5e-06
4930412C18Rik	Stable	-0.792401	5e-06
4930412C18Rik	Stable	-0.792401	5e-06
4930417H01Rik	Stable	0.035336	0.979988
4930417H01Rik	K119ub_Only	0.035336	0.979988
4930417H01Rik	Stable	0.035336	0.979988
4930429P21Rik	Activity_Gain	-0.251345	0.755959
4930429P21Rik	Stable	-0.251345	0.755959
4930429P21Rik	Activity_Gain	-0.251345	0.755959
4930429P21Rik	Stable	-0.251345	0.755959
4930429P21Rik	Stable	-0.251345	0.755959
4930447M23Rik	Stable	0.173624	0.907254
4930447M23Rik	Stable	0.173624	0.907254
4930447M23Rik	Stable	0.173624	0.907254
4930447M23Rik	Stable	0.173624	0.907254
4930453N24Rik	Stable	0.047726	0.857717
4930453N24Rik	Stable	0.047726	0.857717
4930453N24Rik	K119ub_Only	0.047726	0.857717
4930471C04Rik	Stable	0.457946	0.325189
4930471C04Rik	Stable	0.457946	0.325189
4930471C04Rik	Stable	0.457946	0.325189
4930471C04Rik	Stable	0.457946	0.325189
4930505A04Rik	Stable	-0.325011	0.759385
4930506C21Rik	Stable	0.077528	0.858554
4930506C21Rik	Stable	0.077528	0.858554
4930506C21Rik	K119ub_Only	0.077528	0.858554
4930512B01Rik	Activity_Gain	0.071483	0.926979
4930512B01Rik	Activity_Lost	0.071483	0.926979
4930516B21Rik	Stable	-0.086472	0.904528
4930516B21Rik	Stable	-0.086472	0.904528
4930516B21Rik	K119ub_Only	-0.086472	0.904528
4930522L14Rik	Stable	-0.050993	0.952038
4930568A12Rik	Stable	-0.356026	0.863814
4930568A12Rik	Stable	-0.356026	0.863814
4930568A12Rik	Stable	-0.356026	0.863814
4930570G19Rik	Stable	-0.040025	0.919464
4930570G19Rik	Stable	-0.040025	0.919464
4930570G19Rik	K119ub_Only	-0.040025	0.919464
4930570G19Rik	K119ub_Only	-0.040025	0.919464
4930570G19Rik	Activity_Lost	-0.040025	0.919464
4930570G19Rik	Stable	-0.040025	0.919464
4930570G19Rik	Stable	-0.040025	0.919464
4930570G19Rik	Stable	-0.040025	0.919464
4930570G19Rik	Activity_Lost	-0.040025	0.919464
4930570G19Rik	K119ub_Only	-0.040025	0.919464
4930570G19Rik	Activity_Lost	-0.040025	0.919464
4930570G19Rik	K119ub_Only	-0.040025	0.919464
4930570G19Rik	K119ub_Only	-0.040025	0.919464
4930570G19Rik	Stable	-0.040025	0.919464
4930578M01Rik	Stable	-0.625228	0.174763
4930578M01Rik	Stable	-0.625228	0.174763
4930578M01Rik	Stable	-0.625228	0.174763
4930579G24Rik	Stable	-0.314043	0.769906
4931414P19Rik	Stable	-0.587415	0.039986
4931414P19Rik	Stable	-0.587415	0.039986
4931414P19Rik	Stable	-0.587415	0.039986
4931414P19Rik	Stable	-0.587415	0.039986
4931415C17Rik	Activity_Gain	-0.183096	0.838912
4931415C17Rik	Stable	-0.183096	0.838912
4931415C17Rik	Stable	-0.183096	0.838912
4931415C17Rik	Stable	-0.183096	0.838912
4931415C17Rik	Activity_Gain	-0.183096	0.838912
4933402D24Rik	Activity_Lost	0.279616	0.611151
4933402D24Rik	Activity_Lost	0.279616	0.611151
4933402D24Rik	Stable	0.279616	0.611151
4933402D24Rik	Activity_Lost	0.279616	0.611151
4933402D24Rik	Activity_Lost	0.279616	0.611151
4933402D24Rik	Activity_Lost	0.279616	0.611151
4933402D24Rik	Activity_Lost	0.279616	0.611151
4933402D24Rik	Stable	0.279616	0.611151
4933402D24Rik	Stable	0.279616	0.611151
4933406C10Rik	Stable	-0.297428	0.518759
4933406C10Rik	Stable	-0.297428	0.518759
4933406C10Rik	Stable	-0.297428	0.518759
4933406C10Rik	Stable	-0.297428	0.518759
4933406C10Rik	Stable	-0.297428	0.518759
4933406I18Rik	K119ub_Only	-0.40946	0.027871
4933406I18Rik	Activity_Lost	-0.40946	0.027871
4933406I18Rik	Stable	-0.40946	0.027871
4933406P04Rik	K119ub_Only	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	Activity_Lost	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	K119ub_Only	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	Activity_Lost	0.005355	0.998377
4933406P04Rik	Activity_Lost	0.005355	0.998377
4933406P04Rik	Activity_Lost	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933406P04Rik	K119ub_Only	0.005355	0.998377
4933406P04Rik	Stable	0.005355	0.998377
4933408J17Rik	Stable	0.839844	0.420094
4933408J17Rik	Stable	0.839844	0.420094
4933408J17Rik	Stable	0.839844	0.420094
4933408J17Rik	Stable	0.839844	0.420094
4933408J17Rik	Stable	0.839844	0.420094
4933408J17Rik	Stable	0.839844	0.420094
4933415A04Rik	Stable	-0.494912	0.513322
4933415A04Rik	Activity_Lost	-0.494912	0.513322
5031425E22Rik	Stable	0.060499	0.804556
5031425E22Rik	Stable	0.060499	0.804556
5031425F14Rik	Activity_Gain	1.465312	0.148444
5031434O11Rik	Activity_Lost	-0.285176	0.219733
5031434O11Rik	Stable	-0.285176	0.219733
5031439G07Rik	Stable	0.487632	0
5330434G04Rik	Stable	0.129796	0.688234
5330434G04Rik	Stable	0.129796	0.688234
5330434G04Rik	Stable	0.129796	0.688234
5430405H02Rik	Activity_Lost	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430405H02Rik	K119ub_Only	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430405H02Rik	Stable	0.1162	0.719424
5430416N02Rik	Stable	-0.073097	0.902226
5430416N02Rik	Stable	-0.073097	0.902226
5430421F17Rik	K119ub_Only	-0.826207	0.54385
5430421F17Rik	Activity_Lost	-0.826207	0.54385
5730409E04Rik	Stable	0.126595	0.654261
5730409E04Rik	Stable	0.126595	0.654261
5730409E04Rik	Stable	0.126595	0.654261
5830444B04Rik	Activity_Lost	0.082973	0.79085
6030442K20Rik	Stable	-0.259695	0.446973
6030442K20Rik	Stable	-0.259695	0.446973
6030442K20Rik	Stable	-0.259695	0.446973
6030442K20Rik	Stable	-0.259695	0.446973
6030442K20Rik	Stable	-0.259695	0.446973
6030445D17Rik	Stable	-2.724417	0.044617
6030445D17Rik	Stable	-2.724417	0.044617
6030458C11Rik	Stable	0.28156	0.108813
6030458C11Rik	Stable	0.28156	0.108813
6030458C11Rik	Stable	0.28156	0.108813
6030458C11Rik	Activity_Gain	0.28156	0.108813
6030458C11Rik	Stable	0.28156	0.108813
6030458C11Rik	Activity_Gain	0.28156	0.108813
6430584L05Rik	Stable	-0.002585	0.999038
6430584L05Rik	Stable	-0.002585	0.999038
6430584L05Rik	Stable	-0.002585	0.999038
6430584L05Rik	Stable	-0.002585	0.999038
6430584L05Rik	Stable	-0.002585	0.999038
6530403H02Rik	K119ub_Only	0.106307	0.80929
6530403H02Rik	Stable	0.106307	0.80929
6530403H02Rik	Activity_Lost	0.106307	0.80929
6530411M01Rik	Stable	-1.060899	0.393426
6530411M01Rik	Activity_Lost	-1.060899	0.393426
6530411M01Rik	Stable	-1.060899	0.393426
6530411M01Rik	Stable	-1.060899	0.393426
6530411M01Rik	Stable	-1.060899	0.393426
6530411M01Rik	Activity_Lost	-1.060899	0.393426
6720427I07Rik	Stable	-0.146361	0.426188
6720427I07Rik	Stable	-0.146361	0.426188
6720427I07Rik	Stable	-0.146361	0.426188
6720427I07Rik	Stable	-0.146361	0.426188
6720483E21Rik	Stable	-0.442188	0.669504
6720483E21Rik	Stable	-0.442188	0.669504
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Stable	-0.097734	0.770596
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Stable	-0.097734	0.770596
8430419K02Rik	Stable	-0.097734	0.770596
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Stable	-0.097734	0.770596
8430419K02Rik	Stable	-0.097734	0.770596
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Stable	-0.097734	0.770596
8430419K02Rik	Activity_Lost	-0.097734	0.770596
8430419K02Rik	Stable	-0.097734	0.770596
9130019P16Rik	Stable	0.183232	0.518417
9130401M01Rik	Stable	-0.68917	0.005347
9130401M01Rik	Stable	-0.68917	0.005347
9130401M01Rik	Activity_Lost	-0.68917	0.005347
9130401M01Rik	Activity_Lost	-0.68917	0.005347
9130401M01Rik	Activity_Lost	-0.68917	0.005347
9130401M01Rik	Activity_Lost	-0.68917	0.005347
9130401M01Rik	Activity_Lost	-0.68917	0.005347
9130401M01Rik	Activity_Lost	-0.68917	0.005347
9130401M01Rik	Activity_Lost	-0.68917	0.005347
9330104G04Rik	Stable	-0.449064	0.633247
9330158H04Rik	Stable	0.076522	0.944038
9330158H04Rik	K119ub_Only	0.076522	0.944038
9330158H04Rik	Stable	0.076522	0.944038
9330159F19Rik	K119ub_Only	0.126634	0.630996
9430015G10Rik	Stable	0.082538	0.671116
9430015G10Rik	Stable	0.082538	0.671116
9430091E24Rik	Stable	0.030882	0.906868
9430091E24Rik	Stable	0.030882	0.906868
9530052E02Rik	Activity_Lost	0.141812	0.584239
9530052E02Rik	Stable	0.141812	0.584239
9530052E02Rik	Stable	0.141812	0.584239
9530052E02Rik	Stable	0.141812	0.584239
9530068E07Rik	Stable	-0.104978	0.679298
A230001M10Rik	Stable	0.229546	0.356118
A230001M10Rik	Stable	0.229546	0.356118
A230028O05Rik	K119ub_Only	-0.950359	0.178883
A230028O05Rik	K119ub_Only	-0.950359	0.178883
A230028O05Rik	Activity_Lost	-0.950359	0.178883
A230028O05Rik	K119ub_Only	-0.950359	0.178883
A230028O05Rik	K119ub_Only	-0.950359	0.178883
A230028O05Rik	Activity_Lost	-0.950359	0.178883
A230028O05Rik	Activity_Lost	-0.950359	0.178883
A230028O05Rik	Activity_Lost	-0.950359	0.178883
A230028O05Rik	Stable	-0.950359	0.178883
A330023F24Rik	Activity_Gain	0.575062	0
A330023F24Rik	Activity_Gain	0.575062	0
A330023F24Rik	Activity_Gain	0.575062	0
A330023F24Rik	Stable	0.575062	0
A330023F24Rik	Activity_Gain	0.575062	0
A330040F15Rik	Stable	-0.512354	0.463275
A330040F15Rik	Stable	-0.512354	0.463275
A330040F15Rik	K119ub_Only	-0.512354	0.463275
A330040F15Rik	K119ub_Only	-0.512354	0.463275
A330040F15Rik	Stable	-0.512354	0.463275
A330040F15Rik	Stable	-0.512354	0.463275
A330040F15Rik	Stable	-0.512354	0.463275
A330040F15Rik	Stable	-0.512354	0.463275
A330076H08Rik	Stable	0.13164	0.663954
A330076H08Rik	Stable	0.13164	0.663954
A330094K24Rik	Stable	0.036824	0.986038
A330102I10Rik	K119ub_Only	-0.303789	0.198035
A330102I10Rik	Stable	-0.303789	0.198035
A430108G06Rik	Stable	0.24589	0.914467
A630095N17Rik	Stable	-0.919259	0.176366
A630095N17Rik	Stable	-0.919259	0.176366
A830008E24Rik	Activity_Gain	0.055441	0.964539
A830008E24Rik	Stable	0.055441	0.964539
A830012C17Rik	Stable	-0.146154	0.835108
A830031A19Rik	Stable	-0.403205	0.80571
A830031A19Rik	Activity_Gain	-0.403205	0.80571
A830031A19Rik	Stable	-0.403205	0.80571
A930004D18Rik	Stable	-0.027225	0.974813
A930004D18Rik	Stable	-0.027225	0.974813
A930004D18Rik	Stable	-0.027225	0.974813
A930004D18Rik	Stable	-0.027225	0.974813
A930004D18Rik	Stable	-0.027225	0.974813
A930004D18Rik	Stable	-0.027225	0.974813
A930004D18Rik	Stable	-0.027225	0.974813
A930004D18Rik	Stable	-0.027225	0.974813
A930018P22Rik	Stable	-0.067279	0.976206
A930037H05Rik	Stable	-0.053372	0.97303
A930037H05Rik	Stable	-0.053372	0.97303
A930037H05Rik	Stable	-0.053372	0.97303
A930037H05Rik	Stable	-0.053372	0.97303
A930037H05Rik	Stable	-0.053372	0.97303
A930037H05Rik	Stable	-0.053372	0.97303
A930037H05Rik	Stable	-0.053372	0.97303
AA465934	Stable	-0.01489	0.982388
Aacs	Stable	-0.429955	0.008465
Aacs	Stable	-0.429955	0.008465
Aacs	Stable	-0.429955	0.008465
Aacs	Stable	-0.429955	0.008465
Aamdc	Stable	-0.226747	0.365194
Aamdc	Stable	-0.226747	0.365194
Aamdc	Activity_Gain	-0.226747	0.365194
Aamdc	Stable	-0.226747	0.365194
Aamdc	K119ub_Only	-0.226747	0.365194
Aamdc	K119ub_Only	-0.226747	0.365194
Aamdc	Activity_Lost	-0.226747	0.365194
Aamdc	Activity_Lost	-0.226747	0.365194
Aamdc	Activity_Lost	-0.226747	0.365194
Aamp	Stable	0.112217	0.573936
Aamp	Stable	0.112217	0.573936
Aamp	Stable	0.112217	0.573936
Aamp	Stable	0.112217	0.573936
Aamp	Activity_Lost	0.112217	0.573936
Aamp	Stable	0.112217	0.573936
Aamp	Stable	0.112217	0.573936
Aamp	Stable	0.112217	0.573936
Aar2	Activity_Gain	0.135902	0.474844
Aar2	Stable	0.135902	0.474844
Aar2	Activity_Gain	0.135902	0.474844
Aar2	Stable	0.135902	0.474844
Aar2	Activity_Gain	0.135902	0.474844
Aar2	Stable	0.135902	0.474844
Aars2	Stable	0.026253	0.952513
Aars2	Stable	0.026253	0.952513
Aars2	Stable	0.026253	0.952513
Aars2	Activity_Lost	0.026253	0.952513
Aars2	Stable	0.026253	0.952513
Aasdh	Stable	-0.002334	0.996359
Aasdh	Stable	-0.002334	0.996359
Aasdhppt	Stable	-0.026614	0.950143
Aasdhppt	Stable	-0.026614	0.950143
Aasdhppt	Stable	-0.026614	0.950143
Aasdhppt	K119ub_Only	-0.026614	0.950143
Aasdhppt	Stable	-0.026614	0.950143
Aasdhppt	Stable	-0.026614	0.950143
Aasdhppt	Activity_Gain	-0.026614	0.950143
