target_gene	log2FC	padj	is_de
Grem2	-0.058118	0.968877	FALSE
Ifi207	-0.295836	0.848026	FALSE
Igsf9	-1.232409	0.258492	FALSE
Tagln2	0.047554	0.975477	FALSE
Vangl2	0.149083	0.490842	FALSE
Vsig8	0.563951	0.787124	FALSE
Rgs7	0.118206	0.757772	FALSE
Exo1	-0.156484	0.908726	FALSE
Gm38101	-0.098418	0.92797	FALSE
Pld5	-0.570104	2e-05	TRUE
Cep170	0.081615	0.722261	FALSE
Sdccag8	0.113717	0.481502	FALSE
Akt3	0.023162	0.94886	FALSE
Zbtb18	0.088001	0.628785	FALSE
Gm29856	0.428131	0.451217	FALSE
Gm37280	0.872361	0.546503	FALSE
Gm37306	0.224903	0.80545	FALSE
Acbd3	-0.0492	0.896035	FALSE
Lin9	0.170713	0.433184	FALSE
Parp1	-0.057159	0.839607	FALSE
Stum	-0.998604	2.4e-05	TRUE
Mark1	0.038941	0.843783	FALSE
Tgfb2	0.218049	0.267629	FALSE
Esrrg	-0.376812	0.00135	FALSE
Gm37896	0.227203	0.850103	FALSE
Cenpf	-0.287055	0.821851	FALSE
Kcnk2	0.452199	0.002067	FALSE
Kctd3	0.131943	0.243484	FALSE
Ptpn14	0.065917	0.891646	FALSE
Smyd2	-0.537607	0	TRUE
Prox1	0.273623	0.034346	FALSE
Cd34	0.081751	0.93121	FALSE
6720483E21Rik	-0.442188	0.669504	FALSE
Efhc1	-0.015162	0.987885	FALSE
Mcm3	-0.129473	0.903995	FALSE
Paqr8	-0.055504	0.748531	FALSE
Pkhd1	0.377356	0.829942	FALSE
Tmem14a	0.059199	0.919735	FALSE
Tram2	-0.089621	0.839185	FALSE
Col9a1	-1.251199	0.004793	TRUE
Adgrb3	0.132847	0.641327	FALSE
Bend6	0.215363	0.009785	FALSE
Dst	0.266009	0.001772	FALSE
Prim2	-0.015469	0.969598	FALSE
Zfp451	0.081997	0.530252	FALSE
Chst10	-0.161194	0.252941	FALSE
Cnot11	-0.110008	0.648708	FALSE
Creg2	0.030063	0.978498	FALSE
Il1r2	-0.447247	0.467537	FALSE
Il1rl2	0.007299	0.997021	FALSE
Npas2	0.162512	0.587351	FALSE
Rnf149	-0.111827	0.543264	FALSE
Rpl31	-0.080628	0.77428	FALSE
Slc9a4	0.469179	0.776476	FALSE
Tbc1d8	-0.226391	0.002496	FALSE
Aff3	0.121517	0.572925	FALSE
Il1r1	-1.099716	0	TRUE
Rfx8	-0.228279	0.870183	FALSE
Gpr45	0.631599	4.4e-05	TRUE
AI597479	0.013416	0.970994	FALSE
Fhl2	0.253283	0.585456	FALSE
Tgfbrap1	0.081201	0.651881	FALSE
Col3a1	0.019981	0.98749	FALSE
Ecrg4	0.080131	0.918812	FALSE
Als2	0.338894	1.5e-05	FALSE
Cdk15	-1.839033	0.001713	TRUE
Fzd7	-1.445745	0	TRUE
Gm973	0.480701	0.383594	FALSE
Mpp4	0.666037	7.1e-05	TRUE
Nop58	0.050994	0.85474	FALSE
Sumo1	0.062743	0.834089	FALSE
Adam23	0.114186	0.303627	FALSE
4933402D24Rik	0.279616	0.611151	FALSE
St18	-0.230647	0.120115	FALSE
Idh1	-0.229351	0.393426	FALSE
Pikfyve	-0.016768	0.933896	FALSE
Acadl	0.100658	0.742968	FALSE
Map2	0.182553	0.191712	FALSE
Unc80	-0.030611	0.889749	FALSE
Oprk1	-0.411039	0.839942	FALSE
Sox17	0.7684	0.357487	FALSE
Gm29113	-0.334953	0.852978	FALSE
Ikzf2	-0.658497	5e-06	TRUE
Spag16	-0.225734	0.589805	FALSE
Vwc2l	-0.062182	0.95593	FALSE
Igfbp5	-0.544886	0	TRUE
Ankar	-0.619654	0.751779	FALSE
Bard1	0.112786	0.939366	FALSE
Igfbp2	0.369089	0.586793	FALSE
Rpl37a	-0.119722	0.783507	FALSE
Sgpp2	0.134561	0.346377	FALSE
Farsb	0.039756	0.772564	FALSE
Pax3	-0.016396	0.97381	FALSE
Scg2	-0.805696	0	TRUE
Dock10	-0.000493	0.999038	FALSE
Nyap2	-0.712411	9.4e-05	TRUE
Agfg1	0.109816	0.191763	FALSE
Daw1	0.733276	0.54653	FALSE
Fbxo36	-0.296472	0.23901	FALSE
Slc19a3	0.51683	0.481543	FALSE
Sp100	0.511297	0.193412	FALSE
Sphkap	-0.068937	0.859592	FALSE
4930598N05Rik	0.609139	0.740243	FALSE
Gm15663	-1.066948	1e-06	TRUE
Acss3	-0.09504	0.882059	FALSE
Lin7a	0.047549	0.928264	FALSE
Ppfia2	-0.076299	0.876683	FALSE
Grm1	-0.15959	0.579595	FALSE
E2f7	-0.317248	0.455254	FALSE
Nav3	-0.559932	0.007851	TRUE
Adgb	-0.27764	0.800305	FALSE
Rab32	-0.197633	0.862505	FALSE
Shprh	-0.181666	0.003571	FALSE
Csrp2	0.128196	0.804931	FALSE
Kcnc2	-0.068225	0.921692	FALSE
Zdhhc17	0.036639	0.808515	FALSE
Tbc1d15	-0.022602	0.930672	FALSE
Tph2	-0.425478	0.772425	FALSE
Trhde	-0.627262	5e-06	TRUE
Tspan8	0.764961	0.563505	FALSE
Cnot2	-0.004043	0.989878	FALSE
Il22	0.251683	0.824869	FALSE
Kcnmb4	-0.459351	0	FALSE
Cct2	0.179667	0.246652	FALSE
Cpm	0.103234	0.790577	FALSE
Frs2	-0.018232	0.937971	FALSE
Hmga2	-0.191264	0.868122	FALSE
Lyz2	-0.156557	0.903575	FALSE
Ptprb	-0.242218	0.260457	FALSE
Rab21	0.06552	0.786033	FALSE
Rab3ip	0.080874	0.553935	FALSE
Yeats4	-0.025088	0.957923	FALSE
Irak3	0.672202	0.217128	FALSE
Llph	-0.124525	0.782514	FALSE
Tmbim4	0.014384	0.97303	FALSE
Lrig3	0.128758	0.670567	FALSE
Slc16a7	-0.04364	0.888835	FALSE
Tafa2	0.339539	0.293267	FALSE
Usp15	0.0147	0.961934	FALSE
Atp23	-0.322558	0.425479	FALSE
Avil	0.375881	0.046725	FALSE
Ctdsp2	-0.024706	0.937558	FALSE
Tsfm	-0.018223	0.977383	FALSE
Adat2	-0.309597	0.348106	FALSE
Adgrg6	0.084839	0.902226	FALSE
Aig1	-0.337048	0.111561	FALSE
Hivep2	0.074591	0.806176	FALSE
Pex3	-0.059193	0.832284	FALSE
Phactr2	0.047158	0.881416	FALSE
Cited2	-0.415599	0.003001	FALSE
Txlnb	0.090258	0.92236	FALSE
Abracl	-0.606134	0.267503	FALSE
Reps1	0.009744	0.961754	FALSE
Perp	-0.486151	0.38155	FALSE
Aldh8a1	-0.054829	0.970562	FALSE
E030030I06Rik	2.220977	0.001705	TRUE
Eya4	0.014919	0.98953	FALSE
Hbs1l	0.018204	0.930599	FALSE
Myb	0.712791	0.605098	FALSE
Sgk1	-0.226084	0.087136	FALSE
L3mbtl3	0.413906	0.000319	FALSE
Moxd1	0.377277	0.575674	FALSE
Rps12	0.050513	0.917097	FALSE
Slc2a12	-0.031794	0.943961	FALSE
Tbpl1	-0.023744	0.896214	FALSE
Tmem200a	-0.312389	0.572293	FALSE
9330159F19Rik	0.126634	0.630996	FALSE
Arhgap18	0.029287	0.960978	FALSE
Enpp1	0.053669	0.869552	FALSE
Nkain2	-0.078601	0.854572	FALSE
Ptprk	-0.070898	0.824865	FALSE
Themis	0.284497	0.924395	FALSE
Echdc1	-0.061399	0.86416	FALSE
Rspo3	0.498922	0.095035	FALSE
Cenpw	0.445523	0.720508	FALSE
Hddc2	0.34846	0.531402	FALSE
Hey2	0.101661	0.862505	FALSE
Ncoa7	-0.098074	0.644275	FALSE
Rnf146	-0.056162	0.816527	FALSE
Rnf217	-0.127472	0.511598	FALSE
Tpd52l1	0.351383	0.126514	FALSE
Clvs2	0.774083	0.001719	TRUE
Rsph4a	-0.178189	0.904528	FALSE
Iyd	0.26879	0.803638	FALSE
Tspyl1	0.104633	0.643231	FALSE
Dse	0.623027	0.019424	TRUE
Frk	0.550234	0.614269	FALSE
Nt5dc1	-0.192165	0.448669	FALSE
Rwdd1	-0.037211	0.912683	FALSE
Zup1	0.051104	0.874406	FALSE
Amd2	0.569844	0.743941	FALSE
5930403N24Rik	-0.772125	0.458218	FALSE
Hdac2	0.081158	0.633897	FALSE
Lama4	0.376361	0.270587	FALSE
Marcks	-0.642872	0.001356	TRUE
Ccn6	0.360363	0.326387	FALSE
Akap12	0.398756	0.001208	FALSE
Ccdc170	-0.363014	0.647013	FALSE
Gm21781	0.118193	0.731409	FALSE
Mthfd1l	-0.363207	0.000194	FALSE
Plekhg1	0.05467	0.850876	FALSE
Ppp1r14c	0.409644	0.005474	FALSE
Rmnd1	0.212147	0.1706	FALSE
Zbtb2	0.265671	0.084337	FALSE
Gtf3c6	-0.335016	0.257874	FALSE
Mical1	0.075539	0.923361	FALSE
Ppil6	-0.1848	0.666058	FALSE
Smpd2	-0.611552	0.082881	FALSE
Ak9	0.58183	0.419728	FALSE
Ccdc162	0.125196	0.80643	FALSE
Cd164	-0.099083	0.577518	FALSE
Cep57l1	-0.475012	0.000685	FALSE
Fig4	-0.200426	0.041901	FALSE
Sesn1	-0.356353	1.1e-05	FALSE
Zbtb24	0.007241	0.986038	FALSE
Afg1l	0.066139	0.80643	FALSE
Armc2	-0.722651	0	TRUE
Cd24a	0.465569	0.57441	FALSE
Ddo	-0.207249	0.391257	FALSE
Foxo3	0.057894	0.587351	FALSE
Ostm1	-0.16952	0.486623	FALSE
Qrsl1	0.126428	0.63261	FALSE
Rtn4ip1	-0.046718	0.89735	FALSE
Scml4	0.557821	0.409776	FALSE
Sec63	0.09109	0.608281	FALSE
Snx3	-0.07594	0.542338	FALSE
Bend3	-0.224399	0.530554	FALSE
Lin28b	-0.432371	0.056161	FALSE
Cep85l	-0.344643	0.000902	FALSE
Fam184a	-0.343878	0.003559	FALSE
Man1a	-0.049698	0.915002	FALSE
Mcm9	-0.075896	0.686239	FALSE
Rgs17	0.598397	0.000124	TRUE
Syne1	0.199716	0.178696	FALSE
Zc3h12d	0.344541	0.847163	FALSE
Cnksr3	-0.126519	0.430012	FALSE
Esr1	-0.0019	0.998482	FALSE
Fbxo5	0.01659	0.985649	FALSE
Ginm1	-0.030353	0.941776	FALSE
Mtrf1l	0.004795	0.993415	FALSE
Ppil4	0.235922	0.030335	FALSE
Tab2	0.052321	0.824437	FALSE
Fabp7	-0.409207	0.563232	FALSE
Gja1	0.159752	0.590312	FALSE
Sh3rf3	-0.155275	0.445046	FALSE
Slc35f1	0.204304	0.481237	FALSE
Smpdl3a	-0.15193	0.643231	FALSE
Tbc1d32	0.206316	0.175189	FALSE
Pkib	-0.456532	0.000254	FALSE
Ccdc138	0.2758	0.432878	FALSE
Gcc2	-0.085937	0.757772	FALSE
Hsf2	-0.113583	0.39992	FALSE
Serinc1	0.101688	0.681693	FALSE
Sgpl1	-0.048348	0.810441	FALSE
Tbata	-0.276884	0.038725	FALSE
1110002J07Rik	0.156335	0.945376	FALSE
Jmjd1c	0.034656	0.817135	FALSE
Nrbf2	0.201235	0.34192	FALSE
Reep3	-0.055158	0.802607	FALSE
Arid5b	-0.344682	0.143623	FALSE
Zfp365	0.145536	0.671365	FALSE
Cabcoco1	0.216696	0.804552	FALSE
Rhobtb1	0.160559	0.712581	FALSE
Rtkn2	0.285949	0.389121	FALSE
Lrp11	-0.121073	0.196421	FALSE
Bicc1	0.531714	6e-06	TRUE
Cisd1	0.072909	0.756594	FALSE
Tfam	-0.057816	0.817181	FALSE
Ube2d1	0.091299	0.645984	FALSE
Katna1	0.00618	0.990817	FALSE
Lats1	0.015107	0.931063	FALSE
Cry1	-0.01892	0.965514	FALSE
Fhl4	-0.365506	0.653216	FALSE
Mterf2	0.00555	0.987885	FALSE
Tmem263	0.038246	0.907457	FALSE
Cdk17	-0.327889	0.001203	FALSE
Elk3	-0.270907	0.001163	FALSE
4933408J17Rik	0.839844	0.420094	FALSE
Ccdc38	-0.012803	0.985434	FALSE
Snrpf	-0.195998	0.391262	FALSE
Tmcc3	0.172106	0.425097	FALSE
Btg1	-0.423593	0.00209	FALSE
Dcn	-0.096638	0.90943	FALSE
Atp2b1	0.025311	0.935563	FALSE
Dusp6	-0.543921	0.057034	FALSE
Kitl	-0.053059	0.899174	FALSE
Lrriq1	-0.429161	0.646998	FALSE
Poc1b	-0.322355	0.077065	FALSE
Amz2	-0.48229	0.000288	FALSE
Arsg	-0.445933	0.003382	FALSE
Gna13	-0.211283	0.091033	FALSE
Rgs9	-1.449742	0	TRUE
Slc16a6	-1.000092	0	TRUE
Rpl38	-0.020297	0.977248	FALSE
Ttyh2	0.137615	0.297295	FALSE
Cobl	-0.262099	0.353439	FALSE
Ikzf1	0.172451	0.701805	FALSE
Vwc2	0.203484	0.644465	FALSE
Zpbp	-0.142231	0.705592	FALSE
4930505A04Rik	-0.325011	0.759385	FALSE
Acyp2	-0.624625	0.000118	TRUE
Gm8098	0.273538	0.272471	FALSE
Sptbn1	0.110865	0.253754	FALSE
4930469K13Rik	-0.357938	0.861865	FALSE
Dock2	0.157672	0.673022	FALSE
Efcab9	-0.275224	0.245895	FALSE
Fbxw11	0.219235	0.009676	FALSE
Fgf18	1.986828	0	TRUE
Npm1	-0.083091	0.758706	FALSE
Nprl3	0.039685	0.896035	FALSE
Nsg2	1.120995	0	TRUE
Ranbp17	-0.522909	0	TRUE
Rhbdf1	-0.623786	0.000438	TRUE
Sh3pxd2b	0.175218	0.2574	FALSE
Stk10	0.191983	0.16683	FALSE
Ubtd2	-0.117819	0.572293	FALSE
Tenm2	-1.30981	0	TRUE
Gabra1	0.023115	0.960498	FALSE
Gabra6	-0.055391	0.866224	FALSE
Gabrb2	-0.167575	0.598942	FALSE
Gabrg2	-0.430683	0.017137	FALSE
Pttg1	-0.188198	0.678883	FALSE
Slu7	0.073535	0.761319	FALSE
4933415A04Rik	-0.494912	0.513322	FALSE
Ccnjl	-0.720751	0	TRUE
Nhp2	-0.60229	0.036689	TRUE
Cdrt4	-0.179422	0.932681	FALSE
Adcy1	-0.109303	0.575836	FALSE
Ccdc201	-0.122951	0.730493	FALSE
Igfbp1	-0.647901	0.573194	FALSE
Igfbp3	0.362019	0.419751	FALSE
Ramp3	-0.321252	0.33353	FALSE
Ccm2	-0.106669	0.589805	FALSE
Gm11992	0.387517	0.8936	FALSE
Hus1	-0.292342	0.084531	FALSE
Nacad	0.156569	0.386342	FALSE
Pkd1l1	-1.277247	0.332973	FALSE
Purb	-0.040673	0.884507	FALSE
Snhg15	0.28922	0.808515	FALSE
Tbrg4	0.030854	0.935144	FALSE
Tns3	-0.016306	0.957559	FALSE
Chga	-0.167733	0.500898	FALSE
Itpk1	-0.391891	0.00135	FALSE
Gen1	0.192699	0.893531	FALSE
Kcns3	0.721411	0.193162	FALSE
Rad51ap2	-0.252991	0.864607	FALSE
Smc6	-0.060362	0.842212	FALSE
Vsnl1	0.15541	0.630218	FALSE
Vipr2	-1.072006	0.000988	TRUE
Zfp386	-0.066301	0.771181	FALSE
9030624G23Rik	1.005279	0.278925	FALSE
Alkal2	0.396433	0.173468	FALSE
Cmpk2	-0.188896	0.722578	FALSE
Colec11	-0.500403	0.782803	FALSE
Cys1	0.072329	0.94415	FALSE
Id2	-0.252318	0.228892	FALSE
Kidins220	0.19614	0.002547	FALSE
Klf11	0.234441	0.669504	FALSE
Mboat2	0.31843	0.012615	FALSE
Pxdn	-0.045835	0.914124	FALSE
Rnf144a	-0.322245	1.8e-05	FALSE
Rps7	-0.025168	0.954696	FALSE
Rrm2	0.621172	0.689241	FALSE
Rsad2	0.373178	0.745685	FALSE
Sox11	-0.09436	0.896214	FALSE
Taf1b	0.23126	0.012001	FALSE
Myt1l	-1.25767	0	TRUE
Eipr1	0.002978	0.991245	FALSE
Sntg2	0.318056	0.383594	FALSE
Trappc12	0.064479	0.768838	FALSE
Etv1	-0.161534	0.510997	FALSE
Scin	0.280872	0.81708	FALSE
Pomc	-0.248244	0.853171	FALSE
Adcy3	-0.121952	0.653267	FALSE
Dnajc27	-0.003904	0.989947	FALSE
Efr3b	-0.550511	0	TRUE
Fam228a	-0.463075	0.030709	FALSE
Dock4	-0.063275	0.809223	FALSE
Ifrd1	0.087363	0.819394	FALSE
Immp2l	-0.60071	0.000866	TRUE
Lsmem1	0.73866	0.016642	TRUE
Stxbp6	-0.006955	0.990745	FALSE
Zfp277	-0.027301	0.946614	FALSE
Agmo	0.070625	0.866807	FALSE
Nrcam	0.331309	0.000664	FALSE
Pnpla8	0.075537	0.669374	FALSE
Nova1	-0.030901	0.939274	FALSE
Prkd1	0.027298	0.957489	FALSE
Baz1a	0.023564	0.982388	FALSE
Coch	0.229949	0.359279	FALSE
Dtd2	-0.401776	0.068864	FALSE
Heatr5a	-0.703407	0	TRUE
Hectd1	-0.003906	0.987885	FALSE
Nkx2-9	-0.09972	0.960629	FALSE
Akap6	0.165652	0.212206	FALSE
Arhgap5	-0.091557	0.783334	FALSE
Nubpl	-0.147523	0.536252	FALSE
Cfl2	0.176576	0.233632	FALSE
Insm2	-0.368089	0.636968	FALSE
Nfkbia	-0.011413	0.985649	FALSE
Ppp2r3c	0.116587	0.635097	FALSE
Prorp	-0.392451	0.135997	FALSE
Slc25a21	-0.188539	0.673022	FALSE
Egln3	-0.226374	0.724666	FALSE
Npas3	-0.008182	0.98851	FALSE
Clec14a	-0.06499	0.964083	FALSE
Mbip	0.035423	0.863814	FALSE
Sstr1	-0.273102	0.894575	FALSE
F730035M05Rik	0.349998	0.872009	FALSE
Tmx1	-0.114592	0.648006	FALSE
Trim9	-0.034047	0.90701	FALSE
Frmd6	-0.200481	0.501234	FALSE
Prkch	0.096458	0.85819	FALSE
Snapc1	-0.120001	0.50392	FALSE
Syt16	-0.041184	0.946541	FALSE
Rhoj	-0.093472	0.819757	FALSE
Ppp2r5e	-0.016481	0.958303	FALSE
Rdh11	-0.26096	0.216667	FALSE
Rdh12	-0.59877	0.103431	FALSE
Actn1	0.19458	0.166729	FALSE
Ccdc177	0.230108	0.363728	FALSE
Dcaf5	-0.069393	0.580546	FALSE
Erh	-0.098681	0.819394	FALSE
Galnt16	0.213898	0.121881	FALSE
Plekhd1	0.190325	0.422295	FALSE
Slc39a9	0.111531	0.475794	FALSE
Smoc1	-0.205333	0.40727	FALSE
Srsf5	0.05875	0.832284	FALSE
Susd6	0.110113	0.386225	FALSE
Ttc9	-0.072846	0.799265	FALSE
Laptm4a	-0.063563	0.784803	FALSE
Pum2	0.009454	0.973505	FALSE
Sdc1	-0.815581	0.000251	TRUE
Ttc32	0.169623	0.653216	FALSE
Wdr35	-0.347052	0.002114	FALSE
Dio2	-0.288924	0.239104	FALSE
4932411K12Rik	-1.78372	0.000729	TRUE
Arhgef28	0.025668	0.960978	FALSE
Cd180	0.323981	0.516223	FALSE
Gcnt4	0.497376	0.52748	FALSE
Gm29502	0.06696	0.969908	FALSE
Pik3r1	-0.056418	0.679824	FALSE
Slc30a5	-0.068164	0.663114	FALSE
Rgs7bp	-0.225817	0.283071	FALSE
Smim15	-0.249347	0.365194	FALSE
Pde4d	-1.071058	0	TRUE
Rab3c	-0.953199	0	TRUE
Actbl2	0.388647	0.790068	FALSE
Ankrd55	-0.172748	0.534754	FALSE
Gm33045	0.381147	0.863814	FALSE
Gpbp1	-0.007711	0.97652	FALSE
Plk2	-0.344583	0.110483	FALSE
Snx18	-0.39946	2e-06	FALSE
Arl15	-0.081796	0.752615	FALSE
Fgf10	-0.259801	0.800604	FALSE
Il31ra	-0.354748	0.839607	FALSE
Itga1	-0.061894	0.892844	FALSE
Itga2	0.186158	0.641121	FALSE
Mocs2	-0.127576	0.506205	FALSE
Ndufs4	0.007138	0.980002	FALSE
Emb	-0.567441	0	TRUE
Mrps30	-0.096274	0.731003	FALSE
Paip1	0.031033	0.892662	FALSE
Parp8	0.099814	0.494208	FALSE
Tmem267	-0.126806	0.908387	FALSE
Hcn1	-0.248811	0.411182	FALSE
Amph	0.043298	0.882298	FALSE
Pou6f2	-0.261191	0.759385	FALSE
Epdr1	-0.080632	0.528705	FALSE
Sfrp4	-0.64724	0.041678	TRUE
Nme8	-0.128415	0.971346	FALSE
Nkapl	-0.84942	0.247031	FALSE
Pgbd1	-0.284664	0.504611	FALSE
Zkscan3	-0.081112	0.698369	FALSE
Zkscan4	-0.319983	0.510997	FALSE
Zkscan8	0.08258	0.677771	FALSE
Zscan12	-0.165533	0.667225	FALSE
Zscan26	-0.034335	0.914124	FALSE
Zfp184	-0.769388	0.360562	FALSE
Abt1	0.081554	0.900638	FALSE
C230035I16Rik	0.06964	0.970151	FALSE
Mrs2	-0.00954	0.970534	FALSE
2610307P16Rik	0.09676	0.878359	FALSE
A330102I10Rik	-0.303789	0.198035	FALSE
Cdkal1	-0.083939	0.602413	FALSE
Exoc2	-0.112579	0.211951	FALSE
Foxf2	-0.492922	0.626648	FALSE
Foxc1	-0.021715	0.979147	FALSE
Serpinb1a	-0.179353	0.674062	FALSE
Serpinb1c	-0.23958	0.905459	FALSE
Serpinb6b	0.375256	0.837241	FALSE
Serpinb9	-0.019805	0.98851	FALSE
Tubb2a	0.173838	0.572973	FALSE
Tubb2b	-0.446641	0.084579	FALSE
Dsp	1.063112	0.465277	FALSE
Fars2	-0.228791	0.092921	FALSE
Gm4035	1.118859	0.402356	FALSE
Ly86	0.22865	0.530859	FALSE
Lyrm4	-0.264947	0.048101	FALSE
Nrn1	-0.051181	0.862072	FALSE
Serpinb6c	0.006825	0.992096	FALSE
Slc35b3	0.144559	0.410824	FALSE
Tfap2a	-0.027534	0.956303	FALSE
Phactr1	-0.157441	0.481909	FALSE
Tbc1d7	-0.341482	0.121902	FALSE
Nol7	-0.015896	0.955304	FALSE
Rnf182	-0.534229	4.5e-05	TRUE
Nhlrc1	0.144989	0.894426	FALSE
Idnk	-0.014462	0.979063	FALSE
Nsun2	0.027451	0.893839	FALSE
Tent4a	-0.052271	0.773276	FALSE
Ube2ql1	0.147467	0.107676	FALSE
Clptm1l	0.053587	0.811956	FALSE
Irx1	0.09763	0.901404	FALSE
Mrpl36	0.162511	0.850164	FALSE
Ndufs6	-0.023594	0.957559	FALSE
Nkd2	1.594077	3e-05	TRUE
Slc12a7	0.532862	0.227361	FALSE
Tert	-0.010271	0.99287	FALSE
Arsk	-0.317412	0.101287	FALSE
Fam81b	-0.953187	0.000753	TRUE
Gpr150	-0.215192	0.694534	FALSE
Mctp1	-0.63153	0.000264	TRUE
Rhobtb3	-0.092267	0.591527	FALSE
Nr2f1	-0.357358	0.003149	FALSE
2210408I21Rik	-0.164665	0.463422	FALSE
Slf1	-0.115353	0.574983	FALSE
Adgrv1	-0.858532	0.000408	TRUE
Arrdc3	0.035029	0.923293	FALSE
Ccnh	-0.081585	0.761632	FALSE
Cetn3	-0.1821	0.329235	FALSE
Cox7c	0.008225	0.985256	FALSE
Gm17750	-1.146531	0	TRUE
Gm4211	0.632908	0.486411	FALSE
Lysmd3	-0.118002	0.586358	FALSE
Mblac2	-0.460117	0.000724	FALSE
Polr3g	-0.59894	0.004865	TRUE
Rasa1	-0.269508	0.100599	FALSE
Tmem161b	-0.241305	0.000604	FALSE
Thbs4	-0.256945	0.917631	FALSE
Atp6ap1l	0.441491	0.345212	FALSE
Cmya5	0.103278	0.720856	FALSE
Dmgdh	0.004765	0.998482	FALSE
Jmy	-0.013533	0.967014	FALSE
Pde8b	0.232302	0.111345	FALSE
Scamp1	-0.147934	0.082249	FALSE
Serinc5	-0.146141	0.148004	FALSE
Tent2	0.058479	0.792301	FALSE
Lhfpl2	-0.420723	2.2e-05	FALSE
Rasgrf2	0.261436	0.605098	FALSE
2310005E17Rik	0.067232	0.971346	FALSE
Aggf1	0.163098	0.332663	FALSE
Ankdd1b	-0.039753	0.941685	FALSE
Btf3	0.037044	0.923293	FALSE
F2r	0.819305	0.126057	FALSE
Foxd1	-0.498766	0.711747	FALSE
Gfm2	0.06547	0.711322	FALSE
Iqgap2	-1.033154	3e-06	TRUE
Nsa2	-0.19366	0.503922	FALSE
Poc5	0.003227	0.991031	FALSE
Polk	-1.067701	0	TRUE
Sv2c	-1.228968	0	TRUE
Zfp366	0.514027	0.180369	FALSE
Map1b	0.063847	0.711322	FALSE
Gm41231	0.335537	0.788931	FALSE
Klf12	0.051279	0.85205	FALSE
Commd6	-0.336143	0.387115	FALSE
