gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	ABC.Score_WT	ABC.Score_KO	logFC_AxC
Paxx	-0.454121	0.010412	132.372786	FALSE	-2.53849	-5.612921	7	0	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	10.058414567242188	9.4422911653882	0.189368	0.143719	-0.3979393382589428
Cd80	0.008717	0.996602	48.158004	FALSE	-2.492258	-3.287425	6	0	6	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	9.861291353211756	9.245167951357768	0.539162	0	-19.040361969569233
Sod2	0.060561	0.725339	418.755062	FALSE	2.429544	4.9836	6	6	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	9.593892468354849	8.977769066500858	0	0.343931	18.391763827270257
Tspan3	-0.02661	0.894973	478.791093	FALSE	2.23835	2.650625	3	3	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.77868274817544	8.162559346321451	0	0.419148	18.677103661915286
Ddo	-0.207249	0.391257	131.897403	FALSE	-2.140947	-2.548938	5	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.363377496051237	7.74725409419725	0.392279	0.216743	-0.8558917262395264
Clk4	0.075624	0.547833	949.728151	FALSE	2.122498	2.802847	5	5	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.284714964132924	7.668591562278936	0	0.383626	18.54934473649074
E2f4	0.005351	0.99004	280.852599	FALSE	-2.08282	-4.332829	10	1	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.115536583654045	7.499413181800057	0.209194	0.126318	-0.7277767146232209
Exoc3l	-1.347031	0	37.975737	TRUE	-2.08282	-4.370476	10	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	8.115536583654045	7.499413181800057	0.207234	0.125519	-0.7233504235121305
Gsdme	-0.098053	0.306528	467.0271	FALSE	2.060095	2.614278	4	4	0	FALSE	NA	1	1	0	0.317247060256668	-0.317247060256668	TRUE	TRUE	2	0	0.9044788099717967	1.744492097101303	8.01864211577808	10.66761302285118	0	0.480255	18.873444112515376
Insig2	0.151759	0.263554	277.609514	FALSE	-2.053933	-2.142496	2	0	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.992368685148743	7.376245283294756	0.76353	0	-19.54232720727865
Cystm1	-0.0345	0.807869	772.473322	FALSE	-2.03995	-4.38637	7	0	7	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.932748207951402	7.316624806097415	0.18767	0	-17.517846208310687
Selenom	-0.311444	0.107776	370.453749	FALSE	-2.007707	-2.696836	9	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.7952710538161005	7.179147651962113	0.153651	0.058718	-1.3877672417600666
Fgfr1	0.183346	0.090764	1656.989853	FALSE	1.977318	5.785402	10	10	0	TRUE	Control	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	7.665698953297611	8.049575551443622	0	0.249233	17.92714136577415
Wdr1	-0.228712	0.062109	678.487401	FALSE	-1.961433	-4.156413	6	0	6	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.5979687609011455	6.981845359047158	0.260718	0	-17.992136198111783
Dnajc18	-0.245649	0.021859	392.380901	FALSE	1.949552	3.264406	6	6	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.547310755495894	6.931187353641906	0	0.225185	17.78075761109823
Asic4	-0.068676	0.948752	17.645262	FALSE	-1.878599	-3.660477	11	5	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.24478256279168	6.628659160937692	0.225513	0.157767	-0.5154123853990445
Clnk	-0.86405	0.018076	16.356314	TRUE	-1.870148	-4.722268	7	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.208749332955826	6.592625931101838	0.386126	0.422444	0.12968808419715688
Senp3	-0.076363	0.571538	404.761227	FALSE	-1.828289	-1.964709	11	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	7.030271641830635	6.414148239976647	0.158883	0.073959	-1.103156719294379
Cnot7	0.177829	0.568429	59.624095	FALSE	1.818097	2.400882	7	7	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.986815165852997	6.37069176399901	0	0.50641099999999994	18.94995206588429
Homez	-0.280147	0.088979	116.469975	FALSE	-1.805954	-8.166585	8	0	8	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.935040049310958	6.3189166474569705	0.124128	0	-16.921480683124457
Gm26981	0.011125	0.983808	215.800713	FALSE	1.777824	3.731038	9	9	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.81509983451004	6.198976432656052	0	0.332809	18.3443392574761
Gmppa	-0.288163	0.156332	271.017695	FALSE	-1.697258	-2.814515	11	3	4	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.471583896164828	5.855460494310841	0.308617	0.258506	-0.25561886168533166
Rtn4r	-0.188741	0.164124	1174.088941	FALSE	-1.66727	-1.609613	6	2	3	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	6.34372157261524	6.727598170761253	0.326994	0.274158	-0.2542557412749057
Zbtb46	-0.056415	0.738747	1526.588094	FALSE	-1.655627	-1.213977	7	4	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.29407834755562	5.677954945701632	0.413166	0.358681	-0.20401968222723366
Hagh	-0.134428	0.50212	230.776943	FALSE	1.649462	3.420733	7	7	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.2677921255773885	5.651668723723401	0	0.204396	17.641014495972204
Efcab15	-0.322284	0.393426	34.309508	FALSE	1.641748	5.584008	12	12	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.234901303786621	5.618777901932634	0	0.180048	17.458030061196066
Il11	-1.427029	0	32.388686	TRUE	-1.611335	-2.496647	9	4	2	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	6.105226872476975	6.489103470622988	0.234732	0.116789	-1.0071039272587319
Tmem190	-1.664161	0	29.847778	TRUE	-1.611335	-2.497795	9	4	2	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	6.105226872476975	6.489103470622988	0.234639	0.116742	-1.0071129287826164
Eef1a1	-0.286424	0.111243	1263.745344	FALSE	-1.592458	-1.661243	5	2	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	6.024739441449712	5.408616039595724	0.581026	0.490134	-0.24542603473134839
Rps10	0.15842	0.625818	106.292133	FALSE	-1.584412	-3.457964	7	1	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.990433043714617	5.37430964186063	0.103542	0.053359	-0.9563994521633256
Inpp5j	-0.448181	6.3e-5	554.233373	FALSE	-1.574075	-2.572855	8	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.946358319207078	5.33023491735309	0.140094	0.06108	-1.1976098799885306
Tmem238	-1.45205	0	95.854032	TRUE	-1.56582	-2.807594	10	2	2	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	5.911160790832333	6.295037388978345	0.190329	0.096604	-0.9783332126353493
Gm28401	-0.917426	0.07266	16.613416	FALSE	-1.550919	-4.802725	13	4	5	FALSE	NA	4	4	0	0.585277781779022	-0.45451373265036227	TRUE	TRUE	2	0	4.421687961938113	3.512532271923644	5.8476261608732685	13.781846394735023	0.184268	0.106718	-0.7879963303939272
Fat2	-0.18825	0.073885	14014.30689	FALSE	-1.538941	-1.508949	7	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.796554568520428	5.18043116666644	0.42138	0.378575	-0.1545423111160319
Apex2	0.189435	0.505415	206.321538	FALSE	1.532336	2.740587	9	9	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.7683922820376665	5.152268880183679	0	0.372085	18.505276583496183
Pxylp1	0.008187	0.974731	1854.47332	FALSE	-1.527717	-5.890674	9	0	9	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.7486978685230765	5.132574466669089	0.187328	0	-17.515214731826532
Mgat3	-0.098814	0.439111	1342.840397	FALSE	-1.494243	-1.790073	8	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.605971997558059	4.989848595704071	0.162852	0.094092	-0.7914109931077148
Heg1	-1.66262	0	775.307293	TRUE	-1.484324	-2.691714	8	1	4	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.563679534329822	4.947556132475834	0.300369	0.209648	-0.5187647795341102
Tssk5	-1.078769	3.7e-5	25.7838	TRUE	-1.481703	-2.689236	7	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.552504159178979	4.936380757324992	0.211561	0.150231	-0.49388837382783046
Nab2	-1.162431	0	229.282106	TRUE	-1.478994	-3.50259	6	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.54095357112723	4.924830169273243	0.122541	0.064334	-0.9296005809445557
Nemp1	-0.450127	0.002581	116.309132	FALSE	-1.478994	-2.966476	6	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.54095357112723	4.924830169273243	0.122299	0.064145	-0.9309931938443489
Dync1li1	-0.135981	0.384962	582.956223	FALSE	-1.46239	-1.673755	5	0	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.4701577187790456	4.854034316925058	0.338849	0.218118	-0.6355313251237928
Bag5	-0.037906	0.960541	91.423351	FALSE	-1.461065	-2.450983	14	4	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.464508206350634	4.848384804496646	0.150503	0.075896	-0.987687064422674
Cabp2	-2.23934	0	13.953188	TRUE	-1.459979	-4.351969	8	0	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.459877738050818	4.843754336196831	0.087835	0.042122	-1.0602041675903142
Myt1l	-1.25767	0	5729.959468	TRUE	-1.455823	-3.353669	10	4	3	TRUE	Control	1	1	0	0.315653377596984	-0.315653377596984	TRUE	TRUE	3	1	0.9044788099717967	1.7339795149904345	5.442157456048949	9.08061578101118	0.118837	0.051345	-1.2106724344904598
Alad	-1.428473	0	139.874236	TRUE	-1.450261	-4.222514	10	4	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.418442295198514	4.802318893344527	0.163042	0.088182	-0.8866800389061268
Slc48a1	-0.188154	0.371898	312.626154	FALSE	1.446708	4.737468	10	10	0	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	5.403293074324442	5.787169672470455	0	0.197161	17.589021995248423
Fkbpl	-0.011715	0.989947	21.7417	FALSE	-1.444699	-2.181228	8	0	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.39472713434808	4.778603732494092	0.226088	0.192383	-0.23290198228923614
Dcun1d4	0.043382	0.852978	510.166686	FALSE	-1.44088	-2.197232	7	0	7	TRUE	Mutant	1	0	1	0.386416386328686	0.386416386328686	TRUE	TRUE	3	1	0.9044788099717967	2.20076123918364	5.378443747205361	9.483683796360795	0.493006	0	-18.91124860540834
Malat1	0.057555	0.852063	158058.377321	FALSE	1.436918	3.545877	8	2	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.3615506390986685	4.745427237244681	0.07779	0.109678	0.49561216456745233
Spcs2	0.084068	0.77112	213.100385	FALSE	-1.419411	-2.262873	6	0	6	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.286904590733235	4.670781188879247	0.287063	0	-18.131012891439642
Slc11a2	-0.116725	0.504502	347.402192	FALSE	1.417349	2.637374	7	7	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.278112670259737	4.661989268405749	0	0.222336	17.762388527501216
Syce3	-0.047358	0.961934	28.829685	FALSE	-1.412491	-4.320435	10	0	10	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.257399212616549	4.641275810762561	0.154202	0	-17.23447130741363
Inf2	0.598864	1.1e-5	172.120633	TRUE	1.410152	1.433145	3	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.247426224261791	4.631302822407804	0.332591	0.416454	0.3244071465712897
Gapvd1	0.10783	0.210736	1232.027526	FALSE	-1.398013	-2.795332	5	0	5	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.195668162851611	4.579544760997623	0.250685	0	-17.93552190301971
Plekhf1	-1.2615	0	98.899067	TRUE	-1.393035	-2.164936	7	4	1	FALSE	NA	2	2	0	0.365227924008328	-0.339674874739025	TRUE	TRUE	2	0	2.0768818606272355	2.060993482665557	5.174443051252643	9.312318394545436	0.202	0.120525	-0.7450180352400123
Chka	-0.286145	0.005836	1470.439085	FALSE	-1.386999	-1.803303	4	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.148706857276876	4.5325834554228885	0.228435	0.177021	-0.36786136060422286
Cfl2	0.176576	0.233632	279.898349	FALSE	1.371999	1.5606	10	1	4	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.084750112804292	4.468626710950304	0.002266	0.198622	6.45310449137437
Gm15663	-1.066948	1e-6	39.41557	TRUE	-1.366688	-2.10319	4	1	2	FALSE	NA	4	2	2	0.503813035789609	0.089168399230147	TRUE	TRUE	2	0	4.421687961938113	2.9751575153177416	5.062105161478033	12.458950638733889	0.208277	0.100311	-1.0540162571417182
St7	0.130456	0.452569	2054.482285	FALSE	-1.364733	-2.565554	7	0	7	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.053769465781773	4.437646063927786	0.461026	0	-18.814491718855958
Abhd16a	-0.041538	0.936391	683.271949	FALSE	-1.358522	-3.452349	7	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.027287109787158	4.411163707933171	0.09799	0.058179	-0.7521259543037049
Adgrl3	0.235708	0.311258	7772.264111	FALSE	1.358229	1.491678	4	1	0	TRUE	Mutant	1	1	0	0.484179398379988	-0.484179398379988	TRUE	TRUE	3	1	0.9044788099717967	2.8456460193185427	5.02603782137846	9.776162650668798	0.427273	0.514815	0.26889536144511716
Itga7	-2.075723	0	245.533861	TRUE	-1.357206	-2.381455	8	3	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.02167597140543	4.405552569551443	0.18319	0.085302	-1.102680241605861
Ndp	-0.703759	1e-5	100.924396	TRUE	-1.352447	-3.152776	9	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	5.001384628275762	4.3852612264217745	0.341872	0.324283	-0.0762026442385683
6720427I07Rik	-0.146361	0.426188	453.536652	FALSE	-1.349348	-1.34533	4	0	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.988171164867726	4.372047763013739	0.231482	0.145932	-0.665600088082116
Arhgef15	-0.773753	1.13e-4	50.236296	TRUE	-1.345334	-3.101911	9	0	9	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.9710563400468635	4.354932938192876	0.199075	0	-17.602959779031035
Prpsap1	-0.037671	0.926979	165.703719	FALSE	1.345167	2.125392	5	5	0	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	4.970344288291735	5.354220886437748	0	0.161363	17.299959226444287
Xk	-0.597097	0	319.980637	TRUE	-1.33908	-2.380423	6	0	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.944390641384761	4.328267239530773	0.363588	0.306914	-0.24446939594685724
Strada	0.135718	0.501234	643.803661	FALSE	-1.334889	-4.77442	9	0	9	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.926521126979121	4.310397725125133	0.179791	0	-17.45596930275803
Mir142hg	-0.686791	0.210372	10.688483	FALSE	-1.323509	-4.574835	7	0	7	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.877999276839254	4.261875874985266	0.176616	0	-17.43026468851781
Hgh1	-0.349501	0.227723	41.877072	FALSE	-1.308854	-1.574107	7	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.815513537489539	4.199390135635552	0.184624	0.116085	-0.6694039276707292
Atf6b	-0.253752	0.303627	162.89664200000001	FALSE	-1.293691	-1.703523	9	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.750861796393687	4.1347383945397	0.211964	0.164344	-0.36709849952476925
Arhgef2	0.177851	0.183082	976.298817	FALSE	-1.293688	-6.232053	10	0	10	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.750849005044793	4.134725603190805	0.125304	0	-16.935084457582494
Anp32b	-0.276502	0.012264	258.279329	FALSE	-1.286577	-1.933437	6	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.720529244381824	4.104405842527837	0.272985	0.196501	-0.4742829685588102
Adam11	-0.191923	0.514753	1170.16067	FALSE	-1.28527	-1.896201	9	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.714956480046779	4.098833078192792	0.161185	0.099464	-0.6964655815043608
Tcte1	-0.241638	0.648595	27.798601	FALSE	-1.275323	-3.468471	13	2	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.672544630895526	4.056421229041539	0.173324	0.139066	-0.3176996453525174
Aqp6	-1.194074	0	151.346344	TRUE	-1.253953	-2.230401	7	0	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.581427588936919	3.965304187082932	0.11798	0.076146	-0.6316954381349904
Dolpp1	0.242925	0.371376	133.297709	FALSE	1.237758	1.22688	5	2	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.512375623821353	3.896252221967366	0.184432	0.233662	0.34133248913592285
Scd2	-0.155762	0.330105	2598.813478	FALSE	-1.235669	-2.185105	7	2	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.503468581207804	3.887345179353817	0.134384	0.099246	-0.4372767152606586
Boc	-0.871549	0	2263.646586	TRUE	-1.228987	-1.921348	10	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.474977983436752	3.858854581582764	0.13958	0.074877	-0.89848876684387
Myrfl	0.410603	0.180341	43.276362	FALSE	-1.224305	-3.26626	11	0	11	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.455014951595375	3.838891549741388	0.24403	0	-17.89670490380474
Gpr4	0.164156	0.728034	42.948498	FALSE	1.219668	2.796442	8	8	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.4352437899874175	3.81912038813343	0	0.21291	17.69989096267461
Zfp462	0.906525	0	1438.654055	TRUE	1.216163	1.520275	10	3	1	FALSE	NA	3	1	2	0.455352679414107	0.068104291585455	TRUE	TRUE	2	0	3.249284911282674	2.6554932004531873	4.420299230695658	10.32507734243152	0.407839	0.525629	0.3660443404448906
Tob2	-0.162101	0.505493	688.050363	FALSE	-1.215365	-1.443185	10	2	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.416896731889716	3.800773330035729	0.111452	0.068637	-0.6993560296275562
Comp	1.273001	0	133.361413	TRUE	1.213816	1.404378	13	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.41029213207718	3.794168730223193	0.060285	0.11752	0.9630236628447983
Jph4	0.032947	0.910537	1929.35843	FALSE	-1.207796	-0.109656	12	0	2	FALSE	NA	1	1	0	0.437424665676503	-0.437424665676503	TRUE	TRUE	2	0	0.9044788099717967	2.537232695228949	4.38462415862885	7.826335663829596	0.132687	0.077978	-0.766880343664077
Lipc	-1.066075	0.008732	20.570698	TRUE	-1.196191	-2.721765	9	2	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.335142957321895	3.719019555467907	0.293622	0.251424	-0.22383687269836175
Slc8a2	-0.255378	0.009837	2182.770785	FALSE	-1.188594	-1.797073	7	2	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.302750998138014	3.6866275962840263	0.148107	0.105381	-0.49102110400447996
Gm29856	0.428131	0.451217	24.979907	FALSE	-1.186105	-1.269096	11	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.29213844233853	3.6760150404845424	0.088076	0.047496	-0.8909289369664334
Trim66	0.360056	0.004544	323.520557	FALSE	-1.175793	-2.114782	5	0	5	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	4.248170312405112	3.632046910551124	0.277234	0	-18.08074987887776
