Atlas: 301626 cells, 274 subclasses

==========================================================================================
CEREBELLAR SUBCLASSES (Liu et al. 2023, Supp Table 2)
==========================================================================================
Subclass                                 n     mCH%     mCG%    mCCC%
 157 PRNr Otp Nfib Glut                            137   3.6963  83.0256   0.9370
 158 PMv-TMv Pitx2 Glut                             96   3.6986  85.0517   0.8896
 159 DTN-LDT-IPN Otp Pax3 Gaba                     501   3.6991  82.7741   1.0449
 160 RHP-COA Ndnf Gaba                             365   3.7005  82.3669   0.8193
 161 L2 IT ENT-po Glut                             180   3.7074  78.0783   0.8703
 162 NTS Phox2b Glut                               773   3.7233  84.1009   0.8842
 163 PRNc-PARN Tlx1 Glut                            77   3.7259  83.8536   0.9362
 164 PAG Pou4f1 Bnc2 Glut                          476   3.7297  84.1394   0.9111
 165 SC-PAG Lef1 Emx2 Gaba                         991   3.7344  83.6357   0.9374
 166 SCig-an-PPT Foxb1 Glut                        437   3.7585  81.8256   0.8856
 167 PAG-SC Pou4f1 Zic1 Glut                       556   3.7642  83.2943   0.9316
 168 PAG-SC Neurod2 Meis2 Glut                     424   3.7697  83.1916   0.9186
 169 NTS-PARN Neurod2 Gly-Gaba                     359   3.7762  83.2143   0.8784
 170 CEA-BST Ebf1 Pdyn Gaba                        646   3.7777  84.6735   0.8919
 171 BST-SI-AAA Six3 Slc22a3 Gaba                  163   3.7839  84.9719   0.7915
 172 SPVI-SPVC Sall3 Lhx1 Gly-Gaba                 302   3.7910  81.8386   0.8537
 173 CUN Evx2 Lhx2 Glut                            244   3.7969  84.6745   0.9363
 174 PAG Pou4f2 Mesi2 Glut                         519   3.7970  84.2142   0.9050
 175 SI-MA-LPO-LHA Skor1 Glut                      965   3.8155  84.6981   0.8227
 176 PRT Mecom Gaba                                218   3.8211  83.5784   0.9202
 177 MH Tac2 Glut                                  698   3.8346  83.3829   0.9706
 178 SPVI-SPVC Sall3 Nfib Gly-Gaba                 113   3.8402  81.3777   0.8678
 179 PRC-PAG Tcf7l2 Irx2 Glut                      622   3.8439  84.4340   0.9176
 180 PB-NTS Phox2b Ebf3 Lmx1b Glut                 300   3.8551  84.1283   0.9993
 181 PB Pax5 Glut                                  178   3.8584  83.9887   1.0352
 182 PAG Pou4f3 Glut                               525   3.8589  84.0618   0.9103
 183 COAa-PAA-MEA Barhl2 Glut                     1046   3.8595  83.2575   0.8712
 184 PAG Pou4f1 Ebf2 Glut                          687   3.8731  84.2963   0.9183
 185 PH-LHA Foxb1 Glut                             377   3.8732  83.5830   0.9860
 186 IPN-LDT Vsx2 Nkx6-1 Glut                       60   3.8797  82.5767   1.0563
 187 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba              445   3.9138  83.8909   0.9386
 188 SCm-PAG Cdh23 Gaba                            541   3.9197  83.7291   0.9529
 189 PAG Pou4f2 Glut                               892   3.9304  84.2862   0.9453
 190 PH-SUM Foxa1 Glut                             468   3.9523  83.3311   1.0218
 191 IF-RL-CLI-PAG Foxa1 Glut                      287   3.9527  83.7835   1.0320
 192 PARN-MDRNd-NTS Gbx2 Gly-Gaba                  528   3.9613  84.6653   0.9178
 193 MG-POL-SGN Nts Glut                            34   3.9638  82.2954   1.0490
 194 CU-ECU-SPVI Foxb1 Glut                        425   3.9643  82.6739   0.9139
 195 PAG Ucn Glut                                   41   3.9802  83.3272   0.9879
 196 CBX Golgi Gly-Gaba                            880   3.9857  82.0250   0.9787
 197 MV Nkx6-1 Gly-Gaba                            104   3.9979  83.4482   0.9347
 198 SCop Sln Glut                                 205   4.0061  80.9060   0.9911
 199 PH Pitx2 Glut                                 641   4.0170  84.4833   0.9985
 200 MDRN Hoxb5 Ebf2 Gly-Gaba                       38   4.0201  82.9486   0.9662
 201 PRNc Otp Gly-Gaba                             368   4.0253  83.8578   0.9679
 202 PDTg-PCG Pax6 Gaba                            266   4.0278  82.6626   1.0590
 203 RT-ZI Gnb3 Gaba                              2103   4.0333  82.0042   0.8979
 204 MEA Otp Foxp2 Glut                            105   4.0447  85.2393   0.9725
 205 LGv-ZI Otx2 Gaba                              330   4.0455  83.0248   0.9304
 206 PAG-MRN-RN Foxa2 Gaba                         511   4.0611  84.4528   0.9845
 207 NDB-SI-MA-STRv Lhx8 Gaba                     2185   4.0671  84.5666   0.8383
 208 PAG-RN Nkx2-2 Otx1 Gaba                       765   4.0786  84.8351   0.9749
 209 PRT Tcf7l2 Gaba                              1296   4.0831  84.1960   0.9838
 210 ND-INC Foxd2 Glut                             212   4.0843  83.1038   1.0321
 211 PB Lmx1a Glut                                 431   4.0904  84.2897   1.0471
 212 MS-SF Bsx Glut                                324   4.0910  84.2803   0.9024
 213 APN C1ql4 Glut                                450   4.0911  83.7861   0.9927
 214 NTS Dbh Glut                                   80   4.0913  84.4913   1.0090
 215 GPi Tbr1 Cngb3 Gaba-Glut                       87   4.1107  84.6795   0.9831
 216 LDT-PCG St18 Gaba                              68   4.1147  85.2110   1.0873
 217 NLL Gata3 Gly-Gaba                            488   4.1281  81.3709   0.9915
 218 CS-PRNr-PCG Tmem163 Otp Gaba                  293   4.1383  84.8030   1.1109
 219 PRC-PAG Pax6 Glut                             385   4.1417  84.6881   0.9776
 220 IC Six3 En2 Gaba                              944   4.1450  83.2921   1.0004
 221 SCiw Pitx2 Glut                               745   4.1490  83.0861   0.9941
 222 PSV Pvalb Lhx2 Glut                           828   4.1682  81.3162   0.9858
 223 CS-RPO Meis2 Gaba                             565   4.1761  83.6420   1.0786
 224 ZI Pax6 Gaba                                 1970   4.1762  84.4800   0.9675
 225 STN-PSTN Pitx2 Glut                           953   4.1839  83.8255   1.0726
 226 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut           1465   4.1842  83.7072   1.1271
 227 PAG-MRN Pou3f1 Glut                           618   4.1868  84.2997   0.9947
 228 MB-MY Tph2 Glut-Sero                          734   4.1966  84.4794   1.0332
 229 MV-SPIV-PRP Dmbx1 Gly-Gaba                    173   4.2031  83.7906   1.0224
 230 MY Prox1 Lmo7 Gly-Gaba                        164   4.2044  83.7985   0.9928
 231 PRP-NI-PRNc-GRN Otp Glut                      356   4.2050  83.5433   1.0043
 232 PB Evx2 Glut                                  852   4.2239  84.0547   1.0931
 233 PRP Otp Gly-Gaba                              279   4.2277  84.6342   0.9611
 234 SPVO Mafa Meis2 Glut                           84   4.2551  81.4252   0.9811
 235 PCG-PRNr Vsx2 Nkx6-1 Glut                     447   4.2686  84.1778   1.0799
 236 LDT-PCG-CS Gata3 Lhx1 Gaba                    293   4.2775  84.5153   1.0648
 237 NI-RPO Gata3 Nr4a2 Gaba                       159   4.2834  84.4326   1.0852
 238 GPe-SI Sox6 Cyp26b1 Gaba                      336   4.2927  83.9046   0.9410
 239 PVT-PT Ntrk1 Glut                             692   4.2952  83.0018   0.9569
 240 CS-PRNr-DR En1 Sox2 Gaba                      313   4.3096  84.2625   1.1265
 241 PGRN-PARN-MDRN Hoxb5 Glut                    1278   4.3096  84.1223   0.9907
 242 MRN Pou3f1 C1ql4 Glut                         352   4.3247  84.1197   1.0003
 243 SNc-VTA-RAmb Foxa1 Dopa                      1242   4.3333  82.7260   1.1086
 244 AV Col27a1 Glut                               501   4.3380  81.5900   0.9020
 245 NLL-SOC Spp1 Glut                              44   4.3480  81.9458   0.9873
 246 PPN-CUN-PCG Otp En1 Gaba                      462   4.3617  83.9188   1.0957
 247 IO Fgl2 Glut                                  143   4.3804  80.7473   1.0079
 248 MV-SPIV Phox2b Ebf3 Lbx1 Glut                 318   4.4358  82.7415   0.9635
 249 MB-ant-ve Dmrta2 Glut                         551   4.4392  84.5194   1.0322
 250 LH Pou4f1 Sox1 Glut                           251   4.4662  84.5848   1.0477
 251 CB PLI Gly-Gaba                               161   4.4749  82.1726   1.0593
 252 DMX VII Tbx20 Chol                             46   4.4876  83.9731   1.0157
 253 VCO Mafa Meis2 Glut                           324   4.4880  82.6959   1.0444
 254 MRN-VTN-PPN Pax5 Cdh23 Gaba                   425   4.4918  85.0851   1.2299
 255 PAL-STR Gaba-Chol                             505   4.5014  84.2377   0.8659
 256 MY Lhx1 Gly-Gaba                             2697   4.5112  83.9889   1.0003
 257 TMv-PMv Tbx3 Hist-Gaba                         37   4.5419  83.6064   0.9542
 258 LDT-DTN Gata3 Nfix Gaba                       127   4.5461  83.8196   1.1632
 259 PAG-PPN Pax5 Sox21 Gaba                       281   4.5529  84.8261   1.0955
 260 PAG-ND-PCG Onecut1 Gaba                       598   4.5705  84.8836   1.1255
 261 SNr Six3 Gaba                                 522   4.5802  83.6167   1.1217
 262 CUN-PPN Evx2 Meis2 Glut                       306   4.5843  84.5628   1.1695
 263 SPVC Mafa Glut                                 67   4.6066  82.4159   1.0313
 264 POR Gata3 Gly-Gaba                             93   4.6759  84.2686   1.0417
 265 TH Prkcd Grin2c Glut                         6971   4.7010  80.8300   1.0294
 266 MV-SPIV Zic4 Neurod2 Glut                     286   4.7225  84.0562   1.0203
 267 B-PB Nr4a2 Glut                                84   4.7747  84.8977   1.0946
 268 RE-Xi Nox4 Glut                               632   5.0545  83.1643   1.0514
 269 PF Fzd5 Glut                                  691   5.0724  84.4113   1.1086
 270 SNr-VTA Pax5 Npas1 Gaba                       490   5.2658  83.7495   1.2535
 271 CM-IAD-CL-PCN Sema5b Glut                     796   5.3226  83.1819   1.1887
 272 CBN Neurod2 Pvalb Glut                        680   5.3806  83.8641   1.1643 *
 273 PG-TRN-LRN Fat2 Glut                         3358   5.4261  82.0250   1.2046
 274 AD Serpinb7 Glut                              209   5.5888  83.3112   1.1714

==========================================================================================
evoC SAMPLES (sorted by FP rate)
==========================================================================================
Sample                        Cond     CHH%     CHG%      CG%      FP%
----------------------------------------------------------------------
evoC-Bap1-ctrl-F              ctrl   0.8520   0.6181  82.5133   0.0589
evoC-Bap1-ctrl-M              ctrl   0.8572   0.6224  82.7781   0.0871
evoC-Bap1-ctrl-M-B2           ctrl   0.8832   0.6453  82.3672   0.0908
evoC-Bap1-ctrl-F-B2           ctrl   0.8556   0.6262  82.6016   0.0966
evoC-Bap1-mut-M                mut   0.8822   0.6511  82.5184   0.1447
evoC-Bap1-mut-F                mut   0.8682   0.6411  82.4673   0.1549
evoC-Bap1-mut-M-B2             mut   0.9145   0.6846  82.5583   0.1794
evoC-Bap1-mut-F-B2             mut   0.8816   0.6614  82.4021   0.1977

  ctrl mean (n=4):  CHH=0.8620%  CHG=0.6280%  FP=0.0833%
  mut  mean (n=4):   CHH=0.8866%  CHG=0.6595%  FP=0.1692%

==========================================================================================
LINEAR REGRESSION: apparent modC = slope * FP + intercept
==========================================================================================
  CHH:  slope=0.2915  intercept=0.8375  r=0.7016  R²=0.4922  n=8
  CHG:  slope=0.3766  intercept=0.5962  r=0.8421  R²=0.7092  n=8

  Genotype deltas (mut - ctrl):
    dFP  = +0.0858%
    dCHH = +0.0246%    slope * dFP = +0.0250%
    dCHG = +0.0315%    slope * dFP = +0.0323%

==========================================================================================
FLOOR CORRECTION: atlas mCCC vs evoC pUC19 FP
==========================================================================================
                             Atlas CB Gran      evoC ctrl
                               (bisulfite)    (enzymatic)
  -------------------------------------------------------
              Raw mCH / CHH        1.3345%        0.8620%
                   FP floor        0.6682%        0.0833%
                  Corrected        0.6663%        0.7786%

               Raw mCG / CG       73.4891%       82.5650%

  Saved /Users/zakiralibhai/Documents/GitHub/mariner_hi-c/biomodal/non_cg_analysis/conversion_confound.png
