loop_id	direction	boundary_enriched_in	boundary_distance	concordant
loop_9842	up_in_mutant	Matrix 2	34999	TRUE
loop_10635	up_in_mutant	Matrix 2	0	TRUE
loop_10685	up_in_mutant	Matrix 2	0	TRUE
loop_16701	up_in_mutant	Matrix 2	0	TRUE
loop_17279	up_in_mutant	Matrix 2	14999	TRUE
loop_17909	up_in_mutant	Matrix 1	24999	FALSE
loop_20446	up_in_mutant	Matrix 1	0	FALSE
loop_21101	up_in_mutant	Matrix 2	44999	TRUE
loop_15114	up_in_mutant	Matrix 2	0	TRUE
loop_21688	up_in_mutant	Matrix 1	24999	FALSE
loop_21872	up_in_mutant	Matrix 2	0	TRUE
loop_11051	up_in_mutant	Matrix 2	0	TRUE
loop_22179	up_in_mutant	Matrix 2	4999	TRUE
loop_22406	up_in_mutant	Matrix 2	0	TRUE
loop_22453	up_in_mutant	Matrix 2	0	TRUE
loop_237	up_in_mutant	Matrix 1	0	FALSE
loop_962	up_in_mutant	Matrix 2	44999	TRUE
loop_3779	down_in_mutant	Matrix 2	0	FALSE
loop_4327	up_in_mutant	Matrix 2	0	TRUE
loop_5133	up_in_mutant	Matrix 2	0	TRUE
loop_5362	up_in_mutant	Matrix 2	29999	TRUE
loop_6192	up_in_mutant	Matrix 1	4999	FALSE
loop_6535	up_in_mutant	Matrix 1	0	FALSE
loop_6607	up_in_mutant	Matrix 1	19999	FALSE
loop_7072	up_in_mutant	Matrix 1	0	FALSE
loop_7567	up_in_mutant	Matrix 2	9999	TRUE
loop_7864	up_in_mutant	Matrix 1	14999	FALSE
loop_7975	up_in_mutant	Matrix 1	0	FALSE
loop_8361	up_in_mutant	Matrix 2	0	TRUE
loop_8892	up_in_mutant	Matrix 2	0	TRUE
loop_13103	up_in_mutant	Matrix 2	4999	TRUE
loop_14561	up_in_mutant	Matrix 2	19999	TRUE
loop_15080	up_in_mutant	Matrix 2	0	TRUE
loop_15379	up_in_mutant	Matrix 2	0	TRUE
loop_15524	up_in_mutant	Matrix 2	0	TRUE
loop_15868	up_in_mutant	Matrix 2	0	TRUE
loop_16489	up_in_mutant	Matrix 1	0	FALSE
loop_16912	up_in_mutant	Matrix 1	24999	FALSE
loop_16952	down_in_mutant	Matrix 2	0	FALSE
loop_17903	up_in_mutant	Matrix 2	19999	TRUE
loop_17939	up_in_mutant	Matrix 2	29999	TRUE
loop_18385	up_in_mutant	Matrix 1	0	FALSE
loop_18432	up_in_mutant	Matrix 1	19999	FALSE
loop_19352	up_in_mutant	Matrix 1	0	FALSE
loop_19592	up_in_mutant	Matrix 1	0	FALSE
loop_20167	up_in_mutant	Matrix 1	0	FALSE
loop_20179	up_in_mutant	Matrix 2	4999	TRUE
