loop_id	min_distance
loop_21310	10759999
loop_2134	9744999
loop_21348	35919999
loop_21500	2929999
loop_21525	26429999
loop_21531	18119999
loop_2154	25089999
loop_2155	454999
loop_2175	7754999
loop_21799	6609999
loop_2202	10759999
loop_2207	3144999
loop_2211	12139999
loop_2226	13614999
loop_2257	569999
loop_2258	52829999
loop_2292	33714999
loop_2312	73864999
loop_2314	76049999
loop_2322	19739999
loop_2323	19764999
loop_2327	42864999
loop_2330	32414999
loop_2331	33564999
loop_2337	73864999
loop_2347	1084999
loop_235	304999
loop_2350	3014999
loop_2386	1229999
loop_2414	209999
loop_2418	3479999
loop_2424	2499999
loop_2432	15344999
loop_245	23439999
loop_2458	3129999
loop_2465	17584999
loop_2470	20309999
loop_2473	7559999
loop_2474	17634999
loop_2477	864999
loop_2490	12354999
loop_2496	15364999
loop_250	3704999
loop_2502	1429999
loop_2508	2219999
loop_251	19204999
loop_2532	9164999
loop_2533	8914999
loop_2600	32719999
loop_2614	24709999
loop_2627	704999
loop_2636	55009999
loop_2646	52309999
loop_265	7559999
loop_2701	7209999
loop_2742	26274999
loop_2783	7544999
loop_2784	2949999
loop_2811	7089999
loop_2816	13364999
loop_2824	19384999
loop_2833	21549999
loop_2856	1919999
loop_286	17549999
loop_287	32499999
loop_2895	23439999
loop_291	32294999
loop_2911	1049999
loop_2922	4939999
loop_2926	13954999
loop_293	31479999
loop_2931	34959999
loop_2966	6679999
loop_3000	34774999
loop_3006	32199999
loop_3007	6494999
loop_3034	69164999
loop_305	15524999
loop_3050	3739999
loop_3070	24579999
loop_3071	19904999
loop_3104	11554999
loop_3113	14949999
loop_3121	14699999
loop_3124	4649999
loop_3127	15889999
loop_3133	14299999
loop_3189	7424999
loop_3206	10234999
loop_3219	464999
loop_3225	8059999
loop_3226	25784999
loop_3229	31434999
loop_3233	9784999
loop_3240	21539999
loop_3244	5009999
loop_3247	18674999
loop_3263	10879999
loop_3357	15339999
loop_3361	29259999
loop_3364	2349999
loop_3366	21474999
loop_3369	28834999
loop_3373	45999999
loop_3385	3409999
loop_3386	4019999
loop_3392	24684999
loop_3394	16429999
loop_3398	60764999
loop_3425	19969999
loop_3427	26079999
loop_3466	75259999
loop_3486	3499999
loop_3491	62669999
loop_3511	6104999
loop_3559	9779999
loop_3566	9649999
loop_3577	2759999
loop_359	1414999
loop_3601	25779999
loop_3604	1369999
loop_3619	739999
loop_3638	5154999
loop_3659	9864999
loop_3678	219999
loop_369	20929999
loop_3692	44999
loop_3707	25734999
loop_3717	1429999
loop_3755	6679999
loop_3768	12084999
loop_3770	2269999
loop_3778	17889999
loop_3788	20289999
loop_3799	19989999
loop_3802	20884999
loop_3803	17849999
loop_3807	24439999
loop_3817	19764999
loop_3835	53989999
loop_3837	4624999
loop_3840	484999
loop_385	7074999
loop_387	13449999
loop_3870	8369999
loop_3882	21819999
loop_3899	55029999
loop_393	74999
loop_3949	1199999
loop_3983	24459999
loop_3999	5164999
loop_4005	18634999
loop_4007	7584999
loop_4017	6564999
loop_4036	24459999
loop_4054	13534999
loop_4116	11444999
loop_412	16299999
loop_413	19154999
loop_4140	17894999
loop_4181	329999
loop_4185	57809999
loop_4192	52334999
loop_4198	684999
loop_420	12799999
loop_4207	2479999
loop_4211	24234999
loop_4212	24259999
loop_422	14949999
loop_4243	3664999
loop_4270	7684999
loop_4382	9639999
loop_4416	24899999
loop_457	949999
loop_4590	14554999
loop_467	7534999
loop_47	1014999
loop_4810	6434999
loop_4846	6129999
loop_4872	26754999
loop_5013	13279999
loop_5021	11064999
loop_505	659999
loop_5280	2444999
loop_5330	11274999
loop_5382	854999
loop_5385	53534999
loop_543	4019999
loop_5437	6694999
loop_5489	3224999
loop_55	7679999
loop_552	9164999
loop_5591	16269999
loop_5594	29279999
loop_5598	17499999
loop_570	25379999
loop_5706	12799999
loop_5729	2264999
loop_575	33679999
loop_5795	1209999
loop_5825	2519999
loop_585	28859999
loop_5876	14534999
loop_5879	45999999
loop_590	28859999
loop_6026	3054999
loop_6094	10369999
loop_61	7209999
loop_6107	10169999
loop_62	42484999
loop_621	25029999
loop_6212	13639999
loop_6262	20389999
loop_627	25529999
loop_6419	9929999
loop_6423	15084999
loop_646	12294999
loop_647	29284999
loop_6476	23219999
loop_6531	169999
loop_6564	1419999
loop_658	31329999
loop_6645	13209999
loop_6733	369999
loop_6942	5124999
loop_697	18029999
loop_7004	6784999
loop_7075	8234999
loop_7105	5469999
loop_72	13459999
loop_720	5189999
loop_7233	14894999
loop_7311	2114999
loop_7336	8874999
loop_7374	28349999
loop_7382	3224999
loop_743	8689999
loop_7478	909999
loop_7501	5539999
loop_7538	1659999
loop_757	2824999
loop_7580	31059999
loop_7630	31059999
loop_768	8484999
loop_7825	24459999
loop_7850	624999
loop_7872	12104999
loop_7910	52919999
loop_7915	11569999
loop_7945	89999
loop_7961	3539999
loop_7971	27384999
loop_7980	12604999
loop_7987	26579999
loop_7990	1014999
loop_8008	834999
loop_8103	13539999
loop_8148	13499999
loop_8162	13469999
loop_8234	27539999
loop_8253	13199999
loop_826	25979999
loop_8266	1094999
loop_8267	1224999
loop_827	8519999
loop_829	4179999
loop_8295	13279999
loop_8307	10819999
loop_8335	34229999
loop_8340	814999
loop_8345	32589999
loop_8379	7659999
loop_8380	39159999
loop_8383	42484999
loop_8398	55109999
loop_8482	13534999
loop_8612	9359999
loop_863	30944999
loop_8657	68724999
loop_8665	5059999
loop_8679	28874999
loop_8683	75724999
loop_8726	6969999
loop_8766	4619999
loop_8784	3474999
loop_8807	3474999
loop_8876	1034999
loop_8890	9259999
loop_8910	11884999
loop_8912	4024999
loop_8951	13974999
loop_8970	4319999
loop_8975	5754999
loop_9012	12814999
loop_9021	4099999
loop_9043	4749999
loop_9106	1194999
loop_9112	15674999
loop_9163	149999
loop_9164	1919999
loop_9165	2354999
loop_9250	239999
loop_9259	12824999
loop_9305	10239999
loop_9380	12844999
loop_940	67934999
loop_941	45784999
loop_9525	12824999
loop_9594	6534999
loop_9601	4934999
loop_9615	13514999
loop_962	19749999
loop_9622	9584999
loop_9643	13784999
loop_9645	489999
loop_9656	12454999
loop_9659	13959999
loop_9666	1024999
loop_9688	10329999
loop_9695	9334999
loop_9697	9364999
loop_971	5614999
loop_9723	7199999
loop_9753	32294999
loop_9755	6609999
loop_9774	4044999
loop_9790	20869999
loop_9794	5854999
loop_9832	13949999
loop_9850	1044999
loop_9854	9349999
loop_9856	15369999
loop_9863	32309999
loop_9908	32719999
loop_9922	17549999
loop_9935	17549999
loop_9943	32309999
loop_9961	18424999
