test_comparison	test_type	statistic	pvalue	multiple_testing_method	padj
H3K27ac_ctrl_clust4,H3K27ac_ctrl_clust5	Wilcoxon rank-sum	5.34870545298778	8.858557529451108e-08	bonferroni	1.3287836294176663e-06
H3K27ac_ctrl_clust4,H3K27ac_ctrl_clust6	Wilcoxon rank-sum	-26.947374650988102	6.1230783171026e-160	bonferroni	9.1846174756539e-159
H3K27ac_ctrl_clust5,H3K27ac_ctrl_clust6	Wilcoxon rank-sum	-20.220843876203624	6.417596787175943e-91	bonferroni	9.626395180763914e-90
H3K27ac_mut_clust1,H3K27ac_mut_clust2,H3K27ac_mut_clust3,H3K27ac_mut_clust4,H3K27ac_mut_clust5,H3K27ac_mut_clust6	Kruskal-Wallis	1721.7904419367835	0.0		
H3K27ac_mut_clust1,H3K27ac_mut_clust2	Wilcoxon rank-sum	14.172368615572774	1.3584024705099321e-45	bonferroni	2.037603705764898e-44
H3K27ac_mut_clust1,H3K27ac_mut_clust3	Wilcoxon rank-sum	-0.1250590985840723	0.9004767636189742	bonferroni	1.0
H3K27ac_mut_clust1,H3K27ac_mut_clust4	Wilcoxon rank-sum	35.07191414674428	1.8072488644372295e-269	bonferroni	2.710873296655844e-268
H3K27ac_mut_clust1,H3K27ac_mut_clust5	Wilcoxon rank-sum	20.704908946757964	3.128254542398033e-95	bonferroni	4.692381813597049e-94
H3K27ac_mut_clust1,H3K27ac_mut_clust6	Wilcoxon rank-sum	2.978961929525133	0.002892267112150974	bonferroni	0.04338400668226461
H3K27ac_mut_clust2,H3K27ac_mut_clust3	Wilcoxon rank-sum	-12.80457578568245	1.5456818419472522e-37	bonferroni	2.3185227629208783e-36
H3K27ac_mut_clust2,H3K27ac_mut_clust4	Wilcoxon rank-sum	24.663378508886442	2.6446390978610568e-134	bonferroni	3.9669586467915854e-133
H3K27ac_mut_clust2,H3K27ac_mut_clust5	Wilcoxon rank-sum	15.93663399901022	3.5285517033504693e-57	bonferroni	5.292827555025704e-56
H3K27ac_mut_clust2,H3K27ac_mut_clust6	Wilcoxon rank-sum	-4.6895198543273	2.7384686370895023e-06	bonferroni	4.1077029556342535e-05
H3K27ac_mut_clust3,H3K27ac_mut_clust4	Wilcoxon rank-sum	32.93714763518161	6.462994878361165e-238	bonferroni	9.694492317541747e-237
H3K27ac_mut_clust3,H3K27ac_mut_clust5	Wilcoxon rank-sum	20.223955880734483	6.025246370753922e-91	bonferroni	9.037869556130884e-90
H3K27ac_mut_clust3,H3K27ac_mut_clust6	Wilcoxon rank-sum	2.8741819674701046	0.0040507550387112136	bonferroni	0.060761325580668206
H3K27ac_mut_clust4,H3K27ac_mut_clust5	Wilcoxon rank-sum	4.105319998384732	4.037555749059245e-05	bonferroni	0.0006056333623588868
H3K27ac_mut_clust4,H3K27ac_mut_clust6	Wilcoxon rank-sum	-20.705609136392876	3.0831257183777846e-95	bonferroni	4.624688577566677e-94
H3K27ac_mut_clust5,H3K27ac_mut_clust6	Wilcoxon rank-sum	-16.22996677250534	3.0962698660589603e-59	bonferroni	4.64440479908844e-58
H3K27me3_ctrl_clust1,H3K27me3_ctrl_clust2,H3K27me3_ctrl_clust3,H3K27me3_ctrl_clust4,H3K27me3_ctrl_clust5,H3K27me3_ctrl_clust6	Kruskal-Wallis	3580.2618098037797	0.0		
H3K27me3_ctrl_clust1,H3K27me3_ctrl_clust2	Wilcoxon rank-sum	-22.419345586957693	2.5490524983242962e-111	bonferroni	3.823578747486444e-110
H3K27me3_ctrl_clust1,H3K27me3_ctrl_clust3	Wilcoxon rank-sum	-1.8168877523979372	0.06923430240836262	bonferroni	1.0
H3K27me3_ctrl_clust1,H3K27me3_ctrl_clust4	Wilcoxon rank-sum	-48.28381219083696	0.0	bonferroni	0.0
H3K27me3_ctrl_clust1,H3K27me3_ctrl_clust5	Wilcoxon rank-sum	-30.86441693205728	3.5884696708754705e-209	bonferroni	5.382704506313206e-208
H3K27me3_ctrl_clust1,H3K27me3_ctrl_clust6	Wilcoxon rank-sum	-10.245661303171387	1.237755244692794e-24	bonferroni	1.8566328670391912e-23
H3K27me3_ctrl_clust2,H3K27me3_ctrl_clust3	Wilcoxon rank-sum	19.754741300915388	7.302889026051969e-87	bonferroni	1.0954333539077955e-85
H3K27me3_ctrl_clust2,H3K27me3_ctrl_clust4	Wilcoxon rank-sum	-33.00909490405816	6.014503980686481e-239	bonferroni	9.021755971029721e-238
H3K27me3_ctrl_clust2,H3K27me3_ctrl_clust5	Wilcoxon rank-sum	-25.234217635677272	1.68790242629708e-140	bonferroni	2.53185363944562e-139
H3K27me3_ctrl_clust2,H3K27me3_ctrl_clust6	Wilcoxon rank-sum	3.6150607494602047	0.00030027720009248127	bonferroni	0.004504158001387219
H3K27me3_ctrl_clust3,H3K27me3_ctrl_clust4	Wilcoxon rank-sum	-46.66136887989062	0.0	bonferroni	0.0
H3K27me3_ctrl_clust3,H3K27me3_ctrl_clust5	Wilcoxon rank-sum	-31.033184575924473	1.923791596521924e-211	bonferroni	2.8856873947828862e-210
H3K27me3_ctrl_clust3,H3K27me3_ctrl_clust6	Wilcoxon rank-sum	-9.134370404388255	6.578845582265283e-20	bonferroni	9.868268373397923e-19
H3K27me3_ctrl_clust4,H3K27me3_ctrl_clust5	Wilcoxon rank-sum	-11.2957479123026	1.3772656234125257e-29	bonferroni	2.0658984351187885e-28
H3K27me3_ctrl_clust4,H3K27me3_ctrl_clust6	Wilcoxon rank-sum	27.18226773842488	1.052575810227544e-162	bonferroni	1.5788637153413161e-161
H3K27me3_ctrl_clust5,H3K27me3_ctrl_clust6	Wilcoxon rank-sum	24.566747816880046	2.8646120442701604e-133	bonferroni	4.2969180664052406e-132
H3K27me3_mut_clust1,H3K27me3_mut_clust2,H3K27me3_mut_clust3,H3K27me3_mut_clust4,H3K27me3_mut_clust5,H3K27me3_mut_clust6	Kruskal-Wallis	2510.113662508831	0.0		
H3K27me3_mut_clust1,H3K27me3_mut_clust2	Wilcoxon rank-sum	-12.176979402551419	4.122694408899104e-34	bonferroni	6.184041613348657e-33
H3K27me3_mut_clust1,H3K27me3_mut_clust3	Wilcoxon rank-sum	-13.883794786708712	7.942510423649324e-44	bonferroni	1.1913765635473986e-42
H3K27me3_mut_clust1,H3K27me3_mut_clust4	Wilcoxon rank-sum	-38.855706514017236	0.0	bonferroni	0.0
H3K27me3_mut_clust1,H3K27me3_mut_clust5	Wilcoxon rank-sum	-27.307960047578028	3.4120325533132577e-164	bonferroni	5.1180488299698866e-163
H3K27me3_mut_clust1,H3K27me3_mut_clust6	Wilcoxon rank-sum	-26.179754716577346	4.519218255744252e-151	bonferroni	6.778827383616378e-150
H3K27me3_mut_clust2,H3K27me3_mut_clust3	Wilcoxon rank-sum	-1.6647843268769231	0.09595579193796827	bonferroni	1.0
H3K27me3_mut_clust2,H3K27me3_mut_clust4	Wilcoxon rank-sum	-29.908613070479387	1.5205280388950076e-196	bonferroni	2.2807920583425113e-195
H3K27me3_mut_clust2,H3K27me3_mut_clust5	Wilcoxon rank-sum	-23.826116066744895	1.7912356927592016e-125	bonferroni	2.686853539138802e-124
H3K27me3_mut_clust2,H3K27me3_mut_clust6	Wilcoxon rank-sum	-18.48370519773174	2.793237656357386e-76	bonferroni	4.1898564845360793e-75
H3K27me3_mut_clust3,H3K27me3_mut_clust4	Wilcoxon rank-sum	-29.428578329736798	2.3670570729812047e-190	bonferroni	3.550585609471807e-189
H3K27me3_mut_clust3,H3K27me3_mut_clust5	Wilcoxon rank-sum	-24.396785713220876	1.8499428949391413e-131	bonferroni	2.774914342408712e-130
H3K27me3_mut_clust3,H3K27me3_mut_clust6	Wilcoxon rank-sum	-18.08192718320669	4.4234798888783525e-73	bonferroni	6.635219833317529e-72
H3K27me3_mut_clust4,H3K27me3_mut_clust5	Wilcoxon rank-sum	-10.87980871877732	1.4386453701381907e-27	bonferroni	2.1579680552072862e-26
H3K27me3_mut_clust4,H3K27me3_mut_clust6	Wilcoxon rank-sum	6.6817854251270985	2.3604848542278098e-11	bonferroni	3.5407272813417146e-10
H3K27me3_mut_clust5,H3K27me3_mut_clust6	Wilcoxon rank-sum	14.390232058957654	5.959561428850688e-47	bonferroni	8.93934214327603e-46
H2AK119ub_ctrl_clust1,H2AK119ub_ctrl_clust2,H2AK119ub_ctrl_clust3,H2AK119ub_ctrl_clust4,H2AK119ub_ctrl_clust5,H2AK119ub_ctrl_clust6	Kruskal-Wallis	360.8330099411421	8.137507099347742e-76		
H2AK119ub_ctrl_clust1,H2AK119ub_ctrl_clust2	Wilcoxon rank-sum	-10.52876022955536	6.366746664802122e-26	bonferroni	9.550119997203184e-25
H2AK119ub_ctrl_clust1,H2AK119ub_ctrl_clust3	Wilcoxon rank-sum	-1.3865892996067624	0.16556703302433384	bonferroni	1.0
H2AK119ub_ctrl_clust1,H2AK119ub_ctrl_clust4	Wilcoxon rank-sum	-14.828353615151666	9.606013876605049e-50	bonferroni	1.4409020814907573e-48
H2AK119ub_ctrl_clust1,H2AK119ub_ctrl_clust5	Wilcoxon rank-sum	-8.834956992645866	1.001367765288422e-18	bonferroni	1.5020516479326328e-17
H2AK119ub_ctrl_clust1,H2AK119ub_ctrl_clust6	Wilcoxon rank-sum	-7.094733772876277	1.2960072809148667e-12	bonferroni	1.9440109213723002e-11
H2AK119ub_ctrl_clust2,H2AK119ub_ctrl_clust3	Wilcoxon rank-sum	8.450466211966578	2.901418754434039e-17	bonferroni	4.352128131651059e-16
H2AK119ub_ctrl_clust2,H2AK119ub_ctrl_clust4	Wilcoxon rank-sum	-7.291087169617905	3.0746374347227156e-13	bonferroni	4.611956152084073e-12
H2AK119ub_ctrl_clust2,H2AK119ub_ctrl_clust5	Wilcoxon rank-sum	-5.5845188920881945	2.3434804339429794e-08	bonferroni	3.515220650914469e-07
H2AK119ub_ctrl_clust2,H2AK119ub_ctrl_clust6	Wilcoxon rank-sum	-0.937506442465552	0.348498111391503	bonferroni	1.0
H2AK119ub_ctrl_clust3,H2AK119ub_ctrl_clust4	Wilcoxon rank-sum	-13.370332925950876	9.01365035877807e-41	bonferroni	1.3520475538167105e-39
H2AK119ub_ctrl_clust3,H2AK119ub_ctrl_clust5	Wilcoxon rank-sum	-8.397383488659008	4.565371625538581e-17	bonferroni	6.848057438307871e-16
H2AK119ub_ctrl_clust3,H2AK119ub_ctrl_clust6	Wilcoxon rank-sum	-6.146199786830702	7.936131349166544e-10	bonferroni	1.1904197023749816e-08
H2AK119ub_ctrl_clust4,H2AK119ub_ctrl_clust5	Wilcoxon rank-sum	-2.176395458939944	0.029525703063013987	bonferroni	0.4428855459452098
H2AK119ub_ctrl_clust4,H2AK119ub_ctrl_clust6	Wilcoxon rank-sum	4.370001237337479	1.2424583251330837e-05	bonferroni	0.00018636874876996255
H2AK119ub_ctrl_clust5,H2AK119ub_ctrl_clust6	Wilcoxon rank-sum	4.456608265426216	8.326655782189688e-06	bonferroni	0.00012489983673284532
H2AK119ub_mut_clust1,H2AK119ub_mut_clust2,H2AK119ub_mut_clust3,H2AK119ub_mut_clust4,H2AK119ub_mut_clust5,H2AK119ub_mut_clust6	Kruskal-Wallis	926.0658551610045	6.074945230443051e-198		
H2AK119ub_mut_clust1,H2AK119ub_mut_clust2	Wilcoxon rank-sum	2.1841389044272344	0.028952042679837066	bonferroni	0.43428064019755597
H2AK119ub_mut_clust1,H2AK119ub_mut_clust3	Wilcoxon rank-sum	-16.517323291182436	2.7535000353308348e-61	bonferroni	4.130250052996252e-60
H2AK119ub_mut_clust1,H2AK119ub_mut_clust4	Wilcoxon rank-sum	-6.83994373949753	7.922428787745696e-12	bonferroni	1.1883643181618543e-10
H2AK119ub_mut_clust1,H2AK119ub_mut_clust5	Wilcoxon rank-sum	-7.439286209687709	1.0123078526666455e-13	bonferroni	1.5184617789999684e-12
H2AK119ub_mut_clust1,H2AK119ub_mut_clust6	Wilcoxon rank-sum	-23.350933333121723	1.348392921014015e-120	bonferroni	2.0225893815210223e-119
H2AK119ub_mut_clust2,H2AK119ub_mut_clust3	Wilcoxon rank-sum	-18.292798023416942	9.444069937468222e-75	bonferroni	1.4166104906202334e-73
H2AK119ub_mut_clust2,H2AK119ub_mut_clust4	Wilcoxon rank-sum	-8.446700082062566	2.9965222902038425e-17	bonferroni	4.494783435305763e-16
H2AK119ub_mut_clust2,H2AK119ub_mut_clust5	Wilcoxon rank-sum	-8.265339861698775	1.392973182330668e-16	bonferroni	2.089459773496002e-15
H2AK119ub_mut_clust2,H2AK119ub_mut_clust6	Wilcoxon rank-sum	-24.53935734975182	5.618498181172389e-133	bonferroni	8.427747271758584e-132
H2AK119ub_mut_clust3,H2AK119ub_mut_clust4	Wilcoxon rank-sum	5.928162997234956	3.063423402403235e-09	bonferroni	4.5951351036048526e-08
H2AK119ub_mut_clust3,H2AK119ub_mut_clust5	Wilcoxon rank-sum	-1.3531120940956778	0.17601982253531134	bonferroni	1.0
H2AK119ub_mut_clust3,H2AK119ub_mut_clust6	Wilcoxon rank-sum	-13.298046938973684	2.375937038823825e-40	bonferroni	3.5639055582357374e-39
H2AK119ub_mut_clust4,H2AK119ub_mut_clust5	Wilcoxon rank-sum	-4.219130661757521	2.4524612016598158e-05	bonferroni	0.0003678691802489724
H2AK119ub_mut_clust4,H2AK119ub_mut_clust6	Wilcoxon rank-sum	-16.26860862740763	1.6486142983226247e-59	bonferroni	2.472921447483937e-58
H2AK119ub_mut_clust5,H2AK119ub_mut_clust6	Wilcoxon rank-sum	-6.132909162884432	8.62864217813195e-10	bonferroni	1.2942963267197925e-08
H3K27me1_ctrl_clust1,H3K27me1_ctrl_clust2,H3K27me1_ctrl_clust3,H3K27me1_ctrl_clust4,H3K27me1_ctrl_clust5,H3K27me1_ctrl_clust6	Kruskal-Wallis	2551.2989431600427	0.0		
H3K27me1_ctrl_clust1,H3K27me1_ctrl_clust2	Wilcoxon rank-sum	14.07847522680206	5.1509193498948606e-45	bonferroni	7.726379024842291e-44
H3K27me1_ctrl_clust1,H3K27me1_ctrl_clust3	Wilcoxon rank-sum	5.527674364410501	3.245036505360363e-08	bonferroni	4.867554758040545e-07
H3K27me1_ctrl_clust1,H3K27me1_ctrl_clust4	Wilcoxon rank-sum	41.56172136482716	0.0	bonferroni	0.0
H3K27me1_ctrl_clust1,H3K27me1_ctrl_clust5	Wilcoxon rank-sum	28.16821156237188	1.4340362907814718e-174	bonferroni	2.151054436172208e-173
H3K27me1_ctrl_clust1,H3K27me1_ctrl_clust6	Wilcoxon rank-sum	14.330197580832198	1.4171684373750045e-46	bonferroni	2.1257526560625067e-45
H3K27me1_ctrl_clust2,H3K27me1_ctrl_clust3	Wilcoxon rank-sum	-8.26607866129963	1.384372269870866e-16	bonferroni	2.076558404806299e-15
H3K27me1_ctrl_clust2,H3K27me1_ctrl_clust4	Wilcoxon rank-sum	30.98773828528222	7.885857415391464e-211	bonferroni	1.1828786123087196e-209
H3K27me1_ctrl_clust2,H3K27me1_ctrl_clust5	Wilcoxon rank-sum	23.835173596174325	1.442936385288949e-125	bonferroni	2.1644045779334234e-124
H3K27me1_ctrl_clust2,H3K27me1_ctrl_clust6	Wilcoxon rank-sum	5.213121968066672	1.8568871873996054e-07	bonferroni	2.785330781099408e-06
H3K27me1_ctrl_clust3,H3K27me1_ctrl_clust4	Wilcoxon rank-sum	37.54884271754982	1.4714848732867626e-308	bonferroni	2.207227309930144e-307
H3K27me1_ctrl_clust3,H3K27me1_ctrl_clust5	Wilcoxon rank-sum	27.267243398216824	1.0379742092017444e-163	bonferroni	1.5569613138026165e-162
H3K27me1_ctrl_clust3,H3K27me1_ctrl_clust6	Wilcoxon rank-sum	11.023369150576457	2.9481368727294904e-28	bonferroni	4.4222053090942356e-27
H3K27me1_ctrl_clust4,H3K27me1_ctrl_clust5	Wilcoxon rank-sum	9.915583884374897	3.5616779535177035e-23	bonferroni	5.342516930276555e-22
H3K27me1_ctrl_clust4,H3K27me1_ctrl_clust6	Wilcoxon rank-sum	-19.300142237922238	5.356157776823701e-83	bonferroni	8.034236665235551e-82
H3K27me1_ctrl_clust5,H3K27me1_ctrl_clust6	Wilcoxon rank-sum	-20.658365638471395	8.209623630339231e-95	bonferroni	1.2314435445508846e-93
H3K27me1_mut_clust1,H3K27me1_mut_clust2,H3K27me1_mut_clust3,H3K27me1_mut_clust4,H3K27me1_mut_clust5,H3K27me1_mut_clust6	Kruskal-Wallis	1469.8367551557765	0.0		
H3K27me1_mut_clust1,H3K27me1_mut_clust2	Wilcoxon rank-sum	7.33257636930451	2.2576973684368152e-13	bonferroni	3.3865460526552228e-12
H3K27me1_mut_clust1,H3K27me1_mut_clust3	Wilcoxon rank-sum	11.750897806184526	6.987249725753566e-32	bonferroni	1.048087458863035e-30
H3K27me1_mut_clust1,H3K27me1_mut_clust4	Wilcoxon rank-sum	30.148903082874238	1.1087329858166282e-199	bonferroni	1.6630994787249422e-198
H3K27me1_mut_clust1,H3K27me1_mut_clust5	Wilcoxon rank-sum	19.82761969861354	1.7198837457832072e-87	bonferroni	2.5798256186748106e-86
H3K27me1_mut_clust1,H3K27me1_mut_clust6	Wilcoxon rank-sum	20.718250584734353	2.371464273563054e-95	bonferroni	3.557196410344581e-94
H3K27me1_mut_clust2,H3K27me1_mut_clust3	Wilcoxon rank-sum	4.184112828517761	2.8628190653819607e-05	bonferroni	0.0004294228598072941
H3K27me1_mut_clust2,H3K27me1_mut_clust4	Wilcoxon rank-sum	24.275605482965513	3.5487599156181495e-130	bonferroni	5.3231398734272244e-129
H3K27me1_mut_clust2,H3K27me1_mut_clust5	Wilcoxon rank-sum	17.10896677109082	1.2723650737760605e-65	bonferroni	1.9085476106640908e-64
H3K27me1_mut_clust2,H3K27me1_mut_clust6	Wilcoxon rank-sum	15.716064113582862	1.1739349171826846e-55	bonferroni	1.7609023757740268e-54
H3K27me1_mut_clust3,H3K27me1_mut_clust4	Wilcoxon rank-sum	21.82352622959999	1.3873806366496725e-105	bonferroni	2.081070954974509e-104
H3K27me1_mut_clust3,H3K27me1_mut_clust5	Wilcoxon rank-sum	16.58605927742396	8.790205376484412e-62	bonferroni	1.3185308064726616e-60
H3K27me1_mut_clust3,H3K27me1_mut_clust6	Wilcoxon rank-sum	13.651173832768436	1.986526369422819e-42	bonferroni	2.9797895541342284e-41
H3K27me1_mut_clust4,H3K27me1_mut_clust5	Wilcoxon rank-sum	5.373889425926043	7.705612203143946e-08	bonferroni	1.1558418304715919e-06
H3K27me1_mut_clust4,H3K27me1_mut_clust6	Wilcoxon rank-sum	-4.953457424083272	7.290631611529291e-07	bonferroni	1.0935947417293936e-05
H3K27me1_mut_clust5,H3K27me1_mut_clust6	Wilcoxon rank-sum	-8.585545784098112	9.040619027543101e-18	bonferroni	1.3560928541314653e-16
