Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Bap1_Math1_ctrl_3200_2 - polya	(1, 0.04027835103339054)	(2, 0.055364556519723634)	(3, 0.0774958382066624)	(4, 0.10057955021587088)	(5, 0.12524822260870375)	(6, 0.15286870195452515)	(7, 0.18369545436997206)	(8, 0.21364975152837803)	(9, 0.24234625902454995)	(10, 0.285565511320216)	(12, 0.34180979355745594)	(14, 0.3965999836996276)	(16, 0.45113934295540004)	(18, 0.5059331683278093)	(20, 0.5618357389227082)	(22, 0.6165459539996512)	(24, 0.6719141457496125)	(26, 0.7279512198633051)	(28, 0.7832176251666116)	(30, 0.8391783594453133)	(32, 0.8956662021084771)	(34, 0.9510089472467748)	(36, 1.006722485869315)	(38, 1.0622288163683076)	(40, 1.1187639170245611)	(42, 1.174190272458325)	(44, 1.2294130549987798)	(46, 1.2844431703366377)	(48, 1.3390079762040736)	(50, 1.3942125825933398)	(52, 1.4480067196503899)	(54, 1.501829938549341)	(56, 1.5558240132694627)	(58, 1.609799911838396)	(60, 1.6635940488954462)	(62, 1.7173154813477427)	(64, 1.7706479441646086)	(66, 1.8252345614134704)	(68, 1.8787306095910314)	(70, 1.931670467542229)	(72, 1.9847121119400808)	(74, 2.036961276146121)	(76, 2.0888614582493443)	(78, 2.13952566207176)	(80, 2.190458872931763)	(82, 2.2397089721917247)	(84, 2.289137197733332)	(86, 2.338827159852052)	(88, 2.3875501507275514)	(90, 2.4245895116191774)
Bap1_Math1_ctrl_3200_2 - polyg	(1, 0.40772015299666203)	(2, 0.4169390968793948)	(3, 0.41727353806126044)	(4, 0.4180369364111713)	(5, 0.4183350252906603)	(6, 0.41847316403969176)	(7, 0.41875671199823006)	(8, 0.41912750548247246)	(9, 0.4198181992276299)	(10, 0.4205197986635003)	(12, 0.422322872861385)	(14, 0.4231298939741478)	(16, 0.42347524084672655)	(18, 0.42380241156811693)	(20, 0.4240459719940408)	(22, 0.4242313687361621)	(24, 0.42452945761565103)	(26, 0.4247257600484853)	(28, 0.4249293329417948)	(30, 0.4252056104398578)	(32, 0.42555822777291186)	(34, 0.4258381405012125)	(36, 0.4264852114835178)	(38, 0.4268487345072849)	(40, 0.42740128950341083)	(42, 0.42808107755785524)	(44, 0.4287645008425373)	(46, 0.4297351073159954)	(48, 0.43045851813329183)	(50, 0.43105106066203214)	(52, 0.43323946926510987)	(54, 0.4352097640539273)	(56, 0.4360749488504929)	(58, 0.4370637314751393)	(60, 0.4381433948557275)	(62, 0.4393975492877239)	(64, 0.4408988993758819)	(66, 0.44177135463292283)	(68, 0.4433163274839328)	(70, 0.4450721436887277)	(72, 0.44697700433326715)	(74, 0.4618378255448647)	(76, 3.496651625780384)	(78, 6.144993193758426)	(80, 6.229036081623134)	(82, 6.409365312793023)	(84, 6.738815323542399)	(86, 6.815940368264818)	(88, 6.939152861940427)	(90, 7.093359328622414)
Bap1_Math1_mut_3201_1 - illumina_universal_adapter	(1, 6.165153195323432)	(2, 6.213879927098908)	(3, 6.250828342915412)	(4, 6.306377739121134)	(5, 6.367735619909364)	(6, 6.5176267914968395)	(7, 6.7864996988577335)	(8, 7.93969133436334)	(9, 7.980465974150861)	(10, 8.039288405319741)	(12, 8.27671021262972)	(14, 8.667618920078247)	(16, 8.962491710808461)	(18, 9.137679754734434)	(20, 9.261467320013619)	(22, 9.346358783177799)	(24, 9.44156491638433)	(26, 9.587065150221932)	(28, 9.838639376316273)	(30, 10.069745609119874)	(32, 10.259927380112993)	(34, 10.439079945261948)	(36, 10.663386563177298)	(38, 10.919870341716376)	(40, 11.223133165732431)	(42, 11.570213169079224)	(44, 11.965247744544692)	(46, 12.406773246212211)	(48, 12.892761314386302)	(50, 13.423442444486907)	(52, 13.97486816238218)	(54, 14.556546404144676)	(56, 15.155534851944724)	(58, 15.76596739734483)	(60, 16.392857315728705)	(62, 17.041506001754993)	(64, 17.70360409553482)	(66, 18.382263285237393)	(68, 19.0638843410862)	(70, 19.75110643563957)	(72, 20.44553151206609)	(74, 21.152956530177267)	(76, 21.87308184592718)	(78, 22.59520094705958)	(80, 23.31631739311524)	(82, 24.04497103940296)	(84, 24.786301933787424)	(86, 25.540091105619688)	(88, 26.30919669810701)	(90, 26.903402365943286)
Bap1_Math1_mut_3201_1 - polya	(1, 0.03973741039778669)	(2, 0.043194841696898065)	(3, 0.04473916101050114)	(4, 0.046214331698121995)	(5, 0.04780475009571322)	(6, 0.05052459605101417)	(7, 0.05388982918214923)	(8, 0.05831534124501179)	(9, 0.06195716888007577)	(10, 0.06784632685956213)	(12, 0.07527980415265159)	(14, 0.08430369984333226)	(16, 0.0923710395412588)	(18, 0.10123358843798094)	(20, 0.10947379970086304)	(22, 0.11771401096374515)	(24, 0.12732566997527475)	(26, 0.13780168681158222)	(28, 0.14861192200680376)	(30, 0.15837340304129488)	(32, 0.16791591342684226)	(34, 0.178783772477049)	(36, 0.18974382969523204)	(38, 0.1988829730958831)	(40, 0.20825261191647493)	(42, 0.21839441039386825)	(44, 0.22938904192504245)	(46, 0.23890850276859574)	(48, 0.24852016178012534)	(50, 0.25825859327262235)	(52, 0.26776652934517864)	(54, 0.27863438839538535)	(56, 0.28985951534650034)	(58, 0.30019723493084327)	(60, 0.3104081820342189)	(62, 0.3209648722675056)	(64, 0.33093379917994337)	(66, 0.34128304353528344)	(68, 0.3510329997987775)	(70, 0.3605755101843249)	(72, 0.3697838022109582)	(74, 0.3794069859934848)	(76, 0.3887074761880944)	(78, 0.3970629351609469)	(80, 0.40644409875253573)	(82, 0.41543342013022533)	(84, 0.4247915341798201)	(86, 0.4338269546414978)	(88, 0.44330031640106293)	(90, 0.4508490414041228)
Bap1_Math1_mut_3201_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003687926719052129)	(4, 0.0007375853438104258)	(5, 0.0011063780157156387)	(6, 0.0014290716036327)	(7, 0.001913111985508292)	(8, 0.0024432514513720357)	(9, 0.0030425395432180065)	(10, 0.003803174429022508)	(12, 0.004990225841717412)	(14, 0.006050504773444899)	(16, 0.006765040575261249)	(18, 0.007571774545053903)	(20, 0.008401558056840631)	(22, 0.009392688362585892)	(24, 0.010429917752319303)	(26, 0.011236651722111956)	(28, 0.012181682943869064)	(30, 0.013265011417590625)	(32, 0.014359864662309228)	(34, 0.015593015158992283)	(36, 0.01692988859464868)	(38, 0.018520306992239912)	(40, 0.02049104283273339)	(42, 0.02495112920858706)	(44, 0.029422740355437765)	(46, 1.0659030199740416)	(48, 2.0901670423357857)	(50, 2.110254718183622)	(52, 2.17092111271203)	(54, 2.4254572049526093)	(56, 2.441246141218551)	(58, 2.502465724754816)	(60, 2.614924440143912)	(62, 2.6846493046759914)	(64, 2.7276021261819516)	(66, 3.1395320159290776)	(68, 3.7428537776240116)	(70, 4.3600744131413744)	(72, 6.364658506053155)	(74, 7.426216687361314)	(76, 7.787114891133555)	(78, 8.25414471101752)	(80, 8.679904325961092)	(82, 8.940225853242183)	(84, 9.206816855945664)	(86, 9.489980479342886)	(88, 9.72978791424925)	(90, 9.881960990494138)
Bap1_Math1_mut_3201_2 - illumina_universal_adapter	(1, 6.308728792404531)	(2, 6.355680709446463)	(3, 6.388088365490134)	(4, 6.435362976119983)	(5, 6.487362742858618)	(6, 6.624069576425482)	(7, 6.880910622865469)	(8, 8.272342324421842)	(9, 8.313624054133232)	(10, 8.372688505493052)	(12, 8.556151334994897)	(14, 8.901249077730201)	(16, 9.213409024955968)	(18, 9.409560627325554)	(20, 9.550059110550443)	(22, 9.657850293685739)	(24, 9.811060599320362)	(26, 9.958381746975498)	(28, 10.070010678852807)	(30, 10.197359398370075)	(32, 10.345083913010107)	(34, 10.520329580791065)	(36, 10.739887993055635)	(38, 10.992614696249678)	(40, 11.29577379732676)	(42, 11.643188019032468)	(44, 12.039006278925735)	(46, 12.482629288914715)	(48, 12.968467535065844)	(50, 13.499356111044396)	(52, 14.051023849130605)	(54, 14.632667516580112)	(56, 15.231990182739075)	(58, 15.843079640086012)	(60, 16.471502353012497)	(62, 17.122098725337278)	(64, 17.78557979163675)	(66, 18.46517248779008)	(68, 19.148798853792375)	(70, 19.837588317201345)	(72, 20.53427224874328)	(74, 21.244082894450845)	(76, 21.966294193751224)	(78, 22.690199634388165)	(80, 23.412019091474644)	(82, 24.142770246083828)	(84, 24.88592205428582)	(86, 25.640552534400868)	(88, 26.41149056547672)	(90, 27.007240552626598)
Bap1_Math1_mut_3201_2 - polya	(1, 0.03441296619715518)	(2, 0.04727461062984948)	(3, 0.06472311391936486)	(4, 0.0844074227823056)	(5, 0.10662718126459468)	(6, 0.1307139526484039)	(7, 0.15950283059900458)	(8, 0.18944418564930907)	(9, 0.21802561772196305)	(10, 0.2601832300291277)	(12, 0.3153292592499541)	(14, 0.37163929034148124)	(16, 0.4269581911272632)	(18, 0.481631704737211)	(20, 0.5384257762106138)	(22, 0.5941941430652802)	(24, 0.6504580750728193)	(26, 0.706341689637456)	(28, 0.7620063335531491)	(30, 0.8164147774301651)	(32, 0.8715953809639825)	(34, 0.9278708377425187)	(36, 0.9824521531844901)	(38, 1.036549428244586)	(40, 1.0914649620454717)	(42, 1.145689009586535)	(44, 1.2029325471288224)	(46, 1.258827686464456)	(48, 1.3133629028224394)	(50, 1.365524016355033)	(52, 1.4170282179407954)	(54, 1.4705377296800424)	(56, 1.5231598340525174)	(58, 1.57559754208904)	(60, 1.6284962409654438)	(62, 1.6810261471699426)	(64, 1.7346048075351719)	(66, 1.7888403798472323)	(68, 1.8415546823876836)	(70, 1.8916298123698132)	(72, 1.9410019313211238)	(74, 1.99159567599812)	(76, 2.04198197479717)	(78, 2.0947654259636037)	(80, 2.1455896660605402)	(82, 2.195019408866836)	(84, 2.2428817828175345)	(86, 2.292369149478815)	(88, 2.3406925142693953)	(90, 2.3769379190550795)
Bap1_Math1_mut_3201_2 - polyg	(1, 0.41099638329636573)	(2, 0.4197782587961086)	(3, 0.42028534871997825)	(4, 0.4207232900178657)	(5, 0.4209537854378065)	(6, 0.4211612313157531)	(7, 0.42146087536167615)	(8, 0.4218988166595636)	(9, 0.4227286001713503)	(10, 0.4235814332251311)	(12, 0.4252870993326927)	(14, 0.4260707837604913)	(16, 0.42637042780641426)	(18, 0.4267622700203136)	(20, 0.42705038929523953)	(22, 0.4274076571961477)	(24, 0.4276496773870855)	(26, 0.4279147471200173)	(28, 0.4282259159369374)	(30, 0.42847946089887223)	(32, 0.4288367287997804)	(34, 0.42930924441065893)	(36, 0.42995463158649305)	(38, 0.4306000187623272)	(40, 0.431153207770185)	(42, 0.43190231788499245)	(44, 0.4326399032288029)	(46, 0.4337347564735215)	(48, 0.4345645399853082)	(50, 0.4351984023901453)	(52, 0.4362702060928698)	(54, 0.4371691382306388)	(56, 0.4380680703684078)	(58, 0.43913987407113225)	(60, 0.44008490529288935)	(62, 0.44128348147658136)	(64, 0.442701028309217)	(66, 0.4437613072409444)	(68, 0.4447754870886838)	(70, 0.44618150915032245)	(72, 0.44764515506694624)	(74, 0.4651397574404498)	(76, 3.903151817421812)	(78, 6.711646311231973)	(80, 6.845990566744444)	(82, 7.267025025579229)	(84, 8.22080354852309)	(86, 8.345904937695934)	(88, 8.605880721847118)	(90, 8.934394319117683)
Bap1_Math1_mut_3391_1 - illumina_universal_adapter	(1, 6.032295644366443)	(2, 6.062995963320934)	(3, 6.082393787328923)	(4, 6.1090095777769795)	(5, 6.146677188136848)	(6, 6.241631416718713)	(7, 6.394329376821126)	(8, 6.862162719505622)	(9, 6.897662728094928)	(10, 6.943458845094404)	(12, 7.08201209772463)	(14, 7.3121760163416525)	(16, 7.505627101569174)	(18, 7.635111816179702)	(20, 7.735415007634161)	(22, 7.816209783153561)	(24, 7.909424032082866)	(26, 8.052994471804478)	(28, 8.327428338827417)	(30, 8.507612079204169)	(32, 8.646522912398586)	(34, 8.774673151089143)	(36, 8.916009633883952)	(38, 9.067874468135775)	(40, 9.231288785971223)	(42, 9.409198019047912)	(44, 9.599814264544884)	(46, 9.806905020777641)	(48, 10.035601753162211)	(50, 10.287500671845956)	(52, 10.555479656725609)	(54, 10.846671887097145)	(56, 11.154957942996054)	(58, 11.487972353787704)	(60, 11.8455713499669)	(62, 12.233030166454858)	(64, 12.645836652627144)	(66, 13.080621441105707)	(68, 13.53856417911262)	(70, 14.017817981465825)	(72, 14.518596659224322)	(74, 15.0389759128571)	(76, 15.576994578857462)	(78, 16.12818105697423)	(80, 16.687389136201112)	(82, 17.261350178499058)	(84, 17.843679343278595)	(86, 18.43953021434116)	(88, 19.045083683805295)	(90, 19.505835456759772)
Bap1_Math1_mut_3391_1 - polya	(1, 0.018999693070538407)	(2, 0.021513816212584816)	(3, 0.022752445795763104)	(4, 0.02396158419838953)	(5, 0.025214959371843752)	(6, 0.027463661888923387)	(7, 0.031105822687078594)	(8, 0.0355516181552721)	(9, 0.04033656219981204)	(10, 0.047104788136464834)	(12, 0.05510795725872694)	(14, 0.06404747136351072)	(16, 0.07347727634496926)	(18, 0.08261216952090913)	(20, 0.09155905642083088)	(22, 0.09993455169756027)	(24, 0.10888512499505101)	(26, 0.11873149290180463)	(28, 0.12880273106026618)	(30, 0.1384094831250359)	(32, 0.14819686867068577)	(34, 0.1588210664644948)	(36, 0.16998347830337535)	(38, 0.17995518372747438)	(40, 0.18937024311865697)	(42, 0.1989475040028748)	(44, 0.20869802557283484)	(46, 0.2182531680716388)	(48, 0.22802580802701272)	(50, 0.23734133468383278)	(52, 0.24746418240826012)	(54, 0.25750592938616984)	(56, 0.26820754152892745)	(58, 0.278304584470372)	(60, 0.28819518914795333)	(62, 0.2978535507786888)	(64, 0.307578267565666)	(66, 0.31726243397938436)	(68, 0.32780921742424474)	(70, 0.3370620753223921)	(72, 0.34653243067710937)	(74, 0.35658523684772603)	(76, 0.36570907083095894)	(78, 0.3745748569843631)	(80, 0.3835291166794228)	(82, 0.39243545320608575)	(84, 0.40173992067019887)	(86, 0.41053197887222337)	(88, 0.41994703826340596)	(90, 0.426877465693094)
Bap1_Math1_mut_3391_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004866044791057566)	(4, 0.000796261874900329)	(5, 0.0011649016317986296)	(6, 0.001563032569248794)	(7, 0.0020348914580786185)	(8, 0.0026320878642538655)	(9, 0.0031997930898772483)	(10, 0.004228298011623506)	(12, 0.005562773931595355)	(14, 0.006735048358531949)	(16, 0.008010541917400069)	(18, 0.009145952368646834)	(20, 0.010266617229617667)	(22, 0.011394654885726468)	(24, 0.012777053974095095)	(26, 0.01387560044965203)	(28, 0.015158466803658115)	(30, 0.016548238687164707)	(32, 0.01784953702901571)	(34, 0.018959142697279593)	(36, 0.020286245822113476)	(38, 0.021528561802860745)	(40, 0.022837232939849714)	(42, 0.024186454450097497)	(44, 0.025598344719017986)	(46, 0.08269327026742677)	(48, 0.138169867283052)	(50, 0.1398176869963874)	(52, 0.14241659728252043)	(54, 0.14763284984263136)	(56, 0.14937651589276035)	(58, 0.15282329761975944)	(60, 0.15804323657743938)	(62, 0.16234894893801155)	(64, 0.16857527443202383)	(66, 0.3097643013240729)	(68, 0.4250748172818613)	(70, 0.9971115600487991)	(72, 4.768248349950016)	(74, 6.250235468644719)	(76, 6.430655138465885)	(78, 6.719893578125861)	(80, 7.0244748044679435)	(82, 7.1668434785820665)	(84, 7.3496887980036245)	(86, 7.57958729599568)	(88, 7.757765636094905)	(90, 7.87551654724336)
Bap1_Math1_mut_3391_2 - illumina_universal_adapter	(1, 6.118446755553577)	(2, 6.147878953744336)	(3, 6.1656916267976625)	(4, 6.18926245285374)	(5, 6.222948753839106)	(6, 6.315197166605337)	(7, 6.466685988305125)	(8, 7.21475190138857)	(9, 7.2508343607937755)	(10, 7.296726324130045)	(12, 7.414904857396502)	(14, 7.630555428784439)	(16, 7.832404127674104)	(18, 7.972026435599335)	(20, 8.080848891835714)	(22, 8.17161905917678)	(24, 8.283578639744364)	(26, 8.40100146150918)	(28, 8.505201175194053)	(30, 8.615715687914594)	(32, 8.731656577856679)	(34, 8.85565961928213)	(36, 8.992141116478589)	(38, 9.139357403395923)	(40, 9.301381949347865)	(42, 9.479825710072056)	(44, 9.670810595325928)	(46, 9.878502234362431)	(48, 10.107541801720913)	(50, 10.359444406802229)	(52, 10.627733049077674)	(54, 10.91936396075992)	(56, 11.22787120051297)	(58, 11.562013648960727)	(60, 11.92056742211029)	(62, 12.308977329171046)	(64, 12.723162528034132)	(66, 13.1593370883962)	(68, 13.619428996185832)	(70, 14.1004817605527)	(72, 14.602701819760668)	(74, 15.12564680610146)	(76, 15.66614273126818)	(78, 16.21978435016589)	(80, 16.781005202465433)	(82, 17.357377148773494)	(84, 17.941918152094424)	(86, 18.54019835915495)	(88, 19.148055827099697)	(90, 19.61122219046186)
Bap1_Math1_mut_3391_2 - polya	(1, 0.05335691841346001)	(2, 0.074833870650355)	(3, 0.10809254951771967)	(4, 0.14355569413133618)	(5, 0.1821375310883123)	(6, 0.22394865231571753)	(7, 0.27129674269173526)	(8, 0.316027490793775)	(9, 0.35971130198622364)	(10, 0.4240315667698391)	(12, 0.5085754086168953)	(14, 0.5930971320785376)	(16, 0.6770253455315738)	(18, 0.7609019494186441)	(20, 0.8439380546599862)	(22, 0.9265428513857574)	(24, 1.0082924038755245)	(26, 1.0907018215301396)	(28, 1.1743093183946742)	(30, 1.2578983832713637)	(32, 1.3412625778963454)	(34, 1.4258948932850573)	(36, 1.5090932000194348)	(38, 1.5917938430819993)	(40, 1.6739488993043548)	(42, 1.7564136129225045)	(44, 1.836331025820487)	(46, 1.9173838491697164)	(48, 1.9984145541335319)	(50, 2.0804184680555586)	(52, 2.159974613991781)	(54, 2.2411527748583557)	(56, 2.3206794296140263)	(58, 2.401378358796633)	(60, 2.4801640476409377)	(62, 2.558588469523482)	(64, 2.636482050156093)	(66, 2.714357198800859)	(68, 2.7924314129143504)	(70, 2.8699563537900628)	(72, 2.9472674836067743)	(74, 3.023022953649375)	(76, 3.0983913519472326)	(78, 3.1734795840298475)	(80, 3.2483687506437375)	(82, 3.3207106165374594)	(84, 3.392871848950302)	(86, 3.464730796762488)	(88, 3.535966743385515)	(90, 3.5906618241165162)
Bap1_Math1_mut_3391_2 - polyg	(1, 0.42064008100637473)	(2, 0.4302320874808685)	(3, 0.4306081000329048)	(4, 0.4313085155710116)	(5, 0.43175825607442747)	(6, 0.4321490142167397)	(7, 0.43244392602225834)	(8, 0.43287154814026035)	(9, 0.4338373843033339)	(10, 0.43462627338309623)	(12, 0.4365505729141054)	(14, 0.43761594181154145)	(16, 0.43808780070037134)	(18, 0.43856334598677016)	(20, 0.439024145682893)	(22, 0.4393190574884116)	(24, 0.4396803244501719)	(26, 0.44004159141193233)	(28, 0.4405208230959001)	(30, 0.44105535074340263)	(32, 0.44158619199333615)	(34, 0.442050678087028)	(36, 0.44293541350358395)	(38, 0.4436616338246736)	(40, 0.4444025997360392)	(42, 0.44524309838176734)	(44, 0.44605041944937457)	(46, 0.44719688909332833)	(48, 0.44814060687098795)	(50, 0.44924652614168287)	(52, 0.4525458519659227)	(54, 0.4554138692745914)	(56, 0.45696584265113327)	(58, 0.45834086894436393)	(60, 0.4599297062965956)	(62, 0.4618429466348978)	(64, 0.46412851312766723)	(66, 0.4655920129625535)	(68, 0.46772275075742564)	(70, 0.470255305887317)	(72, 0.47390852587817917)	(74, 0.501036725588325)	(76, 3.8983838611873725)	(78, 6.5953412634626325)	(80, 6.685300423338524)	(82, 6.916769326694967)	(84, 7.30914211114238)	(86, 7.397239640245935)	(88, 7.550070310660834)	(90, 7.740432194725547)
