Module	Section	Sample Name	Source
Bismark	m_bias	Bap1_Math1_mut_3391_1_val_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/36/Bap1_Math1_mut_3391_1_val_1_bismark_bt2_pe.deduplicated.M-bias.txt
QualiMap	genome_results	Bap1_Math1_mut_3201	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/27/Bap1_Math1_mut_3201/genome_results.txt
QualiMap	genome_results	Bap1_Math1_ctrl_3200	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/29/Bap1_Math1_ctrl_3200/genome_results.txt
QualiMap	genome_results	Bap1_Math1_ctrl_3139	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/30/Bap1_Math1_ctrl_3139/genome_results.txt
QualiMap	genome_results	Bap1_Math1_mut_3391	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/28/Bap1_Math1_mut_3391/genome_results.txt
QualiMap	coverage_histogram	Bap1_Math1_mut_3201	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/27/Bap1_Math1_mut_3201/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	Bap1_Math1_ctrl_3200	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/29/Bap1_Math1_ctrl_3200/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	Bap1_Math1_ctrl_3139	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/30/Bap1_Math1_ctrl_3139/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	Bap1_Math1_mut_3391	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/28/Bap1_Math1_mut_3391/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	Bap1_Math1_mut_3201	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/27/Bap1_Math1_mut_3201/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	Bap1_Math1_ctrl_3200	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/29/Bap1_Math1_ctrl_3200/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	Bap1_Math1_ctrl_3139	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/30/Bap1_Math1_ctrl_3139/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	Bap1_Math1_mut_3391	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/28/Bap1_Math1_mut_3391/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	Bap1_Math1_mut_3201	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/27/Bap1_Math1_mut_3201/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	Bap1_Math1_ctrl_3200	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/29/Bap1_Math1_ctrl_3200/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	Bap1_Math1_ctrl_3139	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/30/Bap1_Math1_ctrl_3139/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	Bap1_Math1_mut_3391	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/28/Bap1_Math1_mut_3391/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Cutadapt	all_sections	Bap1_Math1_ctrl_3139_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/17/Bap1_Math1_ctrl_3139_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Bap1_Math1_ctrl_3139_2	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/18/Bap1_Math1_ctrl_3139_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Bap1_Math1_ctrl_3200_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/15/Bap1_Math1_ctrl_3200_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Bap1_Math1_ctrl_3200_2	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/16/Bap1_Math1_ctrl_3200_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Bap1_Math1_mut_3201_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/11/Bap1_Math1_mut_3201_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Bap1_Math1_mut_3201_2	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/12/Bap1_Math1_mut_3201_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Bap1_Math1_mut_3391_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/13/Bap1_Math1_mut_3391_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Bap1_Math1_mut_3391_2	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/14/Bap1_Math1_mut_3391_2.fastq.gz_trimming_report.txt
FastQC	all_sections	Bap1_Math1_ctrl_3139_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/9/Bap1_Math1_ctrl_3139_1_fastqc.zip
FastQC	all_sections	Bap1_Math1_ctrl_3139_2	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/10/Bap1_Math1_ctrl_3139_2_fastqc.zip
FastQC	all_sections	Bap1_Math1_ctrl_3200_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/7/Bap1_Math1_ctrl_3200_1_fastqc.zip
FastQC	all_sections	Bap1_Math1_ctrl_3200_2	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/8/Bap1_Math1_ctrl_3200_2_fastqc.zip
FastQC	all_sections	Bap1_Math1_mut_3201_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/3/Bap1_Math1_mut_3201_1_fastqc.zip
FastQC	all_sections	Bap1_Math1_mut_3201_2	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/4/Bap1_Math1_mut_3201_2_fastqc.zip
FastQC	all_sections	Bap1_Math1_mut_3391_1	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/5/Bap1_Math1_mut_3391_1_fastqc.zip
FastQC	all_sections	Bap1_Math1_mut_3391_2	/expanse/lustre/scratch/zalibhai/temp_project/work_methylseq/a8/04fac371f7f65644fffaa9f9534726/6/Bap1_Math1_mut_3391_2_fastqc.zip
