loop_id	direction	loop_type	anchor	gene
loop_1364	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	23965
loop_1364	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	100039954
loop_1379	down_in_mutant	Other-Other	anchor1_nearest_gene	75996
loop_1379	down_in_mutant	Other-Other	anchor2_nearest_gene	58198
loop_1570	down_in_mutant	Other-Other	anchor1_nearest_gene	21387
loop_1570	down_in_mutant	Other-Other	anchor2_nearest_gene	103889
loop_2812	down_in_mutant	Other-Other	anchor1_nearest_gene	69909
loop_2812	down_in_mutant	Other-Other	anchor2_nearest_gene	75395
loop_4978	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor1_nearest_gene	102465211
loop_4978	up_in_mutant	Active_Enhancer-Poised_Enhancer	anchor2_nearest_gene	102465211
loop_5064	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	23965
loop_5064	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_5073	up_in_mutant	Other-Other	anchor1_nearest_gene	270058
loop_5073	up_in_mutant	Other-Other	anchor2_nearest_gene	74015
loop_5077	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	100039954
loop_5077	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	15111
loop_6819	up_in_mutant	Other-Other	anchor1_nearest_gene	100019
loop_6819	up_in_mutant	Other-Other	anchor2_nearest_gene	109093
loop_7450	up_in_mutant	Other-Other	anchor1_nearest_gene	100039954
loop_7450	up_in_mutant	Other-Other	anchor2_nearest_gene	15111
loop_8807	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	69419
loop_8807	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	236193
loop_8870	up_in_mutant	Active_Enhancer-Active_Enhancer	anchor1_nearest_gene	21951
loop_8870	up_in_mutant	Active_Enhancer-Active_Enhancer	anchor2_nearest_gene	67276
loop_9088	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor1_nearest_gene	320685
loop_9088	down_in_mutant	Poised_Enhancer-Poised_Enhancer	anchor2_nearest_gene	100039954
loop_9154	down_in_mutant	Other-Other	anchor1_nearest_gene	434280
loop_9154	down_in_mutant	Other-Other	anchor2_nearest_gene	58198
loop_10464	down_in_mutant	Other-Other	anchor1_nearest_gene	69909
loop_10464	down_in_mutant	Other-Other	anchor2_nearest_gene	14607
loop_13418	down_in_mutant	Promoter-Other	anchor1_nearest_gene	18089
loop_13418	down_in_mutant	Promoter-Other	anchor2_nearest_gene	16814
loop_15022	down_in_mutant	Other-Other	anchor1_nearest_gene	100504145
loop_15022	down_in_mutant	Other-Other	anchor2_nearest_gene	18741
loop_19036	down_in_mutant	Other-Other	anchor1_nearest_gene	66880
loop_19036	down_in_mutant	Other-Other	anchor2_nearest_gene	100504145
loop_19672	down_in_mutant	Other-Other	anchor1_nearest_gene	21907
loop_19672	down_in_mutant	Other-Other	anchor2_nearest_gene	20464
loop_20652	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	66732
loop_20652	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	93688
