15	9	E	-3124092.9341970817	66
probinit	1	2.699933356411238E-231
probinit	2	0.0
probinit	3	2.008277150371261E-221
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	2.26705514458649E-175
probinit	10	0.0
probinit	11	3.035348859655342E-161
probinit	12	1.0
probinit	13	6.86605046791542E-148
probinit	14	1.8803550414416225E-173
probinit	15	2.9762501610126536E-191
transitionprobs	7	2	6.175274326645591E-5
transitionprobs	7	3	2.8307658269824854E-4
transitionprobs	7	4	0.0017610383188908555
transitionprobs	7	5	0.009410468801442093
transitionprobs	7	6	0.010531152562885988
transitionprobs	7	7	0.861944039210583
transitionprobs	7	8	0.011350010347275936
transitionprobs	7	9	0.004249179057310643
transitionprobs	7	10	0.08419496570553027
transitionprobs	7	11	0.0062976873308940315
transitionprobs	7	12	0.009759168362650571
transitionprobs	7	13	0.0
transitionprobs	7	14	1.3552118845571695E-4
transitionprobs	7	15	2.193978811611893E-5
transitionprobs	8	1	8.350749040412911E-4
transitionprobs	8	2	0.011178311555655362
transitionprobs	8	3	0.0013815870414394602
transitionprobs	8	4	0.003680368283979965
transitionprobs	8	5	0.021711427661792147
transitionprobs	8	6	9.687418358053452E-5
transitionprobs	8	7	0.010091164798719802
transitionprobs	8	8	0.8401378047065274
transitionprobs	8	9	0.09123631584225382
transitionprobs	8	10	0.0011388502795294222
transitionprobs	8	11	0.0
transitionprobs	8	12	0.018047592258285818
transitionprobs	8	13	9.467055505469642E-5
transitionprobs	8	14	2.158927786948954E-4
transitionprobs	8	15	1.540651504452785E-4
transitionprobs	9	1	0.0014702330039244316
transitionprobs	9	2	8.060506220404034E-4
transitionprobs	9	3	0.00865449142314362
transitionprobs	9	4	1.921344669326411E-4
transitionprobs	9	5	0.004804222754348912
transitionprobs	9	6	0.0
transitionprobs	9	7	0.004479082897440849
transitionprobs	9	8	0.11439853911568314
transitionprobs	9	9	0.7276772139544981
transitionprobs	9	10	0.02040741391210348
transitionprobs	9	11	6.174743132270602E-4
transitionprobs	9	12	0.11339907311266129
transitionprobs	9	13	0.0016092721223316868
transitionprobs	9	14	9.68614180983099E-4
transitionprobs	9	15	5.16184120681159E-4
transitionprobs	10	1	3.047982249371034E-5
transitionprobs	10	2	3.892105339175471E-4
transitionprobs	10	3	0.0011624027746267758
transitionprobs	10	4	9.115191800260002E-5
transitionprobs	10	5	9.627498966943399E-4
transitionprobs	10	6	9.134834369223816E-4
transitionprobs	10	7	0.10890891160748889
transitionprobs	10	8	0.0014351664819953656
transitionprobs	10	9	0.022181501344984898
transitionprobs	10	10	0.7992953613090852
transitionprobs	10	11	0.02402244095760924
transitionprobs	10	12	0.03960499617234169
transitionprobs	10	13	4.393369822484659E-4
transitionprobs	10	14	5.026252092399743E-4
transitionprobs	10	15	6.018155234906734E-5
transitionprobs	11	1	2.3326446101394293E-4
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0018414880861060902
transitionprobs	11	4	0.011346393671296187
transitionprobs	11	5	0.0018785440715119702
transitionprobs	11	6	0.12721997892381806
transitionprobs	11	7	0.01738941217350869
transitionprobs	11	8	7.949167451365763E-5
transitionprobs	11	9	0.001466215151394709
transitionprobs	11	10	0.05729701550561761
transitionprobs	11	11	0.625713606420866
transitionprobs	11	12	0.15268621959661405
transitionprobs	11	13	6.743171086908696E-4
transitionprobs	11	14	0.0016576167350917713
transitionprobs	11	15	5.164364199561349E-4
transitionprobs	12	1	9.08638213182691E-4
transitionprobs	12	2	1.9033417505379544E-4
transitionprobs	12	3	4.65188818359188E-4
transitionprobs	12	4	8.1389900357266E-5
transitionprobs	12	5	0.005983634606941546
transitionprobs	12	6	8.03121048227443E-5
transitionprobs	12	7	6.580244028775317E-5
transitionprobs	12	8	1.3682234606261543E-4
transitionprobs	12	9	6.645486380468459E-4
transitionprobs	12	10	2.2837141820792467E-4
transitionprobs	12	11	3.564867005979396E-4
transitionprobs	12	12	0.9873102520493705
transitionprobs	12	13	9.371754374345727E-4
transitionprobs	12	14	0.0011916337940216693
transitionprobs	12	15	0.0013994093572528036
transitionprobs	13	1	3.071308645130941E-4
transitionprobs	13	2	8.808063458660468E-5
transitionprobs	13	3	9.405329803131648E-4
transitionprobs	13	4	3.6980905444975175E-4
transitionprobs	13	5	0.0903655315242395
transitionprobs	13	6	2.46131732102836E-4
transitionprobs	13	7	4.7072596587695206E-5
transitionprobs	13	8	4.1011883599343627E-4
transitionprobs	13	9	0.0033674376542201607
transitionprobs	13	10	0.0010309158733166237
transitionprobs	13	11	7.876611511969849E-4
transitionprobs	13	12	0.3468514838302508
transitionprobs	13	13	0.5470498972815333
transitionprobs	13	14	0.006562872930540915
transitionprobs	13	15	0.0015753230561551305
transitionprobs	14	1	0.001753824011889278
transitionprobs	14	2	2.631841375696109E-4
transitionprobs	14	3	0.001254435156754951
transitionprobs	14	4	3.95472266759054E-4
transitionprobs	14	5	0.013499799816597257
transitionprobs	14	6	3.110078761692026E-4
transitionprobs	14	7	3.3643772965877267E-4
transitionprobs	14	8	4.743429727404315E-4
transitionprobs	14	9	0.0028131196370497925
transitionprobs	14	10	0.0012091760471907335
transitionprobs	14	11	0.0016206784945818127
transitionprobs	14	12	0.45264833974039653
transitionprobs	14	13	0.007320128587151439
transitionprobs	14	14	0.5150191271767558
transitionprobs	14	15	0.0010809263487352326
transitionprobs	15	1	2.827403545099071E-4
transitionprobs	15	2	5.873171519929733E-5
transitionprobs	15	3	3.207533113143168E-4
transitionprobs	15	4	3.283562205307621E-5
transitionprobs	15	5	0.0030625337628029394
transitionprobs	15	6	6.931509817010305E-5
transitionprobs	15	7	3.588363435690178E-5
transitionprobs	15	8	1.3758419948497037E-4
transitionprobs	15	9	4.6807250633713486E-4
transitionprobs	15	10	4.5003706575074406E-5
transitionprobs	15	11	1.054130077260217E-4
transitionprobs	15	12	0.15376136687755113
transitionprobs	15	13	4.0881668413911986E-4
transitionprobs	15	14	1.7319827163610177E-4
transitionprobs	15	15	0.8410377512481436
emissionprobs	1	0	ATAC	0	0.9897711277250739
emissionprobs	1	0	ATAC	1	0.010228872274926176
emissionprobs	1	1	CTCF	0	0.9928731010321964
emissionprobs	1	1	CTCF	1	0.007126898967803566
emissionprobs	1	2	H2AK119ub	0	1.0
emissionprobs	1	2	H2AK119ub	1	3.238679581560644E-82
emissionprobs	1	3	H3K27ac	0	1.0
emissionprobs	1	3	H3K27ac	1	3.5760155586729527E-60
emissionprobs	1	4	H3K27me3	0	0.005825413132485571
emissionprobs	1	4	H3K27me3	1	0.9941745868675145
emissionprobs	1	5	H3K4me1	0	0.9533266460737995
emissionprobs	1	5	H3K4me1	1	0.04667335392620057
emissionprobs	1	6	H3K4me3	0	0.9999999999999977
emissionprobs	1	6	H3K4me3	1	2.3135646524386235E-15
emissionprobs	1	7	H3K9ac	0	0.9999249179832175
emissionprobs	1	7	H3K9ac	1	7.508201678253921E-5
emissionprobs	1	8	H3K9me3	0	0.9875877856840831
emissionprobs	1	8	H3K9me3	1	0.012412214315916876
emissionprobs	2	0	ATAC	0	0.9859633732020213
emissionprobs	2	0	ATAC	1	0.014036626797978676
emissionprobs	2	1	CTCF	0	0.9857362621382767
emissionprobs	2	1	CTCF	1	0.014263737861723236
emissionprobs	2	2	H2AK119ub	0	0.002301125163303897
emissionprobs	2	2	H2AK119ub	1	0.9976988748366961
emissionprobs	2	3	H3K27ac	0	0.9985927283035929
emissionprobs	2	3	H3K27ac	1	0.0014072716964069615
emissionprobs	2	4	H3K27me3	0	2.393890789963028E-4
emissionprobs	2	4	H3K27me3	1	0.9997606109210038
emissionprobs	2	5	H3K4me1	0	0.999995864846522
emissionprobs	2	5	H3K4me1	1	4.135153478010933E-6
emissionprobs	2	6	H3K4me3	0	0.99693656061896
emissionprobs	2	6	H3K4me3	1	0.0030634393810400713
emissionprobs	2	7	H3K9ac	0	0.9295764632859607
emissionprobs	2	7	H3K9ac	1	0.07042353671403939
emissionprobs	2	8	H3K9me3	0	0.982419640980234
emissionprobs	2	8	H3K9me3	1	0.01758035901976603
emissionprobs	3	0	ATAC	0	0.9815583292953853
emissionprobs	3	0	ATAC	1	0.018441670704614756
emissionprobs	3	1	CTCF	0	0.9822272046575197
emissionprobs	3	1	CTCF	1	0.017772795342480323
emissionprobs	3	2	H2AK119ub	0	0.004894214399871693
emissionprobs	3	2	H2AK119ub	1	0.9951057856001283
emissionprobs	3	3	H3K27ac	0	0.9936925836195717
emissionprobs	3	3	H3K27ac	1	0.006307416380428368
emissionprobs	3	4	H3K27me3	0	1.0
emissionprobs	3	4	H3K27me3	1	2.396275796227055E-35
emissionprobs	3	5	H3K4me1	0	1.0
emissionprobs	3	5	H3K4me1	1	1.0291476223387404E-31
emissionprobs	3	6	H3K4me3	0	0.9998478715683927
emissionprobs	3	6	H3K4me3	1	1.5212843160730945E-4
emissionprobs	3	7	H3K9ac	0	1.0
emissionprobs	3	7	H3K9ac	1	2.481874727901826E-26
emissionprobs	3	8	H3K9me3	0	0.980329803721182
emissionprobs	3	8	H3K9me3	1	0.019670196278818105
emissionprobs	4	0	ATAC	0	0.7933263168144876
emissionprobs	4	0	ATAC	1	0.20667368318551246
emissionprobs	4	1	CTCF	0	0.9652714240232123
emissionprobs	4	1	CTCF	1	0.03472857597678771
emissionprobs	4	2	H2AK119ub	0	0.0018661815488597829
emissionprobs	4	2	H2AK119ub	1	0.9981338184511402
emissionprobs	4	3	H3K27ac	0	0.8791441509534185
emissionprobs	4	3	H3K27ac	1	0.12085584904658148
emissionprobs	4	4	H3K27me3	0	0.6729487019636307
emissionprobs	4	4	H3K27me3	1	0.3270512980363693
emissionprobs	4	5	H3K4me1	0	2.674589424695286E-14
emissionprobs	4	5	H3K4me1	1	0.9999999999999732
emissionprobs	4	6	H3K4me3	0	0.9965452233831528
emissionprobs	4	6	H3K4me3	1	0.0034547766168472062
emissionprobs	4	7	H3K9ac	0	1.0
emissionprobs	4	7	H3K9ac	1	8.437383327430335E-67
emissionprobs	4	8	H3K9me3	0	0.9787688352343673
emissionprobs	4	8	H3K9me3	1	0.021231164765632707
emissionprobs	5	0	ATAC	0	0.9395843397647483
emissionprobs	5	0	ATAC	1	0.060415660235251654
emissionprobs	5	1	CTCF	0	0.9953014912357715
emissionprobs	5	1	CTCF	1	0.004698508764228399
emissionprobs	5	2	H2AK119ub	0	1.0
emissionprobs	5	2	H2AK119ub	1	1.5231215679372771E-77
emissionprobs	5	3	H3K27ac	0	1.0
emissionprobs	5	3	H3K27ac	1	3.866625253317069E-97
emissionprobs	5	4	H3K27me3	0	1.0
emissionprobs	5	4	H3K27me3	1	1.6285442518966624E-53
emissionprobs	5	5	H3K4me1	0	9.310841852513409E-29
emissionprobs	5	5	H3K4me1	1	1.0
emissionprobs	5	6	H3K4me3	0	0.9961567886420545
emissionprobs	5	6	H3K4me3	1	0.0038432113579455304
emissionprobs	5	7	H3K9ac	0	1.0
emissionprobs	5	7	H3K9ac	1	2.5170278224447248E-87
emissionprobs	5	8	H3K9me3	0	0.9999861074430944
emissionprobs	5	8	H3K9me3	1	1.389255690566627E-5
emissionprobs	6	0	ATAC	0	0.7570346574595423
emissionprobs	6	0	ATAC	1	0.2429653425404576
emissionprobs	6	1	CTCF	0	0.9761520902640399
emissionprobs	6	1	CTCF	1	0.02384790973596004
emissionprobs	6	2	H2AK119ub	0	0.9992280703903937
emissionprobs	6	2	H2AK119ub	1	7.719296096062243E-4
emissionprobs	6	3	H3K27ac	0	0.0012999486184544751
emissionprobs	6	3	H3K27ac	1	0.9987000513815455
emissionprobs	6	4	H3K27me3	0	0.998646908190888
emissionprobs	6	4	H3K27me3	1	0.0013530918091120157
emissionprobs	6	5	H3K4me1	0	1.0568883941096314E-37
emissionprobs	6	5	H3K4me1	1	1.0
emissionprobs	6	6	H3K4me3	0	0.9834237067289551
emissionprobs	6	6	H3K4me3	1	0.016576293271044828
emissionprobs	6	7	H3K9ac	0	1.0
emissionprobs	6	7	H3K9ac	1	3.998488951244006E-76
emissionprobs	6	8	H3K9me3	0	0.9887804540594128
emissionprobs	6	8	H3K9me3	1	0.011219545940587229
emissionprobs	7	0	ATAC	0	0.7580669693634243
emissionprobs	7	0	ATAC	1	0.24193303063657562
emissionprobs	7	1	CTCF	0	0.9647465784612871
emissionprobs	7	1	CTCF	1	0.03525342153871283
emissionprobs	7	2	H2AK119ub	0	0.6386306826868485
emissionprobs	7	2	H2AK119ub	1	0.3613693173131514
emissionprobs	7	3	H3K27ac	0	3.1810767827062697E-13
emissionprobs	7	3	H3K27ac	1	0.9999999999996819
emissionprobs	7	4	H3K27me3	0	0.983905382568024
emissionprobs	7	4	H3K27me3	1	0.016094617431976082
emissionprobs	7	5	H3K4me1	0	1.0141000376797864E-27
emissionprobs	7	5	H3K4me1	1	1.0
emissionprobs	7	6	H3K4me3	0	0.6894119860635187
emissionprobs	7	6	H3K4me3	1	0.3105880139364813
emissionprobs	7	7	H3K9ac	0	0.0017544515045113853
emissionprobs	7	7	H3K9ac	1	0.9982455484954886
emissionprobs	7	8	H3K9me3	0	0.9808751711061499
emissionprobs	7	8	H3K9me3	1	0.019124828893850115
emissionprobs	8	0	ATAC	0	0.8226969447181044
emissionprobs	8	0	ATAC	1	0.17730305528189558
emissionprobs	8	1	CTCF	0	0.960023141643395
emissionprobs	8	1	CTCF	1	0.03997685835660496
emissionprobs	8	2	H2AK119ub	0	0.6307294742814503
emissionprobs	8	2	H2AK119ub	1	0.3692705257185496
emissionprobs	8	3	H3K27ac	0	1.0
emissionprobs	8	3	H3K27ac	1	1.0124136010957428E-106
emissionprobs	8	4	H3K27me3	0	0.8459862504110983
emissionprobs	8	4	H3K27me3	1	0.15401374958890157
emissionprobs	8	5	H3K4me1	0	4.202274724837038E-28
emissionprobs	8	5	H3K4me1	1	1.0
emissionprobs	8	6	H3K4me3	0	0.8756182797872769
emissionprobs	8	6	H3K4me3	1	0.12438172021272302
emissionprobs	8	7	H3K9ac	0	0.0016877197935552585
emissionprobs	8	7	H3K9ac	1	0.9983122802064447
emissionprobs	8	8	H3K9me3	0	0.9804211088530408
emissionprobs	8	8	H3K9me3	1	0.01957889114695919
emissionprobs	9	0	ATAC	0	0.8465150127284682
emissionprobs	9	0	ATAC	1	0.1534849872715318
emissionprobs	9	1	CTCF	0	0.971467403912756
emissionprobs	9	1	CTCF	1	0.02853259608724391
emissionprobs	9	2	H2AK119ub	0	0.824576338671927
emissionprobs	9	2	H2AK119ub	1	0.175423661328073
emissionprobs	9	3	H3K27ac	0	1.0
emissionprobs	9	3	H3K27ac	1	8.91932781032412E-66
emissionprobs	9	4	H3K27me3	0	0.9682490462369726
emissionprobs	9	4	H3K27me3	1	0.03175095376302747
emissionprobs	9	5	H3K4me1	0	1.0
emissionprobs	9	5	H3K4me1	1	4.494547005261668E-24
emissionprobs	9	6	H3K4me3	0	0.8027623319541373
emissionprobs	9	6	H3K4me3	1	0.19723766804586262
emissionprobs	9	7	H3K9ac	0	0.04703472223388113
emissionprobs	9	7	H3K9ac	1	0.952965277766119
emissionprobs	9	8	H3K9me3	0	0.9816593748456739
emissionprobs	9	8	H3K9me3	1	0.01834062515432603
emissionprobs	10	0	ATAC	0	0.6820624706179583
emissionprobs	10	0	ATAC	1	0.3179375293820418
emissionprobs	10	1	CTCF	0	0.9602839166179781
emissionprobs	10	1	CTCF	1	0.03971608338202195
emissionprobs	10	2	H2AK119ub	0	0.7402338493338299
emissionprobs	10	2	H2AK119ub	1	0.25976615066617026
emissionprobs	10	3	H3K27ac	0	2.2945994856907006E-18
emissionprobs	10	3	H3K27ac	1	1.0
emissionprobs	10	4	H3K27me3	0	0.9825373847267115
emissionprobs	10	4	H3K27me3	1	0.017462615273288545
emissionprobs	10	5	H3K4me1	0	1.0
emissionprobs	10	5	H3K4me1	1	7.080043060357662E-33
emissionprobs	10	6	H3K4me3	0	0.321080755258941
emissionprobs	10	6	H3K4me3	1	0.678919244741059
emissionprobs	10	7	H3K9ac	0	0.0031240255006505895
emissionprobs	10	7	H3K9ac	1	0.9968759744993494
emissionprobs	10	8	H3K9me3	0	0.9738436514998905
emissionprobs	10	8	H3K9me3	1	0.02615634850010944
emissionprobs	11	0	ATAC	0	0.9495478403118871
emissionprobs	11	0	ATAC	1	0.05045215968811294
emissionprobs	11	1	CTCF	0	0.9841241043079709
emissionprobs	11	1	CTCF	1	0.01587589569202913
emissionprobs	11	2	H2AK119ub	0	0.9269907019420015
emissionprobs	11	2	H2AK119ub	1	0.07300929805799859
emissionprobs	11	3	H3K27ac	0	0.03263188995493571
emissionprobs	11	3	H3K27ac	1	0.9673681100450643
emissionprobs	11	4	H3K27me3	0	0.9969232145633582
emissionprobs	11	4	H3K27me3	1	0.0030767854366417972
emissionprobs	11	5	H3K4me1	0	1.0
emissionprobs	11	5	H3K4me1	1	1.2619706266281616E-17
emissionprobs	11	6	H3K4me3	0	0.9465523997055727
emissionprobs	11	6	H3K4me3	1	0.05344760029442728
emissionprobs	11	7	H3K9ac	0	1.0
emissionprobs	11	7	H3K9ac	1	9.053969696194E-19
emissionprobs	11	8	H3K9me3	0	0.9880390163349181
emissionprobs	11	8	H3K9me3	1	0.011960983665081974
emissionprobs	12	0	ATAC	0	0.9999999999999984
emissionprobs	12	0	ATAC	1	1.51008749908069E-15
emissionprobs	12	1	CTCF	0	1.0
emissionprobs	12	1	CTCF	1	4.7910106666483246E-64
emissionprobs	12	2	H2AK119ub	0	1.0
emissionprobs	12	2	H2AK119ub	1	5.87264947158337E-128
emissionprobs	12	3	H3K27ac	0	1.0
emissionprobs	12	3	H3K27ac	1	1.2460248067911242E-174
emissionprobs	12	4	H3K27me3	0	1.0
emissionprobs	12	4	H3K27me3	1	3.9229669060630023E-135
emissionprobs	12	5	H3K4me1	0	1.0
emissionprobs	12	5	H3K4me1	1	1.6842641588414168E-79
emissionprobs	12	6	H3K4me3	0	1.0
emissionprobs	12	6	H3K4me3	1	1.8768791000609532E-17
emissionprobs	12	7	H3K9ac	0	1.0
emissionprobs	12	7	H3K9ac	1	7.070261404105283E-154
emissionprobs	12	8	H3K9me3	0	1.0
emissionprobs	12	8	H3K9me3	1	3.611940882122294E-131
emissionprobs	13	0	ATAC	0	0.038605859059172055
emissionprobs	13	0	ATAC	1	0.961394140940828
emissionprobs	13	1	CTCF	0	0.6211828181190813
emissionprobs	13	1	CTCF	1	0.3788171818809188
emissionprobs	13	2	H2AK119ub	0	1.0
emissionprobs	13	2	H2AK119ub	1	1.0340126484097712E-66
emissionprobs	13	3	H3K27ac	0	1.0
emissionprobs	13	3	H3K27ac	1	2.0526474209033905E-86
emissionprobs	13	4	H3K27me3	0	1.0
emissionprobs	13	4	H3K27me3	1	4.424662343021764E-50
emissionprobs	13	5	H3K4me1	0	0.6454858333253686
emissionprobs	13	5	H3K4me1	1	0.35451416667463137
emissionprobs	13	6	H3K4me3	0	0.9997768084179072
emissionprobs	13	6	H3K4me3	1	2.231915820929291E-4
emissionprobs	13	7	H3K9ac	0	1.0
emissionprobs	13	7	H3K9ac	1	1.6471937292688461E-83
emissionprobs	13	8	H3K9me3	0	0.9974778291192888
emissionprobs	13	8	H3K9me3	1	0.002522170880711226
emissionprobs	14	0	ATAC	0	0.9607760283544637
emissionprobs	14	0	ATAC	1	0.039223971645536246
emissionprobs	14	1	CTCF	0	0.005996843188180218
emissionprobs	14	1	CTCF	1	0.9940031568118197
emissionprobs	14	2	H2AK119ub	0	1.0
emissionprobs	14	2	H2AK119ub	1	2.4473600740347637E-52
emissionprobs	14	3	H3K27ac	0	1.0
emissionprobs	14	3	H3K27ac	1	5.896896207946112E-46
emissionprobs	14	4	H3K27me3	0	1.0
emissionprobs	14	4	H3K27me3	1	9.951699471590967E-50
emissionprobs	14	5	H3K4me1	0	0.9796174135524508
emissionprobs	14	5	H3K4me1	1	0.020382586447549225
emissionprobs	14	6	H3K4me3	0	1.0
emissionprobs	14	6	H3K4me3	1	1.2859796537879716E-29
emissionprobs	14	7	H3K9ac	0	1.0
emissionprobs	14	7	H3K9ac	1	2.6983285120505876E-46
emissionprobs	14	8	H3K9me3	0	0.9999255718399109
emissionprobs	14	8	H3K9me3	1	7.442816008909125E-5
emissionprobs	15	0	ATAC	0	0.9836265866503014
emissionprobs	15	0	ATAC	1	0.016373413349698593
emissionprobs	15	1	CTCF	0	0.9978270955278661
emissionprobs	15	1	CTCF	1	0.0021729044721340283
emissionprobs	15	2	H2AK119ub	0	0.9999652147167963
emissionprobs	15	2	H2AK119ub	1	3.478528320363899E-5
emissionprobs	15	3	H3K27ac	0	1.0
emissionprobs	15	3	H3K27ac	1	1.508791297557976E-96
emissionprobs	15	4	H3K27me3	0	1.0
emissionprobs	15	4	H3K27me3	1	1.8999412433907968E-91
emissionprobs	15	5	H3K4me1	0	0.9680336880417009
emissionprobs	15	5	H3K4me1	1	0.03196631195829913
emissionprobs	15	6	H3K4me3	0	1.0
emissionprobs	15	6	H3K4me3	1	1.8893751613406802E-44
emissionprobs	15	7	H3K9ac	0	1.0
emissionprobs	15	7	H3K9ac	1	6.319439932464542E-71
emissionprobs	15	8	H3K9me3	0	0.00959603742918918
emissionprobs	15	8	H3K9me3	1	0.9904039625708109
