gene	n_enhancer_contacts	n_classes	classes	n_differential	median_logFC	mean_logFC	n_in_abc	mean_delta_abc
H1f5	25	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	15	-0.174447865844734	-0.191832671004006	6	-0.00652133333333333
Lysmd3	25	3	Activity_Lost;K119ub_Only;Stable	2	-0.0778564913788383	-0.041741484542695	8	-0.000256500000000001
Zfp91	25	3	Activity_Gain;K119ub_Only;Stable	4	-0.0403965546199211	-0.0751904351546329	2	0.010743
Aim2	24	3	Activity_Lost;K119ub_Only;Stable	2	-0.0849872649210005	-0.136275555517625	0	NA
C130071C03Rik	24	3	Activity_Lost;K119ub_Only;Stable	13	-0.0828431428819964	0.005384176655259	5	-0.0235508
Flnb	24	2	K119ub_Only;Stable	0	-0.153087182302579	-0.106095897442362	4	-0.0101895
Gabarapl1	24	3	Activity_Gain;Activity_Lost;Stable	0	-0.129501284263306	-0.0411604002766021	7	-0.0106905714285714
Gm45844	24	1	Stable	0	-0.0243557791797956	0.0107189731691569	5	-0.0025982
Kcnk9	24	3	Activity_Gain;Activity_Lost;Stable	0	-0.0202724294036094	-0.0179175218102904	8	0.0019635
Mir124a-1hg	24	3	Activity_Lost;K119ub_Only;Stable	0	0.140520187939097	0.115413246076938	6	0.0016625
Polr3a	24	3	Activity_Gain;Activity_Lost;Stable	0	-0.0904086004350172	-0.0550663564182049	0	NA
Rnase11	24	3	Activity_Lost;K119ub_Only;Stable	0	-0.0220590931090727	0.0339087693933722	5	-0.0589834
Uhrf2	24	3	Activity_Lost;K119ub_Only;Stable	0	-0.0653718537926349	-0.0936552097616451	7	-0.00351271428571429
Atf4	23	1	Stable	0	0.0124848759582848	0.0303010756244903	5	-0.0005126
Ccnl1	23	3	Activity_Lost;K119ub_Only;Stable	3	0.0747679859931849	0.00127641653291088	1	0.009148
Gm20753	23	3	Activity_Lost;K119ub_Only;Stable	1	-0.146230182177614	-0.125292387658386	6	0.001599
Irf2bp2	23	3	Activity_Lost;K119ub_Only;Stable	0	-0.0606653163646277	-0.0421793314288437	11	-0.00313009090909091
Cetn3	22	3	Activity_Lost;K119ub_Only;Stable	6	-0.102619115850306	-0.174072414335026	8	-0.007141625
Nr4a3	22	3	Activity_Lost;K119ub_Only;Stable	1	-0.0177725604717762	0.00252777356123921	4	-0.015824
Pip4p1	22	3	Activity_Lost;K119ub_Only;Stable	0	0.0592466864121119	0.0216464371575974	1	-0.00908
Ssrp1	22	3	Activity_Lost;K119ub_Only;Stable	0	-0.0226226076559315	0.00273432239339728	3	0.00522766666666667
Tmem253	22	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	-0.0709749749629038	-0.0344547349262885	1	-0.017126
Gm12914	21	3	Activity_Lost;K119ub_Only;Stable	9	-0.0387353163209833	-0.156383180378558	7	-0.00108342857142857
Gm42912	21	3	Activity_Gain;K119ub_Only;Stable	0	-0.0466503352740747	-0.0163655708235635	12	0.004514
Neurod1	21	3	Activity_Lost;K119ub_Only;Stable	4	-0.15552253883022	-0.156529261210585	2	-0.005307
Ripk2	21	3	Activity_Lost;K119ub_Only;Stable	9	-0.180571175086684	-0.187997648674528	7	-0.00195657142857143
Smim10l1	21	2	K119ub_Only;Stable	5	-0.163844018999389	-0.17732959233309	0	NA
Zmiz1	21	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	0.0202127948499222	0.00741434216099847	6	-0.0040255
Auts2	20	3	Activity_Gain;Activity_Lost;Stable	0	0.0307641057422618	-0.130991355493932	7	-0.00459785714285714
BC005537	20	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	-0.134611029641456	-0.100124279015208	1	-0.014041
Car10	20	2	Activity_Lost;Stable	0	-0.0650618120034882	-0.0848928793923494	2	-0.002432
Dcaf6	20	3	Activity_Lost;K119ub_Only;Stable	5	-0.0725504391049551	-0.0818712591627674	3	-0.00278766666666667
Foxo3	20	3	Activity_Lost;K119ub_Only;Stable	2	-0.0427743368860967	-0.0391172083681045	7	-0.00198485714285714
Gabra1	20	3	Activity_Lost;K119ub_Only;Stable	1	-0.0912550954761764	-0.111654111695712	9	0.00719944444444444
Lpp	20	3	Activity_Lost;K119ub_Only;Stable	0	-0.0658790748124795	-0.0719843205874537	13	0.00588138461538462
Nhlh2	20	3	Activity_Gain;Activity_Lost;Stable	0	-0.00982386154669551	-0.0151857764664921	5	-0.0119052
Nsun6	20	3	Activity_Lost;K119ub_Only;Stable	5	-0.0631052982456484	-0.104621236377315	2	-0.009075
Ric1	20	3	Activity_Lost;K119ub_Only;Stable	2	-0.0184692381373679	-0.0658406125114254	6	-0.011538
Rpp21	20	3	Activity_Gain;Activity_Lost;Stable	1	-0.0647553127280845	0.00255760931710764	0	NA
Tafa5	20	3	Activity_Gain;Activity_Lost;Stable	9	0.121396718285691	0.162306846203951	5	-0.0085554
Tiparp	20	3	Activity_Lost;K119ub_Only;Stable	12	-0.14620439311252	-0.14348992952432	5	0.00499
Tmem161b	20	3	Activity_Lost;K119ub_Only;Stable	2	-0.00819601929277783	-0.0494598199131718	17	-9.26470588235294e-05
Tspyl1	20	3	Activity_Lost;K119ub_Only;Stable	0	-0.16729168831319	-0.149032928444972	2	0.0060485
Fut8	19	3	Activity_Lost;K119ub_Only;Stable	1	0.00454203127759278	-0.0220227354924299	8	-0.00964
Gm47438	19	3	Activity_Gain;Activity_Lost;Stable	0	-0.0689933513546122	-0.0563843938379698	1	-0.002555
Gm49761	19	1	Stable	0	-0.0945444158646204	-0.111065194623734	1	0.000133
Hspa8	19	2	Activity_Lost;Stable	0	-0.0104238105181943	-0.0616326720078612	3	-0.0182623333333333
Kif26b	19	2	Activity_Lost;Stable	0	0.0360789969556816	-0.000607426326595264	8	-0.004196875
Mboat7	19	2	Activity_Lost;Stable	0	-0.102035681595998	-0.0855836725866001	3	-0.00489433333333333
Ppp3ca	19	2	Activity_Lost;Stable	3	-0.0660459778918913	-0.0969389827133138	9	-0.00525711111111111
Rasa1	19	3	Activity_Lost;K119ub_Only;Stable	11	-0.216840695420435	-0.247804824631863	7	-0.00667171428571429
Sox4	19	3	Activity_Lost;K119ub_Only;Stable	0	-0.0200664155647303	-0.00918105619421995	5	-0.0014448
4933406P04Rik	18	3	Activity_Lost;K119ub_Only;Stable	1	-0.107237882973806	-0.0566459579968988	2	-0.01185
Etv1	18	3	Activity_Lost;K119ub_Only;Stable	5	-0.133679069521727	-0.128098637335378	8	-0.000278374999999999
Foxn2	18	2	Activity_Lost;Stable	6	-0.0863097415919876	-0.134772911143008	13	-0.005167
Il6st	18	2	Activity_Lost;Stable	4	-0.183323197929996	-0.176234299993212	5	1.5e-05
Kctd8	18	2	Activity_Lost;Stable	2	-0.1592639624546	-0.166598880594598	5	-0.0107362
Meis1	18	2	Activity_Lost;Stable	9	-0.144564953000437	-0.164142960932565	5	-0.0264552
Mrps28	18	1	Stable	0	-0.0091357458012992	-0.00157401658704976	7	-0.00285171428571429
Nedd4l	18	2	Activity_Lost;Stable	9	0.071282500177537	0.020493338862066	5	-0.0024698
Slc33a1	18	2	Activity_Lost;Stable	0	-0.0640125362676827	-0.0502595004227518	2	-0.0121035
Tars	18	3	Activity_Gain;K119ub_Only;Stable	0	-0.0483122261703726	-0.0408077534091851	8	0.0037875
Tmem167	18	3	Activity_Lost;K119ub_Only;Stable	2	-0.0349875355348975	-0.025201029670867	3	0.00972533333333333
Tmem170b	18	2	K119ub_Only;Stable	1	-0.0597241022938326	-0.057673333817665	0	NA
Tsc22d2	18	3	Activity_Lost;K119ub_Only;Stable	0	-0.0737481536646055	-0.0854274011159706	5	0.002763
Wdpcp	18	2	K119ub_Only;Stable	4	-0.185494256367519	-0.222794486894887	5	-0.0058562
Zfp184	18	3	Activity_Gain;K119ub_Only;Stable	4	0.120654225638832	0.124843175545724	3	-0.003753
Zswim6	18	3	Activity_Lost;K119ub_Only;Stable	0	-0.0538820981206441	-0.0549489695970166	9	0.000136222222222222
4930570G19Rik	17	3	Activity_Lost;K119ub_Only;Stable	0	0.0812378527382566	0.0645208539348982	8	-0.000414375
Acp1	17	3	Activity_Lost;K119ub_Only;Stable	0	0.123081493041254	0.0668303690786005	3	0.00587766666666667
Atat1	17	1	Stable	0	0.0771379841535019	0.077279308585963	0	NA
D430041D05Rik	17	2	Activity_Gain;Stable	1	0.0479333358429231	0.0604157058100028	3	-0.008446
Exosc9	17	2	K119ub_Only;Stable	0	0.0253221007613263	0.0329938489773274	5	0.0009906
Fjx1	17	3	Activity_Lost;K119ub_Only;Stable	3	-0.0760898809156197	-0.0202979637939694	8	0.002030125
Gabrb2	17	3	Activity_Lost;K119ub_Only;Stable	4	-0.0771578458198681	-0.122359254411675	9	0.00423677777777778
Galnt7	17	2	Activity_Lost;K119ub_Only	4	-0.134676438667267	-0.137454067565292	12	-0.0123379166666667
Gm36380	17	1	Stable	0	0.0645151566572746	0.0339706251727688	1	-0.010346
H1f2	17	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	4	-0.140693188005337	-0.155631294145118	1	-0.0128
Jarid2	17	3	Activity_Gain;Activity_Lost;Stable	0	0.0741215840507959	0.0441640097755521	4	-0.0063065
Kdm5c	17	1	Stable	0	0.111403208162641	0.0601405727782608	16	-0.0044001875
Nab1	17	3	Activity_Lost;K119ub_Only;Stable	16	-0.21819057841173	-0.223917050780004	3	0.00875933333333333
Nr1d2	17	2	K119ub_Only;Stable	0	-0.101567225289124	-0.0864466663348039	1	0.009395
Pdhx	17	3	Activity_Lost;K119ub_Only;Stable	5	0.0120481172631249	-0.0199902567910468	3	-0.012154
Pign	17	3	Activity_Lost;K119ub_Only;Stable	0	-0.156559444198854	-0.125498378839308	7	-0.00418728571428571
Prpf4b	17	3	Activity_Lost;K119ub_Only;Stable	0	-0.0582178838827428	-0.058400222003822	7	-0.00243957142857143
Rack1	17	2	Activity_Lost;Stable	4	-0.0147022597061383	-0.0595036046049992	2	-0.00639
Rnase4	17	3	Activity_Lost;K119ub_Only;Stable	0	-0.116669931926178	-0.0228698318945601	2	-0.0207425
Sez6l	17	2	Activity_Lost;Stable	1	0.0810155097763892	0.0999338656832345	2	0.003001
Spred2	17	2	Activity_Lost;Stable	0	-0.0779776102822925	-0.0700779702651997	0	NA
Wwp1	17	3	Activity_Lost;K119ub_Only;Stable	0	-0.143997521946719	-0.0967184670040911	7	-0.00898571428571429
Zfand5	17	3	Activity_Lost;K119ub_Only;Stable	10	-0.151073151388656	-0.147551016731822	8	-0.0178335
Zranb2	17	2	K119ub_Only;Stable	0	-0.0131106540760759	-0.0200443995559282	6	0.00374833333333333
2310075C17Rik	16	3	Activity_Lost;K119ub_Only;Stable	7	-0.137393339176876	-0.129490787307442	2	-0.017752
Agap1	16	2	Activity_Lost;Stable	2	0.118827202214322	0.136695484939563	3	0.00601966666666667
Ajap1	16	3	Activity_Gain;Activity_Lost;Stable	3	0.151074162703807	0.202427735463674	3	-0.0164443333333333
Ap1g2	16	3	Activity_Lost;K119ub_Only;Stable	0	0.183253627928629	0.120588592039109	0	NA
Atad2	16	3	Activity_Lost;K119ub_Only;Stable	1	-0.0926854955679469	-0.0728740031362747	3	-0.00768233333333333
Cpeb2	16	3	Activity_Lost;K119ub_Only;Stable	12	-0.132553126819823	-0.100423269465785	4	-0.0073185
Eif2a	16	2	K119ub_Only;Stable	0	0.0361224218069889	-0.00577400472956726	5	-0.0013714
Ercc4	16	2	Activity_Lost;Stable	2	-0.00522473547481405	-0.0408609603837378	3	-0.0132036666666667
Fkbp4	16	3	Activity_Lost;K119ub_Only;Stable	0	-0.0833813743043654	-0.0785986324744129	0	NA
Gadd45g	16	1	Stable	0	0.0191792326677931	0.0333078528668092	2	-0.0065955
Ggct	16	2	K119ub_Only;Stable	0	-0.0335848966370664	-0.0270152500106657	5	0.0045232
Ggh	16	2	K119ub_Only;Stable	2	-0.115528352969618	-0.148918015143937	11	-0.0115523636363636
Gm36445	16	3	Activity_Lost;K119ub_Only;Stable	7	-0.21178008358236	-0.23227120046493	5	0.0011544
Gm37419	16	3	Activity_Lost;K119ub_Only;Stable	2	-0.12732784711081	-0.107648422508259	11	-0.00661081818181818
Gm40190	16	2	Activity_Lost;Stable	3	-0.0663579285460782	-0.102653461252551	9	-0.00439866666666667
Hivep2	16	3	Activity_Lost;K119ub_Only;Stable	0	-0.0648971898820894	-0.0634305008289894	7	-0.00613014285714286
Hs2st1	16	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	0.0134851469737209	0.0047793570485499	8	0.016942625
Hspa13	16	2	Activity_Lost;Stable	0	-0.0940105015415809	-0.0771017837205903	9	0.000338888888888889
Lekr1	16	3	Activity_Lost;K119ub_Only;Stable	10	-0.159489279861046	-0.143324047505893	4	0.00221075
Lrig1	16	2	Activity_Lost;Stable	1	-0.125349826058815	-0.120804794525085	4	-0.000164
Lrrtm3	16	3	Activity_Lost;K119ub_Only;Stable	7	-0.115146677029795	-0.0233918579491383	4	-0.00464925
Lsmem1	16	3	Activity_Lost;K119ub_Only;Stable	4	-0.129460893927367	-0.172852681644967	1	0.001653
Magohb	16	1	Stable	0	-0.027373561462885	-0.071015474775112	14	-0.00741014285714286
Mrpl39	16	2	K119ub_Only;Stable	0	-0.0325091933002062	-0.0130054794238621	1	0.003188
Ndst3	16	3	Activity_Lost;K119ub_Only;Stable	10	-0.13373035368839	-0.163733529054747	6	-0.0245408333333333
Ndufb5	16	3	Activity_Lost;K119ub_Only;Stable	0	-0.123701325091785	-0.0598735930251236	1	0.00771
Ppp1r11	16	1	Stable	0	0.10388377932669	0.0221183905430688	1	0.023611
Reln	16	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	0.0062536046018479	-0.00400555956055966	6	-0.00990616666666667
Rps12	16	3	Activity_Lost;K119ub_Only;Stable	0	-0.052064639005293	-0.0731378021656724	3	0.00843133333333333
Slit3	16	1	Stable	2	-0.0802535590455447	-0.082718860456078	11	0.000688545454545454
Snx16	16	3	Activity_Lost;K119ub_Only;Stable	0	-0.0669130722881418	-0.0354683971434045	9	0.00434233333333333
Syt1	16	2	Activity_Lost;K119ub_Only	10	-0.264118447837844	-0.246956275094097	7	-0.00427414285714286
Syt4	16	3	Activity_Lost;K119ub_Only;Stable	10	-0.193558954800417	-0.225923071138288	12	-0.0210700833333333
Tiam1	16	3	Activity_Lost;K119ub_Only;Stable	0	0.0221314479058789	0.0459971019435209	5	0.0026108
Ttc14	16	2	K119ub_Only;Stable	0	-0.0970992021360496	-0.0631381334449796	1	-0.004623
Ube2m	16	1	Stable	0	-0.0573215004329446	-0.0940376815208666	1	0.000202
Vapa	16	3	Activity_Gain;Activity_Lost;Stable	0	-0.122998310523138	-0.113474062592904	4	-0.00049175
Ythdf3	16	2	Activity_Lost;Stable	2	-0.062832935734316	-0.0528084631552555	4	0.0107235
Zbtb18	16	3	Activity_Lost;K119ub_Only;Stable	0	0.058373607171257	0.0712506044211038	4	0.0068185
Zdhhc13	16	2	Activity_Gain;Stable	0	-0.175631831215565	-0.180847972313002	1	0.008074
Zfp521	16	3	Activity_Lost;K119ub_Only;Stable	4	-0.0519104385676491	-0.074063980832567	6	-0.0102161666666667
Zfp703	16	2	Activity_Lost;Stable	5	-0.17585868203619	-0.131548971199737	7	-0.0118057142857143
Ahcyl1	15	2	K119ub_Only;Stable	0	0.0601656173362994	0.0412471370231315	4	0.0001895
Arid5b	15	2	Activity_Lost;Stable	0	-0.0732623989516713	-0.056102815724358	3	0.006941
Brix1	15	2	K119ub_Only;Stable	1	-0.0474140227055282	-0.0481983341033299	4	-0.005068
Chd1	15	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	2	-0.12866427831572	-0.114824532175813	8	0.0027435
Chd2	15	2	Activity_Lost;Stable	0	-0.100759381059417	-0.0989178197579771	1	0.012729
Cnr1	15	2	Activity_Lost;Stable	6	-0.195320062083832	-0.152687686925802	7	-0.0123704285714286
Cstf2t	15	2	K119ub_Only;Stable	0	-0.0912189863494213	-0.150828945306508	2	-0.0112515
E2f3	15	3	Activity_Lost;K119ub_Only;Stable	6	-0.0877704574814746	-0.130191244559588	5	-0.019277
Evi5l	15	3	Activity_Gain;Activity_Lost;Stable	2	-0.0961883978497107	-0.105788029319641	3	-6.06666666666666e-05
Fhit	15	3	Activity_Gain;K119ub_Only;Stable	0	-0.000896452663095292	-0.0242905412249423	3	0.0147123333333333
Gabpa	15	2	K119ub_Only;Stable	0	-0.0451075373734886	-0.0134063400597509	2	-0.0102035
Gabra6	15	3	Activity_Lost;K119ub_Only;Stable	1	-0.0855067177716574	-0.102205020266039	6	0.002001
Gm20544	15	2	Activity_Lost;Stable	0	0.0556218763724832	0.0135101137442415	5	-0.0143062
Gm28401	15	2	Activity_Lost;Stable	11	-0.227258598985064	-0.267266488921236	7	0.00136714285714286
Gm6410	15	3	Activity_Gain;Activity_Lost;Stable	3	-0.143971894050725	-0.125565643464298	5	-0.0023178
Gpr137c	15	2	K119ub_Only;Stable	0	0.0457207018827265	0.0871786346630383	1	-0.001738
H2ac4	15	3	Activity_Gain;K119ub_Only;Stable	9	-0.196293994924576	-0.144448449941836	0	NA
Hps3	15	2	Activity_Lost;Stable	0	0.176327698921649	0.122176638415276	6	0.0020465
Impa1	15	3	Activity_Lost;K119ub_Only;Stable	0	-0.0366240116293287	-0.00670744390324622	3	-0.00211133333333333
Kcnh1	15	3	Activity_Gain;Activity_Lost;Stable	0	0.0439402018682211	0.0148514791927215	8	-0.00674575
Klhl28	15	2	K119ub_Only;Stable	0	0.00967609489102856	0.0391867274996323	3	-0.00460433333333333
Ldlrad4	15	3	Activity_Lost;K119ub_Only;Stable	0	0.0374691346078811	0.00188564288824005	9	-0.00562422222222222
Map7	15	2	K119ub_Only;Stable	2	-0.11875284434223	-0.11263927039739	5	-0.0057578
Nr2f1	15	3	Activity_Lost;K119ub_Only;Stable	1	-0.142184440823218	-0.112550004404899	0	NA
Nt5c3	15	2	K119ub_Only;Stable	2	-0.125086561248535	-0.15105178043107	5	-0.0138636
Ntrk2	15	2	Activity_Gain;Stable	0	0.00740468566959294	0.0243731507038077	3	0.00766033333333333
Pcsk2	15	3	Activity_Lost;K119ub_Only;Stable	2	-0.101227262138935	-0.0962473131016583	6	-0.00801516666666667
Pde7a	15	2	K119ub_Only;Stable	0	-0.0100347661228803	-0.0329687382460668	9	0.00208022222222222
Pkia	15	2	K119ub_Only;Stable	3	-0.00797675324765637	-0.0647618530687328	8	-0.010365
Ppdpf	15	2	Activity_Lost;Stable	0	-0.00849911919931867	-0.0120719237961011	2	0.002243
Ppm1k	15	3	Activity_Lost;K119ub_Only;Stable	1	-0.173447685741852	-0.163256582172591	5	-0.0077256
Pten	15	2	K119ub_Only;Stable	2	-0.0882668102947399	-0.126822584116446	2	-0.00212
Rnf146	15	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	4	-0.0755573768258179	-0.115252787573808	3	0.00545133333333333
Scg5	15	3	Activity_Lost;K119ub_Only;Stable	1	-0.0357652946532543	-0.04541305011503	1	-0.022794
Smim40	15	2	Activity_Lost;Stable	0	0.0185084603205685	0.0327033773350246	0	NA
Sptb	15	1	Stable	0	0.00615785601008252	0.00753326395296227	2	-0.0014095
Ssr3	15	3	Activity_Lost;K119ub_Only;Stable	9	-0.19149409750997	-0.149727406946259	2	-0.002684
Timp3	15	1	Stable	0	0.045557228203873	0.0197844048075417	2	-0.007338
Trib1	15	2	Activity_Lost;Stable	0	-0.0510560358930494	-0.0715391746141112	1	0.002293
Uqcrfs1	15	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	-0.18961304825273	-0.0711735757603632	3	-0.00681
Zfp536	15	2	Activity_Lost;Stable	0	-0.0108213348623096	-0.0281214058772779	10	0.0005779
1700026J14Rik	14	2	Activity_Lost;Stable	0	0.0245838845754738	0.0191226350433312	5	-0.000272600000000001
2610037D02Rik	14	2	Activity_Gain;Stable	1	-0.0468982377329217	-0.0483291127247039	1	0.010247
9930021J03Rik	14	3	Activity_Lost;K119ub_Only;Stable	2	-0.0983926393712376	-0.102976182149846	6	-0.00683783333333333
Adcy8	14	3	Activity_Lost;K119ub_Only;Stable	3	0.0126243110407776	0.00500027164806263	2	-0.014942
Aen	14	2	Activity_Gain;Stable	0	-0.10573716385891	-0.0947009287878795	1	0.009925
Aig1	14	2	Activity_Lost;Stable	0	-0.0577537060071872	-0.0255422481151853	6	-2.28333333333333e-05
Aldh9a1	14	2	Activity_Lost;Stable	0	-0.116801997394807	-0.0976932926359677	1	-0.000419
Arl4a	14	1	Stable	0	-0.0931577257979002	-0.0865845095027137	3	-0.00286333333333333
Bach2	14	2	Activity_Lost;Stable	3	-0.0770725386969692	-0.0837349947339977	10	0.0008312
Cadps2	14	3	Activity_Lost;K119ub_Only;Stable	5	-0.0648418785000844	-0.0707758960104418	6	-0.0114505
Cog4	14	3	Activity_Gain;Activity_Lost;Stable	0	-0.0053569095423257	-0.0161301600871273	0	NA
Cpne3	14	3	Activity_Lost;K119ub_Only;Stable	2	-0.0777728924189734	-0.00104521494969151	8	-0.012566875
Cxxc4	14	1	Stable	2	-0.207415060814877	-0.176195129065419	1	0.036546
Ext1	14	3	Activity_Lost;K119ub_Only;Stable	5	-0.0405862785716757	-0.0896823373492631	6	-0.009457
Fbxl16	14	1	Stable	0	-0.0201937503911936	-0.0185107908858797	0	NA
Gabbr1	14	2	Activity_Lost;Stable	0	0.0730737927870429	0.0367258694021126	3	-0.00157733333333333
Gabbr2	14	2	Activity_Gain;Stable	0	0.0795647799514636	0.0804051426850982	2	0.0004425
Gm28050	14	2	Activity_Lost;Stable	2	-0.0259903765932729	-0.0750502527849406	8	-0.012754125
Gm4241	14	3	Activity_Lost;K119ub_Only;Stable	7	-0.164725120542509	-0.195563365582133	11	-0.00865809090909091
Gtf2a1	14	3	Activity_Lost;K119ub_Only;Stable	2	0.0697570445511238	0.0600021064953953	1	0.001723
H2aw	14	1	Stable	0	-0.0672825910502769	-0.0746909403312153	0	NA
H2az1	14	3	Activity_Lost;K119ub_Only;Stable	4	-0.196626936507216	-0.167779162815116	4	-0.00453725
H2bc6	14	2	Activity_Gain;Stable	3	-0.12678194576433	-0.154056979126889	7	0.00295542857142857
Id2	14	3	Activity_Lost;K119ub_Only;Stable	0	-0.0657213203250527	-0.0505035835122036	2	-0.0031445
Kcnd2	14	2	Activity_Lost;K119ub_Only	9	-0.327004431692584	-0.301437086795309	7	-0.0161427142857143
Kcnj6	14	2	Activity_Gain;Stable	0	0.0327738456104221	0.0273559131154647	6	-0.0035715
Kirrel3	14	1	Stable	0	-0.040236171855588	-0.0397040716173062	3	0.00456
Klf3	14	3	Activity_Gain;Activity_Lost;Stable	4	0.0141459412549236	0.0428625721411408	1	0.030368
Lnpep	14	3	Activity_Lost;K119ub_Only;Stable	1	-0.162550208495911	-0.130711426118623	4	0.0142615
Mab21l1	14	3	Activity_Lost;K119ub_Only;Stable	0	0.0435087065384248	0.0215519028988996	2	-0.000214
Mef2a	14	2	Activity_Lost;Stable	0	-0.0694662650753274	-0.088540201185204	3	-0.010977
Mrpl37	14	1	Stable	0	-0.0183137721500105	-0.0327710981033565	8	9.59999999999997e-05
Nectin3	14	3	Activity_Lost;K119ub_Only;Stable	0	-0.121438724777197	-0.0979935258545974	7	-0.000101571428571429
Nemp2	14	3	Activity_Lost;K119ub_Only;Stable	8	-0.165640084385276	-0.0744201766849742	3	0.0149176666666667
Nrip1	14	3	Activity_Lost;K119ub_Only;Stable	0	-0.061786171243724	-0.0790862237760014	5	-0.0003334
Nubp2	14	1	Stable	3	-0.0350974351570218	-0.00978737178741266	0	NA
Pfn2	14	2	K119ub_Only;Stable	2	0.00539492539035474	0.0145186852982304	9	0.00203355555555556
Plag1	14	3	Activity_Lost;K119ub_Only;Stable	1	-0.0929615618228916	-0.0804534293515753	3	-0.007
Plcxd3	14	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	4	-0.081446173729448	-0.101689671367409	3	-0.007791
Prpf38b	14	2	K119ub_Only;Stable	4	-0.0372431902197018	-0.0197548516995299	3	4.9e-05
Rad21	14	3	Activity_Lost;K119ub_Only;Stable	3	-0.111817412219392	-0.09587174912356	6	-0.0186225
Rpl7	14	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	-0.058488529661523	-0.0643558568369427	4	0.00034775
Rps7	14	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	-0.140296194157961	-0.119802755009189	4	0.011257
Sec61g	14	1	Stable	0	-0.214303458793683	-0.152609590763849	3	0.012817
Sertad2	14	2	Activity_Lost;Stable	0	-0.082204333716811	-0.0711838545188142	4	0.00184425
Slc2a6	14	1	Stable	5	-0.0608132105187787	-0.0243548830573144	3	-0.00496833333333333
