	GO:0031644	GO:0014013	GO:0014015	GO:0060251	GO:0014009	GO:0098962	GO:0031589	GO:0051647	GO:0017145	GO:0051962	GO:0099601	GO:0055123	GO:0034446	GO:0042063	GO:0006836	GO:1900024	GO:2000630	GO:0043583	GO:0001956	GO:0015812	GO:0048709	GO:0007517	GO:0060252	GO:0001764	GO:0051590	GO:0021987	GO:0007097	GO:0048565	GO:0035116	GO:0021700	GO:0010810	GO:0050769	GO:0071695	GO:0090596	GO:0045664	GO:0045601	GO:1900026	GO:0060113	GO:2000628	GO:0048562	GO:0003002	GO:0060982	GO:0062042	GO:0045685	GO:1990709	GO:0042490
GO:1900024	0.08	0.1	0.096	0.093	0.019	0.088	0.845	0	0.018	0.084	0.094	0	0.963	0.022	0	1	0.074	0	0.089	0	0.02	0	0.089	0.02	0.071	0	0.018	0	0	0	0.896	0.105	0	0	0.103	0.091	0.977	0.019	0.077	0	0	0	0.083	0.096	0.017	0.019
GO:2000630	0.08	0.079	0.215	0.074	0	0.069	0	0	0	0.24	0.074	0	0	0	0	0.074	1	0	0.199	0	0	0	0.2	0	0.201	0	0	0	0	0	0.082	0.236	0	0	0.082	0.072	0.206	0	0.969	0	0	0	0.066	0.076	0	0
GO:0043583	0	0.255	0.245	0.237	0.244	0	0	0	0	0.276	0	0.255	0	0.283	0	0	0	0.998	0	0	0.255	0.45	0.226	0.262	0	0.41	0	0.253	0.225	0.255	0	0.271	0.267	0.831	0.265	0.231	0	0.913	0	0.45	0.289	0.337	0.34	0.245	0	0.25
GO:0001956	0.075	0.094	0.23	0.088	0.018	0.553	0.02	0.241	0.017	0.224	0.342	0	0.018	0.02	0.802	0.089	0.199	0	1	0.269	0.019	0	0.215	0.019	0.99	0	0.419	0	0	0	0.097	0.251	0	0	0.097	0.086	0.221	0.018	0.072	0	0	0	0.079	0.091	0.016	0.018
GO:0015812	0	0	0	0	0	0	0	0.244	0	0	0	0	0	0	0.322	0	0	0	0.269	1	0	0	0	0	0.271	0	0.271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0048709	0.193	0.808	0.778	0.754	0.775	0.166	0.023	0	0.019	0.47	0.02	0.324	0.021	0.892	0	0.02	0	0.255	0.019	0	0.999	0.258	0.72	0.52	0	0.633	0.019	0.322	0.256	0.239	0.022	0.537	0.251	0.257	0.527	0.33	0.019	0.496	0	0.309	0.323	0.265	0.299	0.836	0.018	0.498
GO:0007517	0	0.258	0.247	0.239	0.246	0	0	0	0	0.28	0	0.258	0	0.287	0	0	0	0.45	0	0	0.258	0.997	0.228	0.265	0	0.415	0	0.256	0.227	0.259	0	0.275	0.271	0.454	0.269	0.234	0	0.412	0	0.455	0.292	0.34	0.344	0.248	0	0.253
GO:0060252	0.38	0.891	0.928	0.958	0.932	0.332	0.02	0	0.017	0.812	0.089	0.289	0.018	0.787	0	0.089	0.2	0.226	0.215	0	0.72	0.228	1	0.463	0.191	0.383	0.017	0.287	0.231	0.211	0.098	0.83	0.222	0.227	0.532	0.494	0.222	0.443	0.073	0.273	0.284	0.241	0.433	0.698	0.016	0.445
GO:0001764	0.199	0.52	0.501	0.485	0.498	0.17	0.024	0	0.019	0.483	0.02	0.333	0.021	0.576	0	0.02	0	0.262	0.019	0	0.52	0.265	0.463	0.999	0	0.44	0.019	0.33	0.262	0.246	0.023	0.553	0.258	0.264	0.575	0.338	0.02	0.54	0	0.318	0.333	0.271	0.306	0.502	0.018	0.543
GO:0051590	0.076	0.075	0.205	0.07	0	0.066	0	0.244	0	0.226	0.07	0	0	0	0.811	0.071	0.201	0	0.99	0.271	0	0	0.191	0	1	0	0.271	0	0	0	0.078	0.223	0	0	0.077	0.069	0.196	0	0.073	0	0	0	0.063	0.072	0	0
GO:0021987	0.191	0.429	0.413	0.4	0.411	0.164	0	0	0	0.462	0	0.319	0	0.473	0	0	0	0.41	0	0	0.633	0.415	0.383	0.44	0	0.999	0	0.317	0.252	0.235	0	0.454	0.247	0.414	0.445	0.259	0	0.42	0	0.414	0.318	0.317	0.32	0.414	0	0.421
GO:0007097	0	0.019	0.018	0.018	0.018	0.017	0.02	0.984	0.017	0	0.018	0	0.018	0.021	0.321	0.018	0	0	0.419	0.271	0.019	0	0.017	0.019	0.271	0	1	0	0	0	0.02	0.02	0	0	0.019	0.017	0.017	0.018	0	0	0	0	0.016	0.018	0.016	0.018
GO:0048565	0.192	0.322	0.31	0.3	0.309	0.165	0	0	0	0.347	0	0.992	0	0.355	0	0	0	0.253	0	0	0.322	0.256	0.287	0.33	0	0.317	0	0.999	0.254	0.237	0	0.341	0.249	0.255	0.334	0.261	0	0.315	0	0.306	0.321	0.492	0.266	0.31	0	0.316
GO:0035116	0.172	0.256	0.247	0.24	0.246	0.15	0	0	0	0.274	0	0.256	0	0.279	0	0	0	0.225	0	0	0.256	0.227	0.231	0.262	0	0.252	0	0.254	1	0.211	0	0.27	0.222	0.412	0.265	0.236	0	0.251	0	0.68	0.284	0.323	0.326	0.248	0	0.252
GO:0021700	0	0.239	0.23	0.222	0.229	0	0	0	0	0.26	0	0.239	0	0.266	0	0	0	0.255	0	0	0.239	0.259	0.211	0.246	0	0.235	0	0.237	0.211	0.997	0	0.255	0.968	0.258	0.249	0.217	0	0.234	0	0.258	0.271	0.193	0.195	0.23	0	0.235
GO:0010810	0.089	0.11	0.106	0.103	0.021	0.096	0.946	0	0.02	0.094	0.103	0	0.841	0.024	0	0.896	0.082	0	0.097	0	0.022	0	0.098	0.023	0.078	0	0.02	0	0	0	0.998	0.118	0	0	0.115	0.1	0.874	0.021	0.085	0	0	0	0.091	0.106	0.018	0.022
GO:0050769	0.453	0.862	0.9	0.499	0.514	0.387	0.025	0	0.02	0.979	0.105	0.344	0.022	0.597	0	0.105	0.236	0.271	0.251	0	0.537	0.275	0.83	0.553	0.223	0.454	0.02	0.341	0.27	0.255	0.118	0.998	0.267	0.274	0.637	0.579	0.261	0.525	0.086	0.329	0.345	0.278	0.5	0.589	0.019	0.527
GO:0071695	0	0.251	0.241	0.233	0.24	0	0	0	0	0.272	0	0.251	0	0.278	0	0	0	0.267	0	0	0.251	0.271	0.222	0.258	0	0.247	0	0.249	0.222	0.968	0	0.267	0.998	0.27	0.261	0.228	0	0.245	0	0.27	0.284	0.203	0.206	0.242	0	0.246
GO:0090596	0	0.257	0.247	0.239	0.246	0	0	0	0	0.279	0	0.257	0	0.286	0	0	0	0.831	0	0	0.257	0.454	0.227	0.264	0	0.414	0	0.255	0.412	0.258	0	0.274	0.27	0.997	0.268	0.233	0	0.76	0	0.707	0.291	0.377	0.534	0.247	0	0.252
GO:0045664	0.201	0.599	0.576	0.49	0.504	0.172	0.024	0	0.02	0.548	0.103	0.337	0.021	0.584	0	0.103	0.082	0.265	0.097	0	0.527	0.269	0.532	0.575	0.077	0.445	0.019	0.334	0.265	0.249	0.115	0.637	0.261	0.268	0.998	0.545	0.101	0.564	0.084	0.322	0.337	0.273	0.492	0.577	0.018	0.566
GO:0045601	0.389	0.549	0.53	0.31	0.318	0.339	0.021	0	0.018	0.588	0.091	0.262	0.019	0.361	0	0.091	0.072	0.231	0.086	0	0.33	0.234	0.494	0.338	0.069	0.259	0.017	0.261	0.236	0.217	0.1	0.579	0.228	0.233	0.545	1	0.089	0.324	0.074	0.28	0.292	0.218	0.441	0.509	0.016	0.325
GO:1900026	0.078	0.097	0.239	0.091	0.019	0.086	0.824	0	0.018	0.233	0.092	0	0.941	0.021	0	0.977	0.206	0	0.221	0	0.019	0	0.222	0.02	0.196	0	0.017	0	0	0	0.874	0.261	0	0	0.101	0.089	1	0.019	0.075	0	0	0	0.082	0.094	0.016	0.019
GO:0060113	0.189	0.496	0.478	0.463	0.476	0.163	0.022	0	0.019	0.459	0.019	0.317	0.02	0.546	0	0.019	0	0.913	0.018	0	0.496	0.412	0.443	0.54	0	0.42	0.018	0.315	0.251	0.234	0.021	0.525	0.245	0.76	0.564	0.324	0.019	0.999	0	0.411	0.315	0.315	0.318	0.479	0.017	0.995
GO:2000628	0.082	0.081	0.078	0.076	0	0.071	0	0	0	0.087	0.076	0	0	0	0	0.077	0.969	0	0.072	0	0	0	0.073	0	0.073	0	0	0	0	0	0.085	0.086	0	0	0.084	0.074	0.075	0	0.999	0	0	0	0.067	0.078	0	0
GO:0048562	0.208	0.309	0.296	0.287	0.295	0.177	0	0	0	0.335	0	0.309	0	0.344	0	0	0	0.45	0	0	0.309	0.455	0.273	0.318	0	0.414	0	0.306	0.68	0.258	0	0.329	0.27	0.707	0.322	0.28	0	0.411	0	0.997	0.35	0.377	0.535	0.297	0	0.303
GO:0003002	0.218	0.323	0.31	0.299	0.308	0.184	0	0	0	0.352	0	0.323	0	0.361	0	0	0	0.289	0	0	0.323	0.292	0.284	0.333	0	0.318	0	0.321	0.284	0.271	0	0.345	0.284	0.291	0.337	0.292	0	0.315	0	0.35	0.995	0.258	0.261	0.31	0	0.317
GO:0060982	0.158	0.265	0.257	0.25	0.256	0.139	0	0	0	0.282	0	0.265	0	0.287	0	0	0	0.337	0	0	0.265	0.34	0.241	0.271	0	0.317	0	0.492	0.323	0.193	0	0.278	0.203	0.377	0.273	0.218	0	0.315	0	0.377	0.258	1	0.464	0.257	0	0.261
GO:0062042	0.159	0.476	0.462	0.282	0.289	0.141	0.019	0	0.016	0.429	0.083	0.268	0.017	0.324	0	0.083	0.066	0.34	0.079	0	0.299	0.344	0.433	0.306	0.063	0.32	0.016	0.266	0.326	0.195	0.091	0.5	0.206	0.534	0.492	0.441	0.082	0.318	0.067	0.535	0.261	0.464	1	0.462	0.015	0.295
GO:0045685	0.187	0.779	0.752	0.729	0.749	0.161	0.022	0	0.018	0.506	0.096	0.312	0.02	0.858	0	0.096	0.076	0.245	0.091	0	0.836	0.248	0.698	0.502	0.072	0.414	0.018	0.31	0.248	0.23	0.106	0.589	0.242	0.247	0.577	0.509	0.094	0.479	0.078	0.297	0.31	0.257	0.462	0.999	0.017	0.481
GO:1990709	0	0.018	0.017	0.017	0.017	0.016	0.019	0	0.016	0	0.017	0	0.017	0.019	0	0.017	0	0	0.016	0	0.018	0	0.016	0.018	0	0	0.016	0	0	0	0.018	0.019	0	0	0.018	0.016	0.016	0.017	0	0	0	0	0.015	0.017	1	0.017
GO:0042490	0.19	0.498	0.48	0.465	0.478	0.164	0.023	0	0.019	0.461	0.019	0.318	0.02	0.549	0	0.019	0	0.25	0.018	0	0.498	0.253	0.445	0.543	0	0.421	0.018	0.316	0.252	0.235	0.022	0.527	0.246	0.252	0.566	0.325	0.019	0.995	0	0.303	0.317	0.261	0.295	0.481	0.017	0.999
