gene	mc_diff	hmc_diff	combined_effect	quadrant	log2FC	padj	baseMean	net_atac	n_atac_up	n_atac_down	k119ub_gb_log2fc	k119ub_pr_log2fc	k119ub_gb_class	n_k27ac_gained	n_k27ac_lost	k27ac_status	chromatin_state	n_mecp2_up	n_mecp2_down	mecp2_status	loop_involved
Lpar6	-0.136448298469474	-0.02969072986009	0.166139028329564	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.441886	0.640077	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Mycl	-0.105444938296198	-0.0565870659588947	0.162032004255093	Q1: mC dn/hmC dn	-0.200454032026748	0.835439783057929	11.5600633784647	1	1	0	0.227174	0.010636	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Actb	-0.0521834679963168	-0.106730341753392	0.158913809749709	Q1: mC dn/hmC dn	0.0642826550651835	0.844775938110423	2987.23686468375	0	0	0	-0.56566	0.041529	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	FALSE
Scarf2	-0.119093316948702	-0.0396241814998729	0.158717498448575	Q1: mC dn/hmC dn	-0.955790190879954	0.000890775494161877	27.1247871383415	0	0	0	-0.012564	-0.16954	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Nppa	-0.0955547874636905	-0.0608186273362105	0.156373414799901	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.164565	-0.186213	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Tlx3	-0.068716307277628	-0.0850572776280323	0.15377358490566	Q1: mC dn/hmC dn	-2.7132489314622	2.93790756690699e-31	38.3907758294465	-5	0	5	0.117231	0.141825	quantifiable	0	3	Lost Only	Bivalent_Promoter	1	0	MeCP2 Up Only	TRUE
Sfrp5	-0.111545207336176	-0.0353776396470992	0.146922846983275	Q1: mC dn/hmC dn	-0.445852124242521	0.574581580046665	7.58488589326881	-1	0	1	0.213983	0.316057	quantifiable	0	2	Lost Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Myod1	-0.099778168800055	-0.0459564054426528	0.145734574242708	Q1: mC dn/hmC dn	NA	NA	NA	2	2	0	-0.129078	-0.142455	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Tigd3	-0.081313261730401	-0.0634746108955827	0.144787872625984	Q1: mC dn/hmC dn	0.0763978568176176	0.899539301028855	35.3989203591239	0	0	0	-0.24365	-0.229635	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	FALSE
Tubb2a	-0.0793840505098936	-0.064209994087336	0.14359404459723	Q1: mC dn/hmC dn	0.17383812149765	0.572972522081927	170.921379751836	0	0	0	0.428783	0.596308	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Gadd45a	-0.0769251348651422	-0.0606586738697274	0.13758380873487	Q1: mC dn/hmC dn	-0.197519612006402	0.862072354663973	8.71450868227512	1	1	0	0.508575	0.684648	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Zfp36l1	-0.115328601406021	-0.0169634405791098	0.132292041985131	Q1: mC dn/hmC dn	-0.584410635590678	0.2841116900646	10.8346209736498	0	0	0	0.176794	0.139433	quantifiable	1	0	Gained Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Dhh	-0.101621860925062	-0.0301321229393062	0.131753983864368	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.088706	-0.050165	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Gdf15	-0.0657520525473501	-0.0575694695096896	0.12332152205704	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.09909	0.14784	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Hes7	-0.0878105351982463	-0.0342160498466774	0.122026585044924	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.123242	0.233651	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Tmem102	-0.100863671749648	-0.020955429462214	0.121819101211862	Q1: mC dn/hmC dn	-0.0744802693603126	0.976205512067484	2.39533775334899	0	0	0	-0.341814	-0.258809	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Adm	-0.0596606479845251	-0.0565358368834136	0.116196484867939	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.15831	0.135786	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Hspa2	-0.0673761954286135	-0.0461659049378799	0.113542100366493	Q1: mC dn/hmC dn	-0.5717202792439	0.0244433060540894	35.669261701988	0	0	0	0.295773	0.304477	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Mex3b	-0.0625031309580121	-0.0473160611544527	0.109819192112465	Q1: mC dn/hmC dn	0.127478488641627	0.742616618884278	54.1539900083651	0	0	0	0.062596	0.134482	quantifiable	2	0	Gained Only	Active_Promoter	0	0	No MeCP2	TRUE
Myorg	-0.081355447511574	-0.0272680102719629	0.108623457783537	Q1: mC dn/hmC dn	-0.00358371772356648	0.99588485671688	82.3929935823746	0	0	0	0.265406	0.305444	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Zfp36	-0.0704118713702301	-0.0350112376330454	0.105423109003275	Q1: mC dn/hmC dn	-0.534503058490746	0.282712392208823	16.5107701557057	0	0	0	0.195514	0.248063	quantifiable	1	0	Gained Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Nfix	-0.0368587271456767	-0.0654818927289452	0.102340619874622	Q1: mC dn/hmC dn	0.240191679782557	0.0190935271459481	5783.84751286257	4	4	0	-0.060391	-0.124775	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Stmn3	-0.0342567881116524	-0.0651328483691157	0.0993896364807681	Q1: mC dn/hmC dn	0.169716421599878	0.343000400214376	932.686771226358	0	0	0	-0.422629	-0.052951	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Gp5	-0.0538344890977027	-0.0434743348550921	0.0973088239527948	Q1: mC dn/hmC dn	1.29866449116552	0.0496843153775288	5.72817225942584	2	2	0	-0.294322	-0.286482	quantifiable	1	0	Gained Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Wdr5b	-0.0495278376743026	-0.0446404165952346	0.0941682542695372	Q1: mC dn/hmC dn	-0.0205810070123005	0.978497710463813	42.5214152089761	0	0	0	0.467124	0.398034	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	TRUE
Adamtsl5	-0.0803280210411405	-0.0133474850455799	0.0936755060867203	Q1: mC dn/hmC dn	NA	NA	NA	2	2	0	-0.161084	-0.064147	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Jak3	-0.0750376709874616	-0.0177026078335122	0.0927402788209738	Q1: mC dn/hmC dn	0.19949659607127	0.803532805136274	11.9981041564102	0	0	0	0.036168	0.38486	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Ltk	-0.0613585528097755	-0.0304485550166873	0.0918071078264628	Q1: mC dn/hmC dn	0.499721566007114	0.224311519773662	23.2077546372079	1	1	0	-0.108151	-0.059628	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Ggn	-0.0610362785252465	-0.0304745399912794	0.0915108185165259	Q1: mC dn/hmC dn	0.399616983043809	0.393425770252793	18.5914052383882	0	0	0	-0.296074	-0.122366	quantifiable	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	FALSE
Ppia	-0.034480431536383	-0.055908256381623	0.090388687918006	Q1: mC dn/hmC dn	0.134151294151653	0.605123830523257	365.189495395482	0	0	0	NA	NA	NA	0	0	No Change	Other	0	0	No MeCP2	FALSE
Fbxl8	-0.0622619482642329	-0.0261278215926019	0.0883897698568348	Q1: mC dn/hmC dn	-0.542648604781014	0.816543079657875	2.46950402373391	0	0	0	0.329973	0.386244	quantifiable	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	FALSE
Bcl6b	-0.063076659333612	-0.0245607825354149	0.0876374418690269	Q1: mC dn/hmC dn	0.0496749109594614	0.956718939221228	17.6666055771293	0	0	0	0.203124	0.295949	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Rps27a	-0.0609210042163254	-0.0262441445803083	0.0871651487966337	Q1: mC dn/hmC dn	0.0148494571793377	0.977248328676253	108.2962671944	0	0	0	0.421361	0.498366	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	TRUE
Scrt1	-0.0528672400995416	-0.0342792515275497	0.0871464916270913	Q1: mC dn/hmC dn	0.0423398409021343	0.923293383075703	767.08259000866	1	1	0	-0.099707	0.016858	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Sema7a	-0.0457454045864062	-0.0404596462748546	0.0862050508612608	Q1: mC dn/hmC dn	0.497188559155404	3.65302173966537e-07	1338.96349007157	0	0	0	-0.494862	0.178792	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Zic3	-0.0433852868393683	-0.0387865757493024	0.0821718625886707	Q1: mC dn/hmC dn	-1.02849551446801	2.5974296628295e-10	80.6377929528121	-2	0	2	0.840966	0.249054	quantifiable	0	1	Lost Only	Bivalent_Promoter	0	0	No MeCP2	FALSE
Irx1	-0.0680268548363418	-0.0140453476099945	0.0820722024463363	Q1: mC dn/hmC dn	0.0976299831220576	0.901403919426579	25.4834754163802	3	3	0	0.21449	0.07858	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Selenov	-0.0568512197311069	-0.02107498702037	0.0779262067514768	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.016381	0.025781	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Rprm	-0.0497051097471648	-0.0274372059702616	0.0771423157174264	Q1: mC dn/hmC dn	NA	NA	NA	1	1	0	0.230571	0.425684	quantifiable	0	0	No Change	Repressed_Promoter	1	0	MeCP2 Up Only	FALSE
Abi3	-0.0453892486876122	-0.0307785868861263	0.0761678355737385	Q1: mC dn/hmC dn	-0.0422699818372347	0.987884920866066	2.32430195863475	0	0	0	-0.132344	-0.458921	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Gadd45b	-0.0447613156353097	-0.0305173935497795	0.0752787091850893	Q1: mC dn/hmC dn	-0.489584261509637	0.252630467152144	23.3676978258744	0	0	0	-0.004463	-0.029714	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Mt1	-0.0487724572009624	-0.0258483319848551	0.0746207891858174	Q1: mC dn/hmC dn	0.203502931737412	0.478606467656364	550.540315850396	0	0	0	0.257901	0.363406	quantifiable	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	FALSE
Calm3	-0.0429351519123839	-0.0309849506494618	0.0739201025618458	Q1: mC dn/hmC dn	0.17900783962965	0.336757577388955	2529.89110647577	0	0	0	-0.430566	-0.205738	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Tlcd1	-0.0334992807122445	-0.038952656488367	0.0724519372006114	Q1: mC dn/hmC dn	0.251698680056105	0.379859592597318	56.2568453508301	0	0	0	-0.239327	-0.133101	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Amotl2	-0.043236107711126	-0.0277687401492226	0.0710048478603486	Q1: mC dn/hmC dn	0.208538624376858	0.29520648146076	271.283305920266	1	1	0	-0.116059	0.269369	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Rps6ka4	-0.0510821663794302	-0.0198279717738015	0.0709101381532317	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.020444	0.106492	quantifiable	1	0	Gained Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Slc17a6	-0.0392862830554229	-0.0285030366143657	0.0677893196697886	Q1: mC dn/hmC dn	0.129610042019627	0.850876072937818	25.6114096160131	0	0	0	0.187635	0.224983	quantifiable	0	0	No Change	Repressed_Promoter	0	1	MeCP2 Down Only	TRUE
Tgif2	-0.0460343207848763	-0.0191120432886081	0.0651463640734845	Q1: mC dn/hmC dn	-0.408831121410725	0.793680712037682	3.66003364071793	0	0	0	-0.206639	-0.371157	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Id2	-0.0375443260753069	-0.0268962877556717	0.0644406138309785	Q1: mC dn/hmC dn	-0.252317719869415	0.228892223791428	179.596076638288	0	0	0	0.467613	0.395811	quantifiable	0	0	No Change	Bivalent_Promoter	0	1	MeCP2 Down Only	FALSE
D430041D05Rik	-0.0489529315515366	-0.0130830554031502	0.0620359869546868	Q1: mC dn/hmC dn	0.595366179695572	3.01439384061941e-08	7917.68970730583	4	4	0	-0.041381	0.152161	quantifiable	3	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Ddit4l	-0.0396456248928856	-0.0210303240701279	0.0606759489630135	Q1: mC dn/hmC dn	-0.138706773441582	0.95589681838224	2.38145702042184	0	0	0	-0.183273	-0.166728	quantifiable	0	0	No Change	Repressed_Promoter	0	1	MeCP2 Down Only	FALSE
Ier5l	-0.0284918575981927	-0.0311507145574617	0.0596425721556544	Q1: mC dn/hmC dn	0.404260672103414	0.832284381281732	3.07586870863633	0	1	1	-0.264293	-0.429165	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Ripply3	-0.032855268376726	-0.0247271895627245	0.0575824579394505	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.345059	0.313276	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Vasn	-0.0321704154619695	-0.0252332920344535	0.057403707496423	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.197512	-0.322764	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Unc5b	-0.0291453086854832	-0.028070550202362	0.0572158588878452	Q1: mC dn/hmC dn	0.331257820586772	1.26361335213926e-05	2981.90802434399	0	0	0	-0.226317	0.329266	quantifiable	2	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Zfp651	-0.0344671459415717	-0.0223158795627127	0.0567830255042844	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	NA	NA	NA	0	0	No Change	Other	0	0	No MeCP2	FALSE
Plekhh3	-0.0325431443504807	-0.0241995936570937	0.0567427380075743	Q1: mC dn/hmC dn	0.190129981898846	0.434520308742974	197.115654714661	0	0	0	-0.333103	-0.441085	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Cbarp	-0.0256436047658053	-0.0306602709726793	0.0563038757384846	Q1: mC dn/hmC dn	0.0669482392786082	0.833295685983573	240.713116288945	0	0	0	-0.039707	-0.06532	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Tmem138	-0.0414333979228219	-0.0132542678993571	0.054687665822179	Q1: mC dn/hmC dn	-0.20449135560726	0.780780359792535	19.7828989635938	0	0	0	0.520787	0.674941	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Brsk2	-0.027217451206569	-0.0273392351766623	0.0545566863832314	Q1: mC dn/hmC dn	0.200088790286603	0.0839336932929487	1813.96548167234	0	0	0	-0.429205	0.220816	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
C1qtnf1	-0.0388709501835327	-0.0156641003387956	0.0545350505223283	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.061074	-0.138581	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Hes1	-0.0359305513020801	-0.0185548678135014	0.0544854191155815	Q1: mC dn/hmC dn	-0.728100323341144	0.212004267382726	10.2582737470698	-1	0	1	-0.226408	-0.188912	quantifiable	0	0	No Change	Bivalent_Promoter	0	1	MeCP2 Down Only	FALSE
Sp9	-0.0367214454948114	-0.0160136302481848	0.0527350757429962	Q1: mC dn/hmC dn	0.38408061683815	0.676067054465577	8.37287609878755	0	0	0	-0.105637	-0.091808	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	TRUE
Nxnl1	-0.0314673007297597	-0.020386722577206	0.0518540233069656	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.297171	0.465322	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Il4	-0.032866310217956	-0.0176037947788283	0.0504701049967843	Q1: mC dn/hmC dn	-0.0174818313161659	0.971327209970557	85.8784053682843	0	0	0	-0.3468	-0.456239	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Agap2	-0.0328132353538876	-0.0173540668815806	0.0501673022354682	Q1: mC dn/hmC dn	0.286583789464735	0.121050755050371	1396.6192023727	2	2	0	-0.155899	0.270855	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Cux2	-0.0286453116849759	-0.0215067074982953	0.0501520191832711	Q1: mC dn/hmC dn	-0.0741949645844666	0.785764557701623	1080.3598739903	0	0	0	-0.358216	0.044592	quantifiable	1	0	Gained Only	Other	0	3	MeCP2 Down Only	FALSE
Rab6b	-0.0205933099516509	-0.0291311005654332	0.049724410517084	Q1: mC dn/hmC dn	0.209893822945044	0.00955672856756671	3807.45934510812	2	2	0	-0.368074	0.232854	quantifiable	0	1	Lost Only	Active_Promoter	0	0	No MeCP2	FALSE
Osr2	-0.0423389371546068	-0.0054832594503587	0.0478221966049655	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.049372	-0.108845	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Prrc2b	-0.0261643818081059	-0.0204244968375168	0.0465888786456227	Q1: mC dn/hmC dn	0.322365776568891	0.00405078698822065	4121.82268774156	1	1	0	-0.341628	-0.099087	quantifiable	5	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Gm45713	-0.031254869774213	-0.0136957422042376	0.0449506119784507	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	NA	NA	NA	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Unc13a	-0.0165766471519875	-0.0277623181402709	0.0443389652922584	Q1: mC dn/hmC dn	0.0457377609444492	0.912614897811544	1862.59609087446	0	0	0	-0.207462	0.392203	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
P3h1	-0.0276775971445581	-0.016295388007166	0.0439729851517241	Q1: mC dn/hmC dn	-0.117932256191349	0.693041259965091	95.6854835440668	0	0	0	-0.012915	0.492454	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Tfap2a	-0.0373696805314853	-0.00654433930519476	0.0439140198366801	Q1: mC dn/hmC dn	-0.0275339621884958	0.956303227963142	59.6186105558958	0	0	0	-0.296159	-0.282531	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	TRUE
Ube2ql1	-0.0249315740386913	-0.0187843085287857	0.043715882567477	Q1: mC dn/hmC dn	0.147466962726673	0.10767606945897	932.662524790699	2	2	0	0.00621	0.30157	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Sema3f	-0.0283799973422509	-0.013948178420348	0.0423281757625989	Q1: mC dn/hmC dn	0.404402695165694	0.108866897217952	77.6863461067636	0	1	1	-0.210518	-0.092781	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Gpm6a	-0.0211911520528876	-0.0205749091155711	0.0417660611684587	Q1: mC dn/hmC dn	0.180659112486256	0.540710557698997	7700.45738675705	2	2	0	0.379652	0.748695	quantifiable	3	0	Gained Only	Active_Promoter	1	0	MeCP2 Up Only	FALSE
Draxin	-0.0269923914219579	-0.0140944353712774	0.0410868267932352	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.07821	-0.236016	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Msi2	-0.0298793494674561	-0.0107768478517531	0.0406561973192092	Q1: mC dn/hmC dn	0.244867988552948	0.0680317756349935	7453.15466938347	2	2	0	-0.201723	0.15823	quantifiable	5	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Dpysl2	-0.0258075443175497	-0.0145807571760135	0.0403883014935632	Q1: mC dn/hmC dn	0.177060778365516	0.000287433022939724	3412.25838559172	2	2	0	-0.096939	0.418182	quantifiable	5	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Rhof	-0.0236447620772613	-0.0164930792340063	0.0401378413112676	Q1: mC dn/hmC dn	NA	NA	NA	2	2	0	-0.28597	-0.317586	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	FALSE
Tsen34	-0.0266547268767694	-0.012988028492771	0.0396427553695404	Q1: mC dn/hmC dn	0.129104371496507	0.760747443373711	61.1348408903159	0	0	0	0.102839	0.403489	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Trim14	-0.0227010177769098	-0.0153422985068307	0.0380433162837405	Q1: mC dn/hmC dn	-0.131522072645746	0.930185097668107	5.86774090880817	-1	0	1	0.168933	0.128904	quantifiable	0	1	Lost Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Tafa5	-0.0228314819839089	-0.0147363959562721	0.0375678779401811	Q1: mC dn/hmC dn	0.150090662757998	0.188865574249639	2485.01314070061	7	7	0	-0.275179	0.163511	quantifiable	6	0	Gained Only	Active_Promoter	14	0	MeCP2 Up Only	TRUE
Sparc	-0.0237738541019242	-0.0137485706418158	0.03752242474374	Q1: mC dn/hmC dn	0.0645345257443821	0.704990524241889	927.16640102324	0	0	0	-0.017096	0.233512	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Ankrd13a	-0.0230990673510325	-0.0140681249515102	0.0371671923025427	Q1: mC dn/hmC dn	0.359205356029494	0.000201724114063615	533.235243275222	0	0	0	-0.09998	-0.045308	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Ephb2	-0.0252369405726215	-0.0119065541586201	0.0371434947312416	Q1: mC dn/hmC dn	0.126199382910335	0.216755896188005	2785.09687158385	3	4	1	-0.372223	-0.036584	quantifiable	0	0	No Change	Active_Promoter	1	0	MeCP2 Up Only	FALSE
Eif4e3	-0.0164457446794688	-0.0204119582503098	0.0368577029297786	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.03709	0.906435	quantifiable	0	0	No Change	Active_Promoter	2	0	MeCP2 Up Only	FALSE
Tsks	-0.0231724074010263	-0.0131493041773152	0.0363217115783415	Q1: mC dn/hmC dn	0.506206382469984	0.537393501122924	8.21692129778888	0	0	0	-0.062514	-0.044561	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Bahcc1	-0.0251433680692115	-0.0106723779218961	0.0358157459911076	Q1: mC dn/hmC dn	0.223262323420054	0.120048941817631	589.698684219572	1	1	0	-0.234099	0.325198	quantifiable	1	0	Gained Only	Active_Promoter	0	1	MeCP2 Down Only	FALSE
Slc4a2	-0.0227739341783012	-0.0127599862869246	0.0355339204652258	Q1: mC dn/hmC dn	0.10193867476091	0.745685095495411	83.7559253404633	0	0	0	0.32784	0.527767	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Mtarc2	-0.0185694729691419	-0.015957624714738	0.0345270976838799	Q1: mC dn/hmC dn	-0.52745628404692	0.000561091604839634	82.6530472666142	0	0	0	0.501267	0.657922	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Btbd11	-0.025902666351181	-0.00860579640119488	0.0345084627523759	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	NA	NA	NA	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Msi1	-0.0234651583956493	-0.0107115597050084	0.0341767181006578	Q1: mC dn/hmC dn	0.350071714429243	0.069217770138047	183.411050817459	1	1	0	-0.135132	-0.308958	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	FALSE
Dlgap4	-0.0264926021064685	-0.00751383991709636	0.0340064420235649	Q1: mC dn/hmC dn	0.248529308835424	0.0191046871533148	1919.61648062309	2	2	0	-0.328942	-0.250721	quantifiable	4	0	Gained Only	Active_Promoter	0	2	MeCP2 Down Only	FALSE
