gene	mc_diff	hmc_diff	combined_effect	quadrant	log2FC	padj	baseMean	net_atac	n_atac_up	n_atac_down	k119ub_gb_log2fc	k119ub_pr_log2fc	k119ub_gb_class	n_k27ac_gained	n_k27ac_lost	k27ac_status	chromatin_state	n_mecp2_up	n_mecp2_down	mecp2_status	loop_involved
Kiss1r	-0.109611138194568	-0.0711488208051827	0.18075995899975	Q1: mC dn/hmC dn	-1.57485763538124	2.75597707413813e-05	14.8858419132738	-1	0	1	0.688707	0.687385	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Npb	-0.107719464702261	-0.0700594258790366	0.177778890581298	Q1: mC dn/hmC dn	-0.500287082308081	0.776830663606771	2.20128564085213	0	0	0	-0.255408	-0.468661	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Adra2c	-0.134320389987773	-0.0360630957587617	0.170383485746535	Q1: mC dn/hmC dn	0.123760229901375	0.836994258569299	24.848825724415	-3	1	4	-0.164568	-0.006543	quantifiable	1	1	Both	Other	0	2	MeCP2 Down Only	FALSE
Lpar6	-0.133963438610194	-0.0300494717397039	0.164012910349898	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.441886	0.640077	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Barhl1	-0.116504733403278	-0.0422352391765659	0.158739972579843	Q1: mC dn/hmC dn	0.745925633516415	4.8785361200918e-08	146.771420101699	7	7	0	-0.113356	-0.195763	quantifiable	2	0	Gained Only	Bivalent_Promoter	0	0	No MeCP2	FALSE
Mycl	-0.108584810200596	-0.0460367629241311	0.154621573124727	Q1: mC dn/hmC dn	-0.200454032026748	0.835439783057929	11.5600633784647	1	1	0	0.227174	0.010636	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Gadd45a	-0.0886052975838988	-0.0623718983943925	0.150977195978291	Q1: mC dn/hmC dn	-0.197519612006402	0.862072354663973	8.71450868227512	1	1	0	0.508575	0.684648	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Myod1	-0.114089926514488	-0.0348024452705454	0.148892371785034	Q1: mC dn/hmC dn	NA	NA	NA	2	2	0	-0.129078	-0.142455	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Dhh	-0.108804458148561	-0.0249954030024624	0.133799861151024	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.088706	-0.050165	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Sfrp5	-0.096304322244316	-0.0346409350452549	0.130945257289571	Q1: mC dn/hmC dn	-0.445852124242521	0.574581580046665	7.58488589326881	-1	0	1	0.213983	0.316057	quantifiable	0	2	Lost Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Gp5	-0.074117204491023	-0.0536470130739082	0.127764217564931	Q1: mC dn/hmC dn	1.29866449116552	0.0496843153775288	5.72817225942584	2	2	0	-0.294322	-0.286482	quantifiable	1	0	Gained Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Gp1bb	-0.0746063890132505	-0.0505233578592147	0.125129746872465	Q1: mC dn/hmC dn	0.472167374517815	0.529757561135638	7.57182202987045	0	0	0	0.008634	0.069368	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Eva1b	-0.0841059219440505	-0.0408552744712505	0.124961196415301	Q1: mC dn/hmC dn	0.0910087546386935	0.971345961830869	2.42649625310534	0	0	0	-0.342144	-0.328728	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Hes7	-0.0838962552044769	-0.0389152557200753	0.122811510924552	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.123242	0.233651	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Tmem102	-0.101130176318251	-0.021375356693789	0.12250553301204	Q1: mC dn/hmC dn	-0.0744802693603126	0.976205512067484	2.39533775334899	0	0	0	-0.341814	-0.258809	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Myorg	-0.0964844788848194	-0.0231808810082086	0.119665359893028	Q1: mC dn/hmC dn	-0.00358371772356648	0.99588485671688	82.3929935823746	0	0	0	0.265406	0.305444	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Adm	-0.070160026683073	-0.0473015897365804	0.117461616419653	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.15831	0.135786	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Rhob	-0.0581662419602734	-0.0566526859963296	0.114818927956603	Q1: mC dn/hmC dn	0.0946697741722951	0.793900094922217	231.575710344477	5	5	0	-0.048906	0.540175	quantifiable	2	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Tigd3	-0.0603145741880026	-0.0535621185489423	0.113876692736945	Q1: mC dn/hmC dn	0.0763978568176176	0.899539301028855	35.3989203591239	0	0	0	-0.24365	-0.229635	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	FALSE
Actb	-0.0423035202946862	-0.0676195549015093	0.109923075196196	Q1: mC dn/hmC dn	0.0642826550651835	0.844775938110423	2987.23686468375	0	0	0	-0.56566	0.041529	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	FALSE
Nfix	-0.041968363756808	-0.0644996959775082	0.106468059734316	Q1: mC dn/hmC dn	0.240191679782557	0.0190935271459481	5783.84751286257	4	4	0	-0.060391	-0.124775	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Fbxl8	-0.0849459557188222	-0.0211872617300513	0.106133217448874	Q1: mC dn/hmC dn	-0.542648604781014	0.816543079657875	2.46950402373391	0	0	0	0.329973	0.386244	quantifiable	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	FALSE
H3c2	-0.0885539084734004	-0.0155510479389457	0.104104956412346	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.659616	0.652232	quantifiable	0	0	No Change	Other	0	0	No MeCP2	TRUE
Jak3	-0.0827174340749553	-0.0171326953249261	0.0998501293998814	Q1: mC dn/hmC dn	0.19949659607127	0.803532805136274	11.9981041564102	0	0	0	0.036168	0.38486	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Zfp36l1	-0.0844515161915528	-0.0144582036834024	0.0989097198749553	Q1: mC dn/hmC dn	-0.584410635590678	0.2841116900646	10.8346209736498	0	0	0	0.176794	0.139433	quantifiable	1	0	Gained Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Gm42517	-0.0547434245277864	-0.0418571484227164	0.0966005729505028	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	NA	NA	NA	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	FALSE
Tmsb4x	-0.0558289189078635	-0.0397439218971631	0.0955728408050266	Q1: mC dn/hmC dn	0.196937402475599	0.474778097524744	154.240623455889	0	0	0	0.110777	0.696621	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	TRUE
Timp1	-0.0628805168795266	-0.0307186929684524	0.0935992098479789	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.301781	-0.56314	quantifiable	2	0	Gained Only	Other	0	0	No MeCP2	FALSE
Mc1r	-0.0487224445152454	-0.0430476356146897	0.0917700801299351	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.116404	0.093153	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Pou3f3	-0.0748703950586948	-0.0157900018405645	0.0906603968992593	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.103405	-0.148469	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	TRUE
Mex3b	-0.058648590493553	-0.0300475004459667	0.0886960909395197	Q1: mC dn/hmC dn	0.127478488641627	0.742616618884278	54.1539900083651	0	0	0	0.062596	0.134482	quantifiable	2	0	Gained Only	Active_Promoter	0	0	No MeCP2	TRUE
Adamtsl5	-0.0750305715061979	-0.0123987432398797	0.0874293147460776	Q1: mC dn/hmC dn	NA	NA	NA	2	2	0	-0.161084	-0.064147	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Gadd45b	-0.0481310702545616	-0.0377977380253317	0.0859288082798934	Q1: mC dn/hmC dn	-0.489584261509637	0.252630467152144	23.3676978258744	0	0	0	-0.004463	-0.029714	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Fbxo2	-0.046404181089318	-0.0394087662096042	0.0858129472989222	Q1: mC dn/hmC dn	0.0398628749895732	0.958386951502253	28.07839909042	1	1	0	0.149944	0.178032	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Hspa2	-0.0522372595016265	-0.0328369413842402	0.0850742008858668	Q1: mC dn/hmC dn	-0.5717202792439	0.0244433060540894	35.669261701988	0	0	0	0.295773	0.304477	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Ush1g	-0.0596500327680766	-0.0251818115368673	0.0848318443049439	Q1: mC dn/hmC dn	NA	NA	NA	-1	0	1	0.213077	0.137869	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Zfp503	-0.0739716553581544	-0.0108016747825174	0.0847733301406718	Q1: mC dn/hmC dn	-0.19009194629013	0.849315235832714	8.3397203969278	1	1	0	0.265101	0.289861	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	TRUE
Zic3	-0.0483477102112934	-0.034444056787441	0.0827917669987343	Q1: mC dn/hmC dn	-1.02849551446801	2.5974296628295e-10	80.6377929528121	-2	0	2	0.840966	0.249054	quantifiable	0	1	Lost Only	Bivalent_Promoter	0	0	No MeCP2	FALSE
Nhlh1	-0.050235233068426	-0.0316102197259877	0.0818454527944138	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.554884	0.491739	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Tlx3	-0.0425124912923843	-0.0390644156991584	0.0815769069915427	Q1: mC dn/hmC dn	-2.7132489314622	2.93790756690699e-31	38.3907758294465	-5	0	5	0.117231	0.141825	quantifiable	0	3	Lost Only	Bivalent_Promoter	1	0	MeCP2 Up Only	TRUE
Zfp36	-0.0541189399237035	-0.0267356991884583	0.0808546391121618	Q1: mC dn/hmC dn	-0.534503058490746	0.282712392208823	16.5107701557057	0	0	0	0.195514	0.248063	quantifiable	1	0	Gained Only	Repressed_Promoter	0	0	No MeCP2	FALSE
Mical1	-0.047461532828834	-0.0330462232115976	0.0805077560404317	Q1: mC dn/hmC dn	0.0755386708999069	0.923360709080208	20.1475562278276	0	0	0	0.643377	0.611491	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Calm3	-0.0385878777510693	-0.0413034752605145	0.0798913530115838	Q1: mC dn/hmC dn	0.17900783962965	0.336757577388955	2529.89110647577	0	0	0	-0.430566	-0.205738	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Gdf15	-0.0438927558719879	-0.0358672320969609	0.0797599879689488	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.09909	0.14784	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Irx1	-0.0657453335085977	-0.0135097335243942	0.0792550670329919	Q1: mC dn/hmC dn	0.0976299831220576	0.901403919426579	25.4834754163802	3	3	0	0.21449	0.07858	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Stmn3	-0.0417922501824918	-0.0367407110893482	0.07853296127184	Q1: mC dn/hmC dn	0.169716421599878	0.343000400214376	932.686771226358	0	0	0	-0.422629	-0.052951	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Duoxa2	-0.0657821298499761	-0.0108103854135754	0.0765925152635516	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.004729	-0.093894	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Sema7a	-0.0515526469693509	-0.0245288714491959	0.0760815184185468	Q1: mC dn/hmC dn	0.497188559155404	3.65302173966537e-07	1338.96349007157	0	0	0	-0.494862	0.178792	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Id1	-0.0448190325172088	-0.0300898287455896	0.0749088612627984	Q1: mC dn/hmC dn	0.276843103433655	0.711853800838176	13.3734435682032	0	0	0	0.256942	0.254321	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Sphk1	-0.0477816350510561	-0.02683609463196	0.0746177296830161	Q1: mC dn/hmC dn	0.122728022182147	0.904152442921267	9.46191576869551	1	1	0	-0.583706	-0.560973	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Plekhh3	-0.0490887420821404	-0.025375742054012	0.0744644841361524	Q1: mC dn/hmC dn	0.190129981898846	0.434520308742974	197.115654714661	0	0	0	-0.333103	-0.441085	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Abi3	-0.0477683928515132	-0.0254259026147465	0.0731942954662598	Q1: mC dn/hmC dn	-0.0422699818372347	0.987884920866066	2.32430195863475	0	0	0	-0.132344	-0.458921	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Syngr3	-0.0494802225279062	-0.0231312415649973	0.0726114640929036	Q1: mC dn/hmC dn	0.332860731112306	0.0455277760176064	127.905000171963	0	0	0	-0.218721	0.026969	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Tgfbr3l	-0.053271979805197	-0.0172995938141289	0.0705715736193259	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.235321	-0.23914	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Gas2l1	-0.0402066852533453	-0.0300834572749723	0.0702901425283175	Q1: mC dn/hmC dn	0.0306442196363391	0.958302596656445	80.3671635356719	0	0	0	0.016854	0.007098	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Scrt1	-0.0409657485332241	-0.029067451386299	0.0700331999195231	Q1: mC dn/hmC dn	0.0423398409021343	0.923293383075703	767.08259000866	1	1	0	-0.099707	0.016858	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Lratd1	-0.0401921342204165	-0.0297447695656569	0.0699369037860733	Q1: mC dn/hmC dn	-0.253085280886887	0.19873159582035	112.975779552755	0	0	0	0.209659	0.210913	quantifiable	0	0	No Change	Bivalent_Promoter	2	0	MeCP2 Up Only	FALSE
Zfp651	-0.0411253314514597	-0.0282407103358175	0.0693660417872772	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	NA	NA	NA	0	0	No Change	Other	0	0	No MeCP2	FALSE
Slc17a6	-0.0404132154747333	-0.0289336803674443	0.0693468958421777	Q1: mC dn/hmC dn	0.129610042019627	0.850876072937818	25.6114096160131	0	0	0	0.187635	0.224983	quantifiable	0	0	No Change	Repressed_Promoter	0	1	MeCP2 Down Only	TRUE
Celf3	-0.0419898259918134	-0.0272162150539985	0.0692060410458119	Q1: mC dn/hmC dn	0.306874158662746	0.00295621356334904	687.398611402558	0	0	0	-0.170606	0.20947	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Vasn	-0.0495879750888195	-0.0194983868300438	0.0690863619188633	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.197512	-0.322764	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Neurod6	-0.0322365553314025	-0.0345648068995381	0.0668013622309405	Q1: mC dn/hmC dn	-0.0461827968288524	0.963071070709912	22.1721378051393	1	1	0	0.236032	0.163655	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Tgif1	-0.0521453042995675	-0.0139389090912132	0.0660842133907807	Q1: mC dn/hmC dn	0.505845108100611	0.538276767733313	10.9126363374519	1	2	1	-0.134458	-0.176388	quantifiable	8	2	Both	Repressed_Promoter	3	3	MeCP2 Both	TRUE
B3gnt9	-0.0382177836137181	-0.0272059448416118	0.0654237284553299	Q1: mC dn/hmC dn	0.316764335042762	0.560042742651511	20.338299459794	0	0	0	-0.058987	-0.043223	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Gm49601	-0.0301509132179929	-0.0344687304446895	0.0646196436626824	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	NA	NA	NA	0	0	No Change	Other	0	0	No MeCP2	FALSE
Ltk	-0.0424764979157504	-0.0215601877443675	0.0640366856601179	Q1: mC dn/hmC dn	0.499721566007114	0.224311519773662	23.2077546372079	1	1	0	-0.108151	-0.059628	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Selenov	-0.0469465810863309	-0.0165551606762133	0.0635017417625441	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.016381	0.025781	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Wdr5b	-0.0371072229947746	-0.0262873202533004	0.063394543248075	Q1: mC dn/hmC dn	-0.0205810070123005	0.978497710463813	42.5214152089761	0	0	0	0.467124	0.398034	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	TRUE
Prss37	-0.047105943735944	-0.0150265810671366	0.0621325248030806	Q1: mC dn/hmC dn	-0.484463689689955	0.628863649994038	5.23343972400085	0	0	0	-0.321559	-0.462752	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Ggn	-0.0346598039880798	-0.0268580160593808	0.0615178200474607	Q1: mC dn/hmC dn	0.399616983043809	0.393425770252793	18.5914052383882	0	0	0	-0.296074	-0.122366	quantifiable	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	FALSE
Bcl6b	-0.0365611917350574	-0.0247496791112507	0.0613108708463081	Q1: mC dn/hmC dn	0.0496749109594614	0.956718939221228	17.6666055771293	0	0	0	0.203124	0.295949	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Ddit4l	-0.0409029694492343	-0.0203877358004679	0.0612907052497022	Q1: mC dn/hmC dn	-0.138706773441582	0.95589681838224	2.38145702042184	0	0	0	-0.183273	-0.166728	quantifiable	0	0	No Change	Repressed_Promoter	0	1	MeCP2 Down Only	FALSE
Id2	-0.0326855005162562	-0.0263357901724559	0.0590212906887121	Q1: mC dn/hmC dn	-0.252317719869415	0.228892223791428	179.596076638288	0	0	0	0.467613	0.395811	quantifiable	0	0	No Change	Bivalent_Promoter	0	1	MeCP2 Down Only	FALSE
Pcsk1n	-0.0258661753043382	-0.032199282297921	0.0580654576022592	Q1: mC dn/hmC dn	0.141385237155666	0.748401143754276	410.812932459993	0	0	0	0.101611	0.247029	quantifiable	1	0	Gained Only	Other	0	0	No MeCP2	FALSE
Mpo	-0.0400390360866462	-0.0176903094233533	0.0577293455099994	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.05031	-0.374921	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
D430041D05Rik	-0.0453390076100499	-0.0118412807503548	0.0571802883604048	Q1: mC dn/hmC dn	0.595366179695572	3.01439384061941e-08	7917.68970730583	4	4	0	-0.041381	0.152161	quantifiable	3	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Hmg20b	-0.0413099186504587	-0.015735329831307	0.0570452484817657	Q1: mC dn/hmC dn	-0.243158500499159	0.540397683824947	42.1511095913809	0	0	0	0.594328	0.504809	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Tlcd1	-0.0341738521405771	-0.0217364779624328	0.0559103301030099	Q1: mC dn/hmC dn	0.251698680056105	0.379859592597318	56.2568453508301	0	0	0	-0.239327	-0.133101	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Sp9	-0.042842462006377	-0.0129228093866425	0.0557652713930195	Q1: mC dn/hmC dn	0.38408061683815	0.676067054465577	8.37287609878755	0	0	0	-0.105637	-0.091808	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	TRUE
Ier5	-0.0279667596185009	-0.0270354497947219	0.0550022094132228	Q1: mC dn/hmC dn	0.0819851425567132	0.937971466852012	26.3009466211624	0	0	0	0.258152	0.384903	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
C1qtnf1	-0.0414876362118058	-0.0124246602838525	0.0539122964956583	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.061074	-0.138581	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Efna3	-0.0360531209133322	-0.0176357628462982	0.0536888837596304	Q1: mC dn/hmC dn	0.0754510939017229	0.941243587106073	13.8349457006393	0	0	0	-0.256292	-0.379503	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Bhlhe22	-0.0394512450465248	-0.0137030045854726	0.0531542496319974	Q1: mC dn/hmC dn	0.0817239017093315	0.755234556391487	147.188455529271	1	1	0	0.35092	0.339636	quantifiable	0	0	No Change	Bivalent_Promoter	3	0	MeCP2 Up Only	FALSE
Amotl2	-0.0282591870165492	-0.024510523303315	0.0527697103198643	Q1: mC dn/hmC dn	0.208538624376858	0.29520648146076	271.283305920266	1	1	0	-0.116059	0.269369	quantifiable	1	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Tbr1	-0.04198985852039	-0.0104773088476433	0.0524671673680333	Q1: mC dn/hmC dn	-0.0384855930308852	0.974258458497987	17.7741616048406	2	2	0	0.180572	0.115468	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Ccdc115	-0.0302928243221463	-0.0221533809366228	0.0524462052587691	Q1: mC dn/hmC dn	-0.0364721571783775	0.963714141551431	36.4240374390702	0	0	0	0.323556	0.48022	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Nfe2	-0.0361475736352826	-0.0162567013181952	0.0524042749534779	Q1: mC dn/hmC dn	-0.129811102061032	0.952115759985996	3.07551612414085	1	1	0	0.283204	0.386774	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Mt1	-0.033704834452706	-0.0186442918448688	0.0523491262975748	Q1: mC dn/hmC dn	0.203502931737412	0.478606467656364	550.540315850396	0	0	0	0.257901	0.363406	quantifiable	0	0	No Change	Bivalent_Promoter	0	0	No MeCP2	FALSE
Rflna	-0.0259632638315168	-0.0260824232473052	0.052045687078822	Q1: mC dn/hmC dn	-0.0268915509969501	0.96605102070962	62.0686967858684	3	3	0	-0.38469	-0.156703	quantifiable	3	0	Gained Only	Repressed_Promoter	1	0	MeCP2 Up Only	FALSE
Hrh3	-0.0319612216433218	-0.0199501248786622	0.051911346521984	Q1: mC dn/hmC dn	0.280400863706699	0.718179319894952	18.3553492615733	1	1	0	-0.146397	-0.102964	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Unc5b	-0.0265179231828801	-0.025000202722738	0.0515181259056181	Q1: mC dn/hmC dn	0.331257820586772	1.26361335213926e-05	2981.90802434399	0	0	0	-0.226317	0.329266	quantifiable	2	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Aqp3	-0.0316142670000953	-0.0197449792986818	0.0513592462987771	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.244648	-0.228946	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Ptbp1	-0.0190975569260054	-0.031888833806773	0.0509863907327784	Q1: mC dn/hmC dn	0.0825251206301869	0.81261404665761	127.157597673469	0	0	0	-0.384386	-0.006858	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Prrc2b	-0.02843716912363	-0.0198558584501733	0.0482930275738032	Q1: mC dn/hmC dn	0.322365776568891	0.00405078698822065	4121.82268774156	1	1	0	-0.341628	-0.099087	quantifiable	5	0	Gained Only	Active_Promoter	0	0	No MeCP2	FALSE
Phospho1	-0.0296924359308472	-0.0185037068182855	0.0481961427491328	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	-0.069345	0.372282	quantifiable	0	0	No Change	Other	0	0	No MeCP2	FALSE
Yjefn3	-0.0309246164549571	-0.016949806639574	0.047874423094531	Q1: mC dn/hmC dn	0.495010130926479	0.0424638871901861	59.4884866539735	0	0	0	-0.234417	-0.447504	quantifiable	0	0	No Change	Repressed_Promoter	0	0	No MeCP2	FALSE
Rab6b	-0.0193248532657813	-0.0285435480282669	0.0478684012940481	Q1: mC dn/hmC dn	0.209893822945044	0.00955672856756671	3807.45934510812	2	2	0	-0.368074	0.232854	quantifiable	0	1	Lost Only	Active_Promoter	0	0	No MeCP2	FALSE
Gm5475	-0.0382963950372507	-0.00954939237272382	0.0478457874099746	Q1: mC dn/hmC dn	NA	NA	NA	0	0	0	0.558955	0.604158	quantifiable	0	0	No Change	Active_Promoter	0	0	No MeCP2	FALSE
Cux2	-0.0280516679846712	-0.0192625266072182	0.0473141945918893	Q1: mC dn/hmC dn	-0.0741949645844666	0.785764557701623	1080.3598739903	0	0	0	-0.358216	0.044592	quantifiable	1	0	Gained Only	Other	0	3	MeCP2 Down Only	FALSE
