gene	mecp2_mean_fold	mecp2_nearest_fdr	gb_log2fc	mc_diff	hmc_diff	chromatin_state
Sdcbp	1.05037536036752	0.967818455634166	0.374464	0.0932746202923607	-0.0461400611106537	Active_Promoter
Astn2	1.04548469558304	0.000325014000745512	0.048056	0.0175480138813267	-0.0183937401663775	Active_Promoter
Hgd	1.0448130416482	0.0173936715127865	1.263758	0.0807522108117853	-0.011571969056218	Other
Snap25	1.02021398294892	0.986757445259373	0.010704	0.0553196175089017	0.0179685095267362	Active_Promoter
Pnma3	1.01985246542033	0.969541263951071	0.790478	0.045958510794373	-0.0208525622183451	Other
Epyc	1.01069128485294	0.0155971497444747	0.754993	0.0228096822270499	-0.0118995831880669	Other
Zic4	1.00801702250324	0.875521771826861	0.896634	0.129079921350548	0.021819989081962	Active_Promoter
Slc35g2	1.00701235022325	0.646285252556634	0.951262	0.102090444950749	-0.0388070701116084	Active_Promoter
Arhgef38	1.00380521125312	0.908953652917168	0.777884	0.00853438570390552	0.00925100263634548	Other
Grxcr1	0.990829117968553	0.840487623043933	0.939013	0.0170979841408577	0.00360821184372545	Other
Cnr1	0.982511496368871	0.00494394072279715	0.331502	0.156555408467778	0.0108585009044822	Active_Promoter
Foxn2	0.954490546523768	1	0.585241	0.122230804570348	-0.0408071948520444	Active_Promoter
Ndp	0.948629799843738	0.167692878799342	1.03546	0.0630173662333555	-0.0232100714687395	Active_Promoter
Krt24	0.945307962612713	2.10885580970986e-10	1.16442	0.138092706726149	-0.0112052711172921	Other
Patj	0.932320093794432	3.92581287600702e-06	0.829999	0.120445731459954	-0.0688380719604627	Active_Promoter
Ano3	0.928837186653051	0.690616605767884	0.664824	0.0523855149271684	-0.0468669458139753	Active_Promoter
Boc	0.928482950277369	1	0.429609	0.128611993779712	-0.0176194948726115	Active_Promoter
Cdkl2	0.920885435239142	0.981181336432997	0.288016	0.010868481207621	-0.0116746201303447	Active_Promoter
Gpcpd1	0.92086119942949	0.969541263951071	0.253078	0.0534954438545616	-0.0293725360247828	Active_Promoter
Oxsm	0.915472329962172	0.859792382409145	1.156887	0.0361702404356201	-0.0191514894568933	Active_Promoter
Tmprss11d	0.90738884193046	1	0.934577	0.0263634933738781	-0.00728876987086634	Other
Ebag9	0.899628900205457	0.97683501964606	1.163268	0.0864656278251504	-0.0206161410945032	Active_Promoter
Fgf1	0.898368596411403	0.00716848450584093	1.215938	0.094244219786531	-0.0335424374916495	Other
Svep1	0.897447937903363	0.0253900691009933	0.948648	0.0749873190799152	-0.0529199355626119	Active_Promoter
Il1rapl1	0.872587391729342	5.16066191780565e-10	0.089699	0.0312117249676287	-0.0390547356191869	Active_Promoter
Lrrc49	0.870022851106884	0.938348885055357	0.773595	0.0984106577060959	-0.0239230922856924	Active_Promoter
Pax6	0.866670240110091	0.94255144468001	0.486188	0.051444493388209	0.00864041266849336	Bivalent_Promoter
Bcl2l15	0.856001627275543	0.000163032297516809	0.951993	0.0512895167266098	-0.00638940743334415	Other
Zbtb20	0.852850503068968	0.384212376609605	0.918916	0.0775188432904133	-0.0563959871998697	Active_Promoter
Cntnap5a	0.839500715134668	0.979866667629959	0.58948	-0.00481059400944917	0.0235662258228526	Repressed_Promoter
Epha5	0.83012368246627	0.0713530291673814	0.841688	-0.0272551557895697	0.0455965310720353	Repressed_Promoter
Gpr22	0.82430209948478	4.90152842449104e-12	0.958371	0.164985186171975	-0.0121353797916432	Active_Promoter
Mkks	0.82233860907876	0.961146089446539	0.300481	0.0504817761211133	-0.0341797569055768	Active_Promoter
Cdh18	0.815916083534013	0.485092462239716	0.622355	0.0324361745465505	-0.0227428067352032	Active_Promoter
Thrsp	0.815060520141009	0.786656762047835	0.294071	0.159260984346886	0.00682322996271173	Other
Ptchd4	0.814911061429204	2.14206796006058e-08	0.43979	0.0844753183471563	-0.0683176386946963	Active_Promoter
Gabrb2	0.81243831894917	0.731168539527154	0.098443	0.0566644561697923	-0.0365916049049594	Active_Promoter
Aox1	0.811583243056876	0.91624013270654	0.43928	0.014608497394193	-0.000349194452440638	Other
Dlg2	0.809287641690165	0.65239878684926	0.289736	0.0248353485735461	-0.0205333041277255	Other
Rep15	0.787873846297693	0.757912125411698	1.308125	0.0749460324566135	-0.0284435550256362	Other
Gpm6b	0.787013386821332	0.998788378657689	0.532643	0.0099651953375467	0.000421674616683743	Active_Promoter
Cd47	0.7853037705987	0.907766180974526	0.595607	0.0658957006494046	-0.0250884727932475	Active_Promoter
Galnt5	0.779816931645785	0.994437451881369	0.418386	0.0111909257047752	-0.00315542101413677	Other
Dapl1	0.777625945817773	0.502920568193982	0.655143	0.0150723113229926	-0.00732137225511992	Other
Brinp3	0.773041281502404	0.751807510790655	0.68215	0.0360866763384039	-0.0251377926318142	Active_Promoter
Zfand6	0.77060601119675	0.902820299079236	0.323194	0.0763736059124908	-0.0537528213872206	Other
Clnk	0.769524845525915	2.23874354430314e-17	0.852219	0.0268288355770543	-0.0107456856839712	Other
Pcdh9	0.764388356766825	2.03830570533515e-13	1.115065	0.0396612621891825	-0.0139019528786236	Active_Promoter
Kif18a	0.758568351564003	0.00797353209816948	1.077868	0.0141810746902884	-0.00365764989047744	Active_Promoter
Gpr85	0.753678172528196	0.981179320746837	0.854684	0.057595178916951	0.0493888074304759	Active_Promoter
A930004D18Rik	0.748062906700406	0.0646564821597998	0.546677	-0.0225011053691312	0.00199871439100419	Active_Promoter
Il16	0.738853990908019	0.000830251359306477	0.063129	0.0690017153425211	-0.00637885927342219	Active_Promoter
Tmtc4	0.738175786490675	0.924849490581884	0.599263	0.0746786908427238	-0.0524397184150954	Other
Tdo2	0.731575973336985	0.00401783966033787	1.178865	0.0427743453363998	-0.0118351278016386	Other
Necab1	0.73142080951619	0.971350590815906	0.182358	0.0131184994114864	-0.0215511193259362	Repressed_Promoter
Tff3	0.723681528184432	0.924753821291908	0.933398	0.0547922885486822	0.052898538813182	Other
Zdhhc13	0.723229679652553	0.997013004757307	0.070139	0.048478120734462	-0.0234077642032137	Active_Promoter
Naa11	0.722529917270799	0.978581872245145	0.43245	0.0170052677870892	-0.00331261883791299	Other
Gm5485	0.722067791038198	0.99736075195956	0.71523	0.019955008192759	0.00379543821900098	Other
Rnft1	0.720098087962531	0.589756144842387	0.102979	0.0734031013566471	-0.058181296823287	Other
Ripply2	0.717694215279438	0.994301831679197	0.936369	0.186290557972284	-0.0540996569016488	Active_Promoter
Ccdc192	0.716645403080805	2.06372487287673e-05	0.983183	0.0263342314213754	-0.00765872146590091	Other
Arhgap26	0.71588741276439	0.566080782755094	0.915821	0.0846430903164772	-0.0665397386682956	Active_Promoter
Cadm2	0.709256274537204	0.921113815458326	0.769367	0.0543882332185507	-0.0383545589960684	Active_Promoter
Vegfc	0.709202599577332	0.184130654326484	0.44118	0.00951036361593938	-0.0138671793081747	Active_Promoter
Dio2	0.703045093560178	0.946610572857505	0.559124	0.056943757068593	-0.027354184005725	Active_Promoter
Neil3	0.69990689127163	0.989289284374341	0.249353	-0.00725199195320758	0.00798267064624036	Other
Chl1	0.69274316025405	0.472735266219992	0.531953	0.0576023955145132	-0.0346508040653259	Active_Promoter
Cd300ld3	0.69220632099265	0.73573546379932	0.703684	0.161333435039462	0.00777771050880327	Other
Lrrtm4	0.691172109813744	0.267954546732301	0.537314	-0.00631671344480944	0.0213789966436949	Other
Ythdc1	0.687480050850674	0.977602271637901	0.097559	0.0435908314742998	-0.0397170903714271	Active_Enhancer
Ascc3	0.686413639982271	0.7904707384776	0.112707	0.00670597585923871	-0.0152809735293916	Active_Promoter
Col19a1	0.683127010147219	0.883110404690969	0.709968	0.016539735255739	-0.0167025510989136	Other
Hsd11b1	0.680012704945907	0.792846790949518	0.498901	0.00921408855104866	0.00557854786225093	Other
Adgrl4	0.677749290727959	0.17353159100927	0.552599	0.00753921515530442	-0.00330287934577506	Repressed_Promoter
Snca	0.676482334921322	1.15962971694167e-09	0.413917	0.0845562122509037	-0.055576132475232	Active_Promoter
Get1	0.665202352862951	0.765824577811177	0.685776	0.11740547925836	-0.0526932058801237	Other
Diaph2	0.662769974779217	0.911793691438523	0.363177	0.0248032450073667	-0.0277051411665521	Active_Promoter
Nkain3	0.662586648727808	0.919037065972128	1.151373	0.00607836447182242	0.0113168906802044	Repressed_Promoter
Ntn4	0.659869936504872	2.79116222854677e-08	0.422471	0.119170223074622	-0.0598824678670815	Active_Promoter
Cenpj	0.65613838760442	0.882758914813504	0.707932	0.0151009271198482	-0.00333009417548616	Other
Zfp804a	0.655842708341888	0.838971520357487	0.789533	0.00717190362681697	0.00310011317247327	Active_Promoter
F830045P16Rik	0.65357747397222	4.62415601316661e-07	0.442033	0.0125287796650364	-0.00206739972005707	Other
Taar3	0.650672001823248	1	1.353657	-0.0542362999244723	-0.00131766129928246	Other
Lca5l	0.650473693926998	0.917844736495536	0.966382	0.0454973783315715	-0.00451587506572301	Other
Mtx3	0.650222629557926	0.813740495733324	0.617152	0.0214757325168548	-0.0199230406109535	Active_Promoter
Klf9	0.64946700081804	0.826444636356244	0.059164	0.0370696764838939	0.0106671725240182	Active_Promoter
Kctd8	0.647068022912574	0.845004251236532	0.91007	0.0960924138405999	-0.0614958440761438	Active_Promoter
Prune2	0.641879124799894	0.942814597577139	0.503329	0.0564926390078421	-0.0262392860225216	Other
Gpr68	0.63982706816836	0.954603271397137	0.512859	0.162567747047773	-0.0871033833156893	Active_Promoter
Spam1	0.635989010958778	0.0031127257370048	1.012264	0.0199067800429557	0.00226977395856014	Other
Abca8b	0.634421164494075	1	0.172712	0.0231633380969912	-0.0213396353416719	Active_Promoter
Plin2	0.632940750802886	0.886814959314601	0.873415	0.0168002814213497	-0.0050847301203865	Other
Asb15	0.632265935986933	0.911241674668252	1.186063	0.0238343300418379	0.00888159844720765	Other
Trpm3	0.626396891284012	0.954178518985632	0.876881	0.0898599315712247	-0.0509344491284077	Other
St18	0.621286537733874	0.00158579225182744	0.656511	0.0380023341187223	-0.0176331148622378	Active_Promoter
Daw1	0.613352283770147	1	0.709105	0.00897031614731925	0.00570167202590649	Other
Cytip	0.609195538418342	0.970631753768881	1.339075	0.0684868298959483	-0.0157581326208552	Other
Cd83	0.606560523832217	7.50065282464853e-05	0.444323	0.113425263722721	-0.064321981242862	Active_Promoter
Yap1	0.598577834421243	0.823929021830766	0.576281	-0.00761320938843979	-0.00566411103992928	Repressed_Promoter
Fstl5	0.598461372425449	0.00329366684516368	0.554003	0.0205410805577478	-0.021326652261026	Active_Promoter
Nav3	0.597615631504236	0.479778718056751	0.743558	0.0234635185492981	-0.012882260853536	Active_Promoter
Gatb	0.596447329191634	0.9947543686106	0.469666	0.0391854362798242	-0.0219012425994003	Other
Dipk2a	0.5956825673582	0.780727360178794	0.215155	0.0820425014555053	0.0157374468328256	Active_Promoter
Nrxn3	0.59279812934314	0.331811958645632	0.277145	0.0243462626575539	-0.0118807766524685	Other
Arl4a	0.592506358218055	0.580782201868679	0.179176	-0.0166785670095153	0.00253519519988638	Other
Npvf	0.59113800258766	2.28733352451015e-09	1.920324	0.0496149593982392	-0.0265659321025777	Other
Dph3	0.590235707305293	0.457118587644555	0.278073	0.0256413956324226	-0.0244752158172872	Active_Promoter
Btbd3	0.584949041279251	0.81078516279246	0.716333	0.0455541295731243	-0.0117289435045794	Active_Promoter
Trhde	0.583866409335776	0.790619427302881	0.300837	0.072632449541856	-0.061950977019315	Active_Promoter
Cdk15	0.583366721226332	0.942443732255545	0.750225	0.0424149607008043	-0.0056909510785724	Other
Rnf182	0.58147091982508	0.982901336668885	0.441923	0.129429705158798	-0.0401548463875043	Active_Promoter
Mbtps2	0.57916593397866	0.883096586072307	0.355963	0.0260857683813923	-0.0129912041102146	Other
Trpm8	0.575851272394043	0.989750826922319	0.397524	0.00748427074503977	-0.000269474887099594	Bivalent_Promoter
Marcks	0.575555062123674	0.902400641083453	0.535892	0.030782052985084	-0.0215437435667143	Active_Promoter
Atp10b	0.57422086989344	0.825203703598245	0.246325	0.0115062117785052	-0.00368139384329043	Other
Galntl6	0.572169751159793	0.87265774529017	0.30611	0.0138976893019667	-0.0163326424482437	Bivalent_Promoter
Dnah11	0.562160630059252	0.944932048326764	0.715851	0.0191208331486024	-0.0141463626341209	Other
Galnt7	0.559356144307431	0.764294099960385	0.913987	0.162788287901922	-0.0745554585017827	Active_Promoter
Psma1	0.558962751078141	0.768318377518258	0.022138	0.0465873954463054	-0.0435611284999813	Active_Promoter
Phex	0.557678384238863	1	0.88055	0.0209538734636786	0.000487576260600461	Other
Il10ra	0.55479302795995	0.995372092612869	0.43702	0.0539247213105313	-0.0247548146890179	Other
Ttr	0.550872257646235	0.000390989948508937	1.445722	0.0410307049998834	0.0171069877060905	Other
Gabrg2	0.549296164448438	0.797113789713332	0.254057	0.0525065536056784	-0.0448587720543582	Active_Promoter
Itgb5	0.546653378927155	0.841643596753691	0.682829	0.112936191470343	-0.0750441802058035	Active_Promoter
Nphp1	0.545426874828329	0.985527804556589	0.649087	0.0204195037564938	-0.0080271938528516	Other
Kcnip4	0.544165599465416	0.854677015998785	0.548322	0.0413041054596456	-0.0407808310459228	Active_Promoter
Pappa2	0.541395473452584	0.996326222096794	0.834876	0.00876151201757791	0.0124251940670655	Other
Slitrk2	0.541205882153233	0.865736960492303	1.043783	0.0852142258846477	0.0262097965881232	Active_Promoter
Klf7	0.539890336386296	0.960549253834716	0.158087	0.0192608092278544	-0.0198444225990343	Active_Promoter
Mettl15	0.539453853900596	0.892174465730838	0.636392	0.0238655927706601	-0.0202253284222264	Active_Promoter
Tapt1	0.537906499814363	0.939151686088354	0.421295	0.0918432177121233	-0.0522355251142552	Active_Promoter
Triqk	0.537882010022666	0.987460403913618	0.673049	0.0108502035920053	0.000293536079188209	Other
Lsamp	0.535501666636774	0.523616210572065	0.833112	0.0376385835396502	-0.0239975257743356	Active_Promoter
Adgra3	0.530130619753178	0.979653083364243	0.494525	-0.00812736347168952	0.00573889452695595	Repressed_Promoter
Max	0.527488099302425	0.889329040465114	0.054198	0.133463477635117	-0.0476584189566179	Active_Promoter
Carnmt1	0.52381385465777	1	0.546955	0.0705990408449142	-0.0522671776813826	Active_Promoter
Heg1	0.516922716212902	0.986508422310029	0.853811	0.0975534305048875	-0.0425994461360838	Active_Promoter
1700019A02Rik	0.516908356118167	0.983930274459243	0.078483	0.0226803104872516	-0.0214100573444768	Other
Rps6ka3	0.514466489200111	0.88727450181814	0.069121	0.0465517388674932	-0.0348877314852425	Active_Promoter
Mamdc2	0.51366806105783	0.956623221518653	0.86603	0.0137046170281852	0.000444421299605147	Active_Promoter
Gap43	0.511589047651379	0.618320473051414	0.579526	0.0800887201154188	-0.0415633619834631	Active_Promoter
Prdm5	0.511273148250051	0.685931813183991	0.52317	0.00474954896314617	0.00577821236350851	Other
Dsc2	0.510565937152769	0.702727049253485	1.000227	0.0137378380088358	0.0028412970392892	Other
Cdh8	0.508490708046445	0.890402610720044	0.396867	0.0851710967214157	-0.0680490187218008	Active_Promoter
Trp53bp2	0.507534440156029	0.933442278823462	0.461281	0.112060092025534	-0.0695960897847486	Active_Promoter
Ccnjl	0.503573059915529	0.939510115561111	0.385653	0.0935663629349349	-0.0339366262554029	Active_Promoter
Efr3a	0.500289096616803	0.960231761816024	0.088303	0.0285440582656292	-0.0291841807480017	Active_Promoter
Med4	0.499054898456347	0.967818455634166	0.292155	0.0199387287026648	-0.0266026732021411	Other
Lrp1b	0.497670928557141	0.99703572945374	0.638236	-0.0017738489775786	0.00856041363692964	Active_Promoter
Akap7	0.496568822655447	0.97118611363821	0.174826	0.0227539242929204	-0.0129878594185407	Active_Promoter
Nobox	0.496333343093882	0.951347022527103	0.365655	0.0336129300187564	-0.0300641345435871	Other
Zic5	0.494482831220967	0.880754867344828	0.53114	0.089333524155842	0.0138557880125574	Active_Promoter
Lrrc4c	0.492848190478257	0.904633052630423	0.604672	0.0354245354692788	-0.025873180377108	Active_Promoter
Crbn	0.489909218239449	0.798229306012559	0.047497	0.0615518812833331	-0.0542353606358521	Active_Promoter
Ndufa4	0.488224178813915	0.964301712755371	0.163425	0.0759657831246999	-0.0378279828591427	Active_Promoter
Yipf7	0.487563952884219	0.872464716331696	0.916625	0.0185265637128138	-0.00947268643009229	Other
Gls	0.484800499873496	0.992426848261662	0.158664	0.0903229697062985	-0.0563276440467607	Active_Promoter
Gpr65	0.482793238477973	0.995387277345794	0.178992	0.0116142629326403	-0.00893907952561572	Other
Tmeff2	0.478257669117376	0.839170557104143	0.576253	0.085034113995008	-0.0631917777868708	Active_Promoter
Lgr4	0.476820898798468	0.939655621276056	0.556863	0.101739505137551	-0.0610850936205934	Active_Promoter
Adamts18	0.474450027213949	0.89480525862673	0.469459	0.0235731366794045	-0.00700060249183079	Active_Promoter
Zbtb40	0.47336918336385	0.913402495796098	0.20496	0.079055236167014	-0.0230651438306696	Other
Eri1	0.473006590013794	0.885559993535686	0.418288	-0.0254918345463402	-0.0158844565266733	Active_Promoter
Ntng1	0.471405371662046	0.98165303224225	0.520913	0.012183621221529	-0.00991421471761417	Active_Promoter
Aqp6	0.469271574508424	0.00114587719949221	0.802676	0.129894479714834	0.0360545520724186	Active_Promoter
Fam107b	0.468393435831587	1	0.91232	0.0783636379478725	-0.037967949878282	Active_Promoter
Hcn1	0.467486434745993	0.0294928433277512	0.734791	0.0241005801893061	-0.0155388242635835	Active_Promoter
Psd3	0.462169899086697	0.929862202450363	0.504303	0.026772310604354	-0.015243978808279	Active_Promoter
Etaa1	0.459299493987596	0.99406110238015	0.136303	0.0569941669352325	-0.0462582303917537	Active_Promoter
Mtpn	0.458952491968744	0.972315342790285	0.434814	0.0338075489895172	-0.0204773698071173	Active_Promoter
Rpgrip1	0.456591594885704	1	0.209881	0.00984550627560721	-0.0078919268963098	Other
Sp5	0.456161818212669	0.987092884450999	0.381182	0.0601638527867472	0.00313370961728072	Repressed_Promoter
Rab3c	0.45464578569318	0.98843542806658	0.833704	0.0666355712797881	-0.0295528251613761	Active_Promoter
Lrrc28	0.45349798054704	0.180867061368319	0.521509	0.0465941105235911	-0.024876162131986	Active_Promoter
Cadm3	0.451629484076243	0.50346500821434	0.266589	0.0591449721028904	0.0173515776349773	Active_Promoter
Exo5	0.450513973583511	0.814597230341945	0.757285	0.0387754020583688	-0.0333873165421913	Other
Ccng2	0.449975502956359	0.964036921847394	0.297598	0.0339710100269955	-0.0279874558814098	Active_Promoter
Cep128	0.449952090492523	2.36507057339572e-06	0.434385	0.0137870797489106	-0.0108947086165959	Other
Fut8	0.448247247893633	0.813908960125872	0.03802	0.0738969667880364	-0.0429682059239301	Active_Promoter
Zfp608	0.447774782522568	0.961918693779327	0.742897	0.12394714759679	-0.0642693260924636	Active_Promoter
Atoh8	0.446658380124523	0.670081684951283	0.45853	0.0850042046332685	-0.0461562183752398	Active_Promoter
Tll1	0.443224721099913	0.930545349582007	0.659394	0.0492621699726365	-0.0329358460595855	Active_Promoter
Znrf3	0.442286918585362	0.807386027345829	0.096623	0.0469014321734856	-0.0452441867361838	Other
Nfia	0.441898291894802	0.697257335173988	0.734463	0.0766486231958797	-0.0297688651877557	Active_Promoter
Armh4	0.441703597995902	0.889790434645863	0.620479	0.0737727945450812	-0.0515097803718732	Active_Promoter
Hif1a	0.440779576067772	0.00358139736458797	0.385943	0.0476186395632066	-0.0354883642830997	Active_Promoter
Epha3	0.440434254822992	0.832417951671698	0.842922	0.096312037987927	-0.0763186239465798	Active_Promoter
Thsd7b	0.438850195696516	0.968856530122228	0.501841	-0.00314192970138372	0.0106062261556622	Other
2010109A12Rik	0.435617821727464	0.788195626549875	0.764564	0.0369192890993502	-0.0168626599619253	Active_Promoter
Runx1t1	0.433461260137853	0.621376557214025	0.885309	0.109502377494959	-0.0500691157816847	Bivalent_Promoter
Atoh7	0.433204674049224	0.705243784881078	0.563688	0.0371807929298745	-0.00907431119280984	Other
Bdh1	0.43208437341612	0.669367680285516	0.32063	0.04263925881675	-0.0245174303995846	Active_Promoter
Cd276	0.431441961781508	0.614246911813843	0.561668	0.0858464833923023	-0.0363327073824432	Active_Promoter
Ankef1	0.427588985955992	0.952294945858607	0.696017	0.016355194015683	-0.000714019682602818	Other
Tbl1x	0.426656496755248	0.77508200356671	0.095247	0.0281870108370882	-0.0180150302867185	Active_Promoter
Naaladl2	0.42649574937109	0.9145750683049	0.306194	0.00984810892401067	-0.0114916260718772	Active_Promoter
Gtf2e1	0.420838714342437	0.782831126463773	0.713408	0.0479625259211898	-0.0392672511397621	Other
Bhlhe22	0.41502630442473	0.784888205234875	0.35092	-0.0394512450465248	-0.0137030045854726	Bivalent_Promoter
Slc39a8	0.414688926747661	0.617844014613928	0.268154	0.00755881054536256	-0.00681387493052481	Repressed_Promoter
Snrpf	0.412254229016459	0.70718205243966	0.372836	0.0523917433346915	-0.0317787824251196	Active_Promoter
Pcdh7	0.411507011948152	0.844235284442202	0.203725	-0.00395335102264749	0.0158933042121818	Bivalent_Promoter
Fancl	0.411465507002857	0.998422465340982	0.158021	0.028314283164326	-0.0276903279627558	Other
Ralyl	0.410091087171416	0.944625629369466	0.435411	0.0203564687319318	-0.0216967499132862	Active_Promoter
Neurod4	0.407406435444731	0.870601157476188	0.644377	0.0259755496425293	0.00939705627435133	Other
Glt8d2	0.407134334689508	0.34135109690504	1.012519	0.0157806742901279	0.00842996996091766	Other
Pign	0.406287984495129	0.921113815458326	0.531494	0.0193556718266137	-0.0143328876239583	Active_Promoter
Oxr1	0.405756756180965	0.0699149373828044	0.255618	0.045948800393353	-0.0368985178657941	Active_Promoter
Sema3a	0.40517628204372	0.529254285357537	0.788304	0.0212760798412575	-0.00591899684173385	Active_Promoter
Ccng1	0.405082118937599	0.945883124879643	0.366769	0.0892068059145688	-0.0430688432059666	Other
Scfd2	0.404031344854752	0.954429056336656	0.520096	0.0126281110529867	-0.00829235968178763	Active_Promoter
Map9	0.404003301977449	0.750056109247053	0.53265	0.0244865306046228	-0.0197869030616019	Active_Promoter
Rit2	0.403826300092735	0.802691709830625	0.454029	0.0740865703389755	-0.0677229063846733	Active_Promoter
Dazl	0.403201539150899	0.139561485928701	0.552993	0.0176979406313983	0.00113881926885237	Other
Syn2	0.402040842224421	0.927139764353953	0.587415	0.130328694883986	-0.0667062381396212	Active_Promoter
Lcn12	0.40015663502246	0.776293881237823	0.374014	0.0654637605185687	-0.0413468279378805	Other
Tsen15	0.399381669043303	0.831861184543284	0.216923	0.0207759251473284	-0.020245085387067	Active_Promoter
Cenpc1	0.398431018565938	0.528499954373079	0.216458	0.0183206278611745	-0.0154270518973073	Active_Promoter
Clvs1	0.39299548822318	0.296995533661213	0.016247	0.00897508364656563	-0.0164648586242188	Active_Promoter
Adgrb3	0.391438435317342	0.987860967030388	0.070807	0.0128628124747151	-0.0165679045127583	Active_Promoter
Serinc1	0.391398463684666	0.889973793716488	0.151749	0.0353553303827058	-0.0333174395525105	Active_Promoter
Ptprk	0.391077514113362	0.861644573469526	0.911623	0.0102991670464491	-0.00333286453171802	Bivalent_Promoter
Lrrtm3	0.390704342677112	0.953729210047422	0.175865	0.0836559320581863	-0.0352477698752303	Active_Promoter
Erbb4	0.390528352107473	0.953808220343061	0.668678	0.0189799195648938	-0.0110796825918621	Active_Promoter
Elmo1	0.38998970616825	0.855493518429253	0.617123	0.0332020141233038	-0.0159634293875243	Other
Trpc5os	0.388793672293096	0.502422940008602	0.764073	-0.0206474565886752	0.0249929380875694	Other
Ccdc90b	0.387254434714642	0.869762508878034	0.540159	0.0287854969403805	-0.0141655061281756	Active_Promoter
Bex6	0.38717401923068	1	1.214224	0.0216705680443161	0.00464957273625391	Other
Cemip2	0.385559037714165	0.921113815458326	0.425087	0.0586196146349924	-0.0391387039877704	Active_Promoter
Lipc	0.384956754263861	0.00844061140818742	0.456936	0.023417035608262	-0.00400082208189106	Other
