gene	mc_diff	hmc_diff	mc_q	hmc_q	combined_effect	n_atac_up	n_atac_down	net_atac
Rasl11b	0.136182998980564	-0.0573568612466847	1.24074833878315e-19	4.24743033291412e-05	0.193539860227248	2	5	-3
Wipf3	0.131405302925242	-0.0594846322711554	3.70812323715687e-208	2.7378166122495e-56	0.190889935196397	0	1	-1
Patj	0.120682891482291	-0.069557645843584	1.7288823880601e-305	2.91748902985141e-305	0.190240537325875	0	4	-4
Amigo1	0.116729532586996	-0.0729861716682363	3.71666809194761e-12	8.36101220974295e-07	0.189715704255232	1	0	1
Mpp3	0.130583966791803	-0.0586850744106539	1.03696217427117e-68	6.71851849816382e-18	0.189269041202456	0	3	-3
Pkib	0.115096125301196	-0.0709282708512447	2.5153842892424e-119	4.82080482461659e-56	0.18602439615244	0	0	0
Itgb5	0.109467583000416	-0.0752384358323301	1.74054015145464e-220	1.99532000794969e-143	0.184706018832746	0	8	-8
Rnf227	0.1050006738586	-0.0780108791044609	0.000648761178344527	0.00578559099985544	0.183011552963061	0	0	0
Cpeb2	0.125595649120774	-0.057355142843372	1.11980270740213e-115	2.15842984821109e-30	0.182950791964146	0	2	-2
Sypl	0.111196788584585	-0.0715022799136056	3.01123693121856e-42	1.87725999191018e-28	0.182699068498191	0	0	0
Trp53bp2	0.113050195877617	-0.0686752805391927	4.63165453517173e-119	1.18746836773723e-60	0.18172547641681	0	2	-2
Nab1	0.105938991866807	-0.0757847592684742	3.20115559505362e-63	1.1803310048575e-42	0.181723751135281	0	2	-2
Ndst3	0.121821941384298	-0.0597383671609211	1.7288823880601e-305	1.1415033711482e-95	0.181560308545219	0	3	-3
Unc5c	0.107769081437307	-0.073773809676039	1.7288823880601e-305	2.07129397697355e-228	0.181542891113346	0	1	-1
Ntn4	0.121847592110008	-0.0596809984687199	2.54807281700876e-266	2.57158740707274e-83	0.181528590578728	0	1	-1
Slc39a1	0.135072114884525	-0.0445631131322875	1.17028784875767e-11	0.00883446017357471	0.179635228016812	0	0	0
4930447A16Rik	0.135295599400708	-0.0431010639243692	4.62236733285192e-38	1.35974018071591e-05	0.178396663325077	0	3	-3
Zfp395	0.12131423944205	-0.0558066624780662	3.11721602521404e-97	5.9367530586197e-28	0.177120901920116	0	0	0
Bmp5	0.104115230778309	-0.072738523211919	4.51042074477071e-210	2.79104262915291e-183	0.176853753990228	0	5	-5
Gm3435	0.0928661111991597	-0.0838668728065766	0.00315503897631154	0.000423095551316052	0.176732984005736	0	0	0
Arhgap26	0.136144010156958	-0.0405668356007754	1.7288823880601e-305	2.8308334093472e-167	0.176710845757733	0	0	0
Nxph3	0.109697732260437	-0.066809995399749	5.35157469877148e-08	0.000109617396160899	0.176507727660186	0	2	-2
Epha3	0.0982371512670291	-0.0778478807831161	1.7288823880601e-305	2.91748902985141e-305	0.176085032050145	0	5	-5
Insyn1	0.110451966245677	-0.06470862450428	2.30361314785226e-10	0.000110385914612035	0.175160590749957	0	2	-2
Caln1	0.103425623814467	-0.0716880349547829	1.7288823880601e-305	7.75508848069476e-298	0.17511365876925	0	1	-1
Hus1b	0.0925894817617473	-0.0824633403059448	0.00481268115207279	0.00361392023744452	0.175052822067692	0	0	0
Ndufb4	0.112921391273737	-0.0621310748003831	7.22836067272663e-18	6.98988953065902e-08	0.17505246607412	0	2	-2
Pram1	0.0876870858482213	-0.0873649068626011	1.8133934438745e-06	2.52536327755763e-08	0.175051992710822	0	1	-1
Mgll	0.134382645550633	-0.0404752569269239	3.64002252858861e-283	1.02566000691909e-30	0.174857902477557	0	2	-2
Gna13	0.109957704430696	-0.0645748482718282	1.15005117519304e-99	1.07295947378134e-41	0.174532552702524	0	0	0
Lancl3	0.119963155477231	-0.0542852760432624	2.9736144123572e-82	2.40397305579426e-34	0.174248431520493	0	0	0
Tmtc2	0.0931623052254122	-0.0806346985661661	1.7288823880601e-305	2.91748902985141e-305	0.173797003791578	0	3	-3
Pla2g3	0.095106229543631	-0.0778006224711027	4.8703566325044e-12	9.90785752043974e-11	0.172906852014734	1	0	1
Lgr4	0.107388910595506	-0.0650106713686561	7.4299811699694e-181	8.61512673410735e-84	0.172399581964162	0	0	0
Slc16a1	0.101778033628383	-0.0704342802553106	3.06737595055932e-31	2.14454450436632e-24	0.172212313883694	0	0	0
Rnf122	0.144761588601774	-0.0267436878065044	4.33539194257833e-73	0.000164472826552083	0.171505276408279	0	0	0
Paqr9	0.135721093100316	-0.0352616834424778	9.5754310875381e-32	0.00129183692831238	0.170982776542794	0	2	-2
7420426K07Rik	0.104636717756386	-0.0658886289657924	0.00234312361089684	0.0112218693914591	0.170525346722178	0	0	0
Preb	0.120522202698123	-0.0492313278606891	1.62748014120544e-16	0.000167348588544186	0.169753530558812	0	0	0
Sesn1	0.120635261644227	-0.0489870008676958	7.9421805871405e-182	2.12068073423686e-38	0.169622262511923	0	2	-2
Gls	0.100978865564447	-0.0684884122012562	5.79585833582946e-82	1.60016954640997e-46	0.169467277765703	1	4	-3
Pld5	0.10550339702782	-0.0637209449105343	1.7288823880601e-305	3.75637963137198e-193	0.169224341938355	1	1	0
Dclk2	0.101478570094338	-0.0671421498643263	3.93798758253455e-234	9.93654231185857e-130	0.168620719958664	0	0	0
Lyn	0.0937094074616896	-0.074594878109194	1.00959689762603e-133	6.18951961135899e-139	0.168304285570884	0	4	-4
Fam78b	0.10825065940244	-0.0599924260199723	4.65128457819312e-154	4.34884798874397e-57	0.168243085422412	0	3	-3
Mycbp	0.0963312183871926	-0.07186531120375	2.23413486626754e-08	1.44006795695347e-07	0.168196529590943	0	0	0
Jph1	0.110401244278329	-0.0577191182117217	2.30382802657136e-154	2.71963889533191e-52	0.168120362490051	0	1	-1
Rnf182	0.128606158917684	-0.039179719425657	1.39476622346048e-138	1.41235794030349e-14	0.167785878343341	1	0	1
Prag1	0.12246471661605	-0.0452948338527173	6.96915782613173e-155	1.56766395590629e-24	0.167759550468767	1	1	0
Rgcc	0.0968424416141471	-0.0708216091156156	4.77439346997608e-20	4.31254096915344e-15	0.167664050729763	0	1	-1
Gm14862	0.107288725011972	-0.0595492888849642	1.51420641588361e-09	4.08951070168056e-07	0.166838013896936	0	0	0
E2f4	0.106578018249994	-0.0592321986903327	5.86049167212716e-09	0.000247474730840166	0.165810216940326	0	0	0
Nsmaf	0.122244166095619	-0.0431615183775644	1.37349540025917e-133	2.91365606003889e-23	0.165405684473183	0	3	-3
Itga7	0.132242628118528	-0.0324421614890726	5.38915940875222e-52	9.94191961864918e-07	0.164684789607601	0	3	-3
Gnai1	0.100785788747653	-0.0637913628857083	9.61881603914715e-124	1.20753517726086e-61	0.164577151633362	0	1	-1
Rflnb	0.103488542610817	-0.0609455180288699	8.35395290641676e-15	6.45312531789192e-07	0.164434060639687	0	5	-5
AL731706.1	0.105548378178076	-0.0586850880128454	3.39781446238223e-15	7.43902247763177e-07	0.164233466190922	0	0	0
Tmem161b	0.0885743521263399	-0.0754565743477596	7.51305916570437e-71	1.21581304073646e-63	0.1640309264741	0	4	-4
Boc	0.143108581887288	-0.0199756969742339	1.59734407623444e-222	1.75907538383399e-06	0.163084278861522	0	3	-3
Spop	0.0930833640524407	-0.0690124095674411	4.92139834502804e-86	7.24287702604564e-61	0.162095773619882	0	1	-1
Get1	0.109491335964202	-0.0523928469825995	1.56699823052402e-26	3.66689903671328e-09	0.161884182946802	0	2	-2
Ptchd4	0.0888220354203797	-0.0730145988417517	1.32551121222779e-181	1.33360452365439e-163	0.161836634262131	0	6	-6
C2cd4d	0.0798368491061843	-0.0819804988284785	0.0188178088943353	0.0102719495229844	0.161817347934663	0	0	0
Nr0b2	0.0867213098731495	-0.0742326674053072	0.000865250439175309	4.31780648449387e-05	0.160953977278457	0	1	-1
Foxn2	0.118193602664511	-0.0424760608292072	1.27681219645653e-94	1.9185523896312e-13	0.160669663493718	0	11	-11
Cdk17	0.101481860485732	-0.059005949539794	1.88725537263858e-186	3.96264702244426e-78	0.160487810025526	0	0	0
Cryab	0.100243789175437	-0.0595272453455917	6.14226841027013e-10	1.281304470826e-06	0.159771034521029	0	0	0
Gprin3	0.10615824220462	-0.0533638283179436	1.39646382858325e-77	3.55017831642851e-25	0.159522070522563	0	2	-2
Kctd8	0.0950235623610088	-0.0642189150444951	1.08554726987022e-167	2.95956949397029e-94	0.159242477405504	0	2	-2
Tor1b	0.103845387074155	-0.0552500978393433	8.37282359284769e-10	0.000153026577505919	0.159095484913499	0	0	0
Lin7c	0.0887315930967825	-0.0703073198180626	5.03366473669847e-18	1.41360946718372e-16	0.159038912914845	0	1	-1
Ubash3b	0.0955864838656758	-0.0634474052958585	7.97632830323664e-195	3.27928630249062e-108	0.159033889161534	0	0	0
Nampt	0.0943031015153105	-0.064264557105454	2.61047416455623e-60	4.2191000439133e-44	0.158567658620765	0	3	-3
Tapt1	0.0978509912631931	-0.0607006413403041	2.75804599938763e-71	1.03160076320556e-34	0.158551632603497	1	0	1
Hpcal1	0.100754249762909	-0.0574889408077	1.6274679052461e-112	1.17801175805333e-45	0.158243190570609	1	3	-2
Arhgap26	0.0887303341176542	-0.0694695486334877	1.7288823880601e-305	2.91748902985141e-305	0.158199882751142	0	0	0
Cdh8	0.0875066627972159	-0.070329325015304	1.7288823880601e-305	1.09893476253739e-269	0.15783598781252	0	3	-3
Runx1t1	0.106841455699991	-0.0503352607127691	2.67854068461469e-229	2.83368036186499e-63	0.15717671641276	6	1	5
Gm867	0.0804409374029628	-0.076435466783568	0.0135529025730133	0.00700325288693604	0.156876404186531	0	0	0
Pcdh1	0.0935165587997887	-0.0631377804101672	1.17749484317422e-44	9.91046986653017e-31	0.156654339209956	1	2	-1
Mrps2	0.104442651051373	-0.0518228671987774	6.37631366641644e-08	0.000542849417860182	0.156265518250151	0	0	0
Adamts10	0.0944845352891514	-0.0614599718171901	2.43998351714552e-39	3.59366458043016e-25	0.155944507106341	0	1	-1
Cox14	0.0882328316807668	-0.0669156507306948	0.00118271046221636	0.00819934711936093	0.155148482411462	0	0	0
Eid3	0.0697297387936014	-0.0852329721387972	0.0157836947509451	0.000612701504994549	0.154962710932399	0	0	0
Add3	0.0948839457926594	-0.0599490753891193	1.05553603082664e-161	4.41991251327155e-82	0.154833021181779	0	0	0
Afap1l2	0.11594534132174	-0.0388414155594012	6.83594172466635e-169	8.08043277510531e-24	0.154786756881141	1	3	-2
Gm3448	0.0830576799880229	-0.0715425031371246	0.00388936205841556	0.000560978322508767	0.154600183125148	0	0	0
Gm42372	0.11122133658774	-0.0429740701717432	7.11260798389108e-10	0.014280994819261	0.154195406759484	0	0	0
Exph5	0.114224841068831	-0.0398326945439528	8.02151061212841e-129	4.13781574906705e-20	0.154057535612784	0	1	-1
Otud1	0.105034576859275	-0.0489900800324783	5.3553817873347e-05	0.0394185378233047	0.154024656891753	1	0	1
Rnf152	0.0942573151435928	-0.0597196735793643	9.56917427226296e-76	2.84849713523745e-37	0.153976988722957	1	0	1
Sem1	0.106863398332495	-0.0469248102119801	2.16033195351616e-28	2.75740831070653e-07	0.153788208544476	0	0	0
Daam2	0.0921151513801909	-0.061622834814019	2.48304345947242e-120	1.33265314670331e-75	0.15373798619421	0	5	-5
Rab4a	0.111442039152954	-0.0421260897581283	1.63041823713089e-68	1.61985736250399e-12	0.153568128911082	0	0	0
Fdxr	0.107082188351716	-0.046397450665791	3.19826098091513e-21	2.47876417057661e-07	0.153479639017507	0	0	0
Pqlc2	0.0930831913774497	-0.060175485420508	1.14836915163796e-18	1.36683816527289e-11	0.153258676797958	0	0	0
Dlg1	0.0875577902445037	-0.0656828232226457	7.79068041739092e-195	7.66224424295722e-141	0.153240613467149	0	1	-1
Emg1	0.081310609522925	-0.0718269271228235	1.03132752399128e-10	2.76094124124276e-11	0.153137536645748	0	2	-2
Mreg	0.0754925268781086	-0.0776130662309913	1.00601184972844e-66	1.05006285108479e-106	0.1531055931091	0	1	-1
Rnf225	0.116551982596947	-0.0364738968579556	1.424336405033e-09	0.0486183672463856	0.153025879454903	0	0	0
Stxbp5l	0.081233834818182	-0.0716428070158363	1.0976841364514e-133	3.75674522626272e-137	0.152876641834018	0	5	-5
Fbxo33	0.0893349219829185	-0.0635371689833625	8.92683320694342e-25	5.63986654890879e-17	0.152872090966281	0	0	0
Mcrs1	0.0875285618404257	-0.0651608807082695	7.08313323352206e-12	3.49971476245111e-12	0.152689442548695	0	0	0
Tiparp	0.0817586974223821	-0.0705885461603232	2.57725019739656e-23	4.60443035300115e-27	0.152347243582705	1	0	1
Cdyl2	0.0822600143547715	-0.0700766364341921	1.05108057989523e-200	6.49110145021653e-189	0.152336650788964	1	0	1
Tubg2	0.078140849948954	-0.0740902023957895	2.7363025942169e-06	6.2923471955187e-07	0.152231052344744	1	0	1
Arl4d	0.0586816853865956	-0.0935275424725039	0.0477135777054488	6.70570885480322e-06	0.1522092278591	0	0	0
Hbegf	0.108266422138991	-0.0437642305157549	3.38716821749897e-20	9.95594155871188e-06	0.152030652654746	0	0	0
Cln5	0.0987703924556806	-0.0529617419451058	1.13439501406115e-19	4.42142001087195e-08	0.151732134400786	0	0	0
Ssx2ip	0.0963393948326582	-0.0545823770510959	1.09936312682425e-85	3.86074726845452e-39	0.150921771883754	0	1	-1
4833439L19Rik	0.103879506918772	-0.0466825038102507	2.70483485145314e-20	1.09893174010499e-06	0.150562010729022	0	0	0
Manea	0.0944665219474121	-0.0558815125174836	1.92854418588679e-26	3.58725303976903e-13	0.150348034464896	0	1	-1
Tmeff2	0.0860805413641952	-0.0641646712519076	4.00231993142818e-265	6.14231649077807e-207	0.150245212616103	1	2	-1
Spred1	0.078701419580779	-0.0714877773240221	7.08191530632986e-46	2.95126316977514e-49	0.150189196904801	0	0	0
Galt	0.0986917535926927	-0.0514859807227446	4.92861094799589e-09	0.000116491780997892	0.150177734315437	0	0	0
Nr3c1	0.114565323421814	-0.0355275735939458	2.67746055654558e-161	1.0688577424513e-20	0.150092897015759	0	7	-7
Chac2	0.0942872434848562	-0.0557865098690862	2.77829457436413e-09	8.49812038731178e-06	0.150073753353942	1	0	1
Usp2	0.121170197604054	-0.0287167914145804	5.61174688690544e-68	3.71361380326559e-06	0.149886989018635	0	1	-1
Snx18	0.113007599594589	-0.0367099106548874	1.07238097411391e-82	8.27312398195274e-11	0.149717510249476	0	0	0
AI854703	0.0840938911350583	-0.06552778108859	1.04664052156697e-05	3.42875733500605e-05	0.149621672223648	0	0	0
Maf	0.0925246891598438	-0.0566653072092792	3.69479259624484e-47	8.37948802889682e-28	0.149189996369123	0	18	-18
Cdh7	0.0853089980047816	-0.0638410312807212	1.55181803716692e-106	7.6166865515872e-90	0.149150029285503	0	2	-2
Reep4	0.11449025283674	-0.0346439073125165	8.70980339425888e-12	0.0149365549807925	0.149134160149256	0	0	0
Smim18	0.0773789533393543	-0.0717019851159307	6.36763086927961e-05	2.15719291091679e-06	0.149080938455285	0	0	0
Adrb2	0.104107417595213	-0.0447536328707339	8.33040043783549e-08	0.00830671004119921	0.148861050465947	0	0	0
Rgmb	0.0968716027014742	-0.0518736632253739	3.71175812183227e-49	2.98471419828151e-24	0.148745265926848	1	0	1
Ldlrad3	0.091061600791114	-0.0576038076512929	1.7288823880601e-305	4.41612697471878e-166	0.148665408442407	0	3	-3
Sdcbp	0.0963738796591825	-0.0522091466290242	1.01136826675654e-57	4.33071378113747e-21	0.148583026288207	1	1	0
Nucb1	0.0974528178449074	-0.051085249593539	3.73171880289155e-33	1.93997283963848e-15	0.148538067438446	0	0	0
Plpp6	0.0972152523278012	-0.0506665890077995	0.000397433848190365	0.044878609299514	0.147881841335601	0	0	0
Ric3	0.0923614438034117	-0.0547693140454656	4.40273128205938e-42	1.56251226107016e-17	0.147130757848877	0	1	-1
Vps37c	0.102491935769201	-0.0443255449775564	5.82347396118575e-35	7.54407878863038e-09	0.146817480746758	0	1	-1
Lpp	0.0865650795333238	-0.0600450075780343	1.7288823880601e-305	2.91748902985141e-305	0.146610087111358	0	3	-3
Trpm3	0.0923259693805343	-0.054096538594613	1.7288823880601e-305	2.91748902985141e-305	0.146422507975147	0	2	-2
Gm4356	0.0740879741727198	-0.0719792636741789	0.029477456857247	0.0261727820823714	0.146067237846899	0	0	0
Acot13	0.0970749773760551	-0.0489174770685636	5.42464922034556e-30	3.59823233871768e-15	0.145992454444619	0	0	0
Pln	0.072384448766725	-0.0734768793305595	9.0290321354822e-07	8.27040391805928e-09	0.145861328097285	0	0	0
Crbn	0.0779869351622139	-0.0676664880199977	4.13036067264688e-27	2.29106626256905e-31	0.145653423182212	0	3	-3
Ulk1	0.0982275716069796	-0.0473047765878771	4.7196982583544e-22	3.69382582951015e-09	0.145532348194857	0	0	0
Rit2	0.0760828766171096	-0.0692993165734467	1.62902147011057e-250	6.89147778138729e-299	0.145382193190556	0	9	-9
Sp4	0.0897835437384803	-0.0554680015871676	1.91827377000829e-55	1.46348168223975e-27	0.145251545325648	0	0	0
Dnajc30	0.083452271324488	-0.061767074287189	0.0204293396042281	0.0393796967795697	0.145219345611677	0	0	0
Napb	0.0878774297617225	-0.0571942897802575	5.86178198214034e-48	2.41469693404659e-27	0.14507171954198	0	0	0
Zhx2	0.0929367320649744	-0.0516499927428991	7.98516548317515e-191	2.90613740693041e-74	0.144586724807874	0	8	-8
Fa2h	0.0803934705968927	-0.0641248309542071	1.88904606315834e-50	3.31351793955268e-47	0.1445183015511	0	1	-1
Prnp	0.0957836444255367	-0.0483398302983104	6.73497640668658e-24	3.91307707726282e-08	0.144123474723847	0	0	0
Galnt15	0.0906265143454344	-0.0532946333819304	1.11335620528445e-44	7.02670751442377e-26	0.143921147727365	0	1	-1
Cplx2	0.115899716195473	-0.0277639758738931	5.871755562193e-22	0.015883511520853	0.143663692069366	0	11	-11
Ncald	0.0916505893417776	-0.051899575469312	1.7288823880601e-305	2.32496301598e-216	0.14355016481109	0	4	-4
Samd10	0.0834417973956255	-0.059802429966077	0.001236109940354	0.023285368198694	0.143244227361703	0	0	0
Pcbd1	0.0963878482839052	-0.0467226886358709	1.21542171254444e-05	0.019296459303952	0.143110536919776	1	1	0
Snu13	0.0653315259920655	-0.077443636717654	5.17740984597861e-05	1.67684479447001e-10	0.142775162709719	0	0	0
Ppm1l	0.084692248285958	-0.0578739723408029	1.7288823880601e-305	8.60207815634927e-183	0.142566220626761	0	3	-3
Eomes	0.0711977820542603	-0.0713168347843617	5.60547548838956e-11	9.0772203058295e-17	0.142514616838622	0	4	-4
Mlf2	0.0719876322820796	-0.0704482369044513	1.34879243001902e-06	3.07190937191205e-09	0.142435869186531	0	1	-1
Fbxo45	0.076060222487773	-0.0661586599157255	1.82147720634866e-15	1.09155266114651e-14	0.142218882403499	0	0	0
Slc35g2	0.091911340037626	-0.0500059618812562	1.12629428510462e-26	4.0208660942808e-11	0.141917301918882	0	0	0
Fgf1	0.104538554058639	-0.0373739451280678	2.90911956522228e-155	5.53908973095548e-27	0.141912499186707	0	16	-16
Slc12a2	0.0898046844217033	-0.051977340275792	3.9530125216444e-87	6.1460922420289e-40	0.141782024697495	0	1	-1
Cdc40	0.0899332629225763	-0.0517974593204776	8.93392992539942e-79	1.10256759590118e-33	0.141730722243054	0	1	-1
Zbtb20	0.0816967951690755	-0.0599707709180426	1.7288823880601e-305	2.91748902985141e-305	0.141667566087118	0	1	-1
Myt1l	0.0802093036689328	-0.0613076744710364	1.7288823880601e-305	1.40876708289526e-292	0.141516978139969	0	3	-3
Plekha1	0.0779796647959471	-0.0633895863747479	3.49223325403963e-46	8.75600568227809e-44	0.141369251170695	0	0	0
Armh4	0.0853162111392549	-0.0555824753480483	8.6026718392307e-74	1.1413213098448e-47	0.140898686487303	0	0	0
Ilvbl	0.0998842630705577	-0.0409407794837514	9.94490896113514e-15	2.84690961095571e-05	0.140825042554309	0	0	0
Dnajb2	0.0720776712494064	-0.0687401501770724	1.42546925230751e-14	3.0613962742124e-19	0.140817821426479	0	0	0
Ubtd2	0.0988181511845672	-0.041974240135978	2.31621875674814e-49	1.29968554709049e-11	0.140792391320545	1	0	1
Zfp653	0.11488572905299	-0.0258015227947784	6.53361665675943e-27	0.0222863035016892	0.140687251847768	0	0	0
Heg1	0.0965833781730514	-0.0440865455663329	6.8222345785071e-151	7.02613264195309e-44	0.140669923739384	0	7	-7
Dact1	0.090776236712093	-0.0498710396955501	1.14758228305012e-23	3.80591406111717e-12	0.140647276407643	0	2	-2
Numa1	0.0941605119820607	-0.0464555500928902	2.34661578030614e-68	3.75271539075819e-22	0.140616062074951	0	0	0
Ebag9	0.099961746504657	-0.0404017825666515	2.04998850486348e-22	8.96449476233274e-07	0.140363529071309	0	1	-1
Zranb1	0.0855146929949813	-0.054676178177593	6.01931232095107e-40	1.57086497524479e-17	0.140190871172574	0	0	0
Gpr146	0.0676682680620481	-0.0722574552063334	2.97192116900203e-11	1.6350013480266e-17	0.139925723268381	0	0	0
Slc7a8	0.0949955458183496	-0.0448562443790704	3.76705893412682e-96	8.28269895803874e-29	0.13985179019742	0	1	-1
Trhde	0.0751412917938811	-0.0646867646532674	1.13949569452126e-286	2.64871523877977e-300	0.139828056447148	0	4	-4
Arhgap17	0.0849188561188255	-0.0547329483793916	1.30780857567532e-100	1.43372410485396e-55	0.139651804498217	0	0	0
Carnmt1	0.0790313492652306	-0.0601535088377752	2.82189652132333e-37	1.08341081975152e-42	0.139184858103006	0	1	-1
Slc20a2	0.0793541753239737	-0.0596490652105339	4.48508940858945e-118	2.28516802604976e-91	0.139003240534508	0	0	0
Tmem109	0.104563807267606	-0.0342566681481941	1.7128922964403e-15	0.011884524738074	0.1388204754158	0	0	0
Cpeb4	0.0933485300185191	-0.0451310910750762	1.00169742940892e-46	2.85528928739239e-13	0.138479621093595	0	0	0
Ndufc2	0.0803074712236292	-0.0581527372496168	6.33208282387227e-09	4.37382685177756e-06	0.138460208473246	0	0	0
Scd2	0.103637659368564	-0.034736354571984	3.71385371287959e-53	6.52836374487549e-08	0.138374013940548	0	1	-1
Trim44	0.073998060034298	-0.0642977462071076	3.95620512132053e-55	1.04769359873832e-51	0.138295806241406	0	1	-1
Plcxd2	0.0805304564662341	-0.0576461299821055	2.32072380037249e-52	6.29989836468278e-42	0.13817658644834	0	0	0
Dnttip2	0.0692426920908505	-0.0688849974302554	4.72843917612071e-10	1.1468852176299e-16	0.138127689521106	0	0	0
Trmt12	0.101450074967122	-0.0366634318272312	6.85474192228151e-09	0.0148026953687024	0.138113506794354	0	0	0
Pigm	0.072962684793809	-0.0649074031154097	3.02695876515685e-07	1.38955475878104e-08	0.137870087909219	0	0	0
Tnfsf12	0.0985308141346821	-0.0390029158080836	2.94040735885359e-16	2.06251253004098e-05	0.137533729942766	0	0	0
