gene	is_coordinated	is_mecp2_up	mc_diff	hmc_diff	delta_ratio	mecp2_mean_fold	atac_fold	k27me3_fold	k119ub_fold
Actr3	TRUE	FALSE	0.0338852111707109	-0.0257882818469548	-0.0327778229137581	-0.0031643119998993	-0.0652583101935217	NA	0.454331894689291
Adam10	TRUE	FALSE	0.0345673628845653	-0.0314658889245464	-0.0377837637628996	-0.00477939930683002	0.0208343203363123	NA	NA
Adam17	TRUE	FALSE	0.025120122317328	-0.0298927647061566	-0.0329991643049654	-0.00155544570075085	0.139889555715775	NA	NA
Adarb1	TRUE	FALSE	0.0483375002557	-0.0340795603011301	-0.0493274806963486	0.0266062997330433	0.0501217381120044	NA	0.077001567481518
Adcy1	TRUE	FALSE	0.0583990854795784	-0.0145318328345349	-0.056497379054029	0.545433983899325	0.142989856776737	NA	1.05301677633015
Adcy8	TRUE	FALSE	0.0233209238088742	-0.016170602044563	-0.0199868479160615	0.177678323417127	0.286318964822545	NA	0.609066357130866
Adgrb3	TRUE	FALSE	0.0128628124747151	-0.0165679045127583	-0.0180051876277963	0.391438435317342	0.100696239986577	0.0883363825209582	1.09732801225605
Adgrl1	TRUE	FALSE	0.0209253289195304	-0.014091734264275	-0.0210844161007368	-0.0033419377080108	-0.0710906181891273	NA	0.403665352222623
Adgrl4	TRUE	FALSE	0.00753921515530442	-0.00330287934577506	-0.00403134296688924	0.677749290727959	-0.11461210013102	0.917879964765918	0.772095519603692
Adnp	TRUE	FALSE	0.0143040565168251	-0.0274607882053156	-0.0281324455183334	-0.0278485972089634	0.152509684964762	NA	NA
Adora1	FALSE	FALSE	0.0404385278531022	0.00134276952582896	-0.0240044180253279	-0.0578318547928697	0.210756499229252	NA	-0.160650903686973
Adrb2	TRUE	FALSE	0.102993332090129	-0.0366435598577077	-0.0754199595131103	0.0257669819613077	-0.230472257787189	0.270785197263429	0.242338829859324
Afdn	TRUE	FALSE	0.0288777985748763	-0.0249786386222934	-0.0293868336316419	-0.0926901447891649	-0.116509334963714	NA	0.254054297162354
Afg3l2	TRUE	FALSE	0.0225674908474149	-0.0273214341275247	-0.0296728976622662	-0.270272384676761	0.0221991348990911	NA	0.20413111291963
Ago2	TRUE	FALSE	0.0312534449451095	-0.0299184231676339	-0.0374010750530187	-0.0140644201636492	0.0502506164086664	NA	0.232472042592304
Agt	TRUE	FALSE	0.0358045514071299	-0.0175243573889819	-0.024659274571984	0.00176684036606602	-0.0212083839831034	NA	0.220000911737931
Agtpbp1	TRUE	FALSE	0.0245366861714069	-0.0182691079873824	-0.0243010898472526	-0.0174691620398972	0.0119548809547566	NA	-0.160948491636413
Ahi1	TRUE	FALSE	0.00429860605166943	-0.0126757979145504	-0.0133746380342019	0.0210474112224781	0.0468622823758944	NA	1.26598976960099
Aim2	FALSE	FALSE	0.00725140780134448	0.0108381736658969	0.0111140767868301	-0.0771566223231748	0.575534272198556	NA	NA
Akt2	TRUE	FALSE	0.0549815695390196	-0.0172720885824395	-0.0437331182776887	-0.0342679725308735	0.176326555251761	NA	0.0356627978247784
Alkbh1	TRUE	FALSE	0.0244407234219217	-0.0286413049886426	-0.0367907627319292	0.0388936116268251	0.0764551525361765	NA	NA
Als2	TRUE	FALSE	0.0382664649194646	-0.0119381694859791	-0.0283359305151368	-0.0118358795221174	0.156486351178432	NA	-0.0857638730077309
Ambra1	TRUE	FALSE	0.0285063982979543	-0.0270323099680813	-0.0309517181576336	-0.0225449628168148	0.0913722280353271	NA	-0.15028551758996
Amigo1	TRUE	FALSE	0.135919939262634	-0.0793056006820435	-0.121423991049351	0.010336552908574	0.0559196021319032	NA	-0.0880032606793953
Amigo3	TRUE	FALSE	0.048979630630508	-0.0459335156426136	-0.058450109366638	0.00682052794194825	0.201400013556548	NA	-0.00942967376471919
Amph	TRUE	FALSE	0.0233325071149723	-0.0217482269621521	-0.0272023770395031	-0.0563329635502996	0.742837983890211	NA	1.12783664395899
Anapc2	TRUE	FALSE	0.0414496338960724	-0.0313208994515559	-0.0397018191878025	-0.160720308961856	0.0844886778400798	NA	NA
Angpt1	TRUE	FALSE	0.05093380525349	-0.0689229276602719	-0.0765707791777402	0.593954961525268	-0.46559806349796	4.44396786922438	1.10447693038356
Ank3	TRUE	FALSE	0.039501450365357	-0.0293333216051041	-0.0390258965611018	0.0282289305528043	0.0348496019382784	-0.300653168529546	-0.286223781082345
Ankrd27	TRUE	FALSE	0.00841373666772838	-0.0102034726397616	-0.0109763678827566	-0.0240492412843767	0.231316005234242	NA	-0.0307908749086268
Anks1	TRUE	FALSE	0.0200616744325496	-0.0191060320448672	-0.0228827372436817	-0.160881263745925	-0.00639294595416269	NA	NA
Anks1b	TRUE	FALSE	0.0179392172495002	-0.0227592376812466	-0.0248068519564513	-0.125929482948929	0.0124968580122319	NA	0.28759295194912
Anxa7	TRUE	FALSE	0.00967041005855251	-0.0100437415717926	-0.0116889944648564	0.0300484321257638	0.00567276189184927	NA	0.784129784037703
Anxa9	TRUE	FALSE	0.036227793578041	-0.0442731588760521	-0.048790022166969	0.0421414144850081	-0.0418467489474387	NA	NA
Ap2a1	TRUE	FALSE	0.0356268047018977	-0.0297841695465995	-0.0377385955576146	-0.00523928139073291	-0.00733302101777908	NA	-0.185722398853255
Ap2a2	TRUE	FALSE	0.026853757304044	-0.0217274213306011	-0.0293237497216735	-0.0242502281481262	-0.037864675510471	NA	NA
Ap2b1	TRUE	FALSE	0.0281247332465427	-0.0317793190442102	-0.035993263135385	-0.00196949929292814	0.0639564466955014	NA	NA
Ap2m1	TRUE	FALSE	0.0253182844650247	-0.019458597472622	-0.0250780884237354	-0.0234959449025073	0.0392220539455415	NA	NA
Ap2s1	TRUE	FALSE	0.0407532804409876	-0.0324261548821278	-0.0445141635290678	-0.0232967859332459	0.119038013568504	NA	NA
Ap3b1	TRUE	TRUE	0.00870916519042186	-0.0251754473240131	-0.0255241873678702	0.0761260549235327	0.450813023779321	1.61725370075357	0.727753783180986
Ap3d1	TRUE	FALSE	0.0564655008494716	-0.0371147137765423	-0.0525885279097608	-0.0510534533304004	0.0582208856213235	NA	-0.417998703995991
Ap3m1	TRUE	FALSE	0.020028326658059	-0.0205744486585632	-0.0234290410078809	-0.0200417409067259	0.00756166575935152	NA	0.594495196632572
Ap3m2	TRUE	FALSE	0.0498250519753156	-0.0261353502381434	-0.0439346312060164	-0.025037504490423	0.0750685485421768	NA	0.566625825456969
Ap3s1	TRUE	FALSE	0.0266622705662457	-0.0325899139404046	-0.0366416463686427	0.013572993132855	0.0919092319425938	NA	NA
Ap3s2	TRUE	FALSE	0.00867557251779916	-0.016843048788135	-0.0181761269049334	-0.0257728743374959	0.137731123613415	NA	NA
Apaf1	TRUE	FALSE	0.00746295158940691	-0.00728291869001436	-0.0079665882294061	-0.0984080593888385	-0.0154509411059107	NA	-0.230654776776054
Apba1	TRUE	FALSE	0.0404450472682791	-0.0262961415894069	-0.0375271214544072	-0.00316713771688842	0.236248395438079	NA	0.679394276025704
Apba2	TRUE	FALSE	0.0216440608730699	-0.0311732205287784	-0.034523761792069	0.0132182048670828	0.164739787387559	NA	0.0281162482982426
Apbb1	FALSE	FALSE	0.0331271545732735	0.00288050190707617	-0.0288962352909777	0.00920864666075622	0.0155936812776266	NA	NA
Apbb2	TRUE	FALSE	0.00361353470674386	-0.013605641730602	-0.0131358338122884	-0.0172504646024748	0.222492016617751	NA	0.466503579644178
Aph1b	TRUE	FALSE	0.066235070962893	-0.0309570362675378	-0.0514333103996464	-0.0397412080781883	-0.134432566122641	0.693429149801809	0.109188356486645
App	TRUE	FALSE	0.0415574842456963	-0.0292810010016848	-0.0434948922116445	-0.0519390891798853	0.0852288813507581	0.521877725295411	0.651333310907425
Appl1	TRUE	FALSE	0.0243030765983395	-0.0225835124314247	-0.0266725424500334	0.00938466341585483	0.0566660240279229	NA	0.339431581220114
Arf1	TRUE	FALSE	0.0480596765401335	-0.0156740928041821	-0.0469135024325823	0.0167609723250313	0.0916931792071452	NA	0.0112819000648985
Arf6	FALSE	FALSE	0.0390102300439166	-0.00194104060383106	-0.167839947688683	0.257804155780918	0.0469630148362266	NA	0.0394280462869571
Arhgap39	TRUE	FALSE	0.0129004877112981	-0.0238382194947119	-0.0257086568064955	-0.0147412326084535	0.0677228132255707	NA	NA
Arhgap44	TRUE	FALSE	0.0260746946345768	-0.0234607427425964	-0.029146725303448	-0.0536045668677077	0.409496560454274	1.00705573494878	-7.31820996938122e-05
Arhgdia	FALSE	FALSE	0.0405389191770071	0.00404941811177373	-0.0172980237919386	NA	NA	NA	NA
Arhgef2	TRUE	FALSE	0.0233016137372021	-0.0269402188286417	-0.0365531583905236	-0.0225270622341792	0.245341630843007	NA	-0.156188385404966
Arhgef7	FALSE	FALSE	0.0343795220491976	-0.00128847739199967	-0.0226325487528001	-0.0145098897030195	0.0816031089973615	NA	0.175766848563452
Arhgef9	TRUE	FALSE	0.0109380695219953	-0.0188240006509176	-0.021910860846745	-0.0864011966760325	0.0963691658277541	NA	0.479887649236445
Arid1b	TRUE	FALSE	0.0479513538422094	-0.0228811533422355	-0.0418210629322335	0.0456399017194216	-0.0347278038157298	1.06611464562839	0.860361133520644
Arl13b	TRUE	FALSE	0.019158243088228	-0.02525005579646	-0.027847878536101	-0.0587053272839123	0.109950426086549	NA	0.990972147408907
Arl8b	TRUE	FALSE	0.0598953440973545	-0.0466677559569289	-0.0605869696197107	-0.0435919439140671	0.157989224708463	NA	NA
Armc2	TRUE	FALSE	0.0270370694536193	-0.00653160153957741	-0.011166637195199	0.134223113284076	0.00309740066557221	NA	0.000297055723947098
Arpc3	TRUE	FALSE	0.0161621083628742	-0.0262113242617918	-0.0303952390202886	0.0419385591281577	0.046596492347879	NA	NA
Arrb1	TRUE	FALSE	0.0357307405922518	-0.0255555110421885	-0.0356085482188791	-0.0387670673933674	0.176340316826135	NA	-0.171699363284181
Arsb	TRUE	FALSE	0.031486430652949	-0.0288635985334311	-0.0336755978397643	0.00582255089041557	0.0421304927760904	1.14592894709613	0.809188941457164
Arsg	TRUE	FALSE	0.0369224147531466	-0.0229432173586588	-0.0290079696272147	0.0762411415944486	-0.117701922984749	NA	0.24935757873205
Asic1	TRUE	FALSE	0.0507847768403477	-0.0179238129969524	-0.0404033120590002	0.165596751755157	0.317027585530312	NA	-0.210277846309729
Astn1	TRUE	FALSE	0.0210126383400169	-0.0188135287477824	-0.0210614468312826	0.142167520991657	0.144742038307115	NA	0.120114284591097
Astn2	TRUE	TRUE	0.0175480138813267	-0.0183937401663775	-0.0212266043541678	1.04548469558304	0.558442526763228	NA	0.318881137654907
Atad1	TRUE	FALSE	0.0270129755749257	-0.0287022926824528	-0.033266457548293	-0.0379695400236817	0.109347999084628	NA	0.850369890425807
Atf1	TRUE	FALSE	0.0266008075895637	-0.0195088965278562	-0.0251415802676638	-0.0185613339944425	0.0584353315949442	NA	-0.0239838100350374
Atf2	TRUE	FALSE	0.0505180114443099	-0.0415968766390442	-0.0496914075310161	-0.0446344083810744	-0.0221272384954027	NA	0.149360800122309
Atg16l1	TRUE	FALSE	0.0244320169875702	-0.0205782224011787	-0.0250514580053433	-0.0129848213761829	0.080345428636735	NA	0.0932859357310145
Atg5	TRUE	FALSE	0.00947045200134278	-0.0109810098626614	-0.0120209448315592	-0.0075849766961599	0.112452537055718	NA	NA
Atn1	TRUE	FALSE	0.0623319564365539	-0.04992230341173	-0.0703845341645025	-0.0528106130246329	0.0290157442565028	NA	0.203577336057712
Atoh7	FALSE	FALSE	0.0371807929298745	-0.00907431119280984	-0.129363703042395	0.433204674049224	-1.13317998159434	NA	0.917440873520678
Atp1b2	FALSE	FALSE	0.0376286952869149	0.0255876381700464	-0.022636274143178	-0.0468985373470788	0.0223269219288427	NA	NA
Atp2a2	TRUE	FALSE	0.0469930472226366	-0.0247932462169039	-0.0477476992970541	0.0206845098665608	0.224361075398668	NA	NA
Atp2b2	TRUE	FALSE	0.0309403076791333	-0.0227718626242934	-0.034865856204075	-0.0428984299088283	0.410440072359566	NA	0.114305205198572
Atp6ap2	TRUE	FALSE	0.0186137931314182	-0.0189228610013955	-0.0221855580756392	-0.0277650770828956	0.0122227859321324	NA	0.0250121465994378
Atp6v0a1	TRUE	FALSE	0.0295187136148414	-0.0293927225099533	-0.0389480624386281	-0.0547377637242747	0.0485097222482875	NA	NA
Atp6v0c	FALSE	FALSE	0.0342266721715861	-0.00928400769061649	-0.0459137739423655	-0.0250222020001899	0.0794009269765834	NA	NA
Atp6v0d1	TRUE	FALSE	0.0417184253069582	-0.0165599468204115	-0.0350706725670371	-0.040941690149819	0.0239175555901471	NA	0.362526400494717
Atp6v0e2	TRUE	FALSE	0.0449916639980343	-0.0468433278521286	-0.0964251509461156	-0.0185218589960169	NA	NA	NA
Atp6v1a	TRUE	FALSE	0.0272535629174515	-0.0230103707702311	-0.0291466677670674	-0.0021096241808895	0.0508868663037081	NA	NA
Atp6v1b2	TRUE	FALSE	0.0202792140679718	-0.0287453257259081	-0.0335046527942631	0.0111232630873382	0.0830188235175554	NA	-0.60008976857562
Atp6v1d	FALSE	FALSE	0.035815609297328	-0.0327157743586047	-0.0385822376410693	NA	0.0731448247359088	NA	NA
Atp6v1e1	TRUE	FALSE	0.0398795150520933	-0.0260686988699549	-0.0323602964863752	-0.0449673910238146	0.137736376580669	NA	NA
Atp6v1g1	TRUE	FALSE	0.0715488433670236	-0.029666331110789	-0.0616811395539941	-0.143482642602801	0.0344170352959446	NA	NA
Atp6v1h	TRUE	FALSE	0.0200575782621558	-0.0194646245642753	-0.0220902111159998	-0.0101372175503802	0.201386713574594	0.734464248174509	0.342936590413853
Atp8a1	TRUE	FALSE	0.0216126629133943	-0.026539169714761	-0.0302376629815332	-0.0513351797956649	-0.00160187430652978	NA	0.591175360493219
Atrn	TRUE	FALSE	0.00943884241654058	-0.0211688053774115	-0.0216915065638308	-0.0685295095281796	0.187330025107215	NA	NA
AU040320	TRUE	FALSE	0.0323898054533914	-0.0281891073793576	-0.0334333302708872	-0.0345057241220768	-0.351898918812958	NA	0.213625656871315
Avil	TRUE	FALSE	0.0120762054727825	-0.0148327462490096	-0.0173403215270386	-0.00304143164163635	NA	NA	NA
B4galt5	TRUE	FALSE	0.0313245146652406	-0.00991324503410212	-0.0260830196370386	-0.0136340046535532	-0.0437210541035458	NA	0.0629906499257897
B4galt6	TRUE	FALSE	0.0793670812739087	-0.0430539949059271	-0.0650267614138585	0.103986068851175	0.0373076704562914	NA	0.637392127527541
Bace1	TRUE	FALSE	0.036804567681305	-0.0291382291673824	-0.0374824219048076	-0.0622570825372111	0.113544360611712	NA	NA
Bag6	TRUE	FALSE	0.0289219711134222	-0.0263771764998209	-0.034921511685117	-0.0226429127147426	0.137739608359752	NA	NA
Barhl2	FALSE	FALSE	0.0599344596016404	0.029318104585622	-0.103791363250608	0.342625829133281	-0.211073042942313	0.768154350200864	0.395970887426976
Bax	TRUE	FALSE	0.0392485172482944	-0.0282740404740705	-0.0380184192961689	0.00584556172093737	0.135306255504171	NA	NA
Bbs2	TRUE	FALSE	0.0104120112138865	-0.0188624484072791	-0.0209134425483966	-0.0169942656872447	0.0834418947404538	NA	NA
Bbs4	TRUE	FALSE	0.0303050317619828	-0.027930714126788	-0.0317564106357119	0.0169615716144931	-0.00427108555042206	NA	NA
Bcl2	TRUE	FALSE	0.011567575927774	-0.0144630494829487	-0.0163160021741494	0.237154591464728	0.0404028726429665	NA	0.533358907843135
Bcl2l1	FALSE	FALSE	0.0758818640978576	0.00375880363448183	-0.0695866803510219	-0.0413523038202251	0.0872822403170757	NA	0.277325766434379
Bcl2l11	TRUE	FALSE	0.0134475986831935	-0.0220804675567708	-0.0233648434338104	-0.0530788703168375	0.243077814029095	0.222821870654032	-0.112831008537568
Bcl6	TRUE	FALSE	0.0487082055575648	-0.0323415209889795	-0.0685060866601695	0.0126345003167328	-0.013016056215765	NA	0.880940936718277
Bcl7a	TRUE	FALSE	0.0113310048942331	-0.0175057053308327	-0.0196747988611529	-0.0178665431667785	0.492635991662769	NA	-0.26857770414911
Bdnf	TRUE	FALSE	0.0543204354876967	-0.0424527140403388	-0.0691454856474667	0.26836876652624	-0.0352055112720172	0.629824134427149	0.589853086576098
Bend6	TRUE	FALSE	0.0187034872067832	-0.0194871295318044	-0.0240639618894679	-0.0261255879403861	0.501492681222236	NA	0.34004926183852
Bin1	TRUE	FALSE	0.0525327619676288	-0.0368487405018306	-0.0540804957577994	-0.0205114666606367	0.115822749711226	NA	NA
Bloc1s1	FALSE	FALSE	0.13833494002856	0.0193062908254125	-0.104907329111331	-0.0340271198351903	0.0479867453292005	NA	0.770899918034518
Bloc1s2	TRUE	FALSE	0.0132985892619526	-0.0112422817135676	-0.0123586944142163	0.169944473691867	NA	NA	NA
Bloc1s3	FALSE	FALSE	0.0561709685098834	-0.00647721313952224	-0.0329760851486162	0.0517268037056171	0.0487965067696802	0.205825774459557	NA
Bloc1s5	TRUE	FALSE	0.007683925884859	-0.0128207323041275	-0.0145813765828908	-0.0642122357396346	0.0545853939544311	NA	NA
Bloc1s6	TRUE	FALSE	0.0276226711689331	-0.015325290112186	-0.0213041578785486	-0.0388428236827283	NA	NA	NA
Bmp5	TRUE	FALSE	0.0963061392566568	-0.0659002353724788	-0.0822037679333966	0.151712477484941	-2.19660625437639	NA	1.19467412066326
Bmpr1a	TRUE	FALSE	0.0253714638508749	-0.0293467895575709	-0.0344655170292081	-0.0168191176444434	0.147103065271681	NA	0.794118957753008
Bnip2	TRUE	FALSE	0.0169459924039275	-0.0195605864005879	-0.0231034859258101	0.0061165603339848	0.0676941870090755	0.253518410217461	NA
Bnip3	TRUE	FALSE	0.0430417020755703	-0.0340241893431281	-0.041280735632076	-0.0332305285708779	-0.00912189311871877	NA	NA
Boc	TRUE	FALSE	0.128611993779712	-0.0176194948726115	-0.111459693751291	0.928482950277369	-0.0613294922713601	NA	1.3542065726791
Borcs5	TRUE	FALSE	0.0148146387406951	-0.0215725161461889	-0.0234150289838204	0.00892520256476675	0.0752302938517451	NA	0.547366827115064
Braf	TRUE	FALSE	0.0237602160531751	-0.0276723848061558	-0.030361600608517	-0.0124552060768497	0.0581956429031301	NA	NA
Brinp1	TRUE	FALSE	0.0827878571632678	-0.046462095488366	-0.0780024010708716	0.299789982700857	0.031502753871049	NA	0.107827831294316
Brinp2	TRUE	FALSE	0.0349101513647894	-0.0223849727456738	-0.0279156433217144	0.216258752308539	0.00810898232138092	2.61046407518282	0.740996650573309
Brinp3	TRUE	FALSE	0.0360866763384039	-0.0251377926318142	-0.0306542470955621	0.773041281502404	0.0779822817580671	NA	1.32889559840121
Brsk1	TRUE	FALSE	0.0113766117695924	-0.0257364248433647	-0.0294039648847169	-0.0673486670247912	0.00238329054594794	NA	NA
Bsg	TRUE	FALSE	0.0587449553559603	-0.0383605052578437	-0.0670382784834933	-0.0538016904171233	0.0425713826328763	NA	-0.0850828294166313
Bsn	FALSE	FALSE	0.0418890903215882	0.00252073299273686	-0.0326443811323849	-0.00941084986172705	0.00413286051029678	NA	NA
Btbd8	TRUE	FALSE	0.0446865277760841	-0.0151279915837428	-0.0231482219865065	0.000242235252756476	-0.0275176852830858	NA	NA
Btbd9	TRUE	FALSE	0.00927346485425151	-0.0105385179716142	-0.01144802333464	-0.050239832064225	0.122956915749289	-0.646401749924462	-0.463961795395803
C9orf72	TRUE	FALSE	0.0255796177464034	-0.0264123130686592	-0.0318561189449818	-0.0156162998108208	0.0731130002622372	0.13337296755324	0.0841356679352188
Cabp1	TRUE	FALSE	0.072279990572406	-0.0463957627839877	-0.0659392476928874	-0.0233032107318258	-0.0869737421958213	NA	0.025460476049348
Cacna1a	TRUE	FALSE	0.0371124029564663	-0.0229837337523766	-0.0420798734486841	-0.0722092032504233	-0.169232850884119	NA	0.48397535669526
Cacna1d	TRUE	FALSE	0.00687921525481405	-0.00775331866122456	-0.00869465228804348	-0.0306460283822627	0.0696883988876758	NA	NA
Cacna1i	TRUE	FALSE	0.00640142936843702	-0.00860846555111283	-0.00944381761738405	-0.0279273661653127	0.172268762410809	NA	-0.275987367439174
Cacnb2	TRUE	FALSE	0.00872899076828193	-0.0193310266231427	-0.0213622308195276	-0.0225235756028972	0.0499874296643304	0.367616026573492	-0.165704079157825
Cacnb4	TRUE	FALSE	0.0159023024417753	-0.0164642179593206	-0.0215718870071769	-0.0447437009726388	0.119957584594698	NA	0.0466544200835751
Cadm1	TRUE	FALSE	0.0430699951977018	-0.0415860510893537	-0.0476930935238634	0.0863529817421216	0.0938580208359798	0.621051130349997	0.0562211427158507
Cadm4	TRUE	FALSE	0.0302485116118757	-0.0283498655092235	-0.0377541288457707	-0.0312393208649236	0.0294192432906783	NA	-0.13688338110554
Cadps2	TRUE	FALSE	0.0316443636707565	-0.0371510258088481	-0.0425922733337402	0.48904950339003	0.13753400577637	NA	0.436740027168809
Calb2	TRUE	FALSE	0.046603769173551	-0.0112958753139202	-0.0272681425845248	0.309908096978927	-0.0786153219186619	NA	0.412120885069855
Calm1	FALSE	FALSE	0.0469261175835948	0.00636440300681756	-0.0375503556133013	-0.031709239616932	0.0642771059251524	NA	0.49843750104722
Calm2	FALSE	FALSE	0.0508543040732366	0.022095560434219	-0.0609142697144789	0.0406008314099756	0.0414676370086653	NA	0.591933911115804
Calr	TRUE	FALSE	0.0415817809735947	-0.0263260631829757	-0.0648688576685533	-0.0312299990525241	0.0160890093685685	NA	NA
Camk1d	TRUE	FALSE	0.0133777566128154	-0.0164076085402426	-0.018261843403906	-0.0699582053183064	0.232692308452492	NA	0.28199041732357
Camk2b	TRUE	FALSE	0.0334344857346174	-0.0227683905826235	-0.0382162372618883	-0.0118721068797581	0.394475578611057	NA	-0.036984933470616
Camk2d	TRUE	FALSE	0.0533670918073375	-0.02709925301529	-0.0450020247821865	0.0172392095684292	0.106730963715805	NA	0.483123549821756
Camk2g	TRUE	FALSE	0.0401385020854037	-0.039208890020243	-0.0455975867925515	-0.0311547990304375	0.195256485303968	NA	0.203135076692391
Canx	TRUE	FALSE	0.0320107416634337	-0.0342933002835452	-0.0391484840715803	-0.0225652697376664	0.0698624374913201	NA	NA
Cap1	TRUE	FALSE	0.0586442340411012	-0.0385959104908614	-0.0556588590456947	0.0500757118827993	-0.000392141414376798	NA	NA
Cap2	TRUE	FALSE	0.0135426919264944	-0.0178384406049484	-0.0200398908321775	0.0797426027828295	-0.130822508661828	NA	0.166860737035027
Capn2	TRUE	FALSE	0.0237903514953898	-0.0310954885991997	-0.0340709531112955	-0.00922203393766446	0.0134101744969551	0.265973542188774	0.371538636909875
Car2	TRUE	FALSE	0.01717776055705	-0.017104682130072	-0.0221168618287422	-0.113601566798883	0.431271651595301	-0.777449626569521	0.468027683741011
Carm1	TRUE	FALSE	0.0147989078867431	-0.0347345233486029	-0.0371737051961997	0.000849157103334114	-0.0297431926409842	NA	NA
Casp2	TRUE	FALSE	0.0355636093508855	-0.0299233302206142	-0.0427830642155869	-0.0074439070325015	0.00120329312168397	NA	0.611005665082685
Casp9	TRUE	FALSE	0.0108613343647166	-0.0126671668206242	-0.0138551800048085	-0.0138643941506389	-0.0621504835696902	NA	NA
Cbfa2t2	TRUE	FALSE	0.0812301682298538	-0.0480823968655327	-0.065437007593358	-0.048867575438718	-0.0172540372934632	NA	NA
Cblb	TRUE	FALSE	0.0538419879138967	-0.0393370128807112	-0.0476821326314672	0.0298760361316473	0.132515417291592	NA	0.880071764146884
Cbln3	FALSE	FALSE	0.0804455535571543	0.0427214656999524	-0.0631314196387833	-0.0479297479999575	-0.087965947999285	NA	0.00205402214912484
Cc2d2a	TRUE	FALSE	0.0132806803336184	-0.0180755861636089	-0.0198731364111519	-0.0144801056508977	0.128217375957851	NA	0.783528197127095
Ccdc63	TRUE	FALSE	0.0243654847193696	-0.0109849825655358	-0.0167698440020886	-0.0135369662684448	0.140599771309713	NA	NA
Ccl3	FALSE	FALSE	0.0372228066690983	-0.0157348784973771	-0.0201426304110551	0.034983429948748	NA	NA	NA
Ccnd1	FALSE	FALSE	0.045798291718014	0.00941752784103816	-0.021195360347964	-0.0124359849158224	0.0253409505879052	0.157530629691282	-0.373722102654847
Cd2ap	TRUE	FALSE	0.0199376938030946	-0.0194917968565338	-0.0213389548315803	0.0131133315158119	0.193116880675607	NA	NA
Cd47	TRUE	FALSE	0.0658957006494046	-0.0250884727932475	-0.0481518636814234	0.7853037705987	0.171330030134155	1.92960514994202	0.549111576143819
Cd6	TRUE	FALSE	0.0484714227708967	-0.0107821034625219	-0.0232596919994146	0.239952061667856	0.172123138479771	NA	0.414917602561515
