symbol	K119ub	K27me3	K27ac	ATAC	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_annotation	mc_ctrl	mc_mut	mc_difference
BB014433	0.576977	0.571483058215143	-1.37552726060221	0.225517485433603	0.0546	0.774	Exon (ENSMUST00000209938.1/ENSMUST00000209938.1, exon 2 of 3)	0.648	0.6512	0.0032
F3	0.573892	0.492282400088977	-0.28254643652014	0.00744942037082409	-0.0208	0.919	Promoter	0.7354	0.7363	9e-04
Cd163	0.569832	1.16607448688136	-0.453131829596528	0.0969381780278349	0.055	1	Promoter	0.7253	0.7293	0.004
Rerg	0.560723	0.269646305388002	0.108844845842681	0.648843221386437	-0.0573	0.747	Promoter	0.7387	0.7401	0.0014
Mdga2	0.558964	0.369681433601571	-0.126778832638007	0.56624877676153	-0.2204	0.413	Promoter	0.8206	0.819	-0.0016
5530400C23Rik	0.553969	1.22084692338006	-1.21428763915124	-0.130680700782567	0.8538	0.0367	Distal Intergenic	0.7952	0.7914	-0.0038
Ttc32	0.549	0.264543119842035	0.502102949743541	0.00154481570402931	0.0147	0.944	Promoter	0.6944	0.696	0.0017
Fam149a	0.546471	0.072406566489171	0.404128595331824	0.286429299045902	-0.0341	0.874	Promoter	0.8048	0.8007	-0.0042
Irx2	0.539193	0.00888212312101844	0.698566999925534	0.869064534260625	0.2082	0.38	Promoter	0.3285	0.3076	-0.0209
Crisp4	0.536475	0.71854660502858	-1.10447776405141	0.169085240711359	2.1637	2.72e-05	Distal Intergenic	0.7974	0.8012	0.0038
Rps24	0.53482	0.46836546216452	0.346026549081495	0.295671547960289	-0.0285	0.891	Promoter	0.4756	0.4844	0.0088
Cdh20	0.532608	0.537572605983	-0.104838727338852	0.252621525128255	-0.0136	0.952	Promoter	0.7531	0.7529	-2e-04
Trim52	0.529369	2.26388155228654	1.17400164753043	-0.47104994457846	0.0745	0.662	Promoter	0.9008	0.9009	1e-04
Mstn	0.526235	2.747135341925	-1.74945697083141	-0.648694635149864	1.0513	0.000748	Promoter	0.7133	0.7312	0.0179
Car3	0.521889	0.972739381312431	-0.121934281692102	0.262418802596826	-0.0402	0.824	Promoter	0.728	0.7133	-0.0147
Gal3st2	0.520296	0.746073210575009	-1.21773198884289	-0.898745728559022	0.017	1	Distal Intergenic	0.7415	0.7399	-0.0016
Xpnpep2	0.518906	-0.56019647260841	-1.5303596509013	-0.257073354390633	-0.0132	1	Promoter	0.7274	0.7331	0.0057
Lhfpl3	0.50629	0.696236272312823	-0.065286165287942	0.216886382633956	-0.0098	0.961	Promoter	0.7685	0.7674	-0.0011
Klhl5	0.505424	2.19396067220175	-0.274418940040612	0.178601982246257	0.0568	0.811	Promoter	0.756	0.7616	0.0056
Kcnq3	0.502926	0.333254007482832	-0.0194138744144858	0.259990097746524	-0.1537	0.519	Promoter	0.7464	0.7496	0.0032
Myo3b	0.501744	-0.436719932589982	-0.301824201555479	0.327382577809923	0.1793	1	Promoter	0.7449	0.7426	-0.0023
Il7	0.489818	1.2303454794921	-0.164020819978015	-0.371392306063789	-0.0038	0.988	Promoter	0.8054	0.8022	-0.0031
Plekhs1	0.486726	0.79866873389024	0.165936887652696	0.0368348269738897	-0.015	1	Promoter	0.7274	0.7263	-0.0011
C6	0.485773	0.395938749288561	-1.30686069244886	-0.446027416395075	0.0371	1	Intron (ENSMUST00000162585.7/12274, intron 8 of 15)	0.8316	0.8338	0.0022
Dapp1	0.48523	1.039075273302	-0.124927539669162	0.0736367987569051	-0.0105	0.968	Promoter	0.7259	0.7248	-0.0011
Hk2	0.480783	0.360494257870446	-0.67383120914332	0.0804672938407657	0.0891	0.679	Promoter	0.6996	0.6962	-0.0035
Pdha2	0.479811	1.48279600402561	11.2281928925696	0.538302963003578	-0.0438	0.797	Promoter	0.9549	0.9615	0.0066
Asb17	0.475944	1.27102593063138	-0.741623753953353	-0.50660579650937	-0.1289	0.56	Promoter	0.8017	0.8002	-0.0015
Trpc6	0.475651	0.377770331486888	0.1107990914758	0.537218447152009	0.0644	0.745	Promoter	0.795	0.7949	0
H60c	0.474139	0.341248528672694	-0.611516394324187	0.0451136036920172	0.072	0.741	Distal Intergenic	0.6824	0.6757	-0.0067
Hsfy2	0.473887	0.401908502450578	-1.72202810612917	0.228160433781628	-0.0372	1	Distal Intergenic	0.8548	0.8683	0.0135
Pth2r	0.472156	0.166412087727377	0.320874596338814	0.31501819689225	-0.0392	0.841	Promoter	0.7688	0.7658	-0.003
Frem1	0.470592	0.389032800170805	-0.407717538123157	-0.0193627388918894	1.0163	0.0021	Promoter	0.7506	0.7519	0.0014
Clrn1	0.465311	0.973720713530974	-0.891349429318436	-0.263864914273392	6e-04	0.998	Promoter	0.7341	0.7341	0
Tmprss2	0.454766	-0.166185431037104	0.0610361141752072	-0.0770929689663273	-0.0015	0.996	Promoter	0.7776	0.7704	-0.0072
Ccdc162	0.436318	0.775381961388182	-0.339047075224054	-0.187643522660161	0.0274	0.913	Promoter	0.7304	0.7305	1e-04
Plk2	0.434261	2.10810932897785	0.297461467909095	-0.202904769463751	-0.0723	0.666	Promoter	0.631	0.6356	0.0046
Pigr	0.431056	0.785321010080041	-0.332835764450513	-0.599637923193484	0.0191	0.925	Promoter	0.7175	0.7086	-0.0089
Cd40	0.429632	0.196809839756438	-0.856570148898392	0.35376918196815	0.0172	0.941	Promoter	0.6584	0.6616	0.0031
Syndig1	0.422217	-0.307089750742911	0.228333011026363	0.346522504320745	-0.0171	0.942	Promoter	0.6567	0.6532	-0.0035
Kctd16	0.420103	0.280408068151675	-0.304104941932695	0.251778588047792	-0.4817	0.164	Promoter	0.7907	0.7881	-0.0027
Nat3	0.419985	0.726969661836442	-0.0038163441146692	0.0164130735599718	-0.0318	0.895	Promoter	0.802	0.8002	-0.0018
Siae	0.419551	0.419481487153401	-0.770288728033844	-0.0518062079871296	0.007	0.977	Promoter	0.7449	0.7433	-0.0016
Tmem220	0.416999	-0.432284134039772	-0.458472288591411	-0.207349568924176	-0.022	0.942	Intron (ENSMUST00000079077.11/338369, intron 3 of 6)	0.7197	0.7229	0.0032
Upp1	0.416455	0.461548441853979	0.323454464242677	0.534681783992318	0.0431	0.853	Promoter	0.6627	0.6528	-0.0099
Nebl	0.409997	0.217461176699036	-0.222468133620966	0.0727643762126157	-0.023	0.909	Promoter	0.7366	0.7348	-0.0018
Slc25a13	0.405479	0.641436572639552	-0.657678579177395	0.0103540468508327	-0.3334	0.278	Promoter	0.7713	0.7701	-0.0011
Nfkbia	0.400978	-1.69891516942156	0.907242578153782	0.253350147107432	-0.0156	0.941	Promoter	0.4541	0.481	0.0269
Lama3	0.39956	0.368309823198602	-0.593657490904952	0.117442163246211	-0.0361	0.863	Promoter	0.7603	0.7631	0.0029
Lnx1	0.398531	-0.0517541357985566	-0.249617862540357	-0.0846408901808213	0.0193	0.929	Promoter	0.7462	0.7485	0.0023
Ripk4	0.39777	-0.68221540041461	0.180255852388511	0.575228120973928	0.0304	0.869	Promoter	0.705	0.7015	-0.0035
Ptn	0.394566	0.466309936730639	-0.0763425897080078	0.144603054782624	-0.1194	0.586	Distal Intergenic	0.7275	0.723	-0.0045
Aff2	0.394067	-0.421819555788257	-0.279264527497797	0.133130848418006	-0.0719	1	Promoter	0.7366	0.7422	0.0056
Akain1	0.39388	0.12690245996059	0.340641313427479	0.286878898687053	-0.0115	0.966	Promoter	0.7258	0.727	0.0011
Hs3st5	0.393862	0.793134096789837	0.0507995078373512	0.182030889171039	-0.0793	0.695	Promoter	0.7657	0.7679	0.0022
Smpx	0.39318	-1.09036216759184	-0.776014125981442	-0.383299052289379	0.016	1	Promoter	0.719	0.7258	0.0068
Slc30a8	0.390218	1.83193665703697	-0.927500892658234	-0.377564905094879	-0.0131	0.963	Exon (ENSMUST00000037240.2/239436, exon 3 of 8)	0.7847	0.7815	-0.0032
Traf3ip3	0.38529	1.51891200572653	-0.881722119384398	-0.233439341689067	-0.0357	0.873	Promoter	0.737	0.7461	0.0091
Setmar	0.381346	1.19317128590736	0.13737793868716	0.222511462841708	-0.0042	0.983	Promoter	0.7692	0.7755	0.0063
Tnc	0.38024	0.20783776453696	-0.221131071986933	0.0688123444231383	0.0057	0.986	Promoter	0.7523	0.7544	0.002
Glra2	0.379945	-2.28718799465866	-0.378968662771374	0.0255500641625976	0.7933	0.0476	Distal Intergenic	0.7381	0.7362	-0.0019
Adra1a	0.377265	-0.23119005545871	-0.154782239113181	0.50515022634085	-0.0297	0.908	Promoter	0.7517	0.7516	-1e-04
Egr4	0.374129	0.757077564779626	-1.0272149681372	-0.565501095224382	0.0028	0.991	Exon (ENSMUST00000095759.4/13656, exon 2 of 2)	0.3825	0.3886	0.0061
Minar1	0.371501	0.44123953721198	0.0419514173553244	-0.379527874546106	-0.0586	0.756	Promoter	0.6356	0.6389	0.0033
Myom2	0.367153	-0.410422826287424	-0.571598543278537	0.292308584514171	0.2022	0.394	Promoter	0.7629	0.767	0.0041
Tnr	0.366588	0.555364054235092	-0.0352037787935643	0.0404765982086973	-0.0652	0.768	Promoter	0.6857	0.6877	0.002
Taar4	0.36533	2.50247347196386	-2.54241817736458	-0.12399808733052	0.0142	0.934	Promoter	0.9099	0.9252	0.0154
Bpifa6	0.365116	-0.95943403639238	-0.717082328346602	0.48217858588225	-0.0205	0.936	Distal Intergenic	0.7838	0.7906	0.0068
Pid1	0.361032	-0.0518996179626849	0.203578346728734	0.249831833777673	0.0031	0.991	Promoter	0.7582	0.7602	0.002
Pam	0.358663	0.571559579926044	-0.119432728561975	0.470985854613806	0.2032	0.38	Promoter	0.7579	0.7581	1e-04
Fos	0.357775	0.85295069817788	0.674244401220948	0.161484372317336	-0.1037	0.588	Promoter	0.3442	0.3418	-0.0024
Bmper	0.357359	0.348693326729728	-0.198133133764988	-0.00363525181787915	-0.0032	0.989	Promoter	0.7853	0.7847	-7e-04
Tank	0.356807	1.62415835734278	-0.0973870161959683	-0.0268236805928418	-0.0021	0.994	Promoter	0.7764	0.779	0.0027
Calb1	0.35428	0.902714982047794	-0.286310595361917	-0.193758918508421	-0.0855	0.686	Promoter	0.7081	0.7171	0.009
Lzts1	0.345489	0.296424574296336	0.319833319857057	0.234853784164534	-0.0595	0.773	Promoter	0.5756	0.5811	0.0055
Bhlha9	0.344977	1.34707799456519	-0.62643523095543	0.0768357882238809	-0.0355	0.917	Promoter	0.3364	0.4259	0.0896
Dusp14	0.343139	-0.0861708979733344	0.372487597255851	0.062242173668393	0.0255	0.897	Promoter	0.4508	0.458	0.0072
Cmpk2	0.34313	0.591712926707055	0.582297264561093	-0.0131956339730378	0.0042	0.988	Promoter	0.7251	0.7226	-0.0026
Speer3	0.341338	-0.261189531002496	1.83314408814616	0.317844783620565	0.0061	1	Intron (ENSMUST00000124677.1/71026, intron 1 of 4)	0.814	0.8171	0.003
Krtap17-1	0.339733	-0.440093588603986	1.05188394815093	0.768594526789338	1.1025	0.0153	Distal Intergenic	0.6142	0.6042	-0.01
Il10	0.339633	1.44523945597931	-0.652587121028603	-0.930064372706667	0.863	0.0305	Intron (ENSMUST00000016673.5/16153, intron 3 of 4)	0.6821	0.6884	0.0063
Ccdc175	0.337702	0.747028461377879	-0.769727906361885	-0.0662277165171023	0.0298	0.895	Promoter	0.8074	0.8037	-0.0037
Rnaset2a	0.337603	1.54754891269936	-0.862531853398517	-0.620385822506179	-0.0331	0.881	Intron (ENSMUST00000232307.1/68195, intron 2 of 12)	0.6605	0.6663	0.0059
Lamp5	0.336835	0.663409726646968	-0.305715085660782	0.766317430884032	0.914	0.0304	Promoter	0.672	0.666	-0.006
Gtdc1	0.335686	0.414758726769474	-0.330373765414422	0.100126159659704	-0.0383	0.857	Promoter	0.7931	0.791	-0.0021
Fnbp1l	0.334535	1.2903295213719	-0.306904249272224	0.129312590824336	0.0358	0.89	Promoter	0.7858	0.787	0.0012
Dkk2	0.331676	0.446729164477043	-0.24179372309071	0.253255974797023	-0.0096	0.98	Promoter	0.7486	0.7449	-0.0037
Fam169a	0.330889	-0.20747912644045	0.269586955961649	0.626031727606214	-0.0521	0.794	Intron (ENSMUST00000169863.8/320557, intron 1 of 12)	0.8009	0.8042	0.0033
Fzd1	0.327045	0.716116516624069	-0.588141397977047	-0.364562976159047	0.0081	0.965	Promoter	0.385	0.3892	0.0041
Efcab8	0.324858	-0.246172269813392	-0.234417249413269	0.0751568010279361	0.0227	0.921	Promoter	0.7555	0.7588	0.0033
Nectin3	0.32407	0.500815851676921	0.550374547091259	0.200587800766515	-0.0403	0.836	Promoter	0.6283	0.6266	-0.0017
Frmd4b	0.323829	0.383870780578266	0.249171582378798	0.173123801959367	-0.0577	0.818	Promoter	0.7255	0.7235	-0.002
Slc12a1	0.323139	1.14030570695857	-0.0422632236719159	-0.0557750587269048	0.006	0.981	Exon (ENSMUST00000110494.8/20495, exon 2 of 27)	0.7725	0.7723	-1e-04
Tph1	0.321746	0.258481014862122	-0.372285157886634	0.0141399677081402	0.0103	0.969	Promoter	0.6818	0.6745	-0.0073
Hal	0.314818	0.249567293240092	-0.644101992627257	-0.0390000431653961	0.0206	0.925	Promoter	0.7685	0.7692	7e-04
Fgf13	0.313578	-1.89291323306094	-0.0496435166907235	0.217261744972166	-0.0239	0.927	Promoter	0.7255	0.7241	-0.0014
Slitrk1	0.312514	0.816945948635187	0.565974506302335	0.133224132908391	3.3977	8.88e-12	Distal Intergenic	0.034	0.036	0.002
Ces5a	0.310093	0.308072818122236	-0.46582638485745	0.301949987245726	-0.1976	1	Promoter	0.8043	0.8049	6e-04
Syt17	0.308699	-0.485352116180744	0.0860010961085891	0.581728078513341	-0.0826	0.678	Promoter	0.7816	0.7813	-3e-04
Lgsn	0.307307	1.07739134498818	0.0664028722262108	0.43273436731959	2.0265	1.84e-06	Promoter	0.7766	0.7716	-0.005
Cyyr1	0.298251	0.731871790045663	-0.110535852431387	0.197202884988272	-0.0078	0.977	Promoter	0.7933	0.7972	0.0039
Adamts5	0.29625	0.680617354102626	0.169489999751781	0.41182908798403	0.3972	0.169	Promoter	0.7351	0.7306	-0.0045
L3mbtl4	0.293134	0.5754132543367	-0.264755783927495	0.121588798328758	0.0786	0.664	Promoter	0.7952	0.7959	8e-04
Slc35f1	0.290936	0.13232288207614	-0.439981360864577	0.241874907968362	0.0625	0.757	Promoter	0.7984	0.7972	-0.0013
Phlda1	0.286655	-0.0387665786438796	-1.0255803689848	-0.0794096207636747	-0.0033	0.991	Promoter	0.0736	0.0567	-0.0168
Txndc2	0.279503	0.365108626842761	-0.213997615421009	-0.154305094002502	-0.1144	0.608	Promoter	0.8651	0.8578	-0.0074
Olfm4	0.273789	-0.683665989954045	-0.434871761737256	0.0660543409354993	-0.0159	0.949	Promoter	0.7779	0.7735	-0.0044
Alcam	0.273316	0.891342560149979	-0.1975815784724	-0.0527534834754993	-0.0163	1	Promoter	0.7825	0.7826	1e-04
Pcdh18	0.263155	0.0729084108843242	-0.134177346826425	0.381652438856504	0.7826	0.0227	Promoter	0.5831	0.5835	5e-04
Nefm	0.263055	-0.585304522473792	0.325655860601293	0.274426181766022	0.0038	0.988	Promoter	0.7123	0.7077	-0.0046
Erg	0.262454	-0.126536930963037	-0.195745171374161	0.244721425395767	-0.0262	0.9	Promoter	0.7742	0.7737	-5e-04
Piezo2	0.258877	-0.00690890821807492	-0.316737860672379	0.120583278076636	-0.1361	0.564	Promoter	0.7977	0.7983	6e-04
Actbl2	0.254689	2.10201055712501	0.70680782761806	-0.0406352638864405	-0.025	0.897	Promoter	0.8768	0.8774	6e-04
Klf4	0.254474	-0.281916537612245	-0.33020498306526	0.657537457582316	0.0635	0.753	Promoter	0.6738	0.6636	-0.0102
Dio1	0.253243	-0.335349791080827	-0.0187526591650182	0.104995956584922	-0.0301	0.84	Promoter	0.7687	0.7675	-0.0012
Ftmt	0.251861	-1.15278505175112	-1.15075156671039	-0.66602378171602	0.0037	0.989	Promoter	0.9303	0.9157	-0.0146
Satb1	0.244155	0.462152237208457	-0.0197465936714262	0.32537589793673	-0.2084	0.375	Promoter	0.7277	0.7307	0.0031
Fam43a	0.243098	-0.746490906603836	0.222727165496019	0.117358290305119	-0.0824	0.69	Promoter	0.2848	0.3118	0.0269
Defb41	0.242391	0.15158486610297	-1.1127020990068	0.7744622217258	1.6274	0.00484	Distal Intergenic	0.8963	0.8886	-0.0077
Nucb2	0.241583	0.982016574565166	-0.661200935954244	0.178104496598782	-0.0106	0.956	Promoter	0.8506	0.852	0.0014
Frzb	0.239357	0.271305089930043	0.438577539805762	0.181119216024818	0.0046	0.987	Promoter	0.7455	0.751	0.0055
Tgm3	0.238549	-0.0977274632186023	-0.104900294055187	-0.201831294393344	0.0957	1	Promoter	0.7396	0.7316	-0.0081
Mras	0.237508	-0.288312221125394	0.475969115913979	0.248812782509977	0.0394	0.852	Promoter	0.6102	0.6074	-0.0028
Slc9a9	0.236471	0.499869995444255	-0.793550938198786	-0.253983612242765	-0.1502	0.539	Promoter	0.7665	0.765	-0.0015
Slitrk4	0.234578	-0.178780668780671	0.267851227997336	0.124188609510985	-0.0902	1	Promoter	0.3716	0.3867	0.0152
Tex36	0.231934	0.825798586936574	-1.01566885187782	0.235339745537064	0.0522	0.793	Distal Intergenic	0.7819	0.787	0.005
Tmc3	0.231543	-0.312564770945277	-0.242515671470825	-0.165558234034239	-0.1402	0.55	Promoter	0.7669	0.7638	-0.0031
4930564D02Rik	0.22886	0.0338352997946706	-0.371028738251208	0.553740498653841	-0.0015	0.996	Distal Intergenic	0.78	0.7845	0.0044
Slc7a11	0.227317	0.395122402373321	-0.585011653445897	0.174026633759495	-0.029	1	Promoter	0.7874	0.7875	0
Nfic	0.224999	-0.126762768716595	0.414536485084986	0.0986933463311645	0.0171	0.953	Promoter	0.3428	0.3486	0.0057
Kcnj3	0.21419	0.0419271550638875	0.249141424244423	0.18800280472947	-0.0131	0.952	Promoter	0.5345	0.5398	0.0052
Ryr3	0.213653	-0.160675402486285	-0.313622059323563	0.23955707329445	0.0126	0.964	Promoter	0.7626	0.7614	-0.0012
Pga5	0.213367	-0.585569185825112	-0.573171285607592	0.532536657316052	0.2954	0.267	Promoter	0.7751	0.789	0.014
Tmigd1	0.213276	0.642721869598855	-0.39022934214358	-0.0519510970850159	0.1608	1	Distal Intergenic	0.6959	0.6958	-1e-04
Kcnk2	0.211639	-0.0415001235290566	-0.146320879898238	0.241008963500595	-0.3154	0.274	Promoter	0.7485	0.748	-5e-04
Kcnk9	0.211629	0.110519552658137	0.258066869191104	-0.108138917506468	-0.0039	0.986	Promoter	0.563	0.5612	-0.0018
Dnah5	0.202395	0.590938455627071	-0.860551933663721	-0.130645468677356	-0.0042	0.989	Distal Intergenic	0.7954	0.7964	0.001
Fbxo15	0.201491	0.182964467620085	0.197895940753504	0.12283120028713	-0.0485	0.851	Promoter	0.7316	0.7383	0.0067
Nefl	0.200853	-1.51451544227032	0.600494200018019	0.509316911889978	-0.0114	0.963	Promoter	0.7156	0.6917	-0.024
Casp12	0.200722	-1.15929535667485	-0.31061969718256	-0.193549983730999	0.1013	0.7	Distal Intergenic	0.8311	0.833	0.0018
Thap1	0.200304	1.02925905886016	0.347994294991409	-0.00442917507526408	0.0172	0.941	Promoter	0.6419	0.6527	0.0109
Frem2	0.197783	0.151035922813225	-0.049994540349003	0.084961953338052	0.0113	1	Promoter	0.7446	0.7463	0.0017
Rcn1	0.192113	0.0890323664926423	-0.0741259724990474	0.189946824642256	0.0137	0.952	Promoter	0.7952	0.7837	-0.0115
2010003K11Rik	0.191952	1.99451957723552	-0.274351976659451	0.274233214756714	0.0107	0.965	Promoter	0.2246	0.2319	0.0073
Aldoart1	0.19155	-0.409482590372736	-10.5896145771348	0.216118318389562	0.0186	0.942	Promoter	0.8408	0.8395	-0.0013
Ptprt	0.187502	-1.15003136850768	-0.00894043455867455	0.13829953664602	-0.0476	0.83	Promoter	0.7428	0.7442	0.0013
Pde4b	0.185752	0.264311615018104	0.504922416174764	0.192253265210746	-0.0096	0.973	Promoter	0.5687	0.5662	-0.0024
Fhl5	0.180908	-0.171928247457494	-0.893672832765788	0.102151076793501	-0.0148	1	Promoter	0.7861	0.7896	0.0035
Slc24a2	0.177072	0.102533758852164	0.184366537322914	0.223439130549374	-0.0335	0.847	Promoter	0.7261	0.7236	-0.0025
Frmd5	0.175999	-0.660523686499595	-0.157040546160186	0.0568762180153007	-0.0385	0.865	Promoter	0.6993	0.6984	-9e-04
Stum	0.171442	0.434633061918111	-0.58156625416282	-0.053967665312034	0.0062	0.979	Promoter	0.6971	0.6904	-0.0067
Lamc1	0.1676	0.0663116926773141	0.0597087973370724	0.337799931991388	-0.2637	0.325	Promoter	0.7324	0.732	-4e-04
Usp44	0.167599	0.7599620709546	-0.829820577987178	-0.00502633015856494	0.0344	0.875	Promoter	0.7689	0.7654	-0.0035
Steap1	0.166244	0.38746555946076	-0.359136512033827	-0.0367915454773945	-0.0423	0.82	Promoter	0.7762	0.7661	-0.0101
Nxph1	0.165012	0.628571470393366	-0.250968868185471	0.0783525085635868	-0.1015	0.65	Promoter	0.7309	0.7345	0.0036
Itpr2	0.16441	0.394912929854797	-0.238695279508886	0.0352796546316878	-0.0215	0.925	Promoter	0.7553	0.7541	-0.0012
Cited2	0.163404	1.99167225547426	0.643624546424217	0.0933577516076593	0.043	0.814	Promoter	0.0168	0.017	2e-04
Fgr	0.15029	0.440354147592389	-1.0801184374298	0.565437552043318	0.1871	1	Promoter	0.6954	0.7052	0.0098
Cylc2	0.148086	-0.355577950510363	-0.743167644814782	-0.0519460125456164	0.1062	1	Exon (ENSMUST00000156384.3/74914, exon 4 of 8)	0.8173	0.8159	-0.0014
Rgs6	0.143314	-0.00455376661177971	-0.705278799603081	-0.091517343524475	0.1352	0.535	Promoter	0.7486	0.7477	-9e-04
