gene	mecp2_mean_fold	mecp2_nearest_fdr	gb_log2fc	mc_diff	hmc_diff	chromatin_state	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	total_ctrl	total_mut	delta_ratio	dmr_status	is_neuronal	gene_class
Clnk	0.769524845525915	2.23874354430314e-17	0.852219	0.0268288355770543	-0.0107456856839712	Other	-0.0436102279828265	-0.930965564478216	NA	1.42434827176386	0.895450295575271	0.911533445468354	-0.0152272236999904	Both mC+hmC DMR	FALSE	Non-neuronal
Cnr1	0.982511496368871	0.00494394072279715	0.331502	0.156555408467778	0.0108585009044822	Active_Promoter	-0.0113194869570328	-0.11627922465245	2.9864586855909	0.622549190841626	0.503617356283565	0.671031265655825	-0.123067879392291	mC DMR only	TRUE	Neuronal
Cntn6	1.05746297748356	1.88438635926685e-08	0.481129	0.0601156302345282	-0.05549487333954	Active_Promoter	0.0931382028798877	-0.434557537595602	NA	1.14728709640151	0.884211432542239	0.888832189437227	-0.0635133648117805	Both mC+hmC DMR	TRUE	Neuronal
Cog5	1.22778484939048	1.20839010330663e-07	1.268975	0.0707680919978579	-0.0257557532476129	Active_Promoter	NA	NA	NA	NA	0.853031433092555	0.8980437718428	-0.0401216617100551	Both mC+hmC DMR	FALSE	Non-neuronal
Col9a1	1.10811035267613	2.01034498623133e-14	1.308703	0.0504223284797926	-0.00487324977815357	Other	-0.252540998356207	-1.50775319449282	0.331153002477829	0.756926484523387	0.843049235322947	0.888598314024586	-0.0154439445107355	mC DMR only	FALSE	Non-neuronal
Dcx	0.270240694996564	7.18377566536801e-05	0.513167	-0.0255939221141857	0.018484809909936	Repressed_Promoter	1.00795375008521	NA	-0.0432705347990859	0.601381987486328	0.823642121866541	0.816533009662291	0.0238453999965951	Both mC+hmC DMR	FALSE	Non-neuronal
Emcn	1.64488470222434	0.00127278147483562	1.318834	0.0409062188478198	-0.0107068254862215	Other	0.171534600082505	-1.50370298380209	NA	1.26057458379324	0.91400801328184	0.944207406643438	-0.0175302858585763	Both mC+hmC DMR	FALSE	Non-neuronal
Epyc	1.01069128485294	0.0155971497444747	0.754993	0.0228096822270499	-0.0118995831880669	Other	NA	NA	3.01684137922033	NA	0.890315879582457	0.90122597862144	-0.0145710325277567	Both mC+hmC DMR	FALSE	Non-neuronal
Ercc8	1.53033270651918	1.31243965393824e-20	1.045569	0.0596715221255155	-0.0274777191779346	Active_Promoter	-0.58422355749516	-2.138452110952	NA	1.76785218361711	0.807861146253788	0.840054949201369	-0.0391207787082774	Both mC+hmC DMR	FALSE	Non-neuronal
F830045P16Rik	0.65357747397222	4.62415601316661e-07	0.442033	0.0125287796650364	-0.00206739972005707	Other	0.0411435528507125	-1.38253725656564	NA	0.791358877384656	0.853470501764669	0.863931881709648	-0.0043011340451197	mC DMR only	FALSE	Non-neuronal
Fam184a	0.0404280970534147	0.0308231893166728	0.389385	0.0533299701388465	-0.0385052998735221	Active_Promoter	-0.0747570244643193	-0.415726935340464	NA	0.904572519361304	0.862290767185459	0.877115437450784	-0.0471456604136627	Both mC+hmC DMR	FALSE	Non-neuronal
Fam81b	2.37808782728544	7.95490509831512e-08	1.195046	0.0241074300160535	-0.0057434442878339	Other	0.0321818293889273	-0.371962796587735	NA	1.38702277337885	0.868264939194493	0.886628924922712	-0.0088095436223995	Both mC+hmC DMR	FALSE	Non-neuronal
Fgf1	0.898368596411403	0.00716848450584093	1.215938	0.094244219786531	-0.0335424374916495	Other	-0.66987302973428	-1.479496496172	2.91998889048125	0.925650972639696	0.847981724189982	0.908683506484864	-0.055039403559918	Both mC+hmC DMR	FALSE	Non-neuronal
Fstl5	0.598461372425449	0.00329366684516368	0.554003	0.0205410805577478	-0.021326652261026	Active_Promoter	-0.0199723747992926	-0.640398872830137	NA	1.12666580257366	0.885844495155095	0.885058923451817	-0.0239725002951784	Both mC+hmC DMR	FALSE	Non-neuronal
Fut9	1.50132009407714	1.32719443445416e-07	0.379227	0.0621375397246068	-0.0437461811101068	Active_Promoter	0.0167374727653374	0.0856381190867973	NA	0.398530576175919	0.847125658091447	0.865517016705947	-0.058448438131614	Both mC+hmC DMR	TRUE	Neuronal
Glce	0.247709053343993	0.000331259569912227	0.146048	0.0279611590431578	-0.012472169421251	Active_Promoter	0.0649305279036782	NA	NA	-0.0599664625008556	0.840239997118726	0.855728986740633	-0.0226104885381213	Both mC+hmC DMR	FALSE	Non-neuronal
Gm973	0.353418185308739	0.00373818188178717	0.698111	0.0297760499366355	-0.00927834930322857	Other	0.114299795267269	-0.757546972315768	NA	0.347673245269559	0.871754638236299	0.892252338869706	-0.0151369986819387	Both mC+hmC DMR	FALSE	Non-neuronal
Gpm6a	0.264549118326453	3.05636441859786e-05	0.379652	-0.0197668872808078	-0.018213570919368	Active_Promoter	0.158811065479594	0.045101557185742	NA	1.06838920724587	0.700943217121735	0.662962758921559	0.00261146861611772	Both mC+hmC DMR	FALSE	Non-neuronal
Gpr22	0.82430209948478	4.90152842449104e-12	0.958371	0.164985186171975	-0.0121353797916432	Active_Promoter	-0.107991529607986	-0.251275440726879	NA	1.00573169599638	0.36426823153805	0.517118037918382	-0.182520273780377	mC DMR only	FALSE	Non-neuronal
Gprin3	1.58364888919615	2.58751492272059e-06	1.034552	0.103938977086807	-0.0528729723410623	Active_Promoter	-0.557449685725666	-1.20019354670989	2.67703053297392	0.738838445136368	0.873750298266697	0.924816303012442	-0.072936463042298	Both mC+hmC DMR	FALSE	Non-neuronal
Hcn1	0.467486434745993	0.0294928433277512	0.734791	0.0241005801893061	-0.0155388242635835	Active_Promoter	0.119091929296398	0.0705728666786946	1.62065443492385	0.382487367363741	0.894471739404369	0.903033495330091	-0.0192609202612763	Both mC+hmC DMR	TRUE	Neuronal
Hgd	1.0448130416482	0.0173936715127865	1.263758	0.0807522108117853	-0.011571969056218	Other	-0.100212520346444	-1.23507732664347	NA	0.854316950113514	0.803825456141528	0.873005697897095	-0.0352393516401981	Both mC+hmC DMR	FALSE	Non-neuronal
Hif1a	0.440779576067772	0.00358139736458797	0.385943	0.0476186395632066	-0.0354883642830997	Active_Promoter	0.0744108355785561	-0.0244839531510242	NA	0.677113290736537	0.781260734796578	0.793391010076684	-0.0498729723360912	Both mC+hmC DMR	TRUE	Neuronal
Il16	0.738853990908019	0.000830251359306477	0.063129	0.0690017153425211	-0.00637885927342219	Active_Promoter	-0.0587312152638693	-1.27987212490981	NA	0.631619785248788	0.606289378717604	0.668912234786703	-0.0526415516211483	Both mC+hmC DMR	FALSE	Non-neuronal
Il1rapl1	0.872587391729342	5.16066191780565e-10	0.089699	0.0312117249676287	-0.0390547356191869	Active_Promoter	-0.0154764835279251	-1.28193300199991	NA	0.878460629981569	0.825158869382961	0.817315858731403	-0.0465288560171743	Both mC+hmC DMR	TRUE	Neuronal
Kbtbd12	1.40625935861403	7.14716517223626e-10	0.738787	0.0302195470514123	-0.0017087677880325	Other	-1.4304570101242	-1.75180179543345	NA	1.01167283172837	0.846567808191518	0.875078587454897	-0.00690604381465082	mC DMR only	FALSE	Non-neuronal
Kera	1.26893466570397	1.76132417372413e-08	1.259103	0.0306906758251526	-0.00575794547788411	Other	NA	NA	NA	1.24941397108862	0.929386787565417	0.954319517912686	-0.00873877167150752	mC DMR only	FALSE	Non-neuronal
Kif18a	0.758568351564003	0.00797353209816948	1.077868	0.0141810746902884	-0.00365764989047744	Active_Promoter	-0.0266320853005566	-0.900654501860723	NA	1.42501957124781	0.930334693574588	0.940858118374399	-0.00478455638104178	mC DMR only	FALSE	Non-neuronal
Krt24	0.945307962612713	2.10885580970986e-10	1.16442	0.138092706726149	-0.0112052711172921	Other	-0.687610516962261	-1.49853978080295	NA	NA	0.612590319152653	0.739477754761511	-0.0967888069723538	mC DMR only	FALSE	Non-neuronal
Lamb3	1.20362536001525	0.0124350868072545	0.873238	0.0329149367253684	0.00307196307652133	Other	0.108255431714945	NA	NA	NA	0.861521006744732	0.897507906546622	-0.00578618602318071	mC DMR only	TRUE	Neuronal
Lgi1	0.195290193966369	0.00283355629629667	0.484994	0.137128718547332	-0.0689376887599581	Other	-0.364308704751882	-1.42643517819759	NA	1.01495612951911	0.786765675621704	0.854956705409078	-0.102103098442576	Both mC+hmC DMR	TRUE	Neuronal
Lipc	0.384956754263861	0.00844061140818742	0.456936	0.023417035608262	-0.00400082208189106	Other	-0.131162217752135	-1.08968807564903	NA	0.691978873667841	0.875262931970604	0.894679145496975	-0.00893116918944944	Both mC+hmC DMR	FALSE	Non-neuronal
Micu3	3.31112958006904	1.88407080705142e-13	0.120164	0.0449532342746497	-0.0550125822707343	Active_Promoter	-0.275414926392656	-1.87409460145007	-0.00184107023565852	1.58216737347307	0.812641083795143	0.802581735799059	-0.0641693859665646	Both mC+hmC DMR	TRUE	Neuronal
Nek10	0.134426005290306	0.0336422431081227	0.715441	0.0129715835765386	-0.00528083509340278	Other	-0.169799911131988	-1.17972650164129	NA	0.236874508980658	0.858940269397756	0.866631017880891	-0.00709734564598659	Both mC+hmC DMR	FALSE	Non-neuronal
Nhlh2	0.380759756607705	2.47895475096651e-07	0.543445	0.0265527742060412	0.00188509034629813	Bivalent_Promoter	0.243476294603963	-0.238311403124651	1.61355418400502	0.337343822694932	0.326519225564366	0.354957090116705	-0.0250051633514505	mC DMR only	TRUE	Neuronal
Npvf	0.59113800258766	2.28733352451015e-09	1.920324	0.0496149593982392	-0.0265659321025777	Other	-0.860770402863638	-1.62043459794923	1.94400550519548	1.32650096960341	0.949611103564536	0.972660130860197	-0.0323820522235004	Both mC+hmC DMR	FALSE	Non-neuronal
Ntn4	0.659869936504872	2.79116222854677e-08	0.422471	0.119170223074622	-0.0598824678670815	Active_Promoter	-0.198069536379779	-0.49883289869822	NA	0.613640293567199	0.789190121960409	0.848477877167949	-0.0959698478815899	Both mC+hmC DMR	TRUE	Neuronal
Patj	0.932320093794432	3.92581287600702e-06	0.829999	0.120445731459954	-0.0688380719604627	Active_Promoter	-0.0308144350136459	-0.25546238214595	NA	1.29235027839693	0.836497724705096	0.888105384204587	-0.0910692035413863	Both mC+hmC DMR	FALSE	Non-neuronal
Pcdh9	0.764388356766825	2.03830570533515e-13	1.115065	0.0396612621891825	-0.0139019528786236	Active_Promoter	0.123457086095269	-0.673384834646298	-0.24714439466849	1.15168630530012	0.877140810048862	0.902900119359421	-0.0224378891589405	Both mC+hmC DMR	FALSE	Non-neuronal
Phldb2	0.212297513097866	8.1072415719158e-06	0.570384	0.00507704575231205	0.00135221026716324	Bivalent_Promoter	0.0709829326302193	-0.436431646496204	NA	0.514969915955528	0.860329785261955	0.86675904128143	0.000834334985647223	mC DMR only	FALSE	Non-neuronal
Plcb1	0.101365307438217	0.00214404108501208	0.348203	-0.00621573354936333	0.0115394431476382	Bivalent_Promoter	0.210741686025461	0.457393750322225	-0.249124040308121	-0.0298482612433281	0.904008933676766	0.909332643275041	0.0116133067390141	Both mC+hmC DMR	FALSE	Non-neuronal
Plxnd1	0.0555490668461597	0.00442454932152806	0.541639	0.0419240646183843	-0.00315082340866069	Other	0.0433085367152246	0.170610889948602	NA	0.141555573840751	0.832773945185427	0.87154718639515	-0.0168826009774217	mC DMR only	TRUE	Neuronal
Ppp1r14a	0.213297671496759	0.0323649227016224	0.649596	0.0678664852774661	0.00066355659393913	Other	0.165165377637687	-0.534843779554869	NA	NA	0.745042122060473	0.813572163931878	-0.0311923628277423	mC DMR only	FALSE	Non-neuronal
Prom1	0.246326006049273	2.59289914171391e-09	0.504608	0.0502669032086184	-0.036334018210617	Active_Promoter	-0.151753273291738	-0.537550244231488	NA	0.388004383546054	0.893497261480928	0.907430146478929	-0.0426575444041335	Both mC+hmC DMR	FALSE	Non-neuronal
Ptchd4	0.814911061429204	2.14206796006058e-08	0.43979	0.0844753183471563	-0.0683176386946963	Active_Promoter	-0.248575644638714	-1.05879092975753	NA	0.637311710573782	0.90200209824215	0.91815977789461	-0.0785947427277883	Both mC+hmC DMR	FALSE	Non-neuronal
Rbm24	0.0190181168193386	0.0178865915153071	0.257068	0.0197471232824036	-0.0242052831276056	Other	0.116881577632091	-0.583872925417853	NA	0.0970797752730376	0.929713787353483	0.92525562750828	-0.0255981815831937	Both mC+hmC DMR	FALSE	Non-neuronal
Scg2	0.258193216227918	0.00085175488258441	0.756807	0.164124260301168	-0.0246744388656844	Active_Promoter	-0.148663550670956	-0.925630542209818	1.13402961158799	0.840801351573172	0.557000810284462	0.696450631719945	-0.119407127647946	Both mC+hmC DMR	FALSE	Non-neuronal
Slc13a1	1.45671691499625	0.0101304954413751	1.514766	0.0616311388579086	-0.0206977442746837	Other	-0.803444401135199	-2.21046438324349	NA	1.15390038078754	0.877109397256538	0.918042791839763	-0.032046246818046	Both mC+hmC DMR	FALSE	Non-neuronal
Snca	0.676482334921322	1.15962971694167e-09	0.413917	0.0845562122509037	-0.055576132475232	Active_Promoter	0.0417065648781488	-1.00301273502346	NA	0.604824537286487	0.86744750295862	0.896427582734292	-0.0702575962535684	Both mC+hmC DMR	TRUE	Neuronal
Sox6	0.148314127811172	0.0224539373567525	0.268392	-0.00254365846712334	0.0148401341655971	Repressed_Promoter	NA	NA	-0.156115932492107	-0.26677912939202	0.828640615049692	0.840937090748165	0.0163147693478582	Both mC+hmC DMR	FALSE	Non-neuronal
Spam1	0.635989010958778	0.0031127257370048	1.012264	0.0199067800429557	0.00226977395856014	Other	0.450226567644279	NA	NA	1.66468337969544	0.834344478730582	0.856521032732098	0.000561043157007834	mC DMR only	FALSE	Non-neuronal
Sppl2c	0.222855999895772	0.00180905543860759	0.38843	0.0900436180218791	-0.0394686078302704	Other	-0.11871649210147	-0.555305812939331	NA	0.141735060490156	0.860396464592882	0.91097147478449	-0.0674539285984586	Both mC+hmC DMR	FALSE	Non-neuronal
St18	0.621286537733874	0.00158579225182744	0.656511	0.0380023341187223	-0.0176331148622378	Active_Promoter	0.144013453166951	-0.33176373385693	NA	0.667817936578466	0.836032605862736	0.856401825119221	-0.0250751528398749	Both mC+hmC DMR	FALSE	Non-neuronal
Svep1	0.897447937903363	0.0253900691009933	0.948648	0.0749873190799152	-0.0529199355626119	Active_Promoter	-0.00172746578082674	-1.08710951872117	NA	0.807952003349081	0.871575274071529	0.893642657588832	-0.0639350423030115	Both mC+hmC DMR	FALSE	Non-neuronal
Syne1	0.0440787199863879	0.0431305485799127	0.053222	0.0535617198947247	-0.0300868292799876	Active_Promoter	0.0685338485835277	-0.157910017606577	NA	0.977335984192069	0.774625500100475	0.798100390715212	-0.048399680249239	Both mC+hmC DMR	FALSE	Non-neuronal
Tbc1d31	0.0476999670385273	0.0132380431016751	0.562625	0.019954012483412	-0.00915138766243658	Active_Promoter	NA	NA	NA	NA	0.888115626429356	0.898918251250332	-0.0116082667945313	Both mC+hmC DMR	FALSE	Non-neuronal
Tdo2	0.731575973336985	0.00401783966033787	1.178865	0.0427743453363998	-0.0118351278016386	Other	-0.0524953124370444	-1.6719990640581	NA	1.43933793180685	0.861879314849167	0.892818532383928	-0.0194213640029002	Both mC+hmC DMR	FALSE	Non-neuronal
Thbs2	0.0979158081933909	0.00497174780061479	0.70501	-0.0110965552011796	0.0313737316389562	Repressed_Promoter	0.00974448280035081	NA	0.00546607410827339	0.229660103233625	0.834905920934782	0.855183097372558	0.0331980667876966	Both mC+hmC DMR	FALSE	Non-neuronal
Ttr	0.550872257646235	0.000390989948508937	1.445722	0.0410307049998834	0.0171069877060905	Other	-0.632642513255404	NA	NA	1.70012809326917	0.834403319208839	0.892541011914813	-0.00070322825800595	Both mC+hmC DMR	FALSE	Non-neuronal
Vwa8	0.20624311601834	5.84182824010456e-08	0.318019	0.022661407791593	-0.0133126945071892	Active_Promoter	0.222991304012001	-0.0688611177160563	NA	0.748586547438744	0.870553055817128	0.879901769101532	-0.0169742450082796	Both mC+hmC DMR	FALSE	Non-neuronal
