comparison	comp_label	tf_name	family	pvalue	qvalue	target_pct	bg_pct	fold_enrichment
C4	K27ac Lost vs Genome	Olig2	bHLH	9.999999999999995e-215	0	54.92	34.19	1.6063176367358878
B1	K119ub Gained vs Lost	Ronin	THAP	1e-16	0	0.57	0	NA
B2	K119ub Lost vs Gained	Ronin	THAP	1	1	0	1.41	0
B3	DiffBind K119ub Gained vs Lost	Ronin	THAP	9.999999999999997e-148	0	0.77	0.01	77
B4	DiffBind K119ub Lost vs Gained	Ronin	THAP	1	1	0.02	1.21	0.01652892561983471
C1	K27ac Gained vs Lost	Ronin	THAP	1	1	0.17	0.32	0.53125
C2	K27ac Lost vs Gained	Ronin	THAP	0.01	0.0218	0.27	0.13	2.076923076923077
C3	K27ac Gained vs Genome	Ronin	THAP	1	0.9984	0.17	0.37	0.4594594594594595
C4	K27ac Lost vs Genome	Ronin	THAP	1	0.6813	0.27	0.29	0.9310344827586208
B1	K119ub Gained vs Lost	Sp1	Zf	1e-36	0	2.97	1.06	2.80188679245283
B2	K119ub Lost vs Gained	Sp1	Zf	1	1	3.36	10.3	0.32621359223300966
B3	DiffBind K119ub Gained vs Lost	Sp1	Zf	9.999999999999999e-55	0	3.92	2	1.96
B4	DiffBind K119ub Lost vs Gained	Sp1	Zf	1	1	3.91	7.56	0.5171957671957672
C1	K27ac Gained vs Lost	Sp1	Zf	1	1	2.47	4.25	0.5811764705882353
C2	K27ac Lost vs Gained	Sp1	Zf	1e-8	0	2.93	1.8	1.6277777777777778
C3	K27ac Gained vs Genome	Sp1	Zf	1	1	2.47	3.83	0.6449086161879896
C4	K27ac Lost vs Genome	Sp1	Zf	1	0.2627	2.93	2.76	1.0615942028985508
B1	K119ub Gained vs Lost	TCF4	bHLH	9.999999999999998e-59	0	39.64	29.99	1.3217739246415472
B2	K119ub Lost vs Gained	TCF4	bHLH	1	1	36.08	40.7	0.8864864864864864
B3	DiffBind K119ub Gained vs Lost	TCF4	bHLH	9.999999999999998e-119	0	35.98	27.75	1.2965765765765764
B4	DiffBind K119ub Lost vs Gained	TCF4	bHLH	1	1	33.54	39.59	0.8471836322303611
C1	K27ac Gained vs Lost	TCF4	bHLH	1	1	41.24	43.99	0.9374857922255058
C2	K27ac Lost vs Gained	TCF4	bHLH	1e-5	2e-4	44.62	41.77	1.0682307876466361
C3	K27ac Gained vs Genome	TCF4	bHLH	1e-59	0	41.22	28.23	1.4601487778958555
C4	K27ac Lost vs Genome	TCF4	bHLH	9.999999999999996e-147	0	44.62	28.18	1.5833924769339958
B1	K119ub Gained vs Lost	YY1	Zf	1	0.3497	0.63	0.56	1.125
B2	K119ub Lost vs Gained	YY1	Zf	1	1	0.64	0.97	0.6597938144329897
B3	DiffBind K119ub Gained vs Lost	YY1	Zf	1e-11	0	0.87	0.47	1.8510638297872342
B4	DiffBind K119ub Lost vs Gained	YY1	Zf	1	1	0.65	1.01	0.6435643564356436
C1	K27ac Gained vs Lost	YY1	Zf	1	1	0.58	0.73	0.7945205479452054
C2	K27ac Lost vs Gained	YY1	Zf	0.1	0.225	0.7	0.53	1.320754716981132
C3	K27ac Gained vs Genome	YY1	Zf	1	1	0.58	1.12	0.5178571428571428
C4	K27ac Lost vs Genome	YY1	Zf	1	1	0.7	1.02	0.6862745098039215
