stripe_id	direction	logFC_stripe	hub_size	n_with_rna	n_degs	pct_degs	mean_gene_lfc	median_gene_lfc	concordant_n	concordant_pct
stripe_565	gained	-0.0769	1	1	0	0	0.164770805939308	0.164770805939308	0	0
stripe_568	gained	-0.095	2	2	1	0.5	-0.1615660575215535	-0.1615660575215535	1	0.5
stripe_580	gained	-0.0632	29	23	1	0.043478260869565216	-0.06829885455784632	0.0213121143020038	9	0.391304347826087
stripe_587	lost	0.095	20	19	2	0.10526315789473684	0.2334048916258734	0.124612678664102	14	0.7368421052631579
stripe_619	lost	0.0716	1	1	1	1	0.595366179695572	0.595366179695572	1	1
stripe_630	lost	-0.0636	1	1	1	1	-0.43048586533506	-0.43048586533506	1	1
stripe_633	lost	-0.068	1	1	1	1	-0.43048586533506	-0.43048586533506	1	1
stripe_634	gained	-0.0668	1	1	1	1	-0.43048586533506	-0.43048586533506	1	1
stripe_680	lost	-0.093	9	8	1	0.125	-0.41920717807024294	-0.0877123533677284	7	0.875
stripe_704	gained	-0.0882	4	4	0	0	0.11731100646165535	0.11684969507181525	0	0
stripe_723	lost	-0.0692	12	12	3	0.25	-0.379593154254227	-0.12869877566761576	10	0.8333333333333334
stripe_747	gained	-0.2057	3	2	0	0	-0.01586485427588515	-0.01586485427588515	1	0.5
stripe_788	gained	-0.1086	1	1	1	1	-0.501245112578662	-0.501245112578662	1	1
stripe_814	lost	-0.0733	2	2	0	0	-0.352536860738013	-0.352536860738013	2	1
stripe_815	lost	-0.0693	4	4	0	0	-0.23109609129559275	-0.346028592099474	3	0.75
stripe_843	lost	0.0891	6	5	2	0.4	-0.023310283379867833	0.0409893086029539	3	0.6
stripe_89	gained	-0.0626	9	5	0	0	-0.04007779882655986	-0.0581183283732302	3	0.6
stripe_932	gained	-0.0742	1	1	0	0	0.00159457429167863	0.00159457429167863	0	0
stripe_942	lost	-0.0844	31	23	1	0.043478260869565216	0.03371446087612581	0.0801619418622219	9	0.391304347826087
stripe_943	gained	-0.0999	32	24	1	0.041666666666666664	8.723105497875144e-4	0.050730488430852254	10	0.4166666666666667
stripe_951	gained	-0.1126	1	1	0	0	-0.296597434260662	-0.296597434260662	1	1
