gene_symbol	gene_class	feature_idx	feature_label	distance_to_tss	k27ac_class
Itm2c	DEG_down	51	P60	1981722.5	stable_k27ac
2810459M11Rik	DEG_up	48	P60	145982	lost_k27ac
2810459M11Rik	DEG_up	49	P60	393057.5	stable_k27ac
2810459M11Rik	DEG_up	50	P60	463670.5	lost_k27ac
2810459M11Rik	DEG_up	51	P60	1830140.5	stable_k27ac
B3gnt7	DEG_up	48	P60	403353	lost_k27ac
B3gnt7	DEG_up	49	P60	135686.5	stable_k27ac
B3gnt7	DEG_up	50	P60	206299.5	lost_k27ac
B3gnt7	DEG_up	51	P60	1572769.5	stable_k27ac
Ngef	DEG_up	48	P60	1673989	lost_k27ac
Ngef	DEG_up	49	P60	1134949.5	stable_k27ac
Ngef	DEG_up	50	P60	1064336.5	lost_k27ac
Ngef	DEG_up	51	P60	302133.5	stable_k27ac
Ngef	DEG_up	52	P60	783004	lost_k27ac
Ngef	DEG_up	53	P60	1988767.5	stable_k27ac
Col6a3	DEG_up	53	P60	1281333.5	stable_k27ac
Srgap2	DEG_up	1	P60	206613.5	lost_k27ac
Srgap2	DEG_up	2	P60	849914.5	stable_k27ac
Srgap2	DEG_up	3	P60	999245.5	gained_k27ac
Srgap2	DEG_up	4	P60	1049076	stable_k27ac
Srgap2	DEG_up	5	P60	1385505	gained_k27ac
Nucks1	DEG_up	1	P60	589795.5	lost_k27ac
Nucks1	DEG_up	2	P60	466732.5	stable_k27ac
Nucks1	DEG_up	3	P60	616063.5	gained_k27ac
Nucks1	DEG_up	4	P60	665894	stable_k27ac
Nucks1	DEG_up	5	P60	1002323	gained_k27ac
Nucks1	DEG_up	6	P60	1972386	lost_k27ac
Lemd1	DEG_down	1	P60	870692.5	lost_k27ac
Lemd1	DEG_down	2	P60	185835.5	stable_k27ac
Lemd1	DEG_down	3	P60	335166.5	gained_k27ac
Lemd1	DEG_down	4	P60	384997	stable_k27ac
Lemd1	DEG_down	5	P60	721426	gained_k27ac
Lemd1	DEG_down	6	P60	1691489	lost_k27ac
Lemd1	DEG_down	7	P60	1881507	lost_k27ac
Lemd1	DEG_down	8	P60	2026790.5	lost_k27ac
Klhdc8a	DEG_down	1	P60	977887.5	lost_k27ac
Klhdc8a	DEG_down	2	P60	78640.5	stable_k27ac
Klhdc8a	DEG_down	3	P60	227971.5	gained_k27ac
Klhdc8a	DEG_down	4	P60	277802	stable_k27ac
Klhdc8a	DEG_down	5	P60	614231	gained_k27ac
Klhdc8a	DEG_down	6	P60	1584294	lost_k27ac
Klhdc8a	DEG_down	7	P60	1774312	lost_k27ac
Klhdc8a	DEG_down	8	P60	1919595.5	lost_k27ac
Klhdc8a	DEG_down	9	P60	2008566.5	lost_k27ac
Nuak2	DEG_down	1	P60	995387.5	lost_k27ac
Nuak2	DEG_down	2	P60	61140.5	stable_k27ac
Nuak2	DEG_down	3	P60	210471.5	gained_k27ac
Nuak2	DEG_down	4	P60	260302	stable_k27ac
Nuak2	DEG_down	5	P60	596731	gained_k27ac
Nuak2	DEG_down	6	P60	1566794	lost_k27ac
Nuak2	DEG_down	7	P60	1756812	lost_k27ac
Nuak2	DEG_down	8	P60	1902095.5	lost_k27ac
Nuak2	DEG_down	9	P60	1991066.5	lost_k27ac
Dstyk	DEG_down	1	P60	1096816.5	lost_k27ac
Dstyk	DEG_down	2	P60	40288.5	stable_k27ac
Dstyk	DEG_down	3	P60	109042.5	gained_k27ac
Dstyk	DEG_down	4	P60	158873	stable_k27ac
Dstyk	DEG_down	5	P60	495302	gained_k27ac
Dstyk	DEG_down	6	P60	1465365	lost_k27ac
Dstyk	DEG_down	7	P60	1655383	lost_k27ac
Dstyk	DEG_down	8	P60	1800666.5	lost_k27ac
Dstyk	DEG_down	9	P60	1889637.5	lost_k27ac
Cntn2	DEG_up	1	P60	1222517.5	lost_k27ac
Cntn2	DEG_up	2	P60	165989.5	stable_k27ac
Cntn2	DEG_up	3	P60	16658.5	gained_k27ac
Cntn2	DEG_up	4	P60	33172	stable_k27ac
Cntn2	DEG_up	5	P60	369601	gained_k27ac
Cntn2	DEG_up	6	P60	1339664	lost_k27ac
Cntn2	DEG_up	7	P60	1529682	lost_k27ac
Cntn2	DEG_up	8	P60	1674965.5	lost_k27ac
Cntn2	DEG_up	9	P60	1763936.5	lost_k27ac
Atp2b4	DEG_down	2	P60	1423774.5	stable_k27ac
Atp2b4	DEG_down	3	P60	1274443.5	gained_k27ac
Atp2b4	DEG_down	4	P60	1224613	stable_k27ac
Atp2b4	DEG_down	5	P60	888184	gained_k27ac
Atp2b4	DEG_down	6	P60	81879	lost_k27ac
Atp2b4	DEG_down	7	P60	271897	lost_k27ac
Atp2b4	DEG_down	8	P60	417180.5	lost_k27ac
Atp2b4	DEG_down	9	P60	506151.5	lost_k27ac
Atp2b4	DEG_down	10	P60	914176.5	gained_k27ac
Adora1	DEG_up	2	P60	1858164.5	stable_k27ac
Adora1	DEG_up	3	P60	1708833.5	gained_k27ac
Adora1	DEG_up	4	P60	1659003	stable_k27ac
Adora1	DEG_up	5	P60	1322574	gained_k27ac
Adora1	DEG_up	6	P60	352511	lost_k27ac
Adora1	DEG_up	7	P60	162493	lost_k27ac
Adora1	DEG_up	8	P60	17209.5	lost_k27ac
Adora1	DEG_up	9	P60	71761.5	lost_k27ac
Adora1	DEG_up	10	P60	479786.5	gained_k27ac
Syt2	DEG_up	5	P60	1733820	gained_k27ac
Syt2	DEG_up	6	P60	763757	lost_k27ac
Syt2	DEG_up	7	P60	573739	lost_k27ac
Syt2	DEG_up	8	P60	428455.5	lost_k27ac
Syt2	DEG_up	9	P60	339484.5	lost_k27ac
Syt2	DEG_up	10	P60	68540.5	gained_k27ac
Rgs16	DEG_up	11	P60	1717741.5	lost_k27ac
Rgs16	DEG_up	12	P60	1653580.5	stable_k27ac
Rgs16	DEG_up	13	P60	727810	lost_k27ac
Rgs16	DEG_up	14	P60	63430	gained_k27ac
Rgs16	DEG_up	15	P60	1124708.5	stable_k27ac
Rgs16	DEG_up	16	P60	1477665.5	lost_k27ac
Ralgps2	DEG_down	16	P60	1721611.5	lost_k27ac
Ildr2	DEG_down	17	P60	797692	lost_k27ac
Gm16701	DEG_down	17	P60	52103	lost_k27ac
Fam78b	DEG_down	17	P60	50414	lost_k27ac
Aldh9a1	DEG_down	17	P60	298160	lost_k27ac
Olfml2b	DEG_down	18	P60	1560197.5	stable_k27ac
Olfml2b	DEG_down	19	P60	1683224.5	stable_k27ac
Nhlh1	DEG_up	18	P60	147156.5	stable_k27ac
Nhlh1	DEG_up	19	P60	270183.5	stable_k27ac
Nhlh1	DEG_up	20	P60	1305791	stable_k27ac
Pld5	DEG_down	21	P60	72796.5	lost_k27ac
Pld5	DEG_down	22	P60	658133	lost_k27ac
Pld5	DEG_down	23	P60	1185443	stable_k27ac
Pld5	DEG_down	24	P60	1322001.5	lost_k27ac
Coq8a	DEG_down	25	P60	1461301.5	lost_k27ac
Coq8a	DEG_down	26	P60	1176021	lost_k27ac
Coq8a	DEG_down	27	P60	309702	lost_k27ac
Enah	DEG_up	27	P60	1510686	lost_k27ac
Trp53bp2	DEG_down	27	P60	1899868	lost_k27ac
Smyd2	DEG_down	28	P60	247300.5	stable_k27ac
Flvcr1	DEG_down	28	P60	856494.5	stable_k27ac
Flvcr1	DEG_down	29	P60	1356279	lost_k27ac
Flvcr1	DEG_down	30	P60	1423980.5	lost_k27ac
Tatdn3	DEG_down	28	P60	893268.5	stable_k27ac
Tatdn3	DEG_down	29	P60	1319505	lost_k27ac
Tatdn3	DEG_down	30	P60	1387206.5	lost_k27ac
Kcnh1	DEG_down	29	P60	191663	lost_k27ac
Kcnh1	DEG_down	30	P60	259364.5	lost_k27ac
Kcnh1	DEG_down	31	P60	1139142	lost_k27ac
Hhat	DEG_down	29	P60	388786	lost_k27ac
Hhat	DEG_down	30	P60	321084.5	lost_k27ac
Hhat	DEG_down	31	P60	558693	lost_k27ac
Sertad4	DEG_up	29	P60	473319	lost_k27ac
Sertad4	DEG_up	30	P60	405617.5	lost_k27ac
Sertad4	DEG_up	31	P60	474160	lost_k27ac
Traf3ip3	DEG_down	29	P60	819266	lost_k27ac
Traf3ip3	DEG_down	30	P60	751564.5	lost_k27ac
Traf3ip3	DEG_down	31	P60	128213	lost_k27ac
Fam107b	DEG_down	564	P60	174415.5	lost_k27ac
Bend7	DEG_up	564	P60	972927.5	lost_k27ac
4930447M23Rik	DEG_down	540	P60	1590219	stable_k27ac
Nsmf	DEG_up	541	P60	212118	stable_k27ac
Nsmf	DEG_up	542	P60	378612.5	stable_k27ac
Nsmf	DEG_up	543	P60	428164	lost_k27ac
Nsmf	DEG_up	544	P60	525303.5	stable_k27ac
Nsmf	DEG_up	545	P60	833894.5	gained_k27ac
Nsmf	DEG_up	546	P60	1076924	lost_k27ac
Nsmf	DEG_up	547	P60	1262889	stable_k27ac
Ssna1	DEG_down	541	P60	5965	stable_k27ac
Ssna1	DEG_down	542	P60	160529.5	stable_k27ac
Ssna1	DEG_down	543	P60	210081	lost_k27ac
Ssna1	DEG_down	544	P60	307220.5	stable_k27ac
Ssna1	DEG_down	545	P60	615811.5	gained_k27ac
Ssna1	DEG_down	546	P60	858841	lost_k27ac
Ssna1	DEG_down	547	P60	1044806	stable_k27ac
Tmem210	DEG_up	541	P60	21672	stable_k27ac
Tmem210	DEG_up	542	P60	144822.5	stable_k27ac
Tmem210	DEG_up	543	P60	194374	lost_k27ac
Tmem210	DEG_up	544	P60	291513.5	stable_k27ac
Tmem210	DEG_up	545	P60	600104.5	gained_k27ac
Tmem210	DEG_up	546	P60	843134	lost_k27ac
Tmem210	DEG_up	547	P60	1029099	stable_k27ac
Fnbp1	DEG_down	551	P60	1254782.5	stable_k27ac
Fnbp1	DEG_down	552	P60	886940.5	gained_k27ac
Fnbp1	DEG_down	553	P60	798351	stable_k27ac
Fnbp1	DEG_down	554	P60	719062.5	stable_k27ac
Fnbp1	DEG_down	555	P60	440707	lost_k27ac
Fnbp1	DEG_down	556	P60	62341.5	lost_k27ac
Fnbp1	DEG_down	557	P60	119306.5	gained_k27ac
Fnbp1	DEG_down	558	P60	1037004	gained_k27ac
Fnbp1	DEG_down	559	P60	1186117	gained_k27ac
Fnbp1	DEG_down	560	P60	1454284	stable_k27ac
Fnbp1	DEG_down	561	P60	1678441.5	gained_k27ac
St6galnac4	DEG_down	555	P60	1885794	lost_k27ac
St6galnac4	DEG_down	556	P60	1507428.5	lost_k27ac
St6galnac4	DEG_down	557	P60	1325780.5	gained_k27ac
St6galnac4	DEG_down	558	P60	408083	gained_k27ac
St6galnac4	DEG_down	559	P60	258970	gained_k27ac
St6galnac4	DEG_down	560	P60	9197	stable_k27ac
St6galnac4	DEG_down	561	P60	233354.5	gained_k27ac
St6galnac4	DEG_down	562	P60	715058.5	gained_k27ac
Sh2d3c	DEG_up	555	P60	2019754	lost_k27ac
Sh2d3c	DEG_up	556	P60	1641388.5	lost_k27ac
Sh2d3c	DEG_up	557	P60	1459740.5	gained_k27ac
Sh2d3c	DEG_up	558	P60	542043	gained_k27ac
Sh2d3c	DEG_up	559	P60	392930	gained_k27ac
Sh2d3c	DEG_up	560	P60	124763	stable_k27ac
Sh2d3c	DEG_up	561	P60	99394.5	gained_k27ac
Sh2d3c	DEG_up	562	P60	581098.5	gained_k27ac
C230014O12Rik	DEG_down	558	P60	1928717	gained_k27ac
C230014O12Rik	DEG_down	559	P60	1779604	gained_k27ac
C230014O12Rik	DEG_down	560	P60	1511437	stable_k27ac
C230014O12Rik	DEG_down	561	P60	1287279.5	gained_k27ac
C230014O12Rik	DEG_down	562	P60	805575.5	gained_k27ac
C230014O12Rik	DEG_down	563	P60	1567769.5	lost_k27ac
Stom	DEG_down	562	P60	2034822.5	gained_k27ac
Stom	DEG_down	563	P60	338522.5	lost_k27ac
Gm13483	DEG_down	566	P60	639731.5	gained_k27ac
Gm13483	DEG_down	567	P60	561978.5	gained_k27ac
Gm13483	DEG_down	568	P60	1910622.5	lost_k27ac
Acvr1c	DEG_down	570	P60	840630	lost_k27ac
Acvr1c	DEG_down	571	P60	1293863.5	lost_k27ac
Upp2	DEG_down	570	P60	631227	lost_k27ac
Upp2	DEG_down	571	P60	1084460.5	lost_k27ac
Tanc1	DEG_down	570	P60	413517	lost_k27ac
Tanc1	DEG_down	571	P60	39716.5	lost_k27ac
Wdsub1	DEG_down	570	P60	684066	lost_k27ac
Wdsub1	DEG_down	571	P60	230832.5	lost_k27ac
Pla2r1	DEG_down	570	P60	1354783	lost_k27ac
Pla2r1	DEG_down	571	P60	901549.5	lost_k27ac
Fign	DEG_down	572	P60	1573884.5	gained_k27ac
Csrnp3	DEG_down	572	P60	173844.5	gained_k27ac
Mettl8	DEG_down	573	P60	951939	lost_k27ac
Metap1d	DEG_down	573	P60	554246	lost_k27ac
Pdk1	DEG_down	573	P60	134298	lost_k27ac
Rapgef4	DEG_down	573	P60	26282	lost_k27ac
Gpr155	DEG_down	573	P60	1379050	lost_k27ac
Zfp385b	DEG_down	574	P60	13713	stable_k27ac
Zfp385b	DEG_down	575	P60	1614170	lost_k27ac
Itga4	DEG_down	574	P60	1451880	stable_k27ac
Itga4	DEG_down	575	P60	176003	lost_k27ac
Cerkl	DEG_down	574	P60	1653239	stable_k27ac
Cerkl	DEG_down	575	P60	25356	lost_k27ac
Itprid2	DEG_down	574	P60	1831806	stable_k27ac
Itprid2	DEG_down	575	P60	203923	lost_k27ac
Pde1a	DEG_down	575	P60	698029	lost_k27ac
C1qtnf4	DEG_up	576	P60	395028.5	lost_k27ac
C1qtnf4	DEG_up	577	P60	325432.5	lost_k27ac
C1qtnf4	DEG_up	578	P60	67375	stable_k27ac
C1qtnf4	DEG_up	579	P60	18401.5	lost_k27ac
C1qtnf4	DEG_up	580	P60	84852	stable_k27ac
C1qtnf4	DEG_up	581	P60	241577.5	lost_k27ac
C1qtnf4	DEG_up	582	P60	384698	lost_k27ac
C1qtnf4	DEG_up	583	P60	1066279	lost_k27ac
C1qtnf4	DEG_up	584	P60	1516867	stable_k27ac
Mdk	DEG_up	576	P60	1441465.5	lost_k27ac
Mdk	DEG_up	577	P60	1371869.5	lost_k27ac
Mdk	DEG_up	578	P60	1113812	stable_k27ac
Mdk	DEG_up	579	P60	1064838.5	lost_k27ac
Mdk	DEG_up	580	P60	961585	stable_k27ac
Mdk	DEG_up	581	P60	804859.5	lost_k27ac
Mdk	DEG_up	582	P60	661739	lost_k27ac
Mdk	DEG_up	583	P60	19842	lost_k27ac
Mdk	DEG_up	584	P60	470430	stable_k27ac
Mdk	DEG_up	585	P60	1003557.5	lost_k27ac
Mdk	DEG_up	586	P60	1284079	lost_k27ac
Mdk	DEG_up	587	P60	1857561	lost_k27ac
Iftap	DEG_down	499	P60	257805	stable_k27ac
Iftap	DEG_down	500	P60	402596.5	lost_k27ac
Iftap	DEG_down	501	P60	463981	lost_k27ac
Ldlrad3	DEG_down	499	P60	279048	stable_k27ac
Ldlrad3	DEG_down	500	P60	134256.5	lost_k27ac
Ldlrad3	DEG_down	501	P60	72872	lost_k27ac
Them7	DEG_down	502	P60	844380.5	lost_k27ac
Them7	DEG_down	503	P60	469341.5	lost_k27ac
Gpr176	DEG_down	504	P60	172121.5	lost_k27ac
Gpr176	DEG_down	505	P60	1434991.5	gained_k27ac
Eif2ak4	DEG_down	504	P60	156922.5	lost_k27ac
Eif2ak4	DEG_down	505	P60	1419792.5	gained_k27ac
Pak6	DEG_up	504	P60	117762.5	lost_k27ac
Pak6	DEG_up	505	P60	1145107.5	gained_k27ac
Ccdc9b	DEG_down	504	P60	217120.5	lost_k27ac
Ccdc9b	DEG_down	505	P60	1045749.5	gained_k27ac
Ivd	DEG_down	504	P60	316413.5	lost_k27ac
Ivd	DEG_down	505	P60	946456.5	gained_k27ac
Tyro3	DEG_up	504	P60	1252192.5	lost_k27ac
Tyro3	DEG_up	505	P60	10677.5	gained_k27ac
Tyro3	DEG_up	506	P60	1200232	stable_k27ac
Tyro3	DEG_up	507	P60	1501515	stable_k27ac
Ehd4	DEG_down	504	P60	1609065.5	lost_k27ac
Ehd4	DEG_down	505	P60	346195.5	gained_k27ac
Ehd4	DEG_down	506	P60	843359	stable_k27ac
Ehd4	DEG_down	507	P60	1144642	stable_k27ac
Pla2g4e	DEG_down	504	P60	1699794.5	lost_k27ac
Pla2g4e	DEG_down	505	P60	436924.5	gained_k27ac
Pla2g4e	DEG_down	506	P60	752630	stable_k27ac
Pla2g4e	DEG_down	507	P60	1053913	stable_k27ac
Tgm5	DEG_down	505	P60	1277430.5	gained_k27ac
Tgm5	DEG_down	506	P60	87876	stable_k27ac
Tgm5	DEG_down	507	P60	213407	stable_k27ac
Tgm5	DEG_down	508	P60	1277370.5	stable_k27ac
Sema6d	DEG_down	508	P60	1726757.5	stable_k27ac
Fbn1	DEG_down	509	P60	2019018	lost_k27ac
Galk2	DEG_down	509	P60	1667902	lost_k27ac
Fam227b	DEG_down	509	P60	1375007	lost_k27ac
Atp8b4	DEG_down	509	P60	1026337	lost_k27ac
Prom2	DEG_down	509	P60	14456	lost_k27ac
Prom2	DEG_down	510	P60	2029353.5	lost_k27ac
Bcl2l11	DEG_down	509	P60	599027	lost_k27ac
Bcl2l11	DEG_down	510	P60	1444782.5	lost_k27ac
Pcna	DEG_up	511	P60	259116.5	lost_k27ac
Pcna	DEG_up	512	P60	471416.5	lost_k27ac
Lrrn4	DEG_down	511	P60	368460.5	lost_k27ac
Lrrn4	DEG_down	512	P60	156160.5	lost_k27ac
Slx4ip	DEG_down	513	P60	1059817.5	stable_k27ac
Slx4ip	DEG_down	514	P60	980331	gained_k27ac
Slx4ip	DEG_down	515	P60	180175	lost_k27ac
Slx4ip	DEG_down	516	P60	1381278	lost_k27ac
Tcf15	DEG_down	519	P60	557434.5	lost_k27ac
Tcf15	DEG_down	520	P60	651039	lost_k27ac
Tcf15	DEG_down	521	P60	906124	gained_k27ac
Tcf15	DEG_down	522	P60	1362366	lost_k27ac
Tspyl3	DEG_up	519	P60	524445.5	lost_k27ac
Tspyl3	DEG_up	520	P60	430841	lost_k27ac
Tspyl3	DEG_up	521	P60	175756	gained_k27ac
Tspyl3	DEG_up	522	P60	280486	lost_k27ac
Cbfa2t2	DEG_down	519	P60	1735485.5	lost_k27ac
Cbfa2t2	DEG_down	520	P60	1641881	lost_k27ac
Cbfa2t2	DEG_down	521	P60	1386796	gained_k27ac
Cbfa2t2	DEG_down	522	P60	930554	lost_k27ac
Cbfa2t2	DEG_down	523	P60	1190530.5	gained_k27ac
Cbfa2t2	DEG_down	524	P60	1355876.5	stable_k27ac
Necab3	DEG_down	519	P60	1857894.5	lost_k27ac
Necab3	DEG_down	520	P60	1764290	lost_k27ac
Necab3	DEG_down	521	P60	1509205	gained_k27ac
Necab3	DEG_down	522	P60	1052963	lost_k27ac
Necab3	DEG_down	523	P60	1068121.5	gained_k27ac
Necab3	DEG_down	524	P60	1233467.5	stable_k27ac
Necab3	DEG_down	525	P60	1922193	stable_k27ac
Myh7b	DEG_up	523	P60	15799.5	gained_k27ac
Myh7b	DEG_up	524	P60	181145.5	stable_k27ac
Myh7b	DEG_up	525	P60	869871	stable_k27ac
Myh7b	DEG_up	526	P60	1457348.5	stable_k27ac
Mtcl2	DEG_up	523	P60	1452242.5	gained_k27ac
Mtcl2	DEG_up	524	P60	1286896.5	stable_k27ac
Mtcl2	DEG_up	525	P60	598171	stable_k27ac
Mtcl2	DEG_up	526	P60	10693.5	stable_k27ac
D630003M21Rik	DEG_down	525	P60	1748139	stable_k27ac
D630003M21Rik	DEG_down	526	P60	1160661.5	stable_k27ac
Dhx35	DEG_down	526	P60	1726246.5	stable_k27ac
Mafb	DEG_up	527	P60	544055.5	lost_k27ac
Lpin3	DEG_down	527	P60	30450.5	lost_k27ac
Chd6	DEG_down	527	P60	197954.5	lost_k27ac
Cdh22	DEG_down	528	P60	1792901	lost_k27ac
Cdh22	DEG_down	529	P60	1541507.5	lost_k27ac
Cdh22	DEG_down	530	P60	253013	gained_k27ac
Cdh22	DEG_down	531	P60	644533.5	gained_k27ac
Sulf2	DEG_up	530	P60	1173823	gained_k27ac
Sulf2	DEG_up	531	P60	276276.5	gained_k27ac
Sulf2	DEG_up	532	P60	1165308.5	stable_k27ac
Sulf2	DEG_up	533	P60	1311640.5	lost_k27ac
Chrna4	DEG_up	536	P60	222147.5	lost_k27ac
Chrna4	DEG_up	537	P60	150828.5	lost_k27ac
Chrna4	DEG_up	538	P60	96591	lost_k27ac
Chrna4	DEG_up	539	P60	422131.5	lost_k27ac
Sox18	DEG_up	536	P60	850241.5	lost_k27ac
Sox18	DEG_up	537	P60	778922.5	lost_k27ac
Sox18	DEG_up	538	P60	531503	lost_k27ac
Sox18	DEG_up	539	P60	205962.5	lost_k27ac
Il7	DEG_down	616	P60	905620.5	stable_k27ac
Il7	DEG_down	618	P60	947573	lost_k27ac
Hey1	DEG_up	616	P60	147875.5	stable_k27ac
Hey1	DEG_up	618	P60	105923	lost_k27ac
Tpd52	DEG_down	616	P60	485342.5	stable_k27ac
Tpd52	DEG_down	618	P60	443390	lost_k27ac
Mir124-2hg	DEG_down	606	P60	504.5	lost_k27ac
Pcdh18	DEG_up	607	P60	1773666.5	lost_k27ac
Slc7a11	DEG_up	607	P60	1087377.5	lost_k27ac
Slc7a11	DEG_up	608	P60	1652915.5	lost_k27ac
Foxo1	DEG_down	607	P60	737344.5	lost_k27ac
Foxo1	DEG_down	608	P60	171806.5	lost_k27ac
Foxo1	DEG_down	609	P60	789153	stable_k27ac
Foxo1	DEG_down	610	P60	883214.5	lost_k27ac
Rsrc1	DEG_down	613	P60	1616140	gained_k27ac
Ppm1l	DEG_down	613	P60	719331	gained_k27ac
Sptssb	DEG_down	613	P60	1262410	gained_k27ac
Rxfp1	DEG_down	614	P60	200536	lost_k27ac
Pdgfc	DEG_down	614	P60	1499072	lost_k27ac
Lrba	DEG_down	615	P60	2014701.5	gained_k27ac
Lrba	DEG_down	617	P60	839870	lost_k27ac
Lrba	DEG_down	619	P60	1931915.5	lost_k27ac
Lrba	DEG_down	620	P60	1996736	stable_k27ac
Dclk2	DEG_down	617	P60	1536042	lost_k27ac
Dclk2	DEG_down	619	P60	1235743.5	lost_k27ac
Dclk2	DEG_down	620	P60	1300564	stable_k27ac
Dclk2	DEG_down	621	P60	1699100	stable_k27ac
Kirrel1	DEG_up	617	P60	1789937	lost_k27ac
Kirrel1	DEG_up	619	P60	981848.5	lost_k27ac
Kirrel1	DEG_up	620	P60	1046669	stable_k27ac
Kirrel1	DEG_up	621	P60	1445205	stable_k27ac
Nes	DEG_up	619	P60	185517.5	lost_k27ac
Nes	DEG_up	620	P60	250338	stable_k27ac
Nes	DEG_up	621	P60	648874	stable_k27ac
Arhgef2	DEG_up	619	P60	449370.5	lost_k27ac
Arhgef2	DEG_up	620	P60	384550	stable_k27ac
Arhgef2	DEG_up	621	P60	13986	stable_k27ac
Arhgef2	DEG_up	622	P60	1667068.5	lost_k27ac
Efna1	DEG_down	619	P60	1124546.5	lost_k27ac
Efna1	DEG_down	620	P60	1059726	stable_k27ac
Efna1	DEG_down	621	P60	661190	stable_k27ac
Efna1	DEG_down	622	P60	991892.5	lost_k27ac
Slc27a3	DEG_up	621	P60	1769986	stable_k27ac
Slc27a3	DEG_up	622	P60	116903.5	lost_k27ac
Loricrin	DEG_up	622	P60	1810107.5	lost_k27ac
Notch2	DEG_down	624	P60	2003281.5	lost_k27ac
Tent5c	DEG_up	589	P60	1092469.5	stable_k27ac
Tent5c	DEG_up	590	P60	1203997.5	lost_k27ac
Tent5c	DEG_up	591	P60	1316017	stable_k27ac
Igsf3	DEG_down	589	P60	204710.5	stable_k27ac
Igsf3	DEG_down	590	P60	316238.5	lost_k27ac
Igsf3	DEG_down	591	P60	428258	stable_k27ac
Slc22a15	DEG_down	589	P60	342659.5	stable_k27ac
Slc22a15	DEG_down	590	P60	231131.5	lost_k27ac
Slc22a15	DEG_down	591	P60	119112	stable_k27ac
Slc22a15	DEG_down	592	P60	1922129	lost_k27ac
Tspan2	DEG_down	589	P60	1152735.5	stable_k27ac
Tspan2	DEG_down	590	P60	1041207.5	lost_k27ac
Tspan2	DEG_down	591	P60	929188	stable_k27ac
Tspan2	DEG_down	592	P60	1112053	lost_k27ac
Syt6	DEG_down	589	P60	1993437.5	stable_k27ac
Syt6	DEG_down	590	P60	1881909.5	lost_k27ac
Syt6	DEG_down	591	P60	1769890	stable_k27ac
Syt6	DEG_down	592	P60	271351	lost_k27ac
Kcnd3os	DEG_down	592	P60	1606373	lost_k27ac
