18	9	E	-2948412.647884612	82
probinit	1	1.6403082436183326E-286
probinit	2	0.0
probinit	3	1.1035457179736831E-266
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	1.0
probinit	8	3.268329268644961E-185
probinit	9	2.1187456546721414E-214
probinit	10	8.538543962637157E-237
probinit	11	6.848094221338022E-202
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	1.4201333097218539E-202
probinit	16	0.0
probinit	17	0.0
probinit	18	0.0
transitionprobs	6	16	0.0
transitionprobs	6	17	5.108547752188866E-5
transitionprobs	6	18	1.5857763582073284E-4
transitionprobs	7	1	9.092281149076435E-4
transitionprobs	7	2	1.7884482414859642E-4
transitionprobs	7	3	4.787753287509E-4
transitionprobs	7	4	8.126620122319699E-5
transitionprobs	7	5	0.005843640619630323
transitionprobs	7	6	3.108086172735222E-4
transitionprobs	7	7	0.9873045803037044
transitionprobs	7	8	7.725360031374746E-4
transitionprobs	7	9	0.0011905195281420478
transitionprobs	7	10	0.0013990350909264923
transitionprobs	7	11	3.469635744289565E-4
transitionprobs	7	12	8.063174138396406E-5
transitionprobs	7	13	5.107951589714861E-5
transitionprobs	7	14	1.1069531630954039E-4
transitionprobs	7	15	5.868580550167398E-4
transitionprobs	7	16	1.960496532411656E-4
transitionprobs	7	17	4.986018865281687E-5
transitionprobs	7	18	1.0862732322528051E-4
transitionprobs	8	1	3.830495149409947E-4
transitionprobs	8	2	1.4337141074195097E-4
transitionprobs	8	3	0.0013549013409922155
transitionprobs	8	4	1.4188912323457212E-4
transitionprobs	8	5	0.006073092613385802
transitionprobs	8	6	0.04596411607660898
transitionprobs	8	7	0.44667933991053704
transitionprobs	8	8	0.48492136591799007
transitionprobs	8	9	0.004449626730363933
transitionprobs	8	10	0.001563671529781561
transitionprobs	8	11	0.0010921863407245287
transitionprobs	8	12	1.010702081335403E-4
transitionprobs	8	13	4.7486511962638006E-5
transitionprobs	8	14	1.781366730705278E-4
transitionprobs	8	15	0.005227887564138937
transitionprobs	8	16	0.0015554369417207542
transitionprobs	8	17	4.939977943991016E-5
transitionprobs	8	18	7.397181223202545E-5
transitionprobs	9	1	0.001752109598012214
transitionprobs	9	2	2.548440165811664E-4
transitionprobs	9	3	0.00127684673755111
transitionprobs	9	4	4.085098643030919E-4
transitionprobs	9	5	0.013327285814895106
transitionprobs	9	6	0.00571794748750078
transitionprobs	9	7	0.45170666401817494
transitionprobs	9	8	0.0030795646145978387
transitionprobs	9	9	0.5146782554455466
transitionprobs	9	10	0.0010966579688256517
transitionprobs	9	11	0.0015708135869239896
transitionprobs	9	12	3.1640631541748687E-4
transitionprobs	9	13	2.706917057344795E-4
transitionprobs	9	14	3.842659699099207E-4
transitionprobs	9	15	0.0023865340711046843
transitionprobs	9	16	9.752257254424187E-4
transitionprobs	9	17	3.293165188715307E-4
transitionprobs	9	18	4.680605406070291E-4
transitionprobs	10	1	2.83211287443352E-4
transitionprobs	10	2	4.436805786752633E-5
transitionprobs	10	3	3.356581238963218E-4
transitionprobs	10	4	3.348881766246351E-5
transitionprobs	10	5	0.002702019490029945
transitionprobs	10	6	4.624590154457949E-4
transitionprobs	10	7	0.15389036698221628
transitionprobs	10	8	2.2296033430827328E-4
transitionprobs	10	9	1.855878401237423E-4
transitionprobs	10	10	0.8409763717743134
transitionprobs	10	11	9.931009459094083E-5
transitionprobs	10	12	6.938824069073611E-5
transitionprobs	10	13	2.675778919224771E-5
transitionprobs	10	14	1.181482060026429E-4
transitionprobs	10	15	4.336140448020105E-4
transitionprobs	10	16	4.510506645847372E-5
transitionprobs	10	17	8.986027141843804E-6
transitionprobs	10	18	6.219880781426981E-5
transitionprobs	11	1	2.7126103562054207E-4
transitionprobs	11	2	0.0
transitionprobs	11	3	4.042828189184714E-4
transitionprobs	11	4	0.007777944914863467
transitionprobs	11	5	0.0016672758523278194
transitionprobs	11	6	4.879124854747242E-5
transitionprobs	11	7	0.1545363762566513
transitionprobs	11	8	6.638684028365314E-4
transitionprobs	11	9	0.0016441266336046543
transitionprobs	11	10	5.31918506374798E-4
transitionprobs	11	11	0.6268784935519107
transitionprobs	11	12	0.13171351588487132
transitionprobs	11	13	0.012435816955881755
transitionprobs	11	14	7.949085400136905E-5
transitionprobs	11	15	0.0012628698498046182
transitionprobs	11	16	0.04615743730049784
transitionprobs	11	17	0.013847891261172108
transitionprobs	11	18	7.863867211521955E-5
transitionprobs	12	1	2.410767736518046E-5
transitionprobs	12	2	0.0
transitionprobs	12	3	2.483886071346562E-5
transitionprobs	12	4	0.003091819397854743
transitionprobs	12	5	0.02116348699239143
transitionprobs	12	6	6.953216786302415E-4
transitionprobs	12	7	0.025371949899619984
transitionprobs	12	8	1.5503307691886354E-4
transitionprobs	12	9	3.345694938861137E-4
transitionprobs	12	10	5.118831248329476E-5
transitionprobs	12	11	0.08786505671535634
transitionprobs	12	12	0.8376051662828227
transitionprobs	12	13	0.0186192230926051
transitionprobs	12	14	2.923917991302582E-4
transitionprobs	12	15	2.6110608572231646E-5
transitionprobs	12	16	0.0013950891614536048
transitionprobs	12	17	0.003260502348753152
transitionprobs	12	18	2.4144601443424064E-5
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	5.505364246117738E-5
transitionprobs	13	5	0.011759449656160577
transitionprobs	13	6	1.92061919804664E-4
transitionprobs	13	7	0.011431526711758653
transitionprobs	13	8	0.0
transitionprobs	13	9	1.9269620462922636E-4
transitionprobs	13	10	3.49449992149883E-5
transitionprobs	13	11	0.007055946873629588
transitionprobs	13	12	0.014164892581952226
transitionprobs	13	13	0.8344637480328981
transitionprobs	13	14	0.013586951871893788
transitionprobs	13	15	0.004516589397885118
transitionprobs	13	16	0.09018645347296608
transitionprobs	13	17	0.012285783200330757
transitionprobs	13	18	7.390143441499823E-5
transitionprobs	14	1	4.2789661002769886E-4
transitionprobs	14	2	0.0
transitionprobs	14	3	7.44301189588874E-5
transitionprobs	14	4	2.096674095054963E-4
transitionprobs	14	5	0.031232837645746858
transitionprobs	14	6	3.1914923556426006E-4
transitionprobs	14	7	0.023195196948194104
transitionprobs	14	8	2.9061974692850897E-5
transitionprobs	14	9	2.3917749831614345E-4
transitionprobs	14	10	2.1836060562586222E-4
transitionprobs	14	11	0.0
transitionprobs	14	12	1.7598422817179723E-4
transitionprobs	14	13	0.01179235714893361
transitionprobs	14	14	0.8165342741907432
transitionprobs	14	15	0.10684391536798082
transitionprobs	14	16	0.0015425956223356456
transitionprobs	14	17	0.00131151645637918
transitionprobs	14	18	0.005853578938823416
transitionprobs	15	1	0.0015233111475814569
transitionprobs	15	2	8.215481087748858E-5
transitionprobs	15	3	3.762760206414005E-4
transitionprobs	15	4	2.8429080867426808E-5
transitionprobs	15	5	0.005435842662065083
transitionprobs	15	6	1.2312969182621533E-4
transitionprobs	15	7	0.12102137920804905
transitionprobs	15	8	0.0019106176741175188
transitionprobs	15	9	0.0011054425809112912
transitionprobs	15	10	6.080326474874062E-4
transitionprobs	15	11	6.134703236258181E-4
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0036111441166822417
transitionprobs	15	14	0.10277688583068312
transitionprobs	15	15	0.7264173210401293
transitionprobs	15	16	0.019528586226777334
transitionprobs	15	17	0.002871400439688558
transitionprobs	15	18	0.01196657649798927
transitionprobs	16	1	2.1749743490341177E-5
transitionprobs	16	2	0.0
transitionprobs	16	3	0.0
transitionprobs	16	4	1.6125367141062166E-5
transitionprobs	16	5	0.0011693828377793707
transitionprobs	16	6	7.715713777541955E-5
transitionprobs	16	7	0.04641234475539003
transitionprobs	16	8	5.059547818372844E-4
transitionprobs	16	9	5.856493916978955E-4
transitionprobs	16	10	6.0868612931284904E-5
transitionprobs	16	11	0.025395877253374364
transitionprobs	16	12	0.0012089737869858824
transitionprobs	16	13	0.10135616838856724
transitionprobs	16	14	0.001665712726208061
transitionprobs	16	15	0.023206233064122207
transitionprobs	16	16	0.7804063637094855
transitionprobs	16	17	0.017713282352487182
transitionprobs	16	18	1.9815609072688112E-4
transitionprobs	17	1	2.2348298440685088E-5
transitionprobs	17	2	4.144942716904103E-4
transitionprobs	17	3	0.003453195459054637
transitionprobs	17	4	0.0029268591997003964
transitionprobs	17	5	0.0028564366063187304
transitionprobs	17	6	1.4874135925467693E-4
transitionprobs	17	7	0.011956497411421454
transitionprobs	17	8	2.1600825091647955E-5
transitionprobs	17	9	1.3309870730436499E-4
transitionprobs	17	10	2.296717226608596E-5
transitionprobs	17	11	0.007898878608018762
transitionprobs	17	12	0.002824546427621265
transitionprobs	17	13	0.013291175730712994
transitionprobs	17	14	0.0015955497035963554
transitionprobs	17	15	0.003991830743037768
transitionprobs	17	16	0.018918687019618328
transitionprobs	17	17	0.9203060034612736
transitionprobs	17	18	0.009217088995577936
transitionprobs	18	1	0.004724984199922076
transitionprobs	18	2	0.013065960215637494
transitionprobs	18	3	0.01652260705945266
transitionprobs	18	4	0.00669620121285237
transitionprobs	18	5	0.0029625091913273185
transitionprobs	18	6	8.014052724572469E-5
transitionprobs	18	7	0.02562798791290434
transitionprobs	18	8	1.0087522378440972E-4
transitionprobs	18	9	1.9089966513733675E-4
transitionprobs	18	10	5.808198787751827E-5
transitionprobs	18	11	0.0
transitionprobs	18	12	0.0
transitionprobs	18	13	0.0
transitionprobs	18	14	0.006515313409538019
transitionprobs	18	15	0.013788471146762463
transitionprobs	18	16	1.1112879470366524E-4
transitionprobs	18	17	0.009005809168519724
transitionprobs	18	18	0.900549030284335
emissionprobs	1	0	ATAC	0	0.9897518086916817
emissionprobs	1	0	ATAC	1	0.010248191308318355
emissionprobs	1	1	CTCF	0	0.9928691962929267
emissionprobs	1	1	CTCF	1	0.00713080370707333
emissionprobs	1	2	H2AK119ub	0	1.0
emissionprobs	1	2	H2AK119ub	1	9.445229105917771E-101
emissionprobs	1	3	H3K27ac	0	1.0
emissionprobs	1	3	H3K27ac	1	4.3577236470100475E-60
emissionprobs	1	4	H3K27me3	0	0.005838826502969321
emissionprobs	1	4	H3K27me3	1	0.9941611734970307
emissionprobs	1	5	H3K4me1	0	0.9532489552763599
emissionprobs	1	5	H3K4me1	1	0.0467510447236401
emissionprobs	1	6	H3K4me3	0	0.9998042244943364
emissionprobs	1	6	H3K4me3	1	1.9577550566364513E-4
emissionprobs	1	7	H3K9ac	0	0.9999993690678669
emissionprobs	1	7	H3K9ac	1	6.309321330197126E-7
emissionprobs	1	8	H3K9me3	0	0.9875867692044614
emissionprobs	1	8	H3K9me3	1	0.012413230795538674
emissionprobs	2	0	ATAC	0	0.987747252903026
emissionprobs	2	0	ATAC	1	0.012252747096973953
emissionprobs	2	1	CTCF	0	0.9863966872058243
emissionprobs	2	1	CTCF	1	0.01360331279417574
emissionprobs	2	2	H2AK119ub	0	0.001471813236292277
emissionprobs	2	2	H2AK119ub	1	0.9985281867637078
emissionprobs	2	3	H3K27ac	0	0.9987341729385796
emissionprobs	2	3	H3K27ac	1	0.00126582706142052
emissionprobs	2	4	H3K27me3	0	2.045697815085892E-4
emissionprobs	2	4	H3K27me3	1	0.9997954302184914
emissionprobs	2	5	H3K4me1	0	0.9999999519477739
emissionprobs	2	5	H3K4me1	1	4.805222601252904E-8
emissionprobs	2	6	H3K4me3	0	0.9984781140890789
emissionprobs	2	6	H3K4me3	1	0.0015218859109211347
emissionprobs	2	7	H3K9ac	0	1.0
emissionprobs	2	7	H3K9ac	1	8.752693652622842E-64
emissionprobs	2	8	H3K9me3	0	0.9830769770719959
emissionprobs	2	8	H3K9me3	1	0.01692302292800404
emissionprobs	3	0	ATAC	0	0.9814289471867395
emissionprobs	3	0	ATAC	1	0.01857105281326046
emissionprobs	3	1	CTCF	0	0.9822628116497111
emissionprobs	3	1	CTCF	1	0.017737188350288903
emissionprobs	3	2	H2AK119ub	0	0.006162371851264843
emissionprobs	3	2	H2AK119ub	1	0.9938376281487351
emissionprobs	3	3	H3K27ac	0	0.9837922407783807
emissionprobs	3	3	H3K27ac	1	0.016207759221619353
emissionprobs	3	4	H3K27me3	0	1.0
emissionprobs	3	4	H3K27me3	1	7.251786865853294E-26
emissionprobs	3	5	H3K4me1	0	1.0
emissionprobs	3	5	H3K4me1	1	3.3005964070950903E-31
emissionprobs	3	6	H3K4me3	0	0.9987414885383041
emissionprobs	3	6	H3K4me3	1	0.00125851146169584
emissionprobs	3	7	H3K9ac	0	1.0
emissionprobs	3	7	H3K9ac	1	1.306314866106924E-50
emissionprobs	3	8	H3K9me3	0	0.9801981263280813
emissionprobs	3	8	H3K9me3	1	0.0198018736719187
emissionprobs	4	0	ATAC	0	0.7933356733496906
emissionprobs	4	0	ATAC	1	0.20666432665030945
emissionprobs	4	1	CTCF	0	0.9652961354338266
emissionprobs	4	1	CTCF	1	0.03470386456617342
emissionprobs	4	2	H2AK119ub	0	0.0020466270859692383
emissionprobs	4	2	H2AK119ub	1	0.9979533729140307
emissionprobs	4	3	H3K27ac	0	0.8809758690854526
emissionprobs	4	3	H3K27ac	1	0.11902413091454747
emissionprobs	4	4	H3K27me3	0	0.6730983817987795
emissionprobs	4	4	H3K27me3	1	0.32690161820122055
emissionprobs	4	5	H3K4me1	0	4.533685097820732E-12
emissionprobs	4	5	H3K4me1	1	0.9999999999954663
emissionprobs	4	6	H3K4me3	0	0.9977402435282804
emissionprobs	4	6	H3K4me3	1	0.002259756471719596
emissionprobs	4	7	H3K9ac	0	1.0
emissionprobs	4	7	H3K9ac	1	4.0424458991696794E-133
emissionprobs	4	8	H3K9me3	0	0.9787713623722764
emissionprobs	4	8	H3K9me3	1	0.021228637627723566
emissionprobs	5	0	ATAC	0	1.0
emissionprobs	5	0	ATAC	1	4.601328865156931E-28
emissionprobs	5	1	CTCF	0	0.9952064484976515
emissionprobs	5	1	CTCF	1	0.004793551502348499
emissionprobs	5	2	H2AK119ub	0	1.0
emissionprobs	5	2	H2AK119ub	1	1.0038196264409175E-154
emissionprobs	5	3	H3K27ac	0	1.0
emissionprobs	5	3	H3K27ac	1	1.3078663926689398E-117
emissionprobs	5	4	H3K27me3	0	1.0
emissionprobs	5	4	H3K27me3	1	2.4427619639547967E-47
emissionprobs	5	5	H3K4me1	0	2.7451104393469375E-37
emissionprobs	5	5	H3K4me1	1	1.0
emissionprobs	5	6	H3K4me3	0	0.9963902747374485
emissionprobs	5	6	H3K4me3	1	0.0036097252625515762
emissionprobs	5	7	H3K9ac	0	1.0
emissionprobs	5	7	H3K9ac	1	2.901953029093607E-128
emissionprobs	5	8	H3K9me3	0	0.9999824588207
emissionprobs	5	8	H3K9me3	1	1.7541179300051047E-5
emissionprobs	6	0	ATAC	0	0.02022941147692601
emissionprobs	6	0	ATAC	1	0.979770588523074
emissionprobs	6	1	CTCF	0	0.8508342783079925
emissionprobs	6	1	CTCF	1	0.14916572169200748
emissionprobs	6	2	H2AK119ub	0	0.9999917788545281
emissionprobs	6	2	H2AK119ub	1	8.22114547185614E-6
emissionprobs	6	3	H3K27ac	0	1.0
emissionprobs	6	3	H3K27ac	1	1.4474947884996333E-163
emissionprobs	6	4	H3K27me3	0	1.0
emissionprobs	6	4	H3K27me3	1	5.886178051580748E-71
emissionprobs	6	5	H3K4me1	0	2.337355578466023E-43
emissionprobs	6	5	H3K4me1	1	1.0
emissionprobs	6	6	H3K4me3	0	0.9996647767883542
emissionprobs	6	6	H3K4me3	1	3.3522321164586555E-4
emissionprobs	6	7	H3K9ac	0	1.0
emissionprobs	6	7	H3K9ac	1	1.792275388359199E-134
emissionprobs	6	8	H3K9me3	0	0.9953560121878571
emissionprobs	6	8	H3K9me3	1	0.004643987812142829
emissionprobs	7	0	ATAC	0	1.0
emissionprobs	7	0	ATAC	1	6.700466453269402E-36
emissionprobs	7	1	CTCF	0	1.0
emissionprobs	7	1	CTCF	1	6.527885742629862E-79
emissionprobs	7	2	H2AK119ub	0	1.0
emissionprobs	7	2	H2AK119ub	1	3.776141644529428E-177
emissionprobs	7	3	H3K27ac	0	1.0
emissionprobs	7	3	H3K27ac	1	3.442309810900616E-215
emissionprobs	7	4	H3K27me3	0	1.0
emissionprobs	7	4	H3K27me3	1	9.223310200105558E-166
emissionprobs	7	5	H3K4me1	0	1.0
emissionprobs	7	5	H3K4me1	1	1.7074213007858342E-101
emissionprobs	7	6	H3K4me3	0	1.0
emissionprobs	7	6	H3K4me3	1	2.906790209134429E-56
emissionprobs	7	7	H3K9ac	0	1.0
emissionprobs	7	7	H3K9ac	1	1.4743819406596697E-190
emissionprobs	7	8	H3K9me3	0	1.0
emissionprobs	7	8	H3K9me3	1	2.4523913991183735E-162
emissionprobs	8	0	ATAC	0	0.01801290430868493
emissionprobs	8	0	ATAC	1	0.9819870956913151
emissionprobs	8	1	CTCF	0	0.660384793089219
emissionprobs	8	1	CTCF	1	0.3396152069107809
emissionprobs	8	2	H2AK119ub	0	1.0
emissionprobs	8	2	H2AK119ub	1	3.433023408453964E-62
emissionprobs	8	3	H3K27ac	0	1.0
emissionprobs	8	3	H3K27ac	1	9.929959584774528E-87
emissionprobs	8	4	H3K27me3	0	1.0
emissionprobs	8	4	H3K27me3	1	1.1479394511306486E-184
emissionprobs	8	5	H3K4me1	0	1.0
emissionprobs	8	5	H3K4me1	1	5.372569680218418E-34
emissionprobs	8	6	H3K4me3	0	1.0
emissionprobs	8	6	H3K4me3	1	1.5697613064664698E-39
emissionprobs	8	7	H3K9ac	0	1.0
emissionprobs	8	7	H3K9ac	1	7.041134617813983E-89
emissionprobs	8	8	H3K9me3	0	0.9994716882491865
emissionprobs	8	8	H3K9me3	1	5.283117508134619E-4
emissionprobs	9	0	ATAC	0	0.9638706521174196
emissionprobs	9	0	ATAC	1	0.0361293478825803
emissionprobs	9	1	CTCF	0	0.006052428349549009
emissionprobs	9	1	CTCF	1	0.9939475716504509
emissionprobs	9	2	H2AK119ub	0	1.0
emissionprobs	9	2	H2AK119ub	1	2.0414915702812697E-80
emissionprobs	9	3	H3K27ac	0	1.0
emissionprobs	9	3	H3K27ac	1	6.753222084251072E-53
emissionprobs	9	4	H3K27me3	0	1.0
emissionprobs	9	4	H3K27me3	1	9.748602621942978E-56
emissionprobs	9	5	H3K4me1	0	0.9779868977930064
emissionprobs	9	5	H3K4me1	1	0.022013102206993523
emissionprobs	9	6	H3K4me3	0	1.0
emissionprobs	9	6	H3K4me3	1	3.2828682096508413E-53
emissionprobs	9	7	H3K9ac	0	1.0
emissionprobs	9	7	H3K9ac	1	7.607743002090775E-58
emissionprobs	9	8	H3K9me3	0	0.9999059085391391
emissionprobs	9	8	H3K9me3	1	9.409146086086717E-5
emissionprobs	10	0	ATAC	0	0.9843906818761347
emissionprobs	10	0	ATAC	1	0.015609318123865358
emissionprobs	10	1	CTCF	0	0.997781990316286
emissionprobs	10	1	CTCF	1	0.0022180096837140775
emissionprobs	10	2	H2AK119ub	0	0.9999669525265376
emissionprobs	10	2	H2AK119ub	1	3.3047473462377374E-5
emissionprobs	10	3	H3K27ac	0	1.0
emissionprobs	10	3	H3K27ac	1	9.698499319324804E-105
emissionprobs	10	4	H3K27me3	0	1.0
emissionprobs	10	4	H3K27me3	1	7.798330271759002E-115
emissionprobs	10	5	H3K4me1	0	0.9689896993574527
emissionprobs	10	5	H3K4me1	1	0.031010300642547298
emissionprobs	10	6	H3K4me3	0	1.0
emissionprobs	10	6	H3K4me3	1	3.014630390384294E-98
emissionprobs	10	7	H3K9ac	0	1.0
emissionprobs	10	7	H3K9ac	1	6.774795655998146E-88
emissionprobs	10	8	H3K9me3	0	0.009578836597846708
emissionprobs	10	8	H3K9me3	1	0.9904211634021532
emissionprobs	11	0	ATAC	0	0.9518090036279993
emissionprobs	11	0	ATAC	1	0.04819099637200068
emissionprobs	11	1	CTCF	0	0.984641898995659
emissionprobs	11	1	CTCF	1	0.015358101004341073
emissionprobs	11	2	H2AK119ub	0	0.9513742376938731
emissionprobs	11	2	H2AK119ub	1	0.04862576230612693
emissionprobs	11	3	H3K27ac	0	0.028747008428547285
emissionprobs	11	3	H3K27ac	1	0.9712529915714526
emissionprobs	11	4	H3K27me3	0	0.9977490829027774
emissionprobs	11	4	H3K27me3	1	0.002250917097222567
emissionprobs	11	5	H3K4me1	0	1.0
emissionprobs	11	5	H3K4me1	1	1.533080731491007E-30
emissionprobs	11	6	H3K4me3	0	0.9543294000356015
emissionprobs	11	6	H3K4me3	1	0.04567059996439851
emissionprobs	11	7	H3K9ac	0	1.0
emissionprobs	11	7	H3K9ac	1	2.0426697604433E-21
emissionprobs	11	8	H3K9me3	0	0.9886543302655704
emissionprobs	11	8	H3K9me3	1	0.01134566973442964
emissionprobs	12	0	ATAC	0	0.7570125067996056
emissionprobs	12	0	ATAC	1	0.2429874932003944
emissionprobs	12	1	CTCF	0	0.9761628227476091
emissionprobs	12	1	CTCF	1	0.02383717725239086
emissionprobs	12	2	H2AK119ub	0	0.9999184010178328
emissionprobs	12	2	H2AK119ub	1	8.15989821672352E-5
emissionprobs	12	3	H3K27ac	0	0.0012626382339401008
emissionprobs	12	3	H3K27ac	1	0.99873736176606
emissionprobs	12	4	H3K27me3	0	0.9986553907683744
emissionprobs	12	4	H3K27me3	1	0.001344609231625673
emissionprobs	12	5	H3K4me1	0	6.020577793388405E-47
emissionprobs	12	5	H3K4me1	1	1.0
emissionprobs	12	6	H3K4me3	0	0.9830736153629811
emissionprobs	12	6	H3K4me3	1	0.016926384637018912
emissionprobs	12	7	H3K9ac	0	1.0
emissionprobs	12	7	H3K9ac	1	1.5980836143262043E-94
emissionprobs	12	8	H3K9me3	0	0.9887919710940433
emissionprobs	12	8	H3K9me3	1	0.011208028905956732
emissionprobs	13	0	ATAC	0	0.7902443789263147
emissionprobs	13	0	ATAC	1	0.20975562107368534
emissionprobs	13	1	CTCF	0	0.9682802073479031
emissionprobs	13	1	CTCF	1	0.03171979265209687
emissionprobs	13	2	H2AK119ub	0	1.0
emissionprobs	13	2	H2AK119ub	1	1.8703933174133796E-109
emissionprobs	13	3	H3K27ac	0	9.642747144157901E-27
emissionprobs	13	3	H3K27ac	1	1.0
emissionprobs	13	4	H3K27me3	0	0.9962136850472245
emissionprobs	13	4	H3K27me3	1	0.0037863149527754924
emissionprobs	13	5	H3K4me1	0	5.198277907178234E-29
emissionprobs	13	5	H3K4me1	1	1.0
emissionprobs	13	6	H3K4me3	0	0.6848695900678863
emissionprobs	13	6	H3K4me3	1	0.31513040993211383
emissionprobs	13	7	H3K9ac	0	3.7115865950164043E-4
emissionprobs	13	7	H3K9ac	1	0.9996288413404983
emissionprobs	13	8	H3K9me3	0	0.9826454654505751
emissionprobs	13	8	H3K9me3	1	0.017354534549424937
emissionprobs	14	0	ATAC	0	0.8598863003296432
emissionprobs	14	0	ATAC	1	0.1401136996703568
emissionprobs	14	1	CTCF	0	0.9651228838195929
emissionprobs	14	1	CTCF	1	0.034877116180407106
emissionprobs	14	2	H2AK119ub	0	1.0
