id,name,definition
prelude_naive_resolve_resolved_reads_percentage,Percentage of reads that resolve naively,The percentage of trimmed reads that can be resolved into genetic and epigenetic sequences without prior pairwise alignment
prelude_biopython_resolve_attempted_resolve_reads,Reads to rescue via pairwise alignment,The total number of reads for which a pairwise alignment will be attempted in order to resolve into genetic and epigenetic sequences
prelude_biopython_resolve_attempted_resolve_reads_percentage,Percentage of reads to rescue via pairwise alignment,The percentage of trimmed reads for which a pairwise alignment will be attempted in order to resolve into genetic and epigenetic sequences
prelude_biopython_resolve_resolved_reads,Reads rescued via pairwise alignment,The number of reads that were able to be resolved into genetic and epigenetic sequences after a pairwise alignment
prelude_biopython_resolve_resolved_reads_percentage,Percentage of reads rescued via pairwise alignment,The percentage of reads for which a pairwise alignment was attempted that were able to be resolved into genetic and epigenetic sequences after a pairwise alignment
prelude_general_stats_total_reads_retained,Total resolved reads,The total number of resolved reads usable for downstream analysis (made up of those that resolved naively and those that were rescued)
prelude_general_stats_reads_remaining_before_compute_mm_tag_percentage,Percentage of trimmed reads that resolve,"The percentage of trimmed, quality-filtered reads usable for downstream analysis (made up of those that resolved naively and those that were rescued)"
prelude_general_stats_total_reads_retained_percentage,Percentage of input reads that resolve,The percentage of the total input read pairs in the initial input FASTQ files that remains as resolved reads after processing through the resolution algorithm
prelude_general_stats_create_resolved_read_discarded,Total discarded reads in resolution,"The total number of trimmed, quality-filtered reads discarded as not representing the expected construct / format to resolve into genetic / epigenetic sequences"
prelude_general_stats_create_resolved_read_discarded_percentage,Percentage of trimmed reads that are discarded,"The percentage of trimmed, quality-filtered reads discarded as not representing the expected construct / format to resolve into genetic / epigenetic sequences"
prelude_general_stats_rr_total_bases_retained_percentage,Percentage of trimmed bases that resolve,"The percentage of trimmed, quality-filtered bases available for downstream analysis after resolution and further trimming"
fraction_of_pipeline_input_prelude_general_stats_rr_total_bases_retained,Percentage of input bases that resolve,The percentage of the total input base-pairs in the initial input FASTQ files that remains as resolved bases after processing through the resolution algorithm
prelude_general_stats_total_reads_processed,Total input read pairs,The total number of read-pairs (R1/R2 read-pairs) provided as input to the pipeline 
prelude_trimming_reads_discarded,Reads discarded during trimming,Number of read-pairs filtered out after trimming as too short or having too many N
prelude_general_stats_r1_total_bases_processed,R1 processed bases,Total number of R1 bases provided as input to the pipeline
prelude_general_stats_r2_total_bases_processed,R2 processed bases,Total number of R2 bases provided as input to the pipeline
prelude_hp_trim_r1_adapters_found,R1 hairpins trimmed,Total number of hairpins trimmed from R1
prelude_hp_trim_r2_adapters_found,R2 hairpins trimmed,Total number of hairpins trimmed from R2
prelude_polyg_trim_r1_adapters_found,R1 poly-G tails trimmed,"Total number of R1 poly-G tails trimmed. If 9 or more consecutive G's are observed at the end of a read, then these as inferred to be an artefact of sequencing and are trimmed off."
prelude_polyg_trim_r2_adapters_found,R2 poly-G tails trimmed,"Total number of R2 poly-G tails trimmed. If 9 or more consecutive G's are observed at the end of a read, then these as inferred to be an artefact of sequencing and are trimmed off."
fraction_of_pipeline_input_prelude_naive_resolve_attempted_resolve_reads,Percentage of input reads remaining after trimming and quality filtering,The percentage of the total input reads in the initial input FASTQ files that is remaining after initial trimming and quality filtering in the prelude module
fraction_of_pipeline_input_prelude_naive_resolve_attempted_resolve_bases,Percentage of input bases remaining after trimming and quality filtering,The percentage of the total input bases in the initial input FASTQ files that is remaining after initial trimming and quality filtering in the prelude module
