TargetGene	max_delta_abc	log2FC	padj	n_enhancers	top_enh_distance	concordance	n_gained	n_lost	sum_delta_abc	sum_abc_wt	sum_abc_ko	n_enh_positive_dabc	n_enh_negative_dabc	frac_agree_max	strongest_enh_class
Ano5	-0.012534	-0.561652	0.00267	3	350914.5	Concordant	0	1	-0.022072	0.123677	0.101605	0	3	1	NA
Aoc2	0.015919	0.817992	0.001562	9	205114	Concordant	2	0	0.04147	0.266187	0.307657	6	3	0.666666666666667	NA
Aox1	-0.062806	-0.949735	0	5	15775	Concordant	3	1	0.001764	0.28283	0.284594	4	1	0.2	Activity_Lost
Ap1s3	0.082658	-1.530287	0	13	1014041.5	Discordant	3	4	0.027232	0.462752	0.489984	5	8	0.384615384615385	NA
Ap3b1	0.018263	-0.711172	0	7	73299	Discordant	2	2	0.016836	0.34391	0.360746	5	2	0.714285714285714	NA
Aph1c	-0.024749	-0.637736	0.007148	9	39159.5	Concordant	1	2	-0.003081	0.354966	0.351885	5	4	0.444444444444444	NA
Apln	0.028725	-0.78802	0.000309	13	1515	Discordant	2	5	-0.026808	0.685502	0.658694	7	6	0.538461538461538	Activity_Lost
Aqp2	-0.031191	-1.612096	0.0023	13	20831	Concordant	1	2	-0.023337	0.531325	0.507988	8	5	0.384615384615385	Activity_Lost
Aqp5	-0.049796	-1.231687	0	12	9104	Concordant	1	1	-0.031092	0.666685	0.635593	7	5	0.416666666666667	Activity_Lost
Aqp6	-0.041834	-1.194074	0	7	1514	Concordant	0	3	-0.054497	0.369814	0.315317	3	4	0.571428571428571	Activity_Lost
Arc	0.017403	0.53498	0.022695	6	4678	Concordant	2	0	0.015187	0.408213	0.4234	3	3	0.5	Stable
Arg2	0.022967	0.690896	0	7	178039	Concordant	1	1	0.005191	0.316768	0.321959	4	3	0.571428571428571	Stable
Arhgap19	-0.026659	-0.750936	0.010155	9	27870.5	Concordant	1	1	-0.006427	0.368837	0.36241	5	4	0.444444444444444	NA
Arhgef15	-0.199075	-0.773753	0.000113	9	10549	Concordant	0	9	-0.459002	0.459002	0	0	9	1	NA
Arhgef17	0.034757	0.617704	5.5e-05	11	37789	Concordant	4	1	0.086624	0.284824	0.371448	8	3	0.727272727272727	Activity_Gain
Arhgef25	0.022396	0.801177	0	10	2477	Concordant	3	0	0.069656	0.52203	0.591686	7	3	0.7	Activity_Gain
Arhgef37	0.028894	-0.599008	3e-06	10	18644.5	Discordant	2	3	-0.009428	0.472639	0.463211	4	6	0.4	NA
Arhgef39	-0.063117	-1.24571	0.001572	7	7224	Concordant	1	1	-0.029664	0.623865	0.594201	3	4	0.571428571428571	NA
Arl6	0.011677	-0.522901	1.3e-05	7	911415.5	Discordant	1	1	-0.002012	0.176164	0.174152	3	4	0.428571428571429	NA
Armc2	-0.034173	-0.722651	0	10	83488	Concordant	3	2	-0.010201	0.475113	0.464912	6	4	0.4	Activity_Lost
Asap2	0.053181	-0.583846	4.2e-05	14	427180.5	Discordant	4	4	0.02821	0.495859	0.524069	7	7	0.5	NA
Astn1	-0.012025	-0.537957	0	5	386315	Concordant	1	1	-0.008927	0.487138	0.478211	2	3	0.6	K119ub_Only
Atoh8	-0.023107	-0.556141	0.011298	12	18681	Concordant	1	2	0.005356	0.65929	0.664646	7	5	0.416666666666667	Stable
Atp10a	0.223782	0.52828	1.5e-05	9	2264	Concordant	9	0	0.829644	0	0.829644	9	0	1	NA
Atp2b4	-0.028203	-2.576379	0	9	72279	Concordant	0	3	-0.064707	0.218096	0.153389	2	7	0.777777777777778	Activity_Lost
Atrnl1	-0.031035	0.777725	0	8	399171	Discordant	0	1	-0.031643	0.263648	0.232005	3	5	0.625	Stable
B230110C06Rik	-0.039946	-0.803399	1.4e-05	4	655565	Concordant	2	1	0.00979	0.601734	0.611524	3	1	0.25	K119ub_Only
B230217O12Rik	-0.01572	-0.505559	0.030944	5	148913	Concordant	0	2	-0.011901	0.155061	0.14316	3	2	0.4	Stable
B3gat2	-0.035573	-0.582353	0	12	60071	Concordant	2	4	-0.027788	0.662699	0.634911	5	7	0.583333333333333	Activity_Lost
BB218582	0.024212	-1.518048	0.002248	7	43028.5	Discordant	3	0	0.075347	0.236367	0.311714	6	1	0.857142857142857	NA
BB557941	-0.032764	-0.950832	0.038869	8	718828	Concordant	2	3	-0.003649	0.487669	0.48402	3	5	0.625	Activity_Lost
Bach2	0.053243	-0.652113	6.9e-05	12	814	Discordant	2	3	0.039649	0.564335	0.603984	6	6	0.5	Stable
Barhl1	-0.018216	0.745926	0	5	49125	Discordant	2	1	0.007493	0.144135	0.151628	3	2	0.4	Stable
Barhl2	0.036161	-1.119654	0	12	4555.5	Discordant	3	6	-0.05537	0.636095	0.580725	3	9	0.25	NA
Bbs9	0.010548	-0.80531	0	2	64167.5	Discordant	1	0	0.011062	0.132615	0.143677	2	0	1	NA
Bcl11b	0.056242	1.017281	0.004015	9	195811	Concordant	5	3	0.068169	0.350438	0.418607	5	4	0.555555555555556	Activity_Gain
Bcl6	-0.037556	-0.517404	2.1e-05	13	471440	Concordant	4	1	-0.015646	0.74658	0.730934	5	8	0.615384615384615	Activity_Lost
Bdnf	0.030905	-1.362386	0	8	2708	Discordant	2	3	-0.00541	0.7966	0.79119	2	6	0.25	Stable
Bend4	0.025272	1.154178	0	9	2625001	Concordant	1	4	-0.047029	0.274043	0.227014	2	7	0.222222222222222	NA
Bend7	-0.051603	1.821016	0	9	1204920.5	Discordant	3	4	-0.058316	0.373124	0.314808	3	6	0.666666666666667	NA
Bhlha9	-0.014867	-2.266634	0.003136	7	1940	Concordant	2	1	0.015623	0.246145	0.261768	5	2	0.285714285714286	Activity_Lost
Bicc1	-0.014787	0.531714	6e-06	7	78515	Discordant	0	2	-0.039833	0.339763	0.29993	2	5	0.714285714285714	NA
Bmerb1	0.027631	0.54715	0	7	65808	Concordant	1	4	-0.049469	0.342653	0.293184	1	6	0.142857142857143	Stable
Bmf	-0.038052	-0.77625	1e-06	5	4091	Concordant	1	2	-0.016788	0.557574	0.540786	3	2	0.4	Activity_Lost
Bmp5	-0.075073	-3.439223	0	10	3700	Concordant	3	4	-0.106552	0.616963	0.510411	6	4	0.4	NA
Bmper	-0.069563	1.036036	0	6	160454	Discordant	1	2	-0.10638	0.303083	0.196703	1	5	0.833333333333333	Stable
Boc	-0.064703	-0.871549	0	10	73740	Concordant	2	2	-0.023094	0.615357	0.592263	5	5	0.5	Activity_Lost
Bora	0.024248	-0.552828	1.2e-05	4	4023958.5	Discordant	2	1	0.021599	0.258007	0.279606	2	2	0.5	NA
Brinp1	0.046033	-0.508185	0.013133	11	3685	Discordant	4	6	-0.020111	0.588734	0.568623	4	7	0.363636363636364	Stable
Brinp2	-0.01487	-0.542545	0.001889	5	154526	Concordant	2	1	0.006871	0.363577	0.370448	3	2	0.4	Stable
Brinp3	0.022231	-1.207464	3.4e-05	2	3898199.5	Discordant	2	0	0.036612	0.461124	0.497736	2	0	1	NA
Btbd17	-0.031525	-0.577169	0.000622	11	6950	Concordant	0	2	-0.060766	0.444118	0.383352	5	6	0.545454545454545	Activity_Lost
C130073E24Rik	-0.035114	1.25	0.001404	7	3612793.5	Discordant	1	4	-0.065218	0.401403	0.336185	2	5	0.714285714285714	NA
C1qtnf4	0.048001	0.676152	0	11	798	Concordant	1	1	0.034945	0.489017	0.523962	7	4	0.636363636363636	NA
C230014O12Rik	-0.016666	-0.94153	0.001677	6	3709	Concordant	1	3	-0.014372	0.256675	0.242303	3	3	0.5	NA
C2cd4d	-0.01777	-0.916266	0.032119	12	11457	Concordant	0	2	-0.038787	0.634658	0.595871	4	8	0.666666666666667	Activity_Lost
Cabp2	-0.045713	-2.23934	0	8	1135	Concordant	0	2	-0.042408	0.606477	0.564069	5	3	0.375	Activity_Lost
Cabp4	0.011771	0.786901	0.0264	13	46870.5	Concordant	1	1	0.020337	0.550414	0.570751	6	7	0.461538461538462	NA
Cacng8	0.028758	0.565636	0.003493	13	254395	Concordant	4	2	0.077081	0.482789	0.55987	10	3	0.769230769230769	NA
Cadm2	-0.0217	-0.905967	0.000506	5	9566	Concordant	0	4	-0.085652	0.238706	0.153054	0	5	1	Activity_Lost
Cald1	-0.033244	-1.112009	0	9	4972	Concordant	3	3	-0.058143	0.500094	0.441951	3	6	0.666666666666667	Stable
Camkv	0.012671	1.375943	0.002426	10	222231	Concordant	4	1	0.021148	0.312174	0.333322	5	5	0.5	Stable
Capn12	0.078417	0.770911	0.001501	14	70816	Concordant	14	0	0.475633	0	0.475633	14	0	1	Stable
Car12	-0.080497	-1.073594	1.8e-05	15	19713	Concordant	3	4	-0.071946	0.634751	0.562805	8	7	0.466666666666667	Activity_Lost
Car7	0.045941	0.574385	3e-06	8	7539	Concordant	3	2	0.053509	0.426966	0.480475	4	4	0.5	Activity_Gain
Car9	0.036954	-3.430446	0	8	13870.5	Discordant	2	0	0.056062	0.4079	0.463962	4	4	0.5	NA
Card10	0.017218	1.08118	0.009539	5	4300	Concordant	2	0	0.024772	0.133926	0.158698	3	2	0.6	NA
Carmil1	0.012149	0.54448	0	5	163198	Concordant	2	0	0.03075	0.11442	0.14517	5	0	1	NA
Cars2	0.027104	-0.533098	3.2e-05	4	4834	Discordant	1	0	0.030229	0.599958	0.630187	3	1	0.75	NA
Cast	0.056844	0.651404	2.7e-05	10	169001	Concordant	3	3	-0.00461	0.367671	0.363061	3	7	0.3	NA
Cblb	-0.048188	-0.584588	0	6	93687	Concordant	0	2	-0.085403	0.30074	0.215337	1	5	0.833333333333333	Activity_Lost
Cbr1	0.03867	-0.703914	8e-06	5	1789	Discordant	1	0	0.019008	0.532222	0.55123	2	3	0.4	NA
Ccdc107	-0.033964	-0.571499	0.027412	8	14020	Concordant	0	1	-0.040646	0.298126	0.25748	2	6	0.75	NA
Ccdc112	-0.059418	-0.794045	1e-06	8	214092	Concordant	1	2	-0.073911	0.501761	0.42785	5	3	0.375	NA
Ccdc14	0.020949	-0.54892	0.010341	5	367769	Discordant	3	1	0.039847	0.166309	0.206156	3	2	0.6	Stable
Ccdc181	-0.041773	-0.666306	3.5e-05	9	12065	Concordant	3	1	-0.016521	0.473279	0.456758	4	5	0.555555555555556	Activity_Lost
Ccdc30	0.011533	-0.584242	0.000637	7	120862.5	Discordant	1	1	0.000326	0.42972	0.430046	4	3	0.571428571428571	NA
Ccdc61	-0.028833	-1.12957	0	10	10891	Concordant	1	1	0.016806	0.35278	0.369586	7	3	0.3	Activity_Lost
Ccdc69	-0.017923	-0.95667	1.2e-05	8	62342.5	Concordant	1	3	-0.035319	0.36949	0.334171	2	6	0.75	Stable
Ccdc9b	-0.032049	-0.98157	0	7	13387	Concordant	1	1	-0.024086	0.387069	0.362983	4	3	0.428571428571429	Activity_Lost
Ccnd1	-0.031447	-0.572202	0.033622	14	301159	Concordant	0	1	-0.043019	0.715419	0.6724	7	7	0.5	Activity_Lost
Ccnf	-0.028936	-0.766658	0.000182	8	14296	Concordant	0	1	-0.034831	0.27587	0.241039	3	5	0.625	NA
Ccnjl	-0.040585	-0.720751	0	7	40970	Concordant	1	3	-0.038766	0.4707	0.431934	3	4	0.571428571428571	Activity_Lost
Ccs	0.010291	-0.556951	0.005539	8	36412	Discordant	1	0	0.017216	0.280418	0.297634	5	3	0.625	NA
Cd276	0.037573	-1.288949	0	8	26775	Discordant	2	5	-0.044245	0.408277	0.364032	2	6	0.25	NA
Cd83	0.013921	-1.666418	0	11	614250	Discordant	1	1	-0.013777	0.278182	0.264405	4	7	0.363636363636364	Stable
Cdh23	0.042036	2.447756	0	14	8814	Concordant	3	1	0.029676	0.426769	0.456445	5	9	0.357142857142857	Activity_Gain
Cdh24	0.011713	1.311289	1e-06	9	37979	Concordant	2	0	0.021358	0.347347	0.368705	6	3	0.666666666666667	Stable
Cdh7	-0.050487	-1.247981	0	7	49571	Concordant	0	5	-0.1611	0.490622	0.329522	0	7	1	Activity_Lost
Cdh8	0.029328	-1.206488	0	5	933	Discordant	1	2	-0.016966	0.383606	0.36664	2	3	0.4	Activity_Lost
Cdk15	0.038477	-1.839033	0.001713	16	41284	Discordant	4	5	-0.006397	0.63499	0.628593	7	9	0.4375	Stable
Cdkl2	0.015515	-0.565231	0.000411	8	80879	Discordant	2	2	0.000288	0.770175	0.770463	4	4	0.5	NA
Cdkl4	0.020284	-0.524188	0.013669	12	25480	Discordant	2	3	-0.020106	0.44199	0.421884	5	7	0.416666666666667	Stable
Cdkl5	0.050384	0.663839	0	8	127940	Concordant	1	0	0.0521	0.270597	0.322697	5	3	0.625	NA
Cdyl2	0.044311	-0.669125	0	8	130608	Discordant	3	3	0.024866	0.407488	0.432354	4	4	0.5	Stable
Cecr2	0.024512	0.839964	0	5	21142	Concordant	3	1	0.048092	0.140851	0.188943	4	1	0.8	NA
Celf5	0.012904	0.667759	1e-06	12	161760.5	Concordant	2	0	0.011176	0.33634	0.347516	5	7	0.416666666666667	NA
Cemip2	-0.039091	-0.638171	0	9	6213	Concordant	3	3	-0.023393	0.418552	0.395159	4	5	0.555555555555556	Activity_Lost
Cenpk	-0.03678	-1.044722	0.047097	9	466296	Concordant	3	2	0.009969	0.351768	0.361737	5	4	0.444444444444444	Activity_Lost
Cenps	-0.016143	0.938089	0.019983	9	425047	Discordant	2	2	0.004501	0.278505	0.283006	5	4	0.444444444444444	Stable
Cers4	-0.021319	0.760202	0	6	326632.5	Discordant	0	3	-0.054773	0.306141	0.251368	1	5	0.833333333333333	NA
Ces5a	-0.281916	1.550442	1.4e-05	7	33842	Discordant	0	7	-0.450378	0.450378	0	0	7	1	K119ub_Only
Cfap69	0.051467	-0.520217	0.002363	14	149424.5	Discordant	4	5	-0.014713	0.494713	0.48	4	10	0.285714285714286	NA
Cflar	-0.028112	-0.953994	0	11	1860	Concordant	2	5	-0.044425	0.459061	0.414636	6	5	0.454545454545455	Activity_Lost
Chd5	0.02169	1.081973	0	10	12837.5	Concordant	3	0	0.026835	0.360586	0.387421	5	5	0.5	NA
Chek1	-0.010983	0.917099	0.020297	9	481163.5	Discordant	1	2	-0.012775	0.421102	0.408327	4	5	0.555555555555556	NA
Chil5	-0.022782	-1.080682	0	7	689134	Concordant	1	3	-0.053038	0.188531	0.135493	2	5	0.714285714285714	Stable
Chl1	0.066733	-0.500666	0.005278	7	1699	Discordant	2	3	-0.016249	0.629695	0.613446	2	5	0.285714285714286	Stable
Chrm2	0.051937	1.616039	0	9	682280	Concordant	4	4	0.040056	0.324049	0.364105	5	4	0.555555555555556	NA
Chrm3	0.035616	1.465968	0	8	1475200	Concordant	1	3	-0.031438	0.231867	0.200429	4	4	0.5	NA
Chrna4	0.027954	2.264981	0	12	10854	Concordant	2	0	0.040727	0.409157	0.449884	8	4	0.666666666666667	Activity_Gain
Chrna7	-0.022726	-0.634604	1e-06	9	684596	Concordant	1	3	-0.033178	0.288438	0.25526	4	5	0.555555555555556	NA
Chrnb4	-0.033184	-1.34388	0.000202	13	34579	Concordant	1	1	-0.004391	0.514412	0.510021	8	5	0.384615384615385	Stable
Chst5	0.018377	-0.713619	0.041546	13	1725017.5	Discordant	2	1	0.018194	0.470873	0.489067	7	6	0.538461538461538	NA
Cidea	-0.015137	-1.221533	0.00049	8	31470	Concordant	1	3	-0.027685	0.309102	0.281417	3	5	0.625	Activity_Lost
Cit	0.017342	0.661279	0	6	62160	Concordant	1	3	-0.022486	0.251569	0.229083	3	3	0.5	Activity_Gain
Cited1	-0.032857	1.673232	0.020044	12	132815	Discordant	2	3	-0.073231	0.347954	0.274723	3	9	0.75	NA
Cited4	-0.025449	-1.288017	0.009128	10	49845	Concordant	3	2	-0.007713	0.584664	0.576951	5	5	0.5	Activity_Lost
Clmp	-0.017031	-0.773055	0	10	45129	Concordant	0	4	-0.059504	0.365916	0.306412	3	7	0.7	Activity_Lost
Clnk	0.036318	-0.86405	0.018076	7	4900	Discordant	2	2	-0.005774	0.805568	0.799794	2	5	0.285714285714286	Activity_Lost
Clspn	0.034932	1.608051	0.039513	13	196662.5	Concordant	6	2	0.062976	0.335363	0.398339	8	5	0.615384615384615	NA
Clstn2	-0.075691	-0.667624	0.042464	7	24312	Concordant	2	2	-0.06037	0.380064	0.319694	3	4	0.571428571428571	NA
Clvs2	-0.03777	0.774083	0.001719	7	3006416	Discordant	1	5	-0.118744	0.240788	0.122044	2	5	0.714285714285714	Stable
Cmklr1	-0.029419	0.583906	0.033496	11	73357	Discordant	1	2	-0.046454	0.524001	0.477547	3	8	0.727272727272727	Stable
Cnbd2	-0.014757	0.54851	0.021354	7	320286	Discordant	0	1	0.002917	0.211803	0.21472	4	3	0.428571428571429	Stable
Cnnm1	0.043382	-0.536732	0	8	881	Discordant	3	4	0.006432	0.54406	0.550492	3	5	0.375	Stable
Cnpy1	-0.045541	-0.724738	0	9	1901	Concordant	2	2	-0.024754	0.782098	0.757344	6	3	0.333333333333333	Activity_Lost
Cnr1	-0.042165	-0.739792	0	9	22799	Concordant	0	5	-0.15429	0.603173	0.448883	0	9	1	Activity_Lost
Cntln	0.020488	-0.695479	0	6	3892554.5	Discordant	3	1	0.04361	0.080837	0.124447	4	2	0.666666666666667	NA
Cntn4	-0.031215	-0.673074	0.000242	8	763508	Concordant	1	4	-0.056443	0.247924	0.191481	3	5	0.625	Activity_Lost
Cntn5	0.074912	-1.047053	0.003524	15	3371607.5	Discordant	9	3	0.234544	0.258652	0.493196	10	5	0.666666666666667	Stable
Cntn6	-0.044945	-1.004547	0.000272	4	174040	Concordant	1	3	-0.065846	0.405845	0.339999	1	3	0.75	Activity_Lost
Cntnap2	-0.04022	-1.261873	0	4	1725752	Concordant	1	2	-0.038682	0.140844	0.102162	2	2	0.5	Activity_Lost
Cntnap5a	-0.086084	1.943539	0	6	3819993.5	Discordant	2	4	-0.1465	0.48235	0.33585	2	4	0.666666666666667	NA
Cog5	-0.021196	-0.67694	0	12	258901	Concordant	0	2	-0.038623	0.612373	0.57375	4	8	0.666666666666667	Activity_Lost
Col12a1	0.03147	-0.744554	2.3e-05	17	40952	Discordant	3	6	-0.096277	0.706255	0.609978	5	12	0.294117647058824	NA
Col13a1	0.023748	-2.625359	0	13	1517	Discordant	2	2	0.017072	0.443848	0.46092	7	6	0.538461538461538	Stable
Col15a1	0.616698	1.817056	0	7	4838399	Concordant	1	5	0.492647	0.208034	0.700681	1	6	0.142857142857143	NA
Col19a1	0.025225	-2.740038	0	8	91121.5	Discordant	3	3	-0.005256	0.398869	0.393613	3	5	0.375	NA
Col6a2	-0.022473	0.924119	0.000143	7	170690	Discordant	3	1	0.012075	0.198782	0.210857	3	4	0.571428571428571	Stable
Col9a1	-0.039861	-1.251199	0.004793	11	48676	Concordant	2	3	-0.046525	0.632315	0.58579	5	6	0.545454545454545	Activity_Lost
Comp	0.057235	1.273001	0	13	1128	Concordant	1	1	0.010609	0.477462	0.488071	4	9	0.307692307692308	Activity_Gain
Coro6	0.018973	0.620562	0.002977	13	6449	Concordant	1	4	-0.04605	0.481731	0.435681	4	9	0.307692307692308	Stable
Cplx1	-0.017007	0.733646	0	9	31630	Discordant	1	2	-0.007569	0.345894	0.338325	4	5	0.555555555555556	Stable
Cplx2	-0.039963	-0.516405	0	12	104652	Concordant	2	5	-0.100533	0.618343	0.51781	2	10	0.833333333333333	Activity_Lost
Cpne5	0.011595	2.091829	0.038253	8	460606	Concordant	1	0	0.003185	0.21399	0.217175	3	5	0.375	NA
Cpne6	0.035036	1.303398	1.4e-05	12	49765	Concordant	4	1	0.086216	0.440516	0.526732	9	3	0.75	NA
Cradd	-0.055257	-0.733738	0	3	1910	Concordant	0	1	-0.0403	0.401071	0.360771	2	1	0.333333333333333	Activity_Lost
Crlf1	0.013501	2.66534	0	12	94743	Concordant	1	0	0.014625	0.50844	0.523065	7	5	0.583333333333333	Stable
Crtac1	-0.017443	0.656454	1.5e-05	12	161425	Discordant	1	2	-0.024648	0.326073	0.301425	4	7	0.583333333333333	NA
Crygn	-0.02816	-1.465303	0.010731	10	7052	Concordant	2	1	-0.012629	0.530425	0.517796	3	7	0.7	Stable
Csmd1	-0.027158	1.022854	0	7	2530648	Discordant	0	3	-0.066599	0.324536	0.257937	1	6	0.857142857142857	K119ub_Only
Csmd2	0.04629	1.197995	0	9	1892	Concordant	5	2	0.078541	0.353773	0.432314	5	4	0.555555555555556	Activity_Gain
Csrnp3	0.01979	-0.790962	0	11	150469	Discordant	3	2	0.026886	0.39851	0.425396	7	4	0.636363636363636	Stable
Ctf1	-0.023245	-1.607013	0.023496	6	6827	Concordant	1	1	-0.000217	0.439118	0.438901	4	2	0.333333333333333	Activity_Lost
Cx3cl1	0.059865	1.066266	0	9	1724	Concordant	1	1	0.027993	0.382004	0.409997	2	7	0.222222222222222	Activity_Gain
Cxxc4	0.036546	-0.600586	0	6	1201767.5	Discordant	4	1	0.061248	0.403387	0.464635	4	2	0.666666666666667	NA
Cyb5r1	-0.012745	-0.731028	0.0081	13	172195	Concordant	0	1	-0.006642	0.460524	0.453882	8	5	0.384615384615385	Stable
Cyb5r3	-0.050524	-0.775877	0.000741	2	3473	Concordant	1	1	-0.038383	0.303333	0.26495	1	1	0.5	Activity_Lost
Cyp11a1	0.013091	0.627765	0.011021	13	8279.5	Concordant	2	1	0.016549	0.554174	0.570723	7	6	0.538461538461538	NA
Cyp27b1	-0.013364	-0.885196	0.02994	16	72919	Concordant	0	2	-0.034959	0.518017	0.483058	6	10	0.625	NA
D030028A08Rik	-0.020053	-0.684588	0.04105	10	57509	Concordant	0	2	-0.023937	0.415099	0.391162	4	6	0.6	Activity_Lost
D130043K22Rik	-0.038189	1.066123	0	5	3034803.5	Discordant	0	2	-0.058897	0.420691	0.361794	1	4	0.8	NA
D430019H16Rik	0.022769	1.909853	1.8e-05	11	2773402	Concordant	3	2	0.022118	0.457119	0.479237	5	6	0.454545454545455	Stable
D430041D05Rik	0.023777	0.595366	0	9	2479	Concordant	2	1	0.003756	0.3964	0.400156	3	6	0.333333333333333	NA
Daam2	-0.040065	-0.504264	5e-05	8	36103	Concordant	1	4	-0.092017	0.506095	0.414078	2	6	0.75	Activity_Lost
Dact1	-0.038865	-1.02606	0	8	56493	Concordant	0	5	-0.105377	0.485272	0.379895	1	7	0.875	Activity_Lost
Dact2	0.123906	2.027085	0	12	805871	Concordant	4	7	0.14722	0.462432	0.609652	4	8	0.333333333333333	NA
