GROUP	ctrl_label	N	group_total	label_total	expected	obs_exp	log2_obs_exp	timepoint	condition	mut_label
clust5	B.1	357	1296	8192	140.71907431707	2.53696950276693	1.34310617668551	250402	ctrl	NA
clust4	B.1	1534	7598	8192	824.987289090355	1.85942258782122	0.894854686378943	250402	ctrl	NA
clust5	A.1	171	1296	44905	771.361087916021	0.221686059458858	-2.17341004449234	250402	ctrl	NA
clust6	B.1	606	4658	8192	505.763463093297	1.19818856880971	0.260854974803117	250402	ctrl	NA
clust5	A.2	218	1296	14001	240.503876893714	0.906430294661492	-0.141732015251966	250402	ctrl	NA
clust4	NA	3272	7598	46878	4720.9172531711	0.693085649362347	-0.528894447755676	250402	mut	A.1
clust2	NA	14025	20974	46878	13031.9187244026	1.07620376527808	0.105951259422995	250402	mut	A.1
clust4	NA	1291	7598	7219	726.999907219638	1.77579114822358	0.828461915505584	250402	mut	B.2
clust1	NA	1610	23833	7219	2280.41442337005	0.706012022858856	-0.502235343159802	250402	mut	B.2
clust3	NA	10697	17088	46878	10617.4037933914	1.0074967673979	0.010775209803859	250402	mut	A.1
clust3	NA	1513	17088	7219	1635.03216827707	0.925364056656047	-0.111907032607401	250402	mut	B.2
clust1	NA	16430	23833	46878	14808.3207284584	1.10951135522241	0.149924432779837	250402	mut	A.1
clust2	NA	3353	20974	13723	3814.94561745331	0.878911611389709	-0.186210008268967	250402	mut	A.2
clust6	NA	1102	4658	13723	847.24023486686	1.30069365765328	0.379281215225661	250402	mut	A.2
clust3	NA	3260	17088	13723	3108.12390154678	1.04886423555304	0.0688279482962557	250402	mut	A.2
clust1	NA	3955	23833	13723	4334.96704971702	0.912348341899894	-0.132343332799674	250402	mut	A.2
clust6	NA	2176	4658	46878	2894.18696568452	0.751851910674797	-0.411479566992928	250402	mut	A.1
clust1	NA	1814	23833	7559	2387.81723594046	0.759689633149641	-0.39651796076439	250402	mut	B.1
clust3	NA	1613	17088	7559	1712.03880870015	0.942151539908525	-0.0859689667996264	250402	mut	B.1
clust2	NA	1725	20974	7219	2006.85654830543	0.859553215926953	-0.218341133511811	250402	mut	B.2
clust5	NA	379	1296	7219	124.005248717643	3.0563222437703	1.61179666214988	250402	mut	B.2
clust2	NA	1845	20974	7559	2101.37534958315	0.87799640381524	-0.187713064248078	250402	mut	B.1
clust4	NA	1294	7598	7559	761.240102323485	1.69985789772557	0.76541414705977	250402	mut	B.1
clust4	NA	1736	7598	13723	1381.99469826501	1.25615532547225	0.329014866644827	250402	mut	A.2
clust6	NA	701	4658	7219	445.69170411017	1.57283609619694	0.653368336663173	250402	mut	B.2
clust5	NA	315	1296	7559	129.845639985685	2.42595746791904	1.27855425723494	250402	mut	B.1
clust5	NA	278	1296	46878	805.252534892044	0.345233312475409	-1.53435641419352	250402	mut	A.1
clust6	NA	678	4658	7559	466.68286346707	1.45280671967044	0.538842780657763	250402	mut	B.1
clust5	NA	317	1296	13723	235.72849815102	1.34476740184767	0.427356658120153	250402	mut	A.2
clust4	NA	5	7598	68	6.84803902076955	0.730136026508524	-0.453762827486968	250402	mut	NA
clust2	NA	26	20974	68	18.9037602555436	1.37538773495476	0.459838385503664	250402	mut	NA
clust1	NA	24	23833	68	21.4805625140827	1.11728917640148	0.160002631986651	250402	mut	NA
clust5	NA	7	1296	68	1.16807825360849	5.99274918300654	2.58321799346367	250402	mut	NA
clust3	NA	5	17088	68	15.4013280846157	0.324647327329808	-1.6230547625095	250402	mut	NA
clust6	NA	1	4658	68	4.19823187137991	0.238195514358599	-2.06978184992017	250402	mut	NA
clust4	B.1	1215	7609	8472	851.530956501063	1.42684184376858	0.512825430219463	250831	ctrl	NA
clust2	B.1	1897	21084	8472	2359.53196042429	0.803973004738992	-0.314781034506824	250831	ctrl	NA
clust4	B.2	961	7609	6414	644.678889872264	1.49066460077576	0.57595568805076	250831	ctrl	NA
clust1	B.2	1559	23949	6414	2029.0990581615	0.768321287090123	-0.380218369404825	250831	ctrl	NA
clust3	A.2	4168	17107	16816	3799.99883756258	1.09684244079229	0.133356300387292	250831	ctrl	NA
clust3	B.2	1563	17107	6414	1449.40488487907	1.07837362513816	0.10885711662898	250831	ctrl	NA
clust1	A.2	4878	23949	16816	5319.82066760895	0.916948202728133	-0.125087854826957	250831	ctrl	NA
clust6	B.1	835	4659	8472	521.393445438094	1.60147774642315	0.67940375106419	250831	ctrl	NA
clust6	A.2	1378	4659	16816	1034.9093695098	1.33151756143895	0.413071456437225	250831	ctrl	NA
clust2	A.2	3990	21084	16816	4683.41471275907	0.851942491688811	-0.231172046778433	250831	ctrl	NA
clust6	A.1	1818	4659	44001	2707.95951283304	0.671354202817465	-0.57485396956123	250831	ctrl	NA
clust3	A.1	9278	17107	44001	9943.13444645523	0.933106159829474	-0.0998868685296512	250831	ctrl	NA
clust1	A.1	15380	23949	44001	13919.9232395017	1.10489115028701	0.143904247737776	250831	ctrl	NA
clust2	B.2	1408	21084	6414	1786.35953661017	0.78819519315347	-0.343375143730312	250831	ctrl	NA
clust5	B.1	295	1295	8472	144.924771805609	2.03553882696942	1.02541074048652	250831	ctrl	NA
clust1	B.1	2132	23949	8472	2680.15703472782	0.795475777118602	-0.330110094894124	250831	ctrl	NA
clust5	B.2	295	1295	6414	109.719958257929	2.68866307173136	1.42688897603721	250831	ctrl	NA
clust4	A.2	1998	7609	16816	1690.196478343	1.18211108921417	0.241365619548896	250831	ctrl	NA
clust3	B.1	2098	17107	8472	1914.46183110313	1.09586932782625	0.132075780655894	250831	ctrl	NA
clust6	B.2	628	4659	6414	394.737672219067	1.59092998767921	0.669870348145093	250831	ctrl	NA
clust2	A.1	13789	21084	44001	12254.6937902065	1.1252015134821	0.170183398301734	250831	ctrl	NA
clust4	A.1	3435	7609	44001	4422.59367528367	0.776693554100846	-0.364582602026331	250831	ctrl	NA
clust5	A.1	301	1295	44001	752.695335719853	0.399896194005419	-1.32230254446109	250831	ctrl	NA
clust5	A.2	404	1295	16816	287.65993421661	1.40443611342755	0.48999099901927	250831	ctrl	NA
clust4	NA	1721	7609	15856	1593.70571839954	1.0798731410265	0.110861840572372	250831	mut	A.2
clust2	NA	3630	21084	15856	4416.04565208776	0.822002371801535	-0.282785538229338	250831	mut	A.2
clust4	NA	838	7609	5874	590.402837404066	1.41936987241557	0.505250589093157	250831	mut	B.2
clust1	NA	1453	23949	5874	1858.26751912077	0.781911100016146	-0.354923506352973	250831	mut	B.2
clust3	NA	4095	17107	15856	3583.06265273503	1.14287702920132	0.192670181412845	250831	mut	A.2
clust3	NA	1458	17107	5874	1327.37828091357	1.0984057980793	0.135411146073048	250831	mut	B.2
clust1	NA	4577	23949	15856	5016.12015375877	0.912458206681967	-0.132169614246789	250831	mut	A.2
clust2	NA	1581	21084	7412	2064.31195593305	0.765872617002501	-0.384823637594858	250831	mut	B.1
clust6	NA	755	4659	7412	456.157721622657	1.6551292770279	0.726943905880288	250831	mut	B.1
clust6	NA	1438	4659	15856	975.827959261852	1.47362041264707	0.559364950947922	250831	mut	A.2
clust6	NA	1884	4659	46539	2864.15599117604	0.657785401983785	-0.604311103617806	250831	mut	A.1
clust3	NA	9598	17107	46539	10516.6594850931	0.912647215934373	-0.131870801138545	250831	mut	A.1
clust1	NA	15965	23949	46539	14722.8314729931	1.08437021976958	0.116857397870792	250831	mut	A.1
clust2	NA	1303	21084	5874	1635.96443998256	0.79647207980504	-0.328304305682679	250831	mut	B.2
clust5	NA	203	1295	7412	126.792069006512	1.6010465133239	0.679015221387564	250831	mut	B.1
clust4	NA	973	7609	7412	744.989075730156	1.30605941979266	0.385220534472502	250831	mut	B.1
clust1	NA	1947	23949	7412	2344.82105068491	0.830340549625861	-0.268224940967934	250831	mut	B.1
clust5	NA	240	1295	5874	100.482543624427	2.38847456824985	1.25608951551332	250831	mut	B.2
clust6	NA	582	4659	5874	361.504378954599	1.60993900456485	0.687006030278545	250831	mut	B.2
clust3	NA	1953	17107	7412	1674.92812702271	1.16602018229378	0.221592759930488	250831	mut	B.1
clust2	NA	14560	21084	46539	12961.5507443562	1.12332237763601	0.167772020234395	250831	mut	A.1
clust4	NA	4077	7609	46539	4677.69112188421	0.871583842063894	-0.198288643718498	250831	mut	A.1
clust5	NA	455	1295	46539	796.111184497312	0.571528209702644	-0.80710338560999	250831	mut	A.1
clust5	NA	395	1295	15856	271.237863757051	1.45628635518898	0.54229406610763	250831	mut	A.2
clust5	NA	2	1295	22	0.376339114698229	5.31435591435591	2.40989485159236	250831	mut	NA
clust3	NA	3	17107	22	4.97145423563135	0.603445160673196	-0.728705425845179	250831	mut	NA
clust2	NA	10	21084	22	6.12720764038413	1.63206481433573	0.706698352324102	250831	mut	NA
clust1	NA	7	23949	22	6.95980344239991	1.00577553057824	0.00830835975934395	250831	mut	NA
