#Coverage	Number of genomic locations
487.0	5.0
488.0	8.0
489.0	9.0
490.0	4.0
491.0	15.0
492.0	4.0
493.0	7.0
494.0	6.0
495.0	4.0
496.0	10.0
497.0	9.0
498.0	7.0
499.0	7.0
500.0	10.0
501.0	4.0
502.0	11.0
503.0	10.0
504.0	5.0
505.0	6.0
506.0	5.0
507.0	3.0
508.0	6.0
509.0	9.0
510.0	12.0
511.0	10.0
512.0	9.0
513.0	8.0
514.0	4.0
515.0	8.0
516.0	6.0
517.0	11.0
518.0	6.0
519.0	13.0
520.0	10.0
521.0	7.0
522.0	7.0
523.0	11.0
524.0	10.0
525.0	8.0
526.0	5.0
527.0	4.0
528.0	8.0
529.0	4.0
530.0	4.0
531.0	10.0
532.0	11.0
533.0	11.0
534.0	14.0
535.0	14.0
536.0	10.0
537.0	11.0
538.0	8.0
539.0	12.0
540.0	5.0
541.0	6.0
542.0	10.0
543.0	10.0
544.0	8.0
545.0	6.0
546.0	7.0
547.0	11.0
548.0	6.0
549.0	10.0
550.0	7.0
551.0	10.0
552.0	4.0
553.0	8.0
554.0	7.0
555.0	8.0
556.0	9.0
557.0	5.0
558.0	2.0
559.0	6.0
560.0	4.0
561.0	5.0
562.0	1.0
563.0	4.0
564.0	10.0
565.0	10.0
566.0	5.0
567.0	12.0
568.0	14.0
569.0	5.0
570.0	5.0
571.0	7.0
572.0	11.0
573.0	8.0
574.0	10.0
575.0	7.0
576.0	5.0
577.0	7.0
578.0	5.0
579.0	5.0
580.0	11.0
581.0	5.0
582.0	10.0
583.0	12.0
584.0	9.0
585.0	5.0
586.0	9.0
587.0	13.0
588.0	14.0
589.0	12.0
590.0	7.0
591.0	11.0
592.0	4.0
593.0	6.0
594.0	8.0
595.0	7.0
596.0	8.0
597.0	7.0
598.0	9.0
599.0	5.0
600.0	6.0
601.0	5.0
602.0	5.0
603.0	5.0
604.0	3.0
605.0	2.0
606.0	9.0
607.0	8.0
608.0	5.0
609.0	5.0
610.0	3.0
611.0	7.0
612.0	8.0
613.0	5.0
614.0	3.0
615.0	7.0
616.0	12.0
617.0	6.0
618.0	6.0
619.0	6.0
620.0	12.0
621.0	10.0
622.0	4.0
623.0	11.0
624.0	4.0
625.0	6.0
626.0	6.0
627.0	9.0
628.0	3.0
629.0	7.0
630.0	8.0
631.0	13.0
632.0	6.0
633.0	7.0
634.0	7.0
635.0	7.0
636.0	11.0
637.0	8.0
638.0	7.0
639.0	6.0
640.0	22.0
641.0	11.0
642.0	6.0
643.0	3.0
644.0	9.0
645.0	5.0
646.0	11.0
647.0	8.0
648.0	12.0
649.0	10.0
650.0	6.0
651.0	6.0
652.0	13.0
653.0	4.0
654.0	7.0
655.0	10.0
656.0	6.0
657.0	3.0
658.0	3.0
659.0	2.0
660.0	2.0
661.0	3.0
662.0	4.0
663.0	3.0
664.0	5.0
665.0	8.0
666.0	4.0
667.0	2.0
668.0	4.0
669.0	5.0
670.0	4.0
671.0	4.0
672.0	1.0
673.0	5.0
675.0	5.0
676.0	6.0
677.0	3.0
678.0	5.0
679.0	6.0
680.0	3.0
681.0	4.0
682.0	4.0
683.0	3.0
684.0	3.0
685.0	7.0
686.0	2.0
687.0	8.0
688.0	4.0
689.0	12.0
690.0	8.0
691.0	8.0
692.0	7.0
693.0	5.0
694.0	7.0
695.0	3.0
696.0	2.0
697.0	9.0
698.0	4.0
699.0	2.0
700.0	6.0
701.0	8.0
702.0	7.0
703.0	2.0
704.0	2.0
705.0	6.0
706.0	2.0
707.0	7.0
708.0	6.0
709.0	2.0
710.0	6.0
711.0	3.0
712.0	6.0
713.0	5.0
714.0	4.0
715.0	9.0
716.0	8.0
717.0	11.0
718.0	5.0
719.0	8.0
720.0	8.0
721.0	4.0
722.0	3.0
723.0	4.0
724.0	9.0
725.0	7.0
726.0	9.0
727.0	6.0
728.0	9.0
729.0	5.0
730.0	9.0
731.0	4.0
732.0	5.0
733.0	5.0
734.0	7.0
735.0	5.0
736.0	6.0
737.0	8.0
738.0	5.0
739.0	5.0
740.0	3.0
741.0	3.0
742.0	5.0
743.0	3.0
744.0	6.0
745.0	4.0
746.0	8.0
747.0	5.0
748.0	2.0
749.0	6.0
750.0	4.0
751.0	3.0
752.0	9.0
753.0	4.0
754.0	2.0
756.0	6.0
757.0	3.0
759.0	5.0
760.0	4.0
761.0	6.0
762.0	1.0
763.0	4.0
764.0	2.0
765.0	1.0
766.0	3.0
767.0	3.0
768.0	5.0
769.0	6.0
770.0	4.0
772.0	3.0
773.0	6.0
774.0	1.0
775.0	9.0
776.0	4.0
777.0	3.0
778.0	5.0
779.0	2.0
780.0	1.0
781.0	4.0
782.0	2.0
783.0	3.0
784.0	3.0
785.0	8.0
786.0	5.0
787.0	2.0
788.0	10.0
789.0	4.0
790.0	7.0
791.0	9.0
792.0	9.0
793.0	4.0
794.0	9.0
795.0	5.0
796.0	5.0
797.0	5.0
798.0	10.0
799.0	7.0
801.0	2.0
802.0	11.0
803.0	9.0
804.0	5.0
805.0	6.0
806.0	2.0
807.0	2.0
808.0	3.0
809.0	4.0
810.0	10.0
811.0	3.0
813.0	1.0
814.0	2.0
815.0	1.0
816.0	2.0
817.0	2.0
818.0	1.0
819.0	4.0
820.0	2.0
821.0	3.0
822.0	6.0
824.0	1.0
825.0	2.0
826.0	3.0
827.0	1.0
828.0	2.0
829.0	2.0
830.0	2.0
832.0	1.0
833.0	4.0
834.0	4.0
835.0	2.0
837.0	2.0
838.0	1.0
839.0	1.0
840.0	2.0
841.0	4.0
842.0	2.0
843.0	2.0
844.0	1.0
845.0	2.0
846.0	1.0
847.0	2.0
848.0	3.0
849.0	3.0
850.0	4.0
851.0	7.0
852.0	6.0
853.0	5.0
854.0	1.0
855.0	3.0
856.0	3.0
857.0	3.0
858.0	6.0
859.0	4.0
860.0	2.0
861.0	2.0
862.0	2.0
863.0	3.0
864.0	4.0
866.0	1.0
867.0	6.0
868.0	3.0
869.0	1.0
870.0	5.0
871.0	1.0
872.0	4.0
873.0	2.0
874.0	4.0
875.0	5.0
876.0	3.0
877.0	10.0
878.0	4.0
879.0	2.0
880.0	2.0
881.0	3.0
882.0	1.0
883.0	6.0
884.0	1.0
885.0	4.0
886.0	1.0
887.0	3.0
888.0	1.0
889.0	4.0
890.0	3.0
892.0	1.0
893.0	2.0
894.0	2.0
895.0	2.0
896.0	1.0
897.0	4.0
898.0	3.0
899.0	1.0
900.0	2.0
901.0	2.0
902.0	6.0
903.0	1.0
904.0	3.0
905.0	1.0
906.0	1.0
907.0	1.0
908.0	2.0
909.0	6.0
910.0	1.0
911.0	2.0
912.0	3.0
913.0	3.0
914.0	2.0
915.0	3.0
916.0	5.0
917.0	3.0
918.0	2.0
919.0	3.0
921.0	3.0
922.0	3.0
923.0	1.0
924.0	4.0
925.0	3.0
926.0	4.0
927.0	1.0
928.0	2.0
929.0	3.0
930.0	1.0
931.0	4.0
933.0	1.0
934.0	1.0
935.0	2.0
936.0	3.0
938.0	2.0
939.0	3.0
940.0	3.0
941.0	3.0
942.0	3.0
943.0	5.0
945.0	2.0
946.0	5.0
947.0	4.0
948.0	1.0
949.0	1.0
950.0	1.0
951.0	3.0
952.0	2.0
953.0	1.0
954.0	2.0
955.0	2.0
956.0	3.0
957.0	4.0
958.0	4.0
961.0	3.0
962.0	1.0
963.0	4.0
964.0	4.0
965.0	4.0
966.0	2.0
967.0	8.0
968.0	3.0
969.0	2.0
970.0	3.0
972.0	2.0
973.0	6.0
974.0	2.0
975.0	2.0
976.0	3.0
977.0	2.0
978.0	2.0
979.0	4.0
981.0	4.0
982.0	4.0
983.0	4.0
984.0	1.0
985.0	6.0
986.0	1.0
987.0	1.0
989.0	3.0
991.0	2.0
992.0	1.0
993.0	2.0
994.0	3.0
995.0	4.0
996.0	1.0
997.0	1.0
999.0	5.0
1000.0	4.0
1001.0	4.0
1002.0	2.0
1004.0	2.0
1005.0	2.0
1006.0	2.0
1007.0	3.0
1008.0	3.0
1009.0	4.0
1010.0	2.0
1011.0	1.0
1012.0	1.0
1013.0	1.0
1014.0	3.0
1015.0	2.0
1016.0	1.0
1017.0	2.0
1019.0	2.0
1020.0	1.0
1021.0	2.0
1022.0	1.0
1024.0	3.0
1025.0	3.0
1026.0	6.0
1027.0	1.0
1028.0	3.0
1029.0	5.0
1030.0	8.0
1031.0	4.0
1032.0	4.0
1034.0	4.0
1035.0	1.0
1036.0	4.0
1037.0	3.0
1038.0	2.0
1039.0	2.0
1040.0	1.0
1041.0	3.0
1042.0	2.0
1043.0	3.0
1044.0	5.0
1045.0	5.0
1046.0	2.0
1047.0	1.0
1048.0	4.0
1049.0	5.0
1050.0	2.0
1051.0	3.0
1052.0	4.0
1053.0	5.0
1054.0	2.0
1055.0	2.0
1056.0	2.0
1057.0	1.0
1058.0	2.0
1059.0	5.0
1060.0	2.0
1061.0	1.0
1062.0	1.0
1063.0	4.0
1065.0	4.0
1066.0	2.0
1067.0	1.0
1068.0	1.0
1069.0	3.0
1070.0	2.0
1071.0	4.0
1072.0	6.0
1073.0	3.0
1074.0	3.0
1075.0	4.0
1076.0	2.0
1077.0	1.0
1078.0	3.0
1079.0	6.0
1080.0	1.0
1081.0	2.0
1082.0	3.0
1083.0	4.0
1084.0	3.0
1085.0	4.0
1086.0	2.0
1087.0	5.0
1088.0	2.0
1089.0	3.0
1090.0	3.0
1091.0	6.0
1092.0	2.0
1093.0	4.0
1094.0	5.0
1095.0	1.0
1096.0	1.0
1098.0	3.0
1099.0	1.0
1101.0	4.0
1102.0	2.0
1103.0	3.0
1104.0	5.0
1105.0	1.0
1106.0	3.0
1107.0	2.0
1108.0	4.0
1109.0	6.0
1110.0	1.0
1111.0	2.0
1112.0	3.0
1113.0	3.0
1114.0	2.0
1115.0	3.0
1116.0	5.0
1117.0	2.0
1118.0	3.0
1119.0	4.0
1120.0	2.0
1121.0	3.0
1122.0	2.0
1123.0	3.0
1124.0	2.0
1125.0	3.0
1127.0	1.0
1128.0	2.0
1129.0	3.0
1130.0	5.0
1131.0	3.0
1132.0	5.0
1133.0	3.0
1134.0	2.0
1135.0	7.0
1136.0	4.0
1137.0	2.0
1138.0	5.0
1139.0	3.0
1140.0	5.0
1141.0	5.0
1142.0	3.0
1143.0	2.0
1144.0	4.0
1145.0	2.0
1146.0	4.0
1147.0	1.0
1148.0	1.0
1150.0	6.0
1151.0	6.0
1152.0	6.0
1153.0	4.0
1154.0	3.0
1155.0	5.0
1156.0	2.0
1157.0	3.0
1158.0	4.0
1159.0	4.0
1160.0	3.0
1161.0	1.0
1162.0	4.0
1163.0	4.0
1164.0	2.0
1165.0	2.0
1166.0	1.0
1167.0	3.0
1168.0	1.0
1169.0	5.0
1170.0	3.0
1171.0	3.0
1172.0	3.0
1173.0	2.0
1174.0	1.0
1175.0	1.0
1176.0	2.0
1177.0	3.0
1178.0	3.0
1180.0	3.0
1181.0	5.0
1182.0	3.0
1183.0	2.0
1185.0	1.0
1186.0	3.0
1187.0	1.0
1188.0	3.0
1189.0	2.0
1190.0	4.0
1191.0	1.0
1193.0	4.0
1194.0	3.0
1195.0	3.0
1196.0	1.0
1197.0	1.0
1198.0	2.0
1200.0	1.0
1201.0	2.0
1203.0	1.0
1204.0	1.0
1205.0	4.0
1206.0	4.0
1207.0	6.0
1208.0	4.0
1209.0	2.0
1211.0	3.0
1212.0	2.0
1213.0	2.0
1214.0	2.0
1216.0	4.0
1217.0	5.0
1218.0	4.0
1220.0	4.0
1221.0	3.0
1222.0	1.0
1223.0	4.0
1224.0	2.0
1225.0	1.0
1226.0	1.0
1227.0	4.0
1228.0	4.0
1229.0	2.0
1230.0	6.0
1231.0	2.0
1232.0	5.0
1233.0	1.0
1234.0	3.0
1235.0	4.0
1236.0	6.0
1237.0	3.0
1238.0	2.0
1239.0	2.0
1241.0	2.0
1242.0	2.0
1243.0	2.0
1244.0	4.0
1245.0	4.0
1246.0	3.0
1247.0	1.0
1249.0	2.0
1250.0	4.0
1252.0	2.0
1253.0	2.0
1254.0	3.0
1255.0	2.0
1256.0	4.0
1257.0	1.0
1258.0	1.0
1259.0	3.0
1260.0	2.0
1261.0	1.0
1262.0	2.0
1263.0	2.0
1264.0	3.0
1265.0	4.0
1266.0	2.0
1267.0	1.0
1268.0	2.0
1269.0	3.0
1270.0	2.0
1271.0	4.0
1272.0	3.0
1273.0	3.0
1274.0	3.0
1275.0	1.0
1277.0	1.0
1278.0	1.0
1279.0	3.0
1281.0	1.0
1282.0	4.0
1283.0	3.0
1285.0	4.0
1286.0	3.0
1287.0	5.0
1288.0	2.0
1289.0	4.0
1290.0	5.0
1291.0	5.0
1292.0	1.0
1294.0	2.0
1295.0	2.0
1296.0	5.0
1297.0	2.0
1298.0	2.0
1299.0	6.0
1300.0	2.0
1301.0	1.0
1302.0	2.0
1303.0	1.0
1304.0	2.0
1305.0	2.0
1306.0	2.0
1307.0	5.0
1308.0	3.0
1309.0	3.0
1310.0	4.0
1311.0	2.0
1312.0	3.0
1313.0	1.0
1314.0	3.0
1315.0	1.0
1316.0	1.0
1317.0	2.0
1318.0	2.0
1319.0	1.0
1320.0	3.0
1321.0	2.0
1322.0	1.0
1323.0	1.0
1326.0	4.0
1328.0	1.0
1329.0	1.0
1330.0	2.0
1331.0	2.0
1332.0	2.0
1333.0	2.0
1334.0	1.0
1335.0	3.0
1336.0	4.0
1337.0	1.0
1338.0	3.0
1339.0	3.0
1340.0	2.0
1341.0	2.0
1342.0	2.0
1343.0	2.0
1344.0	1.0
1346.0	4.0
1347.0	4.0
1348.0	1.0
1349.0	4.0
1350.0	3.0
1351.0	2.0
1352.0	1.0
1353.0	5.0
1354.0	2.0
1355.0	1.0
1356.0	1.0
1357.0	3.0
1358.0	1.0
1359.0	1.0
1360.0	3.0
1361.0	1.0
1362.0	2.0
1363.0	2.0
1364.0	1.0
1366.0	2.0
1367.0	2.0
1368.0	1.0
1369.0	4.0
1370.0	4.0
1371.0	1.0
1373.0	4.0
1374.0	1.0
1375.0	2.0
1376.0	3.0
1377.0	1.0
1378.0	3.0
1379.0	5.0
1380.0	2.0
1381.0	2.0
1382.0	2.0
1383.0	2.0
1384.0	2.0
1385.0	2.0
1386.0	5.0
1387.0	1.0
1388.0	1.0
1389.0	4.0
1391.0	2.0
1392.0	1.0
1393.0	1.0
1394.0	3.0
1395.0	2.0
1396.0	4.0
1397.0	4.0
1400.0	1.0
1401.0	1.0
1402.0	1.0
1403.0	2.0
1404.0	2.0
1405.0	2.0
1406.0	3.0
1407.0	3.0
1408.0	3.0
1409.0	2.0
1410.0	1.0
1411.0	1.0
1412.0	2.0
1417.0	4.0
1418.0	1.0
1419.0	2.0
1420.0	2.0
1421.0	3.0
1422.0	1.0
1424.0	3.0
1425.0	2.0
1426.0	1.0
1427.0	1.0
1428.0	1.0
1429.0	1.0
1430.0	2.0
1431.0	1.0
1433.0	3.0
1434.0	2.0
1435.0	2.0
1436.0	2.0
1438.0	3.0
1439.0	1.0
1440.0	2.0
1441.0	2.0
1442.0	3.0
1443.0	2.0
1444.0	2.0
1445.0	1.0
1446.0	3.0
1447.0	2.0
1448.0	2.0
1449.0	2.0
1450.0	1.0
1451.0	2.0
1453.0	4.0
1454.0	4.0
1455.0	3.0
1456.0	1.0
1458.0	1.0
1460.0	2.0
1461.0	1.0
1462.0	2.0
1463.0	3.0
1464.0	1.0
1465.0	4.0
1466.0	2.0
1467.0	1.0
1468.0	2.0
1469.0	5.0
1470.0	2.0
1471.0	1.0
1472.0	2.0
1473.0	3.0
1475.0	1.0
1476.0	3.0
1477.0	1.0
1478.0	2.0
1479.0	3.0
1480.0	4.0
1481.0	1.0
1482.0	2.0
1483.0	1.0
1484.0	3.0
1485.0	2.0
1486.0	1.0
1487.0	5.0
1488.0	1.0
1489.0	3.0
1492.0	4.0
1493.0	1.0
1494.0	4.0
1496.0	1.0
1497.0	1.0
1498.0	2.0
1499.0	3.0
1500.0	3.0
1501.0	3.0
1502.0	2.0
1503.0	1.0
1505.0	6.0
1506.0	3.0
1507.0	1.0
1508.0	2.0
1509.0	2.0
1512.0	1.0
1516.0	1.0
1517.0	2.0
1518.0	2.0
1519.0	1.0
1520.0	1.0
1521.0	6.0
1522.0	3.0
1523.0	2.0
1524.0	2.0
1525.0	1.0
1526.0	1.0
1527.0	1.0
1528.0	3.0
1529.0	2.0
1530.0	3.0
1531.0	1.0
1532.0	3.0
1533.0	2.0
1534.0	5.0
1536.0	1.0
1537.0	2.0
1538.0	3.0
1539.0	4.0
1540.0	7.0
1541.0	2.0
1542.0	2.0
1543.0	1.0
1544.0	1.0
1545.0	1.0
1546.0	1.0
1547.0	2.0
1549.0	1.0
1550.0	2.0
1551.0	3.0
1552.0	1.0
1553.0	2.0
1554.0	2.0
1555.0	2.0
1556.0	2.0
1558.0	1.0
1559.0	1.0
1561.0	3.0
1562.0	2.0
1565.0	3.0
1566.0	3.0
1567.0	2.0
1569.0	2.0
1570.0	1.0
1571.0	1.0
1572.0	1.0
1573.0	1.0
1574.0	3.0
1575.0	2.0
1576.0	2.0
1577.0	3.0
1579.0	3.0
1580.0	4.0
1581.0	2.0
1582.0	2.0
1583.0	2.0
1584.0	2.0
1585.0	3.0
1587.0	3.0
1588.0	5.0
1589.0	1.0
1590.0	2.0
1591.0	2.0
1592.0	3.0
1593.0	3.0
1594.0	3.0
1595.0	4.0
1596.0	3.0
1597.0	5.0
1598.0	6.0
1599.0	3.0
1600.0	3.0
1601.0	3.0
1603.0	1.0
1604.0	2.0
1605.0	6.0
1607.0	3.0
1608.0	2.0
1609.0	4.0
1610.0	2.0
1611.0	2.0
1612.0	4.0
1613.0	1.0
1615.0	5.0
1616.0	3.0
1618.0	1.0
1619.0	1.0
1622.0	3.0
1623.0	1.0
1624.0	1.0
1625.0	2.0
1626.0	3.0
1627.0	1.0
1628.0	1.0
1629.0	1.0
1630.0	1.0
1631.0	1.0
1632.0	1.0
1633.0	1.0
1635.0	1.0
1637.0	3.0
1638.0	2.0
1639.0	1.0
1640.0	2.0
1642.0	1.0
1643.0	2.0
1645.0	2.0
1648.0	2.0
1649.0	2.0
1650.0	1.0
1651.0	1.0
1652.0	1.0
1653.0	1.0
1654.0	1.0
1655.0	2.0
1657.0	1.0
1658.0	2.0
1660.0	2.0
1661.0	2.0
1662.0	1.0
1663.0	1.0
1664.0	1.0
1665.0	3.0
1666.0	1.0
1667.0	1.0
1668.0	1.0
1669.0	2.0
1671.0	1.0
1672.0	1.0
1673.0	1.0
1674.0	2.0
1677.0	3.0
1678.0	1.0
1680.0	2.0
1683.0	2.0
1684.0	2.0
1685.0	1.0
1687.0	3.0
1689.0	2.0
1693.0	1.0
1696.0	1.0
1698.0	1.0
1699.0	2.0
1700.0	2.0
1701.0	1.0
1703.0	1.0
1704.0	1.0
1707.0	2.0
1709.0	1.0
1710.0	2.0
1711.0	2.0
1712.0	1.0
1713.0	2.0
1715.0	1.0
1716.0	2.0
1718.0	2.0
1719.0	1.0
1720.0	1.0
1721.0	2.0
1722.0	2.0
1723.0	3.0
1725.0	1.0
1726.0	1.0
1727.0	4.0
1728.0	1.0
1729.0	1.0
1730.0	3.0
1732.0	3.0
1733.0	3.0
1734.0	1.0
1735.0	2.0
1737.0	2.0
1738.0	1.0
1739.0	1.0
1740.0	1.0
1742.0	4.0
1743.0	2.0
1745.0	5.0
1746.0	3.0
1747.0	2.0
1748.0	1.0
1749.0	1.0
1750.0	2.0
1751.0	1.0
1752.0	2.0
1753.0	1.0
1754.0	2.0
1755.0	2.0
1756.0	3.0
1757.0	3.0
1759.0	2.0
1760.0	1.0
1761.0	1.0
1762.0	1.0
1763.0	1.0
1764.0	1.0
1765.0	1.0
1767.0	3.0
1768.0	1.0
1769.0	1.0
1770.0	2.0
1771.0	3.0
1772.0	1.0
1773.0	3.0
1776.0	1.0
1778.0	1.0
1779.0	4.0
1780.0	1.0
